ID,CYM,HEB,PoS,score
2663,hawdd,גדול,adjectives,0.35
2664,cefn,זנב,nouns,1.05
2665,cig,לחם,nouns,0.55
2666,cyrraedd,לעזוב,verbs,0.5
2667,dyffryn,דיכאון,nouns,0.3
2668,torf,חבורה,nouns,2.65
2669,llyfr nodiadau,אקדח,nouns,0.0
2670,gwastraffu,לדאוג,verbs,0.1
2671,anwybyddu,לשכוח,verbs,1.2
2672,hapus,צעיר,adjectives,0.5
2673,noswaith,שקיעה,nouns,2.2
2674,ceffyl,כלב,nouns,1.1
2675,tlodi,עושר,nouns,0.7
2676,dal,לשחרר,verbs,1.05
2677,siarad,ללחוש,verbs,2.2
2678,iogwrt,בקר,nouns,0.55
2679,modd,דרך,nouns,4.25
2680,tybio,להתחזות,verbs,0.3
2681,tynnu,לדחוף,verbs,0.55
2682,arian,מזומן,nouns,3.45
2683,diwylliant,חברה,nouns,1.35
2684,sefyll,לצעוד,verbs,1.1
2685,bargen,אגורה,nouns,0.7
2686,dal,לרדוף,verbs,1.55
2687,dyddiad,יום הולדת,nouns,1.4
2688,yn gain,יפה,adverbs,2.5
2689,diogelu,להגן,verbs,4.25
2690,etholiad,בחירה,nouns,2.85
2691,sglodion,סמן,nouns,0.15
2692,ardal,אזור,nouns,5.05
2693,credyd,לווה,nouns,1.35
2694,traethu,להזכיר,verbs,1.05
2695,etholi,לדחות,verbs,0.1
2696,caled,מורכב,adjectives,4.4
2697,portreadu,לחקות,verbs,3.5
2698,eira,תחזית,nouns,1.05
2699,tasg,עבודה,nouns,3.45
2700,egni,סוללה,nouns,2.45
2701,yn gadarnhaol,כנראה,adverbs,1.2
2702,afal,דיאטה,nouns,0.85
2703,llygoden,מיכל,nouns,0.0
2704,cywilydd,אשם,adjectives,1.4
2705,eryr,בז,nouns,2.6
2706,presenoldeb,דלת,nouns,0.15
2707,pot,מכשיר,nouns,0.5
2708,nenfwd,קתדרלה,nouns,0.45
2709,yn swyddogol,בחוזקה,adverbs,0.1
2710,ymdrechu,לעקל,verbs,0.25
2711,mynd i mewn,ללכת,verbs,1.3
2712,anifail,בהמה,nouns,3.15
2713,digio,להעליב,verbs,3.2
2714,organ,כלייה,nouns,2.35
2715,sinamon,ממתק,nouns,1.0
2716,dyffryn,קניון,nouns,3.5
2717,yn amlwg,בוודאי,adverbs,2.85
2718,mêl,סוכר,nouns,1.85
2719,trefnus,מבולגן,adjectives,0.55
2720,gadael,להיכנס,verbs,0.55
2721,athro,חבר,nouns,0.75
2722,mintys poethion,מסטיק,nouns,0.8
2723,llifo,להיסחף,verbs,3.1
2724,plasty,פסל,nouns,0.4
2725,crio,לייבב,verbs,4.3
2726,diflas,מצחיק,adjectives,0.5
2727,yn dawel,באופן פסיבי,adverbs,1.15
2728,emyn,קש,nouns,0.0
2729,anfeidredd,אפס,nouns,0.6
2730,ale,רחוב,nouns,3.2
2731,niweidio,להקניט,verbs,1.5
2732,glân,ללא רבב,adjectives,3.65
2733,derbyn,למסור,verbs,0.55
2734,brifo ,ליפול,verbs,1.55
2735,niwrosis,נפש,nouns,1.2
2736,anghefnogi,להרגיז,verbs,0.85
2737,brecwast,בייקון,nouns,1.05
2738,brest,גוף,nouns,1.3
2739,unwaith,פעמיים,adverbs,1.15
2740,crio,להתייפח,verbs,5.0
2741,symbol,סימן,nouns,4.55
2742,cyfrwys,קשוח,adjectives,0.25
2743,gwaith cartref,חיבור,nouns,1.75
2744,ffantasi,מציאות,nouns,0.95
2745,hyblyg,גדול,adjectives,0.2
2746,cadair,ספסל,nouns,2.8
2747,tywydd,שלג,nouns,1.05
2748,microsgop,ביולוג,nouns,0.95
2749,babi,מבוגר,nouns,0.8
2750,pennod,בחירה,nouns,0.1
2751,gwawr,אקדח,nouns,0.0
2752,ffurfdroad,זיהום,nouns,0.05
2753,eang,צר,adjectives,0.55
2754,torri,לסדוק,verbs,3.1
2755,parti,מסיכה,nouns,0.6
2756,aflonyddu,להבהיל,verbs,1.1
2757,bachgen,חייל,nouns,0.65
2758,ifanc,עצבני,adjectives,0.35
2759,unwaith,מיידית,adverbs,0.75
2760,gair,ספרות,nouns,1.4
2761,yn annaturiol,באופן שלילי,adverbs,0.8
2762,ffaith,הוכחה,nouns,1.2
2763,coeden,מייפל,nouns,2.75
2764,awst,חודש,nouns,2.25
2765,danfon,לקבל,verbs,0.5
2766,sudd,חלב,nouns,1.2
2767,parti,אנשים,nouns,1.25
2768,benthyg,להתחנן,verbs,0.35
2769,perfedd,עצב,nouns,0.45
2770,seicoleg,מדע,nouns,1.85
2771,neuadd,מעבר,nouns,0.6
2772,cofio,לחשוב,verbs,1.25
2773,gwawr,יום,nouns,1.6
2774,cythraul,מלאך,nouns,0.7
2775,radar,ג'ויסטיק,nouns,0.15
2776,seren,אסטרואיד,nouns,1.95
2777,cywilydd,עצוב,adjectives,0.7
2778,meteor,כבידה,nouns,0.8
2779,car,צופר,nouns,0.85
2780,cleddyf,סביבה,nouns,0.0
2781,hercio,ללכת,verbs,0.75
2782,marwolaeth,קבורה,nouns,1.8
2783,gweiddi,לצעוק,verbs,4.1
2784,pastai,שוקולד,nouns,0.65
2785,soffistigedig,בוגר,adjectives,1.65
2786,dicter,תסכול,nouns,2.35
2787,mewnwelediad,אינטליגנציה,nouns,2.4
2788,cerdded,לצלוע,verbs,0.75
2789,erfyn,לבקש,verbs,3.0
2790,pur,צנוע,adjectives,1.25
2791,arbed,להרוס,verbs,0.35
2792,homoffon,פוטופון,nouns,0.65
2793,yn hapus,נמרצות,adverbs,0.3
2794,car,טנק,nouns,1.15
2795,ael,עין,nouns,1.1
2796,te,לימון,nouns,0.8
2797,blodyn,סבולת,nouns,0.1
2798,menyw,ג'ינס,nouns,0.35
2799,heliwm,אוויר,nouns,2.3
2800,minc,שמן,nouns,0.15
2801,yn ddibynadwy,בערך,adverbs,0.2
2802,enillydd,מטרה,nouns,0.55
2803,barn,בחירה,nouns,1.2
2804,llyfr,נושא,nouns,0.63
2805,gwn,תעלול,nouns,0.1
2806,cynffon,עורף,nouns,1.05
2807,chwim,מהיר,adjectives,5.2
2808,ffabrig,פשתן,nouns,2.05
2809,dewis,כלא,nouns,0.35
2810,yn annibynnol,באופן אחראי,adverbs,0.8
2811,mam,חבר,nouns,1.2
2812,car,משאית,nouns,2.25
2813,trasiedi,מוות,nouns,1.8
2814,ffrind,מורה,nouns,0.75
2815,dolen,חגורה,nouns,0.65
2816,parêd,תזמורת,nouns,1.4
2817,gwrthod,להודות,verbs,0.5
2818,ymosodiad,פשע,nouns,2.45
2819,cael,להשאיר,verbs,0.35
2820,cwrw,שמפניה,nouns,1.75
2821,yn derfynol,בעיקר,adverbs,0.4
2822,pryf sidan,זחל,nouns,2.25
2823,allanfa,זכות בחירה,nouns,0.05
2824,cydsyniad,מטבע,nouns,0.6
2825,lema,הברה,nouns,0.7
2826,anonest,רע,adjectives,1.35
2827,erydu,לאפשר,verbs,0.05
2828,buddugoliaeth,הצלחה,nouns,3.6
2829,mawr,עצום,adjectives,4.4
2830,diamynedd,חרד,adjectives,0.75
2831,dŵr,מלח,nouns,0.75
2832,ceiniog,תשלום,nouns,1.25
2833,storm,שלג,nouns,1.6
2834,porth,דלת,nouns,3.45
2835,gwresogydd,מטרייה,nouns,0.55
2836,canolig,רע,adjectives,0.45
2837,yn amlwg,בערך,adverbs,0.6
2838,cân,סיפור,nouns,1.55
2839,disgwyl,לעזוב,verbs,0.2
2840,cymharu,לנתח,verbs,2.05
2841,llyncu,לגמוע,verbs,2.85
2842,ennill,לשלוט,verbs,2.4
2843,cynilwr,חיסכון,nouns,1.75
2844,dod,ללכת,verbs,1.05
2845,yn fras,בקוצר רוח,adverbs,0.3
2846,clogwyn,זנב,nouns,0.0
2847,llawdriniaeth,לב,nouns,0.55
2848,gorffen,לדחות,verbs,0.7
2849,anrheg,סופר,nouns,0.65
2850,fel mater o drefn,בדרך כלל,adverbs,4.15
2851,brawd,בן,nouns,1.7
2852,dyn,שומר,nouns,0.6
2853,tasg,אישה,nouns,0.0
2854,ofnus,לא בטוח,adjectives,1.75
2855,yn afreolaidd,לרוב,adverbs,0.5
2856,maint,עומק,nouns,1.55
2857,teithio,ללכת,verbs,2.25
2858,neigaredd,מלך,nouns,0.75
2859,cydweithredu,להשתתף,verbs,1.65
2860,drifftio,לזרום,verbs,3.1
2861,crebachu,להיעלם,verbs,1.95
2862,weithiau,לעיתים קרובות,adverbs,1.05
2863,neidr,לטאה,nouns,1.65
2864,gafael,לחבק,verbs,1.85
2865,pibell,גינה,nouns,0.6
2866,cael,לקחת,verbs,1.25
2867,deall,לספק,verbs,0.45
2868,bydysawd,שמיים,nouns,1.4
2869,anaeddfed,חסר אחריות,adjectives,2.1
2870,iris,אצטילכולין,nouns,0.35
2871,yn hanfodol,אנושות,adverbs,0.0
2872,gair,עיתון,nouns,1.05
2873,mynd  ,לשלוח,verbs,0.9
2874,priodfab,כלה,nouns,1.7
2875,cytundeb,חור,nouns,0.0
2876,côr,כנסייה,nouns,1.05
2877,dyn,שותף,nouns,1.2
2878,twp,פתי,adjectives,1.6
2879,trefnu,לסדר,verbs,5.4
2880,haul,שמיים,nouns,1.05
2881,car,כביש,nouns,1.1
2882,clywed,לדבר,verbs,0.85
2883,yn anaml,לעיתים קרובות,adverbs,0.6
2884,byth,שלילי,adjectives,1.1
2885,llac,גמיש,adjectives,1.25
2886,deintydd,דוקטור,nouns,4.55
2887,nerf,מעי,nouns,0.45
2888,terfyn,גבול,nouns,4.2
2889,gwraig,סנט,nouns,0.05
2890,pen,אלפבית,nouns,0.4
2891,cymdeithas,מועדון,nouns,2.75
2892,ffordd,כביש מהיר,nouns,4.15
2893,poster,נייר,nouns,1.8
2894,cywilydd,צער,nouns,1.2
2895,traethawd,שיעורי בית,nouns,1.75
2896,diod,בירה,nouns,2.15
2897,egluro,להגדיר,verbs,2.8
2898,trallod,ייאוש,nouns,3.1
2899,cadair,שרפרף,nouns,3.1
2900,rhyfelwr,גבר,nouns,1.05
2901,pren,שמיכה,nouns,0.15
2902,cyfnewid,מטבע,nouns,1.0
2903,rheoli,לעצור,verbs,0.45
2904,tywysoges,אי,nouns,0.3
2905,brwydro,לנשוך,verbs,0.65
2906,diogel,חוקי,adjectives,0.9
2907,stumog,קורס,nouns,0.0
2908,llwyddo,לנסות,verbs,1.3
2909,polyhedron,שחקן,nouns,0.6
2910,twf,דשן,nouns,1.05
2911,unigryw,הפוך,adjectives,0.15
2912,trosedd,הפרה,nouns,1.6
2913,treisgar,כועס,adjectives,1.2
2914,argyfwng,תאונה,nouns,1.85
2915,croes,נזיר,nouns,0.9
2916,brawd,אחות,nouns,2.35
2917,ffin,תחום,nouns,4.2
2918,yn amlwg,בוודאי,adverbs,3.05
2919,deiet,תפוח,nouns,0.85
2920,tywydd,ענן,nouns,1.1
2921,rheolaeth,משרה,nouns,0.8
2922,ffres,ישן,adjectives,0.5
2923,stôl,כיסא,nouns,3.1
2924,pobl,בלון,nouns,0.1
2925,blodyn,אמונה,nouns,0.0
2926,twr,פעמון,nouns,0.65
2927,casáu,לבקר,verbs,0.7
2928,gwisg,כדור,nouns,0.25
2929,chwalu,לנפץ,verbs,5.0
2930,ystafell wely,אופניים,nouns,0.15
2931,yn sicr,בברור,adverbs,3.05
2932,lemwn,תפוח,nouns,1.65
2933,annog,לדכא,verbs,0.5
2934,llyn,ענן,nouns,0.55
2935,yn gyfiawn,בבגרות,adverbs,0.55
2936,clecs,חדשות,nouns,2.5
2937,athletwr,אצן,nouns,2.6
2938,cydweithredu,להצטרף,verbs,1.2
2939,canwr,שחקן,nouns,1.45
2940,gwerthfawr,קדוש,adjectives,1.85
2941,ar ôl,לפני,adverbs,0.55
2942,dod â,לשאת,verbs,1.95
2943,gweriniaeth,דוכס,nouns,0.5
2944,dysgu,להעניש,verbs,0.55
2945,yn bennaf,לעומק,adverbs,0.65
2946,syfrdanu,לחגוג,verbs,0.65
2947,gwely,מרפאה,nouns,0.85
2948,ehangu,לגדול,verbs,4.35
2949,pen-glin,זרוע,nouns,1.1
2950,cofleidio,להחזיק,verbs,1.85
2951,aseiniad,משימה,nouns,5.15
2952,dysgu,לספוג,verbs,1.25
2953,braf,אכזרי,adjectives,0.4
2954,dde,צדק,nouns,0.55
2955,mynd  ,להתחיל,verbs,0.35
2956,gadael,להישאר,verbs,0.55
2957,tristwch,שמחה,nouns,0.75
2958,mynd o'r golwg,להיעלם,verbs,5.0
2959,yn amlwg,באופן מקומי,adverbs,0.1
2960,pennod,לילה,nouns,0.05
2961,twp,מטומטם,adjectives,5.05
2962,yn bennaf,לרוב,adverbs,3.8
2963,cyrnol,רופא,nouns,0.3
2964,chwilio,לצוד,verbs,2.2
2965,dyfarniad,משפט,nouns,2.15
2966,chwibanu,לעצור,verbs,0.15
2967,metel,אלומיניום,nouns,2.55
2968,dilyn,לרדוף,verbs,1.85
2969,menyw,מזכירה,nouns,0.85
2970,lan,חוף,nouns,2.95
2971,ymddiried,להסתמך,verbs,3.65
2972,mwtant,סוציוביולוגיה,nouns,0.5
2973,gweddïo,לתקשר,verbs,1.05
2974,dillad,מעיל,nouns,1.73
2975,meddwl,לנסות,verbs,0.4
2976,cysur,בטיחות,nouns,1.0
2977,nerf,גוף,nouns,0.65
2978,cyflogwr,עובד,nouns,1.05
2979,gwerthfawr,עצלן,adjectives,0.0
2980,rheolwr,מנהיג,nouns,3.45
2981,anghwrtais,תוקפני,adjectives,1.1
2982,tywydd,גל,nouns,0.3
2983,gwirio,להגיד,verbs,0.55
2984,pechadur,קדוש,nouns,0.8
2985,delwedd,רעיון,nouns,0.9
2986,siwmper,מעיל,nouns,1.95
2987,athro,עוזר,nouns,1.85
2988,yn ddigynnwrf,בנחישות,adverbs,0.75
2989,biliwnydd,חסר בית,nouns,0.5
2990,deiet,סלט,nouns,1.1
2991,metr,אינץ',nouns,1.45
2992,cymryd,להחזיק,verbs,1.4
2993,saws,תפוח,nouns,0.55
2994,haf,חורף,nouns,1.1
2995,tudalen,מילה,nouns,1.0
2996,amaethyddiaeth,צמח,nouns,1.15
2997,pinsio,לחבוט,verbs,0.8
2998,lleihau,לספוג,verbs,0.25
2999,afu,איבר,nouns,1.65
3000,gwddf,לשון,nouns,0.75
3001,coroni,מים,nouns,0.05
3002,hawdd,מורכב,adjectives,0.45
3003,cwrs,בטן,nouns,0.0
3004,gweithgaredd,תנועה,nouns,1.45
3005,corff,חזה,nouns,1.3
3006,trefnu,לצרוך,verbs,0.15
3007,cadw,להחזיק,verbs,2.8
3008,dechrau,להפסיק,verbs,0.5
3009,trefnu,להפוך,verbs,0.55
3010,cwmwl,אגם,nouns,0.55
3011,anhapus,משוגע,adjectives,0.6
3012,amlwg,גלוי,adjectives,2.85
3013,trafferthu,להחמיר,verbs,0.45
3014,dyn,חתיך,nouns,1.1
3015,llyfr,מאמר,nouns,1.4
3016,gwrthddadlau,לדון,verbs,3.0
3017,bàth,רעיה,nouns,0.05
3018,offeryn,כינור,nouns,1.9
3019,yn fanwl gywir,שגוי,adjectives,0.55
3020,braich,גוף,nouns,1.2
3021,darganfod,לברוח,verbs,0.45
3022,ceinder,סגנון,nouns,2.2
3023,unig,מסכן,adjectives,0.85
3024,trefn,תפריט,nouns,0.8
3025,jin,וויסקי,nouns,2.65
3026,gwadu,וידוי,nouns,0.5
3027,newydd,לא משומש,adjectives,4.15
3028,methu,לפגוע,verbs,0.55
3029,cymhwysedd,יכולת,nouns,4.25
3030,gweithiwr,מעסיק,nouns,1.05
3031,cyfnewid,תחליף,nouns,3.35
3032,modryb,אחיין,nouns,1.1
3033,creulon,נחמד,adjectives,0.4
3034,cyffredin,מדהים,adjectives,0.4
3035,sylw,מודעות,nouns,1.85
3036,gair,עמוד,nouns,1.0
3037,gwesty,דירה,nouns,0.9
3038,eisiau,להשאיל,verbs,0.2
3039,prin,מטומטם,adjectives,0.1
3040,hedyn,מטחנה,nouns,0.55
3041,rhaniad,כפל,nouns,1.35
3042,plesio,להסכים,verbs,0.85
3043,ffidil,כלי,nouns,1.9
3044,bisged,נסיכה,nouns,0.0
3045,fel arfer,באופן לא סדיר,adverbs,0.5
3046,cyfuniad,קנה סוכר,nouns,0.25
3047,goruchafiaeth,אומניפוטנטיות,nouns,2.15
3048,cynfas,מטוס,nouns,0.0
3049,gwthio,להאשים,verbs,0.25
3050,gludiog,מלוכלך,adjectives,0.75
3051,yn negyddol,באופן לא טבעי,adverbs,0.8
3052,yn heddychlon,בגאווה,adverbs,0.15
3053,crwydro,לנדוד,verbs,4.25
3054,gwasgu,לחבק,verbs,1.55
3055,disgleirdeb,כוכב,nouns,1.25
3056,mwynhau,לבדר,verbs,1.4
3057,stori,ספר,nouns,2.15
3058,gwerthu,ללכת,verbs,0.05
3059,crwydro,לעזוב,verbs,1.15
3060,llywydd,מצלמה,nouns,0.05
3061,cysylltu,להפריד,verbs,0.55
3062,senoffobia,גזענות,nouns,2.9
3063,cyfiawnhau,לטעון,verbs,1.1
3064,rhanbarth,שטח,nouns,5.0
3065,ffôn,קורבן,nouns,0.15
3066,ras,סוף שבוע,nouns,0.05
3067,pwerus,עוצמתי,adjectives,5.0
3068,hiliaeth,קסנופוביה,nouns,2.9
3069,esgus,להראות,verbs,0.7
3070,yn ddiogel,בשמחה,adverbs,0.3
3071,salad,חומץ,nouns,0.75
3072,lori,מכונית,nouns,2.25
3073,gwael,גאה,adjectives,0.15
3074,ffenestr,דלת,nouns,1.15
3075,mawr,לאומי,adjectives,0.65
3076,rhifyddeg,קצב,nouns,0.1
3077,eirlithriad,שלג,nouns,1.55
3078,cyw iâr,אורז,nouns,0.65
3079,papur,פוסטר,nouns,1.8
3080,gadael,לנדוד,verbs,1.15
3081,mwgwd,מסיבה,nouns,0.6
3082,barnu,להחליט,verbs,2.35
3083,eglwys gadeiriol,תקרה,nouns,0.45
3084,nenfwd,גג,nouns,4.1
3085,maer,נשיא,nouns,1.85
3086,clwb,חברה,nouns,2.75
3087,gwenith,דגנים,nouns,2.5
3088,nerf,מוח,nouns,0.8
3089,ymwybyddiaeth,עניין,nouns,1.85
3090,anodd,קשה,adjectives,4.4
3091,taclus,נקי,adjectives,2.65
3092,plesio,לבדר,verbs,1.3
3093,ennill,להביס,verbs,4.25
3094,carchariad,תא,nouns,1.8
3095,cymryd,לשאת,verbs,1.3
3096,ffilm,סרט,nouns,3.65
3097,archwilio,להתעלם,verbs,0.3
3098,twp,עקשן,adjectives,0.5
3099,cadair,טלסקופ,nouns,0.15
3100,hynafol,חדש,adjectives,0.5
3101,hwyl,כדורגל,nouns,0.55
3102,presenoldeb,מנצח,nouns,0.0
3103,alcohol,קוקטייל,nouns,2.1
3104,yn hawdd,בערך,adverbs,0.2
3105,clogwyn,גבעה,nouns,1.9
3106,caniatáu,לשחוק,verbs,0.05
3107,ymyriad,פשע,nouns,1.6
3108,cyfrifiadur,דיסק,nouns,0.9
3109,chwilio,לתשאל,verbs,1.3
3110,carbon,אטום,nouns,1.25
3111,awgrymu,לייעץ,verbs,3.25
3112,arbed,להושיע,verbs,5.2
3113,nofel,סופר,nouns,1.4
3114,melin,זרע,nouns,0.55
3115,penderfynu,להסיק,verbs,1.1
3116,yn greadigol,במקור,adverbs,1.05
3117,eglwys,קתדרלה,nouns,3.8
3118,hyrwyddo,להתקדם,verbs,2.05
3119,trydanol,מכני,adjectives,0.85
3120,cadw,להשאיל,verbs,0.65
3121,alcohol,ויסקי,nouns,2.25
3122,cadair,ספה,nouns,2.45
3123,darllen,לנשוך,verbs,0.0
3124,aer,הליום,nouns,2.3
3125,cyfathrebu,להתפלל,verbs,1.05
3126,gwaed,בשר,nouns,1.2
3127,styfnig,טיפש,adjectives,0.5
3128,preifat,ציבורי,adjectives,0.55
3129,crensian,לפצח,verbs,0.8
3130,menyw,פרווה,nouns,0.25
3131,argymell,לקבל,verbs,0.75
3132,uno,להינשא,verbs,3.5
3133,blwch,מעלית,nouns,0.3
3134,gwaed,גוף,nouns,1.05
3135,hawdd,קשה,adjectives,0.5
3136,euog,כן,adjectives,0.35
3137,maint,סנט,nouns,0.1
3138,blawd,לחם,nouns,1.25
3139,beirniadaeth,טיעון,nouns,1.6
3140,cychwyn,התחיל,verbs,5.6
3141,camera,עובד,nouns,0.1
3142,ffres,רחב,adjectives,0.05
3143,cyfraniad,מנחה,nouns,2.35
3144,gair,רמז,nouns,0.55
3145,tad,בת,nouns,1.1
3146,sinema,טלויזיה,nouns,1.85
3147,dygnwch,רצועה,nouns,0.1
3148,gludiog,רטוב,adjectives,0.7
3149,bwlch,סיגר,nouns,0.35
3150,ffrind,אמא,nouns,1.2
3151,dryswch,היסטריה,nouns,1.55
3152,tywod,רגל,nouns,0.3
3153,rhwygo,ללבוש,verbs,0.15
3154,mawr,גמיש,adjectives,0.2
3155,meddwl,להצדיק,verbs,2.0
3156,clyfar,מטומטם,adjectives,0.45
3157,awyr,חלום,nouns,0.5
3158,firws,דם,nouns,0.85
3159,llwm,משעמם,adjectives,3.35
3160,bronceitus,פרצטמול,nouns,0.8
3161,môr,נהר,nouns,1.7
3162,anialwch,דיונה,nouns,1.45
3163,siart,גרף,nouns,4.3
3164,ffêr,מרפק,nouns,1.4
3165,lemwn,תה,nouns,0.8
3166,banc,מושב,nouns,0.1
3167,ale,קערה,nouns,0.0
3168,bws,מונית,nouns,1.55
3169,undeb,קומבינציה,nouns,2.55
3170,ffwr,אקדח,nouns,0.05
3171,yn ddibynadwy,באופן סביל,adverbs,0.6
3172,fector,מטריצה,nouns,1.95
3173,gwneud,לקרות,verbs,1.0
3174,cosbi,ללמד,verbs,0.55
3175,mefus,דובדבן,nouns,1.5
3176,llo,שור,nouns,2.2
3177,brwydro,לחלוק,verbs,1.2
3178,cerdd,מקצב,nouns,1.65
3179,traethawd,ספר,nouns,1.2
3180,dirmygu,להאשים,verbs,0.4
3181,cul,רחב,adjectives,0.55
3182,jin,אלכוהול,nouns,2.1
3183,gwydn,ערמומי,adjectives,0.25
3184,diogelwch,נוחות,nouns,1.0
3185,gadael,להתחיל,verbs,0.5
3186,nodyn,תשלום,nouns,0.05
3187,allwedd,מנעול,nouns,1.3
3188,afu,ריאה,nouns,1.15
3189,gwaethygu,להטריח,verbs,0.45
3190,adeiladwaith,הרס,nouns,0.55
3191,nam,מערכת,nouns,0.2
3192,gwerthu,להזכיר,verbs,0.0
3193,sarhau,לפגוע,verbs,3.2
3194,amrwd,מכוער,adjectives,0.75
3195,ffensio,התעמלות,nouns,0.85
3196,beirniadol,חצוף,adjectives,1.0
3197,gostwng,להקטין,verbs,4.3
3198,cell,מעצר,nouns,1.8
3199,tasg,אי,nouns,0.0
3200,cefnfor,ים,nouns,3.75
3201,yn wir,לחלוטין,adverbs,1.15
3202,mosäig,בזיליקה,nouns,1.4
3203,anghywir,מדוייק,adjectives,0.55
3204,rhifyddeg,היגיון,nouns,1.05
3205,amsugno,ללמוד,verbs,1.25
3206,dicter,מצב,nouns,0.75
3207,nai,דודה,nouns,1.1
3208,mewnwelediad,עובדה,nouns,1.5
3209,cyhoeddi,ליידע,verbs,4.6
