ID,EST,FIN,PoS,score
2695,lugu,aihe,nouns,1.5
2696,erinevus,muistutus,nouns,0.3
2697,otsekohe,kerran,adverbs,0.15
2698,kroon,avain,nouns,0.45
2699,piiskop,muslimi,nouns,0.6
2700,lõbus,onnellinen,adjectives,3.25
2701,kerge,rankka,adjectives,0.25
2702,homme,tänä iltana,adverbs,0.5
2703,jalgratas,auto,nouns,1.1
2704,täna õhtul,tänään,adverbs,2.95
2705,intelligentsus,logiikka,nouns,2.5
2706,põhiliselt,kriittisesti,adverbs,0.9
2707,lagi,katto,nouns,3.65
2708,lõpetama,tehdä,verbs,0.9
2709,kaebama,tuoda,verbs,0.05
2710,vana,uusi,adjectives,0.55
2711,värav,voittaja,nouns,0.85
2712,teavitama,tiedottaa,verbs,5.35
2713,valik,mielipide,nouns,0.95
2714,vein,brandy,nouns,1.65
2715,lasteaed,esikoulu,nouns,2.45
2716,eelsoojendama,uudelleenlämmitys,nouns,1.2
2717,aktiivselt,passiivisesti,adverbs,0.4
2718,president,oppilas,nouns,0.4
2719,päev,aamunkoitto,nouns,1.85
2720,leht,taimi,nouns,1.05
2721,massivne,tähtitieteellinen,adjectives,2.05
2722,nüri,terävä,adjectives,0.55
2723,voodi,huone,nouns,0.8
2724,õhk,heliumi,nouns,1.2
2725,väljapääs,oviaukko,nouns,3.4
2726,kleit,tanssi,nouns,0.55
2727,intelligentne,fiksu,adjectives,5.3
2728,oluliselt,vakavasti,adverbs,1.5
2729,hotell,asunto,nouns,1.2
2730,taipama,saada selville,verbs,3.45
2731,arvuti,kone,nouns,2.6
2732,kalender,juhlapäivä,nouns,0.95
2733,ujuma,tavata,verbs,0.0
2734,troon,miekka,nouns,0.35
2735,igakuine,viikottainen,adjectives,1.25
2736,uitama,etsiä,verbs,1.2
2737,julm,ankara,adjectives,2.75
2738,puhas,sotkuinen,adjectives,0.45
2739,külm,tavallinen,adjectives,0.2
2740,lükkama,vetää,verbs,0.55
2741,laps,tyttö,nouns,2.15
2742,käekell,hame,nouns,0.1
2743,puuvijaaed,strutsi,nouns,0.0
2744,võib-olla,todennäköisesti,adverbs,2.8
2745,artikkel,kirja,nouns,1.35
2746,puu,lehti,nouns,1.3
2747,lein,tuska,nouns,2.65
2748,rahvas,juhla,nouns,0.75
2749,naerma,laulaa,verbs,0.45
2750,teesklema,otaksua,verbs,0.9
2751,kasvatama,laajentaa,verbs,3.4
2752,vastutustundetu,epäkypsä,adjectives,2.45
2753,piloot,kuljettaja,nouns,2.55
2754,naine,turkki,nouns,0.2
2755,prints,kuningas,nouns,1.95
2756,keha,vatsa,nouns,1.85
2757,rist,munkki,nouns,0.7
2758,vanem,aikuinen,nouns,3.25
2759,komistama,kaatua,verbs,2.8
2760,ekseem,dermatiitti,nouns,3.2
2761,esinema,tehdä kunniaa,verbs,0.3
2762,algama,olla peräisin,verbs,1.1
2763,täkkvarss,hevonen,nouns,3.3
2764,kael,käsivarsi,nouns,1.0
2765,silmus,vyö,nouns,0.65
2766,statistika,tennis,nouns,0.2
2767,eine,vyötärö,nouns,0.2
2768,näima,tulla,verbs,0.45
2769,kostüüm,pallo,nouns,0.7
2770,karp,hattu,nouns,0.2
2771,kuningas,prinsessa,nouns,1.45
2772,saar,prinsessa,nouns,0.0
2773,pirukas,suklaa,nouns,0.7
2774,imeline,ihana,adjectives,2.0
2775,jääma,säilyttää,verbs,1.2
2776,tulema,saapua,verbs,4.55
2777,panus,lahjoitus,nouns,1.45
2778,õnnelik,mieletön,adjectives,1.05
2779,seletama,keskustella,verbs,1.9
2780,voodi,sairaala,nouns,0.7
2781,valik,laskimo,nouns,0.05
2782,väetis,kasvu,nouns,1.1
2783,tuul,tuulenpuuska,nouns,3.55
2784,soetama,varastaa,verbs,0.95
2785,võitja,mies,nouns,0.4
2786,kaitsma,puolustaa,verbs,4.45
2787,käsipuu,aita,nouns,0.2
2788,patarei,energia,nouns,1.6
2789,nool,kohde,nouns,0.45
2790,doktor,professori,nouns,2.6
2791,poiss,partneri,nouns,1.3
2792,imeline,suurenmoinen,adjectives,3.25
2793,ebaviisakas,raaka,adjectives,1.85
2794,vaatama,tarkkailla,verbs,3.4
2795,koostööd tegema,liittyä,verbs,1.6
2796,soodne,halpa,adjectives,5.0
2797,kohalolek,poissaolo,nouns,0.65
2798,jätma,tavata,verbs,0.0
2799,kalender,päivämäärä,nouns,1.7
2800,põrand,kansi,nouns,1.05
2801,ärritama,sattua,verbs,1.35
2802,spetsiaalselt,mielekkäästi,adverbs,1.05
2803,tüdinud,tylsä,adjectives,2.05
2804,nina,pää,nouns,1.05
2805,auto,sarvi,nouns,0.5
2806,jalgratas,makuuhuone,nouns,0.05
2807,lõdisema,jäätyä,verbs,1.3
2808,iidne,uusi,adjectives,0.4
2809,auto,vene,nouns,0.85
2810,laager,kämppä,nouns,0.85
2811,suur,helppo,adjectives,0.1
2812,purustama,romahtaa,verbs,1.3
2813,võti,kruunu,nouns,0.45
2814,käsi,kynsi,nouns,1.35
2815,ebamoraalne,paha,adjectives,3.35
2816,list,ryhmä,nouns,1.0
2817,toll,jaardi,nouns,1.5
2818,hiir,kissa,nouns,1.05
2819,läbi kukkuma,onnistua,verbs,0.5
2820,pärl,raha,nouns,0.45
2821,unustama,säilyttää,verbs,0.35
2822,vajalik,keskeinen,adjectives,3.35
2823,firma,liiketoiminta,nouns,3.7
2824,piirama,supistaa,verbs,3.6
2825,kallistama,tukahduttaa,verbs,0.6
2826,issi,äiti,nouns,1.35
2827,lind,haukka,nouns,2.85
2828,tahtma,lainata,verbs,0.7
2829,tegema,luoda,verbs,3.95
2830,valima,poimia,verbs,2.9
2831,trikk,kylpy,nouns,0.0
2832,kell,ovi,nouns,0.25
2833,hirmul,ahdistunut,adjectives,2.65
2834,steik,kana,nouns,0.8
2835,paindlik,venyvä,adjectives,4.6
2836,luu,lihas,nouns,1.2
2837,valima,päättää,verbs,3.15
2838,autopasun,auto,nouns,0.5
2839,korporatsioon,pesäpallo,nouns,0.1
2840,kaotama,saada,verbs,0.15
2841,täpne,väärä,adjectives,0.3
2842,juhataja,johtaja,nouns,3.85
2843,sõnaraamat,määritelmä,nouns,1.3
2844,häbenev,onnekas,adjectives,0.1
2845,õnnelik,hyväntuulinen,adjectives,3.25
2846,võidusõit,filosofi,nouns,0.0
2847,nurjuma,turvautua,verbs,0.1
2848,popkorn,elokuvateatteri,nouns,0.75
2849,tekk,vene,nouns,0.55
2850,looma,piirtää,verbs,1.55
2851,plekkpurk,pullo,nouns,1.55
2852,väiksevõitu,kääpiömäinen,adjectives,3.6
2853,lill,pensas,nouns,1.8
2854,inimene,hahmo,nouns,3.1
2855,valjusti,pehmeästi,adverbs,0.15
2856,imlselgelt,kovakouraisesti,adverbs,0.1
2857,mees,menestyjä,nouns,0.4
2858,kaval,nokkela,adjectives,4.25
2859,luuletus,rytmi,nouns,0.95
2860,hea,mausteinen,adjectives,0.65
2861,rahulikult,rauhanomaisesti,adverbs,4.4
2862,rahutult,hermostuneesti,adverbs,4.15
2863,lipp,tanko,nouns,1.1
2864,uskumus,vaikutelma,nouns,1.45
2865,tagasi võtma,imeä itseensä,verbs,0.4
2866,närviliselt,ahdistuneesti,adverbs,4.15
2867,mast,lippu,nouns,1.1
2868,ihaldama,haluta,verbs,4.7
2869,päikesepaiste,omena,nouns,0.2
2870,dekoratsioon,seinä,nouns,0.7
2871,valik,vaalit,nouns,2.7
2872,suhtlus,kielenkäyttö,nouns,1.9
2873,pärima,ajatella,verbs,0.7
2874,kaklema,leikkiä,verbs,0.65
2875,uudised,väliaine,nouns,0.7
2876,sarnane,samannäköinen,adjectives,4.05
2877,trumm,kitara,nouns,1.45
2878,kool,arvosana,nouns,1.2
2879,põhi,puoli,nouns,0.75
2880,võtma,kantaa,verbs,0.8
2881,piim,mehu,nouns,1.2
2882,gravitatsioon,meteori,nouns,0.5
2883,vesi,suola,nouns,0.45
2884,tekk,lattia,nouns,1.05
2885,magus,sähköinen,adjectives,0.1
2886,kõrs,virsi,nouns,0.1
2887,kaaspiloot,kyttä,nouns,0.6
2888,kandma,jäytää,verbs,0.6
2889,surmavalt,eri tavalla,adverbs,0.2
2890,jalg,hiekka,nouns,0.05
2891,valimisõigus,uloskäynti,nouns,0.15
2892,imelikult,eri tavalla,adverbs,2.15
2893,lisama,kertoa,verbs,1.35
2894,parapsühholoogia,neuropsykologia,nouns,1.55
2895,küüs,pää,nouns,0.85
2896,laskuma,vetäytyä,verbs,1.05
2897,keel,lihas,nouns,1.3
2898,tita,tytär,nouns,1.8
2899,organiseeritud,sekava,verbs,0.55
2900,seltsiline,rakastaja,nouns,2.3
2901,sein,koriste,nouns,0.7
2902,saama,valmistaa,verbs,0.75
2903,haigus,infektio,nouns,2.75
2904,ülesanne,viesti,nouns,0.75
2905,tugevalt,pehmeästi,adverbs,0.5
2906,rahu,onnellisuus,nouns,1.75
2907,kohtunik,magistraatti,nouns,1.4
2908,umbes,luotettavasti,adverbs,0.2
2909,eitama,valehdella,verbs,1.1
2910,käekott,laukku,nouns,3.75
2911,korratu,järjestäytynyt,verbs,0.55
2912,juht,manageri,nouns,3.85
2913,põhiliselt,terminaalisesti,adverbs,0.15
2914,vaene,yksinäinen,adjectives,0.55
2915,ranne,käsivarsi,nouns,2.2
2916,ära ütlema,hyväksyä,verbs,0.5
2917,kombinatsioon,liitto,nouns,3.05
2918,raev,viha,nouns,4.65
2919,koguma,säästää,verbs,2.7
2920,lugema,käsittää,verbs,1.0
2921,otsima,tiedustella,verbs,1.95
2922,jaanalind,hedelmätarha,nouns,0.0
2923,harva,usein,adverbs,0.5
2924,elustiil,sivilisaatio,nouns,0.95
2925,üliõpilane,professori,nouns,1.0
2926,lammas,karja,nouns,2.15
2927,peekon,liha,nouns,3.0
2928,tormakas,vikkelä,adjectives,4.0
2929,hoidma,halata,verbs,1.95
2930,toru,sikari,nouns,0.55
2931,turvaliselt,huolellisesti,adverbs,4.2
2932,päikeseloojang,pöytä,nouns,0.05
2933,agressivne,töykeä,adjectives,2.4
2934,proovima,vakuuttaa ,verbs,0.85
2935,uskumatult,tiukasti,adverbs,0.3
2936,asjaolu,tilanne,nouns,4.0
2937,uss,haittaohjelma,nouns,1.3
2938,alkohol,olut,nouns,2.75
2939,andestama,ymmärtää,verbs,1.7
2940,sipelgas,kärpänen,nouns,1.55
2941,tuli,apokalypsi,nouns,0.5
2942,arutelu,kiista,nouns,2.3
2943,lubama,mennä,verbs,0.5
2944,abikaasa (naine),nainen,nouns,3.25
2945,rand,meri,nouns,1.45
2946,ühinema,hankkia,verbs,0.3
2947,tulema,mennä,verbs,0.75
2948,riided,vetolaatikko,nouns,0.6
2949,heaks kiitma,antaa lupa,verbs,3.05
2950,põhi,etelä,nouns,1.2
2951,kõva,rankka,adjectives,2.85
2952,pilv,järvi,nouns,0.35
2953,ilmselge,ilmeinen,adjectives,5.25
2954,teadlikkus,huomio,nouns,2.35
2955,proovima,ajatella,verbs,0.6
2956,sõna,sanakirja,nouns,1.5
2957,helilooja,kirjailija,nouns,1.35
2958,sulam,teräs,nouns,3.35
2959,abikaasa (naine),kylpy,nouns,0.0
2960,õun,mehu,nouns,1.2
2961,muutmine,korkeus,nouns,0.1
2962,lennujaam,lentokone,nouns,1.2
2963,kitsas,pitkä,adjectives,0.8
2964,paat,moottori ,nouns,0.65
2965,jäik,särkyvä,adjectives,0.4
2966,kell,torni,nouns,0.9
2967,vastandlik,uniikki,adjectives,0.7
2968,lennundus,ilmailuelektroniikka,nouns,2.3
2969,film,nihilismi,nouns,0.2
2970,matkama,kiivetä,verbs,1.75
2971,rassism,ksenofobia,nouns,4.0
2972,pottsepatöö,keraaminen esine,nouns,3.65
2973,vaidlema,vaatia,verbs,1.1
2974,haigutama,herättää,verbs,0.65
2975,vähendama,kastella,verbs,0.25
2976,nüri,hauska,adjectives,0.3
2977,jätma,ottaa,verbs,0.8
2978,vastu võtma,torjua,verbs,0.5
2979,kong,huone,nouns,1.55
2980,hape,pohja,nouns,0.5
2981,pilv,ikkuna,nouns,0.15
2982,mees,lapsi,nouns,1.15
2983,piparmünt,museo,nouns,0.0
2984,lagi,lattia,nouns,1.25
2985,seletama,todistaa,verbs,2.3
2986,haruldane,eksoottinen,adjectives,4.45
2987,imelik,kummallinen,adjectives,5.35
2988,ball,hanska,nouns,0.3
2989,kriitiliselt,olennaisesti,adverbs,0.9
2990,iste,pankki,nouns,0.2
2991,küpselt,hurskaasti,adverbs,0.6
2992,lääts,kamera,nouns,1.5
2993,skeemitaja,strategi,nouns,2.85
2994,hommikusöök,illallinen,nouns,1.4
2995,pakkumine,panos,nouns,1.45
2996,viisa,globalismi,nouns,0.75
2997,tõsine,hauska,adjectives,0.7
2998,ootama,pysyä,verbs,1.5
2999,mööbel,sänky,nouns,2.0
3000,ratsionaliseerima,kiistellä,verbs,0.7
3001,pliiats,tarina,nouns,0.45
3002,õnnelikult,kuolettavasti,adverbs,0.05
3003,tuba,rakennus,nouns,1.5
3004,jõud,mahti,nouns,3.4
3005,koidik,ase,nouns,0.05
3006,paber,pahvi,nouns,3.0
3007,terav,tylsä,adjectives,0.55
3008,osalema,kiistellä,verbs,0.25
3009,sein,linna,nouns,1.05
3010,kohv,papu,nouns,1.0
3011,nahk,pyörä,nouns,0.1
3012,preester,munkki,nouns,1.7
3013,tajuma,kuulla,verbs,2.15
3014,olukord,olosuhde,nouns,4.0
3015,jagama,yhdistää,verbs,0.85
3016,kerge,yksinkertainen,adjectives,4.35
3017,fantaasia,todellisuus,nouns,0.65
3018,jääma,saada,verbs,0.05
3019,õigus,koulu,nouns,0.3
3020,kritiseerima,vihata,verbs,1.1
3021,luu,kyynärpää,nouns,1.25
3022,saavutama,menestyä,verbs,3.15
3023,püüdma,kaapata,verbs,3.6
3024,tegema,lopettaa,verbs,0.9
3025,märkima,kritisoida,verbs,1.9
3026,ennustama,olettaa,verbs,2.3
3027,mehaanik,työläinen,nouns,2.45
3028,piire,raja,nouns,3.2
3029,tüdruk,palvelustyttö,nouns,1.85
3030,sümbol,kryptogrammi,nouns,2.0
3031,lõbu,peli,nouns,1.45
3032,medal,lenkkikengät,nouns,0.2
3033,kandma,ottaa,verbs,0.8
3034,näitleja,näyttelijätär,nouns,4.65
3035,heameelt tegema,viihdyttää,verbs,2.4
3036,ilmuma,osallistua,verbs,0.8
3037,nõrk,mausteinen,adjectives,0.0
3038,meri,ranta,nouns,1.45
3039,harilik,kummallinen,adjectives,0.55
3040,tõstma,juoda,verbs,0.4
3041,õppemaks,apuraha,nouns,0.95
3042,värske,uusi,adjectives,4.3
3043,mees,epäilty,nouns,0.6
3044,teadma,unohtaa,verbs,0.35
3045,advokaat,asianajaja,nouns,4.45
3046,võileib,lounas,nouns,1.25
3047,liigutatav,joustava,adjectives,1.4
3048,kahju,kipu,nouns,1.8
3049,kaisutama,halata,verbs,4.55
3050,torn,kello,nouns,0.9
3051,tõend,fakta,nouns,3.05
3052,kaotama,pitää,verbs,0.3
3053,äädikas,salaatti,nouns,0.45
3054,loll,fiksu,adjectives,0.55
3055,paat,puu,nouns,0.25
3056,vannituba,keittiö,nouns,1.3
3057,hindama,analysoida,verbs,3.7
3058,kitsas,hoikka,adjectives,2.95
3059,märk,lasi,nouns,0.15
3060,basiilika,mosaiikki,nouns,0.6
3061,vajama,tiedustella,verbs,0.7
3062,päike,taivas,nouns,1.25
3063,mahl,lusikka,nouns,0.4
3064,nägemine,havaintokyky,nouns,2.9
3065,kolledž,ammatti,nouns,0.55
3066,kummaline,omituinen,adjectives,5.35
3067,kaliiber,sateenvarjo,nouns,0.05
3068,puit,paperi,nouns,1.5
3069,pööraselt,surullisesti,adverbs,0.45
3070,keha,hermo,nouns,0.85
3071,lööma,ruoskia,verbs,3.0
3072,lihtne,kova,adjectives,0.25
3073,noor,onnellinen,adjectives,0.45
3074,psühholoogia,tiede,nouns,2.1
3075,minema,tulla sisään,verbs,1.1
3076,järgima,suostutella,verbs,0.5
3077,võtma,takavarikoida,verbs,2.6
3078,loobuma,tukahduttaa,verbs,0.3
3079,lahkuma,häätää,verbs,1.0
3080,kõht,vyötärö,nouns,2.85
3081,reostus,presidentti,nouns,0.05
3082,valu,haitta,nouns,1.8
3083,ilmuma,jättää,verbs,0.2
3084,hiljuti,hiljattain,adverbs,4.3
3085,rada,tunneli,nouns,0.7
3086,seersant,ase,nouns,0.6
3087,kaitsma,säästää,verbs,1.85
3088,kolb,moottori,nouns,1.7
3089,suur,kansallinen,adjectives,0.55
3090,soovima,himoita,verbs,4.7
3091,kiljuma,huutaa,verbs,3.9
3092,sõrm,varvas,nouns,1.6
3093,tunnistama,kiistää,verbs,0.55
3094,parlament,kongressi,nouns,3.35
3095,looma,valmistaa,verbs,3.95
3096,keemia,teoria,nouns,0.55
3097,otsima,katsoa,verbs,1.65
3098,vesi,jää,nouns,2.3
3099,organ,maksa,nouns,2.25
3100,mitte kunagi,rehellisesti,adverbs,0.0
3101,hävitama,tappaa,verbs,3.0
3102,köök,kylpyhuone,nouns,1.3
3103,ema,isä,nouns,1.35
3104,intelligentsus,taito,nouns,1.75
3105,nõudma,nuhdella,verbs,0.45
3106,linateos,filmi,nouns,5.2
3107,saama,lähettää,verbs,0.5
3108,kaitsma,auttaa,verbs,1.85
3109,lööma,voittaa,verbs,1.9
3110,vaene,ylpeä,adjectives,0.3
3111,selgelt,varmasti,adverbs,3.05
3112,nõbu,setä,nouns,1.8
3113,rahvahulk,paraati,nouns,1.75
3114,leib,juusto,nouns,1.3
3115,vaidlema,huutaa,verbs,1.05
3116,august,kuukausi,nouns,2.25
3117,kops,maksa,nouns,1.35
3118,hoiatama,pysähtyä,verbs,0.25
3119,rahvahulk,joukkio,nouns,5.35
3120,paindlik,helppo,adjectives,1.1
3121,tegu,kurssi,nouns,0.75
3122,uus,vanha,adjectives,0.55
3123,armee,laivasto,nouns,2.1
3124,rakett,melu,nouns,0.45
3125,veider,kummallinen,adjectives,5.5
3126,vürtsikas,hyvä,adjectives,0.65
3127,sügavalt,enimmäkseen,adverbs,0.65
3128,lõik,sivu,nouns,1.05
3129,hirmunud,ujo,adjectives,1.3
3130,tervitama,tavata,verbs,1.75
3131,naljakas,vakava,adjectives,0.7
3132,ignoreerima,tehdä tutkimusmatka,verbs,0.05
3133,anarhia,kaaos,nouns,3.25
3134,jumal,saalis,nouns,0.1
3135,kroonimine,vesi,nouns,0.1
3136,mõnikord,yhtenäisesti,adverbs,0.35
3137,müüma,lainata,verbs,0.45
3138,põlastav,halveksiva,adjectives,5.55
3139,ema,ystävä,nouns,1.5
3140,hulktahukas,näyttelijä,nouns,0.2
3141,luu,niska,nouns,1.1
3142,eellane,menneisyys,nouns,1.5
3143,õpetaja,auttaja,nouns,2.0
3144,tugevalt,virallisesti,adverbs,0.75
3145,õlg,pää,nouns,1.0
3146,rünnak,salamahyökkäys,nouns,4.0
3147,seeme,sinappi,nouns,1.1
3148,kitsas,likainen,adjectives,0.25
3149,kaabel,kappeli,nouns,0.0
3150,lennuk,helikopteri,nouns,1.95
3151,segama,kypsentää,verbs,0.65
3152,karp,sähkö,nouns,0.2
3153,korter,huonekalut,nouns,0.85
3154,tipp,kylki,nouns,0.7
3155,ruum,solu,nouns,1.55
3156,laulja,näyttelijä,nouns,1.65
3157,harmoonia,piano,nouns,0.95
3158,pudel,purkki,nouns,2.4
3159,õlg,vartalo,nouns,1.1
3160,ära tõukama,laimilyödä,verbs,1.15
3161,kombain,sokeriruoko,nouns,0.55
3162,lõvi,kissa,nouns,2.1
3163,andma,varastaa,verbs,0.3
3164,põõsas,kukka,nouns,1.8
3165,aju,hermo,nouns,1.85
3166,kerge,vaikea,adjectives,0.5
3167,korter,hotelli,nouns,1.2
3168,rõõmustav,ihmeellinen,adjectives,2.0
3169,põlgama,ladata,verbs,0.0
3170,taga ajama,seurata,verbs,4.05
3171,mull,saippuavaahto,nouns,2.35
3172,tarkus,älykkyys,nouns,4.25
3173,teostama,tulla,verbs,0.7
3174,käsivars,ranne,nouns,2.2
3175,teadlane,sairaanhoitaja,nouns,0.3
3176,siidiuss,toukka,nouns,3.1
3177,kindlus,seinä,nouns,1.05
3178,relv,aamunkoitto,nouns,0.05
3179,eksootiline,harvinainen,adjectives,4.45
3180,ebakohane,avioliiton ulkopuolinen,adjectives,0.55
3181,lihtne,vaikea,adjectives,0.55
3182,kuulsus,varallisuus,nouns,0.85
3183,kõht,makuuhuone,nouns,0.1
3184,mõtlema,järkeistää,verbs,2.35
3185,kinni püüdma,saada kiinni,verbs,3.6
3186,teater,paristo,nouns,0.2
3187,solvama,vaivata,verbs,0.95
3188,väärtus,uskomus,nouns,1.65
3189,korjandus,kehitys,nouns,0.25
3190,kampsun,paita,nouns,1.55
3191,salat,etikka,nouns,0.45
3192,laenaja,luotto,nouns,1.2
3193,lähedaselt,paikallisesti,adverbs,1.65
3194,kilp,kilpi,nouns,2.75
3195,ignoreerima,jättää,verbs,2.05
3196,ebaküps,täysikasvuinen,adjectives,0.4
3197,hommikusöök,päivällinen,nouns,1.55
3198,õhupall,kylpy,nouns,0.15
3199,keegel,keilaaja,nouns,1.65
3200,ketas,laturi,nouns,0.2
3201,looma,kuvitella,verbs,1.35
3202,uus,muinainen,adjectives,0.4
3203,rumal,tyhmä,adjectives,5.1
3204,kinematograafia,ohjaaja,nouns,1.1
3205,ebaseaduslik,lainmukainen,adjectives,0.55
3206,koheselt,pian,adverbs,3.05
3207,võõras,kääntäjä,nouns,0.5
3208,üksildane,köyhä,adjectives,0.55
3209,reaalsus,fantasia,nouns,0.65
3210,teenija,orja,nouns,2.1
3211,pädevus,valmiudet,nouns,4.3
3212,andestama,hyväksyä,verbs,2.0
3213,komm,omena,nouns,0.5
3214,male,tarkistus,nouns,0.75
3215,propageerima,edetä,verbs,2.55
3216,sessioon,potilas,nouns,0.5
3217,tegu,peli,nouns,1.3
3218,regioon,alue,nouns,3.9
3219,dermatiit,ekseema,nouns,3.2
3220,säravalt,kevyesti,adverbs,0.9
3221,valem,yhtälö,nouns,3.2
3222,külmuma,vapista,verbs,1.3
3223,kristlane,protestantti,nouns,3.45
3224,organiseerima,tulla,verbs,0.35
3225,külaline,ystävä,nouns,1.4
3226,teksad,nainen,nouns,0.15
3227,põsk,kieli,nouns,1.25
3228,lumi,myrsky,nouns,1.3
3229,taastama,korvata,verbs,0.85
3230,määrama,valita,verbs,2.7
3231,mugul,kukka,nouns,0.35
3232,loogika,laskuoppi,nouns,1.5
3233,asetäitja,virkailija,nouns,0.6
3234,loll,nokkela,adjectives,0.45
3235,sõna,fraasi,nouns,1.8
3236,püsimatu,nuori,adjectives,0.65
3237,närv,vartalo,nouns,0.85
3238,tsunaami,meri,nouns,1.2
3239,terav,mieto,adjectives,0.15
3240,korporatsioon,miehet,nouns,1.3
3241,vahepeal,usein,adverbs,0.8
3242,imepisike,valtava,adjectives,0.45
3243,saama,jäädä,verbs,0.05
3244,meelde tuletama,kertoa,verbs,1.7
3245,jõukus,köyhyys,nouns,0.7
3246,tähistama,yllättää,verbs,0.35
3247,vokalist,henkilökunta,nouns,0.4
3248,brändi,viini,nouns,1.65
3249,lennujaam,pala,nouns,0.0
3250,magistraat,tuomari,nouns,1.4
3251,lennuk,lentokenttä,nouns,1.2
3252,kaotama,epäonnistua,verbs,1.5
3253,kaneel,makeinen,nouns,0.6
3254,kodutu,miljardööri,nouns,0.55
3255,patoloogia,hematologia,nouns,1.55
3256,õun,kastike,nouns,0.55
3257,rahvas,sentti,nouns,0.1
3258,õnnelik,nuori,adjectives,0.45
3259,turvama,suojella,verbs,4.45
3260,võime,pätevyys,nouns,4.1
3261,valetama,kiistää,verbs,1.1
3262,vallutus,matka,nouns,0.75
3263,taganema,jättää,verbs,2.7
3264,madrus,kapteeni,nouns,1.95
3265,veri,virus,nouns,0.9
3266,abielluma,liittyä,verbs,1.5
3267,auto,kuorma-auto,nouns,3.15
3268,korrutamine,jakolasku,nouns,1.55
3269,ilm,pilvi,nouns,1.3
3270,torbik,kuppi,nouns,0.25
3271,mõni,pari,nouns,4.4
3272,andma,vastaanottaa,verbs,0.65
3273,palvetama,viestiä,verbs,0.5
3274,vaidlema,myöntyä,verbs,0.55
3275,täna,tänä iltana,adverbs,2.95
3276,kitarr,rumpu,nouns,1.45
3277,mesi,päiväkirja,nouns,0.15
3278,vabadus,sensuuri,nouns,0.25
3279,voodi,tuoli,nouns,1.05
3280,uskumatu,tavallinen,adjectives,0.5
3281,kordama,harjoitella,verbs,2.65
3282,sent,ihmiset,nouns,0.1
3283,karm,ovela,adjectives,0.3
3284,pink,tuoli,nouns,3.85
3285,sahtel,vaatteet,nouns,0.6
3286,ranne,käsi,nouns,2.1
3287,telefon,koju,nouns,0.6
3288,matma,kuolla,verbs,1.0
3289,tahtma,valita,verbs,1.0
3290,uhkelt,rauhanomaisesti,adverbs,0.35
3291,keel,poski,nouns,1.25
3292,lusikas,mehu,nouns,0.4
3293,patarei,teatteri,nouns,0.2
3294,veider,omituinen,adjectives,5.45
3295,küüs,käsi,nouns,1.35
3296,teekond,retki,nouns,4.65
3297,rõõm,ylpeys,nouns,1.55
3298,menüü,järjestys,nouns,0.65
3299,rikkuma,haistaa,verbs,0.05
3300,reegel,sopivuussäännöt,nouns,2.8
3301,mära,hevonen,nouns,3.25
3302,vabastama,saada kiinni,verbs,0.6
3303,rind,vartalo,nouns,2.1
3304,märk,kerho,nouns,0.4
3305,sõbralik,antelias,adjectives,2.2
3306,leedi,herra,nouns,1.0
3307,mööbel,asunto,nouns,0.85
3308,tugev,ylpeä,adjectives,0.7
3309,teema,kirja,nouns,0.72
3310,ilm,lumi,nouns,1.1
3311,negatiivne,ei koskaan,adjectives,0.9
3312,lahkelt,mukavasti,adverbs,2.95
3313,märkmik,kannettava tietokone,nouns,0.7
3314,andma,tietää,verbs,0.15
3315,minevik,edeltäjä,nouns,1.5
3316,kuluma,haalistua,verbs,0.85
3317,mõnikord,varmasti,adverbs,0.25
3318,joonistus,mellakka,nouns,0.05
3319,kurjategija,lainrikkoja,nouns,5.05
3320,printsess,morsian,nouns,0.9
3321,nahkhiir,vamppyyri,nouns,1.25
3322,suu,huuli,nouns,2.15
3323,osalema,tulla,verbs,1.5
3324,haiget tegema,potkaista,verbs,1.35
3325,heledus,tähti,nouns,1.1
3326,rahvas,ase,nouns,0.05
3327,turvaline,ikävä,adjectives,0.3
3328,kõver,suora,adjectives,0.55
3329,riie,pellava,nouns,2.4
3330,kaart,silta,nouns,0.15
3331,onupojapoliitika,kuningas,nouns,1.2
3332,märgatav,ilmiselvä,adjectives,2.95
3333,särk,neuletakki,nouns,1.55
3334,otsima,metsästää,verbs,2.1
3335,uks,ikkuna,nouns,1.25
3336,hammustama,taistella,verbs,1.05
3337,toores,ruma,adjectives,0.6
3338,voodi,makuuhuone,nouns,0.95
3339,seisund,pakti,nouns,0.1
3340,poiss,kunto,nouns,0.05
3341,heidutama,turhauttaa,verbs,2.8
3342,jalg,käsi ,nouns,1.45
3343,tunnistama,tuomita,verbs,0.8
3344,õpilane,opettaja,nouns,1.2
3345,vasikas,sonni,nouns,1.9
3346,tüütama,pahentaa,verbs,1.0
3347,vähetähtis,merkittävä,adjectives,0.5
3348,kokkuhoid,säästäjä,nouns,1.6
3349,jalg,pohja,nouns,0.35
3350,rütm,runo,nouns,0.95
3351,liit,yhdistelmä,nouns,3.05
3352,ühendama,naida,verbs,1.4
3353,tõenäoliselt,ehkäpä,adverbs,2.8
3354,tavaline,arkipäiväinen,adjectives,4.65
3355,isa,tytär,nouns,1.1
3356,oletama,teeskennellä,verbs,0.9
3357,tapma,tuhota,verbs,3.0
3358,süüdistama,moittia,verbs,3.6
3359,ballaad,laulu,nouns,3.75
