ID,SPA,SWA,PoS,score
2753,recoger,kukusanya,verbs,2.95
2754,diablo,mungu,nouns,0.3
2755,capitán,mwanamaji,nouns,1.75
2756,manta,kitanda,nouns,1.2
2757,empezar,kuacha,verbs,0.15
2758,un pan,chizi,nouns,0.3
2759,desalentar,kufeli,verbs,0.5
2760,lista,orodha,nouns,0.7
2761,combate,pambano,nouns,3.75
2762,crecimiento,ukuaji,nouns,0.45
2763,animar,kukanya,verbs,0.25
2764,cooperar,kujiunga,verbs,3.2
2765,obra de arte,mchoro,nouns,1.2
2766,escaso,adimu,adjectives,4.6
2767,temblar,kutetemeka,verbs,0.5
2768,opuesto,kinyume,adjectives,0.55
2769,cuerpo,tumbo,nouns,1.25
2770,estaño,tini,nouns,1.7
2771,poseer,kufyonza,verbs,0.55
2772,uña,mkono,nouns,0.85
2773,olvidar,kujifunza,verbs,0.2
2774,metro,inchi,nouns,1.75
2775,sobrio,makini,adjectives,0.7
2776,párrafo,herufi,nouns,0.65
2777,democracia,demokrasia,nouns,1.15
2778,fantasía,uhalisi,nouns,0.2
2779,coche,motokaa,nouns,3.35
2780,simulación,onyesho,nouns,0.45
2781,salario,hela,nouns,3.35
2782,cigarrillo,tumbaku,nouns,4.0
2783,descomposición,utengano,nouns,0.65
2784,valores,akiba,nouns,2.75
2785,habitación,kuoga,nouns,0.4
2786,estar de acuerdo,kugombana,verbs,0.4
2787,malo,wa kutisha,adjectives,1.9
2788,renunciar,kukataa,verbs,0.85
2789,chaqueta,sweta,nouns,3.1
2790,silaba,mtaala,nouns,0.3
2791,nieve,dhoruba,nouns,0.65
2792,genial,wa kutisha,adjectives,0.15
2793,discutir,kutofautiana,verbs,3.15
2794,robo,uhalifu,nouns,3.6
2795,separar,kutenganisha,verbs,0.1
2796,sucio,mwembamba,adjectives,0.0
2797,nube,hali ya hewa,nouns,1.1
2798,halcón,ndege,nouns,2.95
2799,pensar,kujaribu,verbs,0.35
2800,tragedia,kifo,nouns,2.1
2801,suavemente,kwa upole,adverbs,0.05
2802,grande,nama,adjectives,0.15
2803,uña,kidole gumba,nouns,1.5
2804,trabajo,mgawo,nouns,0.45
2805,habitación,baisikeli,nouns,0.15
2806,nerviosamente,kwa woga,adverbs,4.5
2807,extraño,wa kawaida,adjectives,0.25
2808,musgo,nyasi,nouns,1.8
2809,carreras,mbio,nouns,0.15
2810,sacudir,kutikisa,verbs,1.43
2811,llorar,kulia,verbs,2.6
