ID,CYM,YUE,PoS,score
2838,ymadael,等待,verbs,0.0
2839,diflas,好笑,adjectives,0.1
2840,sanctaidd,珍貴,adjectives,1.39
2841,crio,大笑,verbs,0.15
2842,gwerthfawr,特別,adjectives,1.36
2843,archwilio,發現,verbs,2.42
2844,anwybodus,頻繁,adjectives,0.04
2845,dawnsio,裙,nouns,0.15
2846,yn realistig,理想地,adverbs,0.49
2847,brandi,酒,nouns,2.97
2848,gwenynen,女王,nouns,0.05
2849,lleuad,行星,nouns,2.42
2850,beiddgar,自豪,adjectives,1.38
2851,drws,走廊,nouns,0.33
2852,dirmygu,收費,verbs,0.0
2853,maddau,接受,verbs,0.82
2854,anniben,井然有序,adjectives,0.14
2855,gwarcheidwad,成人,nouns,2.06
2856,drws,窗,nouns,0.77
2857,doler,人,nouns,0.0
2858,siaced,針織套衫,nouns,2.31
2859,pen,字母,nouns,0.0
2860,eisiau,慾望,verbs,4.07
2861,trwyn,頭,nouns,0.54
2862,bysellfwrdd,光,nouns,0.09
2863,sioe,數學家,nouns,0.04
2864,urddas,徽章,nouns,0.28
2865,wastad,兩次,adverbs,0.34
2866,pobl,派對,nouns,0.86
2867,cyflym,迅速,adjectives,5.38
2868,bàth,戲法,nouns,0.04
2869,deilen,幼苗,nouns,1.15
2870,bowlen,碟,nouns,1.83
2871,swydd,任務,nouns,3.14
2872,cyfraith,學校,nouns,0.33
2873,pêl-foli,球,nouns,2.79
2874,dod i feddiant,取得,verbs,4.32
2875,clwb,標識,nouns,0.04
2876,benthyg,想要,verbs,0.19
2877,cwrs,肚,nouns,0.0
2878,car,廠,nouns,0.05
2879,brwnt,狹窄,adjectives,0.0
2880,llygad,眉頭,nouns,0.78
2881,yn bennaf,深深地,adverbs,0.56
2882,sgol,風,nouns,2.67
2883,canu,浮動,verbs,0.0
2884,gwythïen,容器,nouns,0.23
2885,cytuno,接受,verbs,3.35
2886,yn wir,重要地,adverbs,0.57
2887,pinsio,用拳猛擊,verbs,0.87
2888,cwmwl,薄霧,nouns,2.83
2889,dibynnu ar,依靠,verbs,4.32
2890,band,耐力,nouns,0.0
2891,gwely,椅子,nouns,1.21
2892,brysio,趕,verbs,4.93
2893,testun,書,nouns,1.0
2894,mosäig,教堂,nouns,0.35
2895,yn ofalus,安全地,adverbs,2.59
2896,yn gwrtais,謹慎地,adverbs,0.59
2897,cymeriad,人,nouns,3.68
2898,dygnwch,樂隊,nouns,0.0
2899,siarcol,煤,nouns,3.28
2900,banciwr,律師,nouns,1.27
2901,diymadferth,脆弱,adjectives,1.75
2902,yn amlwg,大致,adverbs,0.75
2903,yn gain,美麗地,adverbs,3.13
2904,cig eidion,家牛,nouns,2.59
2905,yn weithredol,準確地,adverbs,0.95
2906,gweithiwr,雇主,nouns,0.57
2907,gogledd,西方,nouns,0.6
2908,miliwnydd,元,nouns,0.53
2909,cyfuno,混合,verbs,3.56
2910,hurt,聰明,adjectives,0.04
2911,heb ei ddefnyddio,新,adjectives,4.38
2912,gwynt,颮,nouns,2.67
2913,gwerthfawr,懶,adjectives,0.04
2914,cymysgu,煮,verbs,0.63
2915,chwyrnu,醒覺,verbs,0.05
2916,yn gyfan gwbl,輕微,adverbs,0.1
2917,ymbarél,暖爐,nouns,0.04
2918,swil,害怕,adjectives,2.23
2919,dal,追逐,verbs,0.93
2920,confensiwn,規則,nouns,2.81
2921,gorffen,休會,verbs,0.39
2922,cyfreithiwr,檢察官,nouns,3.27
2923,brawdgarwch,男人,nouns,1.55
2924,nyrs,科學家,nouns,0.24
2925,rasio,哲學家,nouns,0.09
2926,yn fawr,明亮地,adverbs,0.55
2927,injan,摩打,nouns,4.22
2928,twp,輕信,adjectives,1.0
2929,goroesi,生活,verbs,3.52
2930,tsunami,海,nouns,1.67
2931,dosbarthu,攞,verbs,0.65
2932,beichio,哭,verbs,4.54
2933,cyfathrebu,祈禱,verbs,0.54
2934,sigarét,煙草,nouns,3.27
2935,car,橋,nouns,0.29
2936,archwilio,無視,verbs,0.05
2937,ceffyl,小馬,nouns,3.63
2938,trwyn,嘴巴,nouns,0.43
2939,yn agored i niwed,無助,adjectives,1.75
2940,dyfarniad,審判,nouns,2.5
2941,beirniadu,討厭,verbs,0.73
2942,dwyn,給,verbs,0.1
2943,cyntedd,課堂,nouns,0.2
2944,dôl,草原,nouns,3.53
2945,wal,磚,nouns,1.01
2946,malware,蠕蟲,nouns,0.09
2947,dyfalu,刺激,verbs,0.18
2948,damwain,書,nouns,0.0
2949,dŵr,鹽,nouns,0.2
2950,yn beryglus,小心地,adverbs,0.14
2951,canser,疾病,nouns,3.37
2952,yn hyfryd,優雅地,adverbs,3.13
2953,aderyn,火雞,nouns,2.39
2954,gên,骨頭,nouns,1.46
2955,drôr,衣服,nouns,0.53
2956,lwcus,慚愧,adjectives,0.04
2957,gwyddoniaeth,心理學,nouns,1.45
2958,rhoi,收到,verbs,0.23
2959,pennod,尾巴,nouns,0.04
2960,cnoi,讀,verbs,0.09
2961,brwydro,玩,verbs,0.28
2962,twyll,貪污,nouns,0.96
2963,atodi,加入,verbs,0.96
2964,brenin,王子,nouns,1.73
2965,anystwyth,簡單,adjectives,0.0
2966,gludiog,脏,adjectives,0.57
2967,gwaethygu,打稿,verbs,0.35
2968,gwefus,嘴巴,nouns,3.12
2969,arbed,淹,verbs,0.1
2970,rhannu,加,verbs,0.41
2971,pennod,晚上,nouns,0.0
2972,stopio,哨,verbs,0.18
2973,o bosibl,樂觀地,adverbs,0.93
2974,cadair,凳子,nouns,3.63
2975,awdur,讀者,nouns,0.38
2976,yn hapus,死氣沈沈的,adverbs,0.04
2977,person,人物,nouns,3.68
2978,bagiau,環球航行,nouns,0.23
2979,yn swyddogol,強烈地,adverbs,0.42
2980,troi allan,空出,verbs,0.29
2981,ofnus,害羞,adjectives,2.23
2982,seren,行星,nouns,2.15
2983,digwydd,做,verbs,0.44
2984,llwyddo,節約,verbs,0.05
2985,rhoi,保持,verbs,0.14
2986,clo,鎖匙,nouns,1.05
2987,beic,汽車,nouns,1.33
2988,dod â,來,verbs,2.13
2989,hollalluogrwydd,霸權,nouns,1.27
2990,gwael,可怕,adjectives,0.49
2991,ar unwaith,不久,adverbs,1.37
2992,wedi'i goginio,水煮,adjectives,1.47
2993,digid,細胞質,nouns,0.0
2994,bisged,公主,nouns,0.0
2995,arloeswr,射手,nouns,0.1
2996,lan,海岸,nouns,2.94
2997,pennu,預測,verbs,0.45
2998,cadw,忘記,verbs,0.04
2999,llaw,指甲,nouns,0.86
3000,yn uchel,輕輕的,adverbs,0.14
3001,ton,天氣,nouns,0.04
3002,yn hael,從未,adverbs,0.04
3003,yn anhygoel,緊緊地,adverbs,0.14
3004,diwylliant,社會,nouns,0.92
3005,brenin,裙帶關係,nouns,0.2
3006,pwysig,必須,adjectives,3.19
3007,rhyddid,審查,nouns,0.1
3008,yn enfawr,公開地,adverbs,0.53
3009,cynorthwyo,問,verbs,0.15
3010,bioleg,群落生境,nouns,0.34
3011,gwrthod,接受,verbs,0.14
3012,gwenynen,螞蟻,nouns,1.27
3013,yn gyflym,紧急,adverbs,4.41
3014,rhyfedd,奇怪,adjectives,3.81
3015,deallus,笨,adjectives,0.28
3016,curo,混合,verbs,0.55
3017,methu,使氣餒,verbs,0.33
3018,bygythiad,危險,nouns,3.98
3019,coleg,級數,nouns,0.65
3020,parti,面具,nouns,0.29
3021,penwythnos,星期,nouns,2.21
3022,deintydd,正牙醫生,nouns,4.22
3023,nenfwd,地板,nouns,0.23
3024,yn ddiamynedd,大致,adverbs,0.38
3025,gallu,力量,nouns,2.49
3026,socer,足球,nouns,5.54
3027,egluro,澄清,verbs,3.92
3028,gwawdlyd,輕蔑,adjectives,3.81
3029,disgleirdeb,星,nouns,1.82
3030,cyfathrebu,語言,nouns,1.63
3031,yn ddelfrydol,現實地,adverbs,0.49
3032,methdaliad,失敗,nouns,0.95
3033,hofrennydd,飛機,nouns,2.69
3034,gwraig,先生,nouns,0.71
3035,gwddf,舌頭,nouns,0.7
3036,ymdrechu,阻礙,verbs,0.15
3037,meddyg,教授,nouns,0.62
3038,ufuddhau,懲罰,verbs,0.34
3039,twrci,鳥,nouns,2.39
3040,seremoni,慶祝,nouns,2.37
3041,tân,大災變,nouns,0.48
3042,dyn,勝利者,nouns,0.28
3043,dŵr,冰,nouns,2.04
3044,anghytuno,搏鬥,verbs,0.45
3045,dyn,叔叔,nouns,1.64
3046,esgus,似乎,verbs,0.33
3047,lladrad,犯罪,nouns,2.73
3048,asgwrn cefn,身體,nouns,0.57
3049,apocalyps,火,nouns,0.48
3050,yn hyderus,偷偷,adverbs,0.15
3051,cludo,運送,verbs,3.04
3052,babi,女兒,nouns,1.5
3053,batri,能量,nouns,2.63
3054,brifo ,跌,verbs,0.98
3055,log,沖涼,nouns,0.0
3056,gwresogydd,遮,nouns,0.04
3057,glaw,冰雹,nouns,1.36
3058,twll,協議,nouns,0.0
3059,sigâr,煙鬥,nouns,0.48
3060,llynges,島,nouns,0.1
3061,amddiffyn,殺,verbs,0.3
3062,gwallgof,開心,adjectives,0.5
