ID,EST,YUE,PoS,score
2889,hea,辣,adjectives,0.6
2890,sõitma,停,verbs,0.34
2891,osuti,幻灯片,nouns,0.18
2892,ilm,雪,nouns,0.92
2893,pilv,霧,nouns,1.6
2894,lahutama,失去,verbs,1.88
2895,tööline,辦公室,nouns,0.53
2896,kaart,廣場,nouns,0.43
2897,ots,章,nouns,0.1
2898,ohutus,安慰,nouns,0.7
2899,kindlalt,當然,adverbs,4.38
2900,nüri,尖,adjectives,0.44
2901,pakk,貨車,nouns,0.74
2902,müüma,借,verbs,0.34
2903,õun,檸檬,nouns,0.87
2904,merevägi,軍隊,nouns,2.98
2905,värav,赢家,nouns,0.58
2906,saama,出現,verbs,0.48
2907,lina,布,nouns,2.75
2908,homme,今晚,adverbs,0.29
2909,mahl,牛奶,nouns,0.78
2910,nina,嘴巴,nouns,0.79
2911,müksama,碰撞,verbs,3.69
2912,šerif,警察,nouns,3.62
2913,loogika,算術,nouns,2.08
2914,hävitama,殺,verbs,2.54
2915,toetaja,蟋蟀,nouns,0.04
2916,relv,大炮,nouns,2.25
2917,mikroskoop,生物學家,nouns,0.96
2918,hotell,公寓,nouns,1.5
2919,sõber,老師,nouns,1.05
2920,tunnistama,接受,verbs,3.15
2921,arutelu,爭論,nouns,3.37
2922,liigutatav,靈活,adjectives,2.41
2923,vallutus,旅程,nouns,0.59
2924,kallas,海岸,nouns,3.29
2925,sõna,習語,nouns,1.55
2926,auto,貨車,nouns,2.73
2927,ülesanne,女人,nouns,0.1
2928,lõpetama,完成,verbs,1.31
2929,hoidma,保留,verbs,3.91
2930,vaip,屋,nouns,0.53
2931,otsustama,描繪,verbs,0.2
2932,pöörane,高興,adjectives,0.57
2933,närv,身體,nouns,0.63
2934,silm,眼淚,nouns,1.02
2935,hävitama,做,verbs,0.54
2936,seelik,手錶,nouns,0.19
2937,kahtlusalune,男人,nouns,0.63
2938,suurus,量,nouns,3.52
2939,nõustuma,拗撬,verbs,0.35
2940,sõna,頁,nouns,0.63
2941,krediit,借款人,nouns,0.98
2942,entsüklopeedia,字典,nouns,2.28
2943,looma,畫,verbs,0.88
2944,hukka mõistma,拒絕,verbs,0.49
2945,kuju,雕塑,nouns,4.58
2946,märkima,批評,verbs,2.21
2947,kõht,身體,nouns,2.03
2948,värske,舊,adjectives,0.1
2949,lai,窄小,adjectives,0.34
2950,sõjamees,男人,nouns,1.4
2951,tegema,成為,verbs,2.21
2952,pihk,手指,nouns,1.18
2953,rahuldama,理解,verbs,0.1
2954,kõva,强硬,adjectives,3.33
2955,tajuma,聽,verbs,1.51
2956,ebatäpselt,精確地,adverbs,0.29
2957,deemant,錢,nouns,1.01
2958,mahl,匙羹,nouns,0.48
2959,normaalselt,常規地,adverbs,3.06
2960,film,劇院,nouns,1.64
2961,raputama,收集,verbs,0.05
2962,käsivars,腿,nouns,0.98
2963,ala,地帶,nouns,4.3
2964,aritmeetika,邏輯,nouns,2.08
2965,dekoratsioon,牆壁,nouns,0.68
2966,jooksja,運動員,nouns,3.35
2967,karp,電,nouns,0.2
2968,koidik,槍,nouns,0.05
2969,kena,大方,adjectives,2.15
2970,pahavara,蠕蟲,nouns,0.44
2971,põhiliselt,末期,adverbs,0.04
2972,putukas,農藥,nouns,0.92
2973,armee,班,nouns,0.65
2974,lamp,精靈,nouns,0.49
2975,keel,溝通,nouns,1.58
2976,kuningas,統治者,nouns,4.43
2977,näidik,車,nouns,0.6
2978,katse,測試,nouns,4.33
2979,vägivaldne,柔軟,adjectives,0.0
2980,romaan,作家,nouns,0.88
2981,teravili,小麥,nouns,3.09
2982,rahvas,槍,nouns,0.33
2983,sild,卡,nouns,0.15
2984,siiralt,認真地,adverbs,2.54
2985,teemaviide,話題,nouns,3.12
2986,raske,容易,adjectives,0.29
2987,sünnipäev,日期,nouns,1.96
2988,igapäevane,普通,adjectives,4.95
2989,legaalne,安全,adjectives,1.46
2990,märg,黏,adjectives,1.68
2991,ilukirjandus,傳記,nouns,1.57
2992,elekter,案件,nouns,0.2
2993,liha,煙肉,nouns,2.72
2994,pikk,狹窄,adjectives,0.77
2995,valelik,壞,adjectives,1.75
2996,programm,食物,nouns,0.15
2997,tavaline,平凡,adjectives,4.95
2998,sisenev,向外,adjectives,0.39
2999,purustamine,建造,nouns,0.58
3000,nädalavahetus,星期,nouns,2.11
3001,film,虛無主義,nouns,0.29
3002,tuntud,國民,adjectives,0.5
3003,moslem,主教,nouns,0.54
3004,iseseisvalt,負責可靠地,adverbs,1.44
3005,tase,得分,nouns,1.32
3006,struktuur,拓撲,nouns,0.8
3007,vara,股票,nouns,3.08
3008,keskpärane,悶,adjectives,2.81
3009,patoloogia,血液學,nouns,1.97
3010,intelligentsus,技巧,nouns,1.9
3011,vale,精確,adjectives,0.39
3012,pea,腳,nouns,0.58
3013,eraldama,連接,verbs,0.15
3014,nautima,娛樂,verbs,1.79
3015,võitja,男人,nouns,0.43
3016,papp,紙,nouns,2.67
3017,õun,飲食,nouns,0.57
3018,õun,果汁,nouns,1.21
3019,teadma,相信,verbs,1.18
3020,ilmselge,顯著的,adjectives,4.25
3021,onu,姨媽,nouns,0.97
3022,vastupidavus,樂隊,nouns,0.15
3023,astronoom,星系,nouns,1.69
3024,vabariik,公爵,nouns,0.53
3025,laenama,欠,verbs,0.72
3026,laenama,想要,verbs,0.39
3027,rong,電車,nouns,2.32
3028,mesilane,昆蟲,nouns,3.13
3029,alustama,戒除,verbs,0.34
3030,tapma,掐死,verbs,3.17
3031,auto,廠,nouns,0.25
3032,tuntud,好,adjectives,0.8
3033,entroopia,信息,nouns,0.84
3034,krokodill,蜥蜴,nouns,2.3
3035,uhkelt,謙遜地,adverbs,0.43
3036,ruut,地圖,nouns,0.43
3037,tuul,颮,nouns,2.76
3038,mõõk,環境,nouns,0.0
3039,riided,布,nouns,2.14
3040,neuropsühholoogia,通靈研究,nouns,0.7
3041,käsi,腳,nouns,1.66
3042,ülesanne,作業,nouns,2.78
3043,peapiiskop,主教,nouns,4.0
3044,haigusetekitaja,病菌,nouns,3.46
3045,veider,古怪,adjectives,5.62
3046,vangla,酒吧,nouns,0.74
3047,surm,災難,nouns,1.35
3048,minevik,前情,nouns,2.25
3049,vastandlik,其他,adjectives,0.34
3050,purjus,清醒,adjectives,0.39
3051,helilooja,作家,nouns,1.79
3052,võti,鎖,nouns,1.25
3053,basiilika,馬賽克,nouns,0.35
3054,lugu,書,nouns,2.5
3055,vaidlema,不同,verbs,0.69
3056,harima,學習,verbs,2.9
3057,puusüsi,煤,nouns,2.98
3058,uss,惡意軟件,nouns,0.44
3059,saatma,出席,verbs,0.44
3060,kõht,睡房,nouns,0.15
3061,laviin,雪,nouns,1.98
3062,kursor,微晶片,nouns,0.24
3063,kokkulepe,契約,nouns,4.26
3064,veider,正常,adjectives,0.39
3065,rada,隧道,nouns,0.86
3066,näitleja,多面體,nouns,0.43
3067,janune,飢餓,adjectives,2.04
3068,huul,臀部,nouns,0.39
3069,loll,愚笨,adjectives,5.09
3070,rannik,小炮艦,nouns,0.39
3071,edu saavutama,嘗試,verbs,0.79
3072,vabadus,綠洲,nouns,0.35
3073,vastupidavus,花朵,nouns,0.2
3074,makse,硬幣,nouns,0.97
3075,sonett,美,nouns,0.35
3076,jalgpall,有趣,nouns,0.58
3077,täpselt,精確地,adverbs,4.96
3078,väljapääs,門口,nouns,3.38
3079,õpetaja,教練,nouns,3.44
3080,kõrs,妻子,nouns,0.0
