ID,ENG,SPA,PoS,score
3041,absorb,poseer,verbs,0.69
3042,silently,pasivamente,adverbs,1.12
3043,rice,frijol,nouns,0.94
3044,bulb,flor,nouns,1.14
3045,completely,puramente,adverbs,2.3
3046,theorem,teoría,nouns,4.41
3047,proper,cortés,adjectives,2.99
3048,go,enviar,verbs,0.51
3049,hurt,molestar,verbs,1.21
3050,recommend,aceptar,verbs,0.4
3051,beat,mezclar,verbs,0.15
3052,big,ancho,adjectives,2.26
3053,failure,bancarrota,nouns,1.68
3054,mayor,presidente,nouns,1.74
3055,winter,verano,nouns,0.49
3056,judge,magistrado,nouns,3.79
3057,look,buscar,verbs,4.33
3058,salary,dinero,nouns,3.24
3059,beach,arrecife,nouns,1.15
3060,racism,xenofobia,nouns,4.26
3061,leave,tomar,verbs,0.24
3062,rain,niebla,nouns,1.29
3063,home,lejos,adverbs,0.21
3064,threat,peligro,nouns,4.48
3065,die,desintegrarse,verbs,0.51
3066,fog,nube,nouns,2.58
3067,insight,hecho,nouns,1.18
3068,add,unirse,verbs,2.79
3069,rock,mía,nouns,0.27
3070,steal,adquirir,verbs,1.04
3071,purgatory,más allá,nouns,2.66
3072,always,dos veces,adverbs,0.13
3073,comfort,humillar,verbs,0.04
3074,fact,visión,nouns,1.18
3075,never,honestamente,adverbs,0.1
3076,great,brillante,adjectives,3.65
3077,brain,nervio,nouns,0.77
3078,sky,sol,nouns,0.81
3079,advise,sugerir,verbs,3.96
3080,calendar,vacaciones,nouns,0.71
3081,rain,granizo,nouns,1.58
3082,television,guionista,nouns,0.82
3083,ask,ayudar,verbs,0.41
3084,dune,desierto,nouns,2.06
3085,conclude,decidir,verbs,2.69
3086,bicycle,coche,nouns,0.65
3087,jail,elección,nouns,0.15
3088,construct,destruir,verbs,0.14
3089,opposite,único,adjectives,0.98
3090,think,recuerda,verbs,1.27
3091,proud,triste,adjectives,0.05
3092,fake,real,adjectives,0.09
3093,bridge,tarjeta,nouns,0.0
3094,muscle,lengua,nouns,1.81
3095,breakfast,cena,nouns,0.54
3096,inspect,examinar,verbs,4.95
3097,corner,zona,nouns,0.61
3098,tin,aluminio,nouns,1.4
3099,avalanche,nieve,nouns,1.52
3100,arrive,salir,verbs,0.24
3101,fall,tropezar,verbs,3.51
3102,safely,felizmente,adverbs,0.33
3103,control,detener,verbs,0.77
3104,sweater,chaqueta,nouns,2.57
3105,therapy,behaviorismo,nouns,0.88
3106,hotel,apartamento,nouns,0.98
3107,snake,lagartija,nouns,1.29
3108,church,coro,nouns,0.79
3109,roof,techo,nouns,4.25
3110,friendly,generoso,adjectives,1.5
3111,justice,tribunal,nouns,2.3
3112,bed,habitación,nouns,0.84
3113,doctor,templar,nouns,0.15
3114,smash,demoler,verbs,2.84
3115,go,viajar,verbs,2.52
3116,lizard,serpiente,nouns,1.29
3117,task,mujer,nouns,0.1
3118,electric,dulce,adjectives,0.0
3119,zinc,oro,nouns,0.96
3120,straw,himno,nouns,0.05
3121,salad,dieta,nouns,0.93
3122,author,lector,nouns,0.71
3123,twice,siempre,adverbs,0.13
3124,deteriorate,limpiar,verbs,0.2
3125,weather,ola,nouns,0.3
3126,spoon,jugo,nouns,0.1
3127,allow,dar,verbs,0.6
3128,critical,grosero,adjectives,0.88
3129,woman,secretario,nouns,0.24
3130,achieve,recibir,verbs,0.19
3131,bury,morir,verbs,0.89
3132,combine,mezcla,verbs,4.3
3133,fake,artificial,adjectives,4.13
3134,once,dos veces,adverbs,0.75
3135,elect,nombrar,verbs,3.37
3136,cyclone,tifón,nouns,4.38
3137,spicy,débiles,adjectives,0.0
3138,book,biblia,nouns,1.77
3139,fever,gripe,nouns,2.06
3140,want,desear,verbs,5.11
3141,happiness,tristeza,nouns,0.44
3142,engage,casar,verbs,1.02
3143,belly,abdomen,nouns,4.0
3144,find,adquirir,verbs,1.82
3145,door,bodega,nouns,0.19
3146,wealth,pobreza,nouns,0.22
3147,nose,cabeza,nouns,0.64
3148,advance,promover,verbs,2.39
3149,uniform,tejer,nouns,0.15
3150,bowl,callejón,nouns,0.04
3151,mountain,repisa,nouns,0.47
3152,alien,forastero,nouns,1.77
3153,exchange,moneda,nouns,1.49
3154,manuscript,libro,nouns,2.91
3155,rarely,generalmente,adverbs,0.17
3156,monastery,ducha,nouns,0.0
3157,write,garabatear,verbs,1.85
3158,sad,terrible,adjectives,1.02
3159,cotton,poliéster,nouns,1.13
3160,payment,cuota,nouns,3.79
3161,oat,campo,nouns,0.35
3162,uniformly,a veces,adverbs,0.1
3163,precise,incorrecto,adjectives,0.05
3164,clothed,cubierto,adjectives,2.92
3165,drunk,sobrio,adjectives,0.14
3166,passion,emoción,nouns,2.86
3167,orthodontist,médico,nouns,1.71
3168,cabin,choza,nouns,2.04
3169,gulp,sorber,verbs,1.92
3170,lazy,precioso,adjectives,0.0
3171,give,recibir,verbs,0.19
3172,strange,raro,adjectives,5.46
3173,shy,asustado,adjectives,1.84
3174,compiler,subrutina,nouns,0.71
3175,hand,pie,nouns,1.05
3176,stop,prohibir,verbs,2.97
3177,cage,bar,nouns,0.46
3178,candy,manzana,nouns,0.29
3179,honestly,nunca,adverbs,0.1
3180,frigid,frágil,adjectives,0.05
3181,negative,nunca,adjectives,0.96
3182,search,deambular,verbs,0.83
3183,array,lista,nouns,0.91
3184,hose,jardín,nouns,0.33
3185,listen,aprender,verbs,0.89
3186,horn,coche,nouns,0.46
3187,image,idea,nouns,1.19
3188,officially,fuertemente,adverbs,0.15
3189,entropy,información,nouns,0.79
3190,firmly,tranquilamente,adverbs,0.71
3191,sword,ambiente,nouns,0.05
3192,harmony,piano,nouns,0.27
3193,loyally,honestamente,adverbs,2.3
3194,spine,cuello,nouns,1.02
3195,tradition,artesanía,nouns,0.91
3196,structure,topología,nouns,1.71
3197,crude,feo,adjectives,0.71
3198,alcohol,whisky,nouns,1.71
3199,partner,niño,nouns,0.28
3200,bus,taxi,nouns,1.54
3201,fight,discrepar,verbs,1.39
3202,withdraw,rechazar,verbs,1.15
3203,meaningfully,profundamente,adverbs,2.94
3204,wife,bañera,nouns,0.1
3205,cheek,lengua,nouns,0.54
3206,animal,persona,nouns,0.51
3207,lend,dar,verbs,2.45
3208,brandy,vino,nouns,1.49
3209,forget,saber,verbs,0.14
3210,promote,avanzar,verbs,2.39
3211,asteroid,estrella,nouns,2.12
3212,needy,impotente,adjectives,1.61
3213,break,agrietar,verbs,2.63
3214,optimistically,posiblemente,adverbs,0.59
3215,passively,silenciosamente,adverbs,1.12
3216,rabbit,gato,nouns,0.76
3217,radar,palanca de mando,nouns,0.32
3218,ice,agua,nouns,1.33
3219,arrogant,orgulloso,adjectives,3.59
3220,senate,constitución,nouns,0.81
3221,soft,violento,adjectives,0.1
3222,chaos,anarquía,nouns,3.38
3223,ride,barajar,verbs,0.3
3224,tear,ojo,nouns,0.57
3225,straight,curvo,adjectives,0.22
3226,cockpit,copiloto,nouns,0.46
3227,proper,formal,adjectives,3.38
3228,proudly,humildemente,adverbs,0.32
3229,multiplication,división,nouns,0.68
3230,person,personaje,nouns,2.67
3231,coin,pago,nouns,1.67
3232,book,accidente,nouns,0.1
3233,song,historia,nouns,0.35
3234,cabin,campamento,nouns,0.84
3235,strange,ordinario,adjectives,0.14
3236,boy,hermano,nouns,1.69
3237,bridge,coche,nouns,0.1
3238,secretly,con confianza,adverbs,0.82
3239,borrow,mendigar,verbs,1.23
3240,cardigan,camisa,nouns,1.06
3241,strength,capacidad,nouns,2.6
3242,decoration,sobre,nouns,0.05
3243,root,hierba,nouns,0.91
3244,neutral,calma,adjectives,1.36
3245,aunt,sobrino,nouns,0.41
3246,ball,disfraz,nouns,0.1
3247,ashamed,suerte,adjectives,0.0
3248,listen,entender,verbs,1.09
3249,astronomer,galaxia,nouns,1.07
3250,different,normal,adjectives,0.1
3251,mother,esposa,nouns,1.94
3252,exit,puerta,nouns,1.96
3253,spirit,dios,nouns,1.91
3254,new,antiguo,adjectives,0.14
3255,tomorrow,esta noche,adverbs,0.32
3256,hear,escuchar,verbs,4.67
3257,helicopter,avión,nouns,1.26
3258,happy,contento,adjectives,4.68
3259,salad,vinagre,nouns,0.59
3260,learn,educar,verbs,1.16
3261,poorly,humildemente,adverbs,0.29
3262,covered,vestido,adjectives,2.92
3263,note,pago,nouns,0.66
3264,peninsula,isla,nouns,1.37
3265,save,destruir,verbs,0.05
3266,come,traer,verbs,0.34
3267,fun,fútbol,nouns,0.6
3268,rabbi,profesor,nouns,1.26
3269,number,dígito,nouns,5.03
3270,hip,labio,nouns,0.29
3271,weekly,mensual,adjectives,0.64
3272,people,centavo,nouns,0.05
3273,lizard,cocodrilo,nouns,2.3
3274,syntax,palabra principal,nouns,0.64
3275,frigid,áspero,adjectives,0.4
3276,kidnap,robar,verbs,1.73
3277,borrow,mantener,verbs,0.22
3278,away,a casa,adverbs,0.21
3279,meat,pan,nouns,0.29
3280,ant,volar,nouns,0.56
3281,bathroom,habitación,nouns,1.06
3282,reduce,empapar,verbs,0.0
3283,horn,tambor,nouns,0.51
3284,plead,complacer,verbs,0.66
3285,alloy,acero,nouns,1.86
3286,rationalize,pensar,verbs,3.55
3287,statue,escultura,nouns,5.11
3288,deny,mentir,verbs,1.17
3289,wrist,brazo,nouns,1.11
3290,foot,arena,nouns,0.2
3291,soon,inmediatamente,adverbs,3.55
3292,acetaminophen,bronquitis,nouns,0.44
3293,believe,sentir,verbs,2.14
3294,bread,queso,nouns,0.28
3295,television,actor,nouns,0.34
3296,athlete,corredor,nouns,2.76
3297,room,bañera,nouns,0.42
3298,escape,encontrar,verbs,0.15
3299,molecule,aire,nouns,0.72
3300,complain,discutir,verbs,2.2
3301,hail,lluvia,nouns,1.58
3302,string,puesta de sol,nouns,0.0
3303,wrist,mano,nouns,1.76
3304,mask,partido,nouns,0.15
3305,locally,obviamente,adverbs,0.0
3306,proof,hecho,nouns,2.37
3307,colonel,dentista,nouns,0.19
3308,divide,añadir,verbs,0.3
3309,portray,notificar,verbs,0.3
3310,hat,caja,nouns,0.19
3311,well,conocido,adjectives,0.47
3312,subtly,tranquilamente,adverbs,1.44
3313,glare,ojear,verbs,0.79
3314,topology,estructura,nouns,1.71
3315,heart,cirugía,nouns,0.57
3316,offering,contribución,nouns,3.7
3317,tedious,seguro,adjectives,0.09
3318,discourage,fallar,verbs,0.57
