ID,EST,SWA,PoS,score
2692,aktsepeerima,kukana,verbs,0.2
2693,televisioon,runinga,nouns,1.67
2694,väljend,neno,nouns,2.2
2695,raha,almasi,nouns,0.85
2696,kannatamatu,ana wasiwasi,adjectives,4.2
2697,pritsess,mfalme,nouns,2.15
2698,puit,mbao,nouns,0.05
2699,võti,nyumba,nouns,0.9
2700,luud,ufagio,nouns,0.75
2701,rahumeelselt,kwa amani,adverbs,2.45
2702,kauss,kichochoro,nouns,0.05
2703,ilmselt,inaonekana,adverbs,0.65
2704,orkester,gwaride,nouns,1.45
2705,tööstus,biashara,nouns,1.9
2706,juhendaja,mwalimu,nouns,3.9
2707,piparmünt,minti,nouns,0.0
2708,kasvama,kupungua,verbs,0.35
2709,vastupidavus,bendi,nouns,0.15
2710,iil,upepo mkali,nouns,0.25
2711,kindlustunne,nafsi,nouns,0.75
2712,abikaasa (naine),tundu,nouns,0.05
2713,näpistama,kufinya,verbs,0.9
2714,häbi,huzuni,nouns,0.85
2715,riiklik,kitaifa,adjectives,0.5
2716,karusnahk,mwanamke,nouns,0.2
2717,jalgratas,gari,nouns,1.0
2718,basiilika,basilika,nouns,0.4
2719,abikaasa (naine),mama,nouns,2.5
2720,ülevõim,ukuu,nouns,2.65
2721,riis,mvulana,nouns,0.05
2722,kasv,ukuaji,nouns,0.75
2723,rääkima,kutambua,verbs,0.85
2724,tuli,saratanji,nouns,2.25
2725,neelama,meza,verbs,2.25
2726,äkkrünnak,mashambulizi,nouns,4.45
2727,statistika,takwimu,nouns,0.2
2728,dekoratsioon,ukuta,nouns,0.65
2729,täht,nyota,nouns,2.1
2730,aken,kifundo cha mguu,nouns,0.0
2731,tegelane,mhusika,nouns,2.55
2732,kombain,changanya,nouns,0.45
2733,keel,shavu,nouns,0.7
2734,kalkun,ndege,nouns,3.05
2735,uskuma,kujua,verbs,1.35
2736,süüdistama,kushtaki,verbs,0.25
2737,taipama,kufahamu,verbs,4.5
2738,mees,mwanamke,nouns,0.8
2739,korter,hoteli,nouns,0.85
2740,organiseerima,kuwa,verbs,0.45
2741,rikkumata,safi,adjectives,0.55
2742,univesum,anga,nouns,1.3
2743,raha,hela,nouns,5.25
2744,klooster,monasteri,nouns,0.1
2745,raam,fremu,nouns,0.25
2746,lahkuma,enda,verbs,0.75
2747,tekk,boti,nouns,0.5
2748,ebakindel,wasiwasi,adjectives,3.15
2749,tagasihoidlikult,kwa unyenyekevu,adverbs,0.55
2750,kulutama,kuokoa,verbs,0.6
2751,õnn,amani,nouns,1.95
2752,leebe,vuguvugu,adjectives,0.15
2753,kiire,wa kasi,adjectives,4.25
2754,katastroof,kifo,nouns,1.7
2755,heldelt,kwa ukarimu,adverbs,0.1
2756,arv,nambari,nouns,5.1
2757,lööma,kukupiga ngumi,verbs,0.9
2758,tõene,enye ukweli,adjectives,0.35
2759,korrutamine,zidisha,nouns,0.8
2760,tooma,kubeba,verbs,2.2
2761,põrand,sitaha,nouns,0.6
2762,ball,mavazi,nouns,0.75
2763,alumiinium,alumini,nouns,2.27
2764,advokaat,mfanyakazi wa benki,nouns,0.85
2765,teavitama,kutambua,verbs,0.95
2766,saar,jukumu,nouns,0.0
2767,hauakamber,kaburi,nouns,1.25
2768,kuluma,kumomonyoka,verbs,0.1
2769,lahkuma,kuondoka,verbs,0.13
2770,külge tõmbama,kuvutia,verbs,0.3
2771,pehmelt,kwa upole,adverbs,0.1
2772,kaklema,pigana,verbs,0.7
2773,luuletus,shairi,nouns,1.05
2774,kelder,mlango,nouns,0.5
2775,tellimus,menyu,nouns,1.0
2776,laps,mtu mzima,nouns,0.65
2777,mesilane,sisimizi,nouns,0.85
2778,andestama,kusahau,verbs,0.65
2779,ebatäpselt,si kwa usahihi,adverbs,0.25
2780,püüdma,kujitahidi,verbs,0.0
2781,rahvahulk,gwaride,nouns,1.1
2782,kana,batamzinga,nouns,1.2
2783,haavatav,walio hatarini,adjectives,0.25
2784,kummaline,ya kushangaza,adjectives,0.45
2785,telefon,simu,nouns,2.17
2786,ajakirjanik,mwanahabari,nouns,0.9
2787,ökosüsteem,mfumo wa ikolojia,nouns,0.75
2788,perv,mlima,nouns,1.5
2789,ootama,kusubiri,verbs,1.45
2790,rahu,furaha,nouns,1.95
2791,esik,korido,nouns,4.25
2792,lõpetama,kuamua,verbs,0.75
2793,elekter,umeme,nouns,0.2
2794,galaktika,giligili,nouns,0.6
2795,kerge,rahisi,adjectives,0.23
2796,entsüklopeedia,ensaiklopidia,nouns,2.4
2797,pea,kichwa,nouns,0.85
2798,sent,mke,nouns,0.05
2799,nõustuma,kukubali,verbs,2.52
2800,teesklema,jifanya,verbs,2.5
2801,kangelane,mwanamke wa shujaa,nouns,1.3
2802,lumi,dhoruba,nouns,0.9
2803,liputeadus,elimu ya bendera,nouns,1.2
2804,kriket,kriketi,nouns,0.0
2805,eitama,kukubali,verbs,0.2
2806,karp,kofia,nouns,0.2
2807,vahetus,ubadilishaji,nouns,0.7
2808,piibel,kitabu,nouns,2.15
2809,vabariik,jamhuri,nouns,0.35
2810,sularaha,pesa,nouns,5.25
2811,kapp,nguo,nouns,0.6
2812,biotoop,ekolojia,nouns,1.0
2813,putukas,wadudu,nouns,0.95
2814,ketas,diski,nouns,0.15
2815,tagumine,nyuma,nouns,2.75
2816,valgus,mwanga,nouns,0.1
2817,eitamine,kukiri,nouns,0.6
2818,tegema,kuchuma,verbs,0.55
2819,loll,wa upuzi,adjectives,4.75
2820,äädikas,saladi,nouns,0.35
2821,rada,njia,nouns,0.45
2822,vann,mbinu,nouns,0.0
2823,laenama,kudaiwa,verbs,0.75
2824,vürtsine,pilipili,adjectives,0.0
2825,paindlik,rahisi,adjectives,0.6
2826,küünarnukk,mfupa,nouns,0.9
2827,au andma,kutoa heshima,verbs,0.2
2828,minut,sekunde,nouns,2.25
2829,kehvasti,kwa ubaya,adverbs,0.55
2830,alkohol,brandi,nouns,2.7
2831,määr,kiwango,nouns,1.65
2832,kaitsma,kulinda,verbs,1.15
2833,põhi,juu,nouns,0.55
2834,lõik,herufi,nouns,0.6
2835,vaatama,kuangalia,verbs,2.25
2836,kandma,kuvaa,verbs,0.1
2837,andma,kuweka,verbs,0.3
2838,lugeja,mtunzi,nouns,0.6
2839,seersant,mjeshi,nouns,0.85
2840,bronhiit,ugonja wa bronchitis,nouns,0.65
2841,rahe,mvua ya mawe,nouns,3.05
2842,pöial,mkono,nouns,1.5
2843,iganädalane,kwa wiki,adjectives,0.65
2844,hoomama,kusoma,verbs,0.95
2845,auto,baisikeli,nouns,1.0
