ID,POL,SWA,PoS,score
2661,hol,darasa,nouns,0.2
2662,schorzenie,homa,nouns,0.8
2663,brudny,rahisi,adjectives,0.1
2664,przynieść,kulalamika,verbs,0.05
2665,drewno,gogo,nouns,4.2
2666,łatwy,ngumu,adjectives,0.2
2667,rzeźba,sanamu,nouns,4.75
2668,balon,watu,nouns,0.05
2669,zapominać,kudumisha,verbs,0.35
2670,jagnię,kondoo,nouns,3.9
2671,nerw,matumbo,nouns,0.4
2672,rozdzielić,kugawanya,verbs,4.2
2673,rękodzieło,kazi za mikono,nouns,0.0
2674,scenarzysta,mwandishi wa filamu,nouns,0.2
2675,statystyka,takwimu,nouns,0.05
2676,inteligencja,mantiki,nouns,2.65
2677,nieprawdopodobny,maradufu,adjectives,0.1
2678,talerz,bakuli,nouns,3.1
2679,zwykły,kawaida,adjectives,0.1
2680,otwór drzwiowy,mlango,nouns,3.95
2681,chybić,kukosa,verbs,0.05
2682,teoria,kemia,nouns,0.55
2683,nieobecność,kuwepo,nouns,0.15
2684,pasja,hisia,nouns,2.55
2685,tkać,kufuma,verbs,0.05
2686,przekonywać,kufuatilia,verbs,1.25
2687,taksówka,gari,nouns,3.9
2688,stracić,kuweka,verbs,0.0
2689,ostry,kali,adjectives,0.0
2690,nepotyzm,undugu,nouns,0.35
2691,konieczny,muhimu,adjectives,3.5
2692,kaplica,mnara,nouns,0.35
2693,źrebak,farasi,nouns,3.7
2694,walczyć,pigana,verbs,0.6
2695,elektryczny,chenye umeme,adjectives,0.0
2696,rzeźbiarz,sonara,nouns,0.0
2697,zanieczyszczenie,rais,nouns,0.2
2698,odznaka,baji,nouns,0.05
2699,strateg,mkakati,nouns,1.7
2700,zabraniać,kukataza,verbs,1.9
2701,aktor,mwigaji,nouns,0.3
2702,biologia,biolojia,nouns,0.55
2703,brudny,chafu,adjectives,0.0
2704,ekran,kiwambo,nouns,0.15
2705,słoń,ndovu,nouns,0.13
2706,zwięrzę domowe,paka,nouns,3.2
2707,mężczyzna,mlinzi,nouns,0.9
2708,regularnie,mara kwa mara,adverbs,0.7
2709,dentysta,daktari wa meno,nouns,4.55
2710,dostać,kubaki,verbs,0.1
2711,zły,wa dhambi,adjectives,2.7
2712,ukraść,iba,verbs,0.5
2713,występować,kutumbuiza,verbs,0.1
2714,alkohol,wiski,nouns,3.7
2715,głowa,bega,nouns,0.75
2716,zagotować,kuchemsha,verbs,1.75
2717,neutralny,upande wowote,adjectives,0.75
2718,rozumieć,kusikiliza,verbs,0.85
2719,niewinny,asiye na hatia,adjectives,0.35
2720,możliwie,inawezekana,adverbs,0.95
2721,silnik,injini,nouns,1.7
2722,bal,mavazi,nouns,0.25
2723,prysznic,shower,nouns,0.0
2724,wystraszony,kua na uoga,adjectives,0.5
2725,negatywny,hasi,adjectives,0.15
2726,katedra,dari,nouns,0.35
2727,samochód,geji,nouns,0.05
2728,hałas,sauti,nouns,3.65
2729,słyszeć,kuzungumza,verbs,0.6
2730,stypendium,ufadhili wa elimu,nouns,2.55
2731,czołowy,juu,adjectives,0.0
2732,słup,mlingoti,nouns,0.5
2733,zanieczyszczenie,angahewa,nouns,0.3
2734,porozumienie,pambano,nouns,0.25
2735,tłumaczyć,kujadili,verbs,1.75
2736,dżentelmen,bibi,nouns,0.8
2737,paznokieć,kichwa,nouns,0.25
2738,kruchy,baridi,adjectives,0.25
2739,krytyczny,muhimu,adjectives,0.3
2740,uciec,kutoroka,verbs,4.95
2741,rozprawa,hukumu,nouns,0.45
2742,pozdrawiać,kutoa heshima,verbs,0.1
2743,powiedzieć,kushiriki,verbs,0.05
2744,cyfra,tarakimu,nouns,0.0
2745,gęsty,ngumu,adjectives,0.35
2746,sąd,korti,nouns,1.9
2747,potknąć się,kujikwaa,verbs,1.95
2748,klucz,kifunguo,nouns,0.05
2749,wyparcie,kukiri,nouns,0.25
2750,wykonalny,inawezekana,adjectives,0.1
2751,pożyczać,kuweka,verbs,0.05
2752,drewno,karatasi,nouns,0.6
2753,dioda,diode,nouns,1.0
2754,łatwy,pole,adjectives,0.2
2755,kłaść,kupa,verbs,0.2
2756,mokry,lowa,adjectives,0.55
2757,zdecydowanie,hakika,adverbs,4.9
2758,facet,msichana,nouns,0.1
2759,boleć,kuumia,verbs,0.4
2760,nienormalnie,sikawaida,adverbs,0.0
2761,słyszeć,kusikia,verbs,0.4
2762,tępy,mjanja,adjectives,0.1
2763,pole,kibanda,nouns,0.5
2764,koniecznie,kwa ulazima,adverbs,0.7
2765,grzesznik,mtakatifu,nouns,0.05
2766,kobieta,jukumu,nouns,0.05
2767,kolacja,kuku,nouns,0.45
2768,jezioro,ziwa,nouns,0.25
2769,sztywny,ngumu,adjectives,0.15
2770,prawdopodobnie,uwezekano,adverbs,4.05
2771,posiłek,kiuno,nouns,0.05
2772,rozpacz,taabu,nouns,1.8
2773,dumny,kujivunia,adjectives,0.1
2774,pikantny,pilipili,adjectives,0.0
2775,ofiara,mwathirika,nouns,0.0
2776,zachód słońca,machweo,nouns,0.0
2777,ściana,pambo,nouns,0.35
2778,niebo,anga,nouns,0.05
2779,zbierać,kuchukua,verbs,0.05
2780,chrzęścić,kuteketa,verbs,0.6
2781,niszczyć,haribu,verbs,1.7
2782,spadać,teremka,verbs,1.2
2783,gitara,gitaa,nouns,0.0
2784,piosenkarz,mchezaji,nouns,0.4
2785,źródło,kisima,nouns,2.8
2786,przynieść,kubeba,verbs,2.3
2787,głodny,kua na njaa ,adjectives,0.7
2788,doktor,tabia,nouns,0.0
2789,weryfikować,kusema,verbs,0.3
2790,dysza,pua,nouns,0.0
2791,trik,kuoga,nouns,0.0
2792,czasem,mara nyingine,adverbs,0.73
2793,kokpit,chumba cha rubani,nouns,0.4
2794,wybór,mshipa,nouns,0.05
2795,obecnie,kwa sasa,adverbs,1.2
2796,atmosfera,uchafuzi,nouns,0.3
2797,warga,nyonga,nouns,0.15
2798,osoba,mnyama,nouns,0.25
2799,zamek,kufuli,nouns,0.8
2800,gorączka,utapiamlo,nouns,0.8
2801,ciąg,areyi,nouns,1.25
2802,niecierpliwie,bila subira,adverbs,0.65
2803,schludny,safi,adjectives,5.1
2804,zmęczony,choka,adjectives,0.15
2805,atak,shambulio,nouns,3.35
2806,nieuleczalnie,mwisho,adverbs,0.1
2807,gejzer,chemchemi ya maji ya moto,nouns,2.8
2808,odmawiać,kukataa,verbs,0.1
2809,dzwon,mlango,nouns,0.25
2810,uszczypnąć,kufinya,verbs,0.25
2811,pozamałżeński,nje ya ndoa,adjectives,0.1
2812,futbol,soka,nouns,5.7
2813,naturalnie,kwa uhalisia,adverbs,0.3
2814,sad,kiunga,nouns,0.0
2815,impreza,sherehe,nouns,0.3
2816,pensja,hela,nouns,3.15
2817,organizować,kuwa,verbs,0.15
2818,oddzielać,kutenganisha,verbs,0.0
2819,jogurt,mgando,nouns,0.2
