ID,CMN,RUS,PoS,score
2974,巨大,крошечный,adjectives,0.09
2975,声明放弃,подавлять,verbs,0.05
2976,门,кухня,nouns,0.4
2977,放,вешать,verbs,0.71
2978,阳光,луч,nouns,1.33
2979,精彩,потрясающий,adjectives,4.32
2980,意见,верование,nouns,0.57
2981,呛,дышать,verbs,0.57
2982,阿姨,дядя,nouns,0.82
2983,门,пол,nouns,0.3
2984,结婚,присоединиться,verbs,0.43
2985,团结,делить,verbs,0.23
2986,乞求,занимать,verbs,0.84
2987,手臂,кость,nouns,0.68
2988,积极地,наверное,adverbs,0.05
2989,混合,готовить,verbs,0.29
2990,米,дюйм,nouns,1.78
2991,文学,книга,nouns,2.15
2992,向量,матрица,nouns,1.29
2993,妻子,солома,nouns,0.09
2994,相机,президент,nouns,0.1
2995,停,свистеть,verbs,0.0
2996,脏,узкий,adjectives,0.0
2997,肘,кость,nouns,0.64
2998,合理的解释,думать,verbs,0.98
2999,微妙地,громко,adverbs,0.0
3000,听,воспринимать,verbs,1.54
3001,草药,марихуана,nouns,2.47
3002,雪茄,трубка,nouns,1.91
3003,血液,вирус,nouns,0.49
3004,旋律,музыка,nouns,3.87
3005,摄影,режиссер,nouns,1.19
3006,打印,игнорировать,verbs,0.0
3007,女儿,отец,nouns,0.54
3008,规则,конвенция,nouns,1.88
3009,棒球,баскетбол,nouns,0.82
3010,猛烈地,грустно,adverbs,0.24
3011,许多,изобилие,nouns,4.44
3012,走,начинать,verbs,0.24
3013,街,переулок,nouns,2.99
3014,忽略,распечатать,verbs,0.0
3015,肉,бекон,nouns,2.79
3016,汤,ужин,nouns,0.72
3017,肩,голова,nouns,0.39
3018,协议,условие,nouns,2.13
3019,必须,важный,adjectives,3.66
3020,诚实地,искренне,adverbs,4.2
3021,知道,давать,verbs,0.2
3022,徘徊,покидать,verbs,0.24
3023,想,спрашивать,verbs,0.44
3024,旅行,путешествие,nouns,4.2
3025,外国人,пришелец,nouns,3.42
3026,必须,ненужный,adjectives,0.14
3027,幸福,умиротворенность,nouns,2.19
3028,蝙蝠,вампир,nouns,0.38
3029,窗帘,карниз,nouns,0.54
3030,评估,анализировать,verbs,4.03
3031,图表,график,nouns,3.49
3032,借,задолжать,verbs,0.83
