ID,HEB,SWA,PoS,score
2634,גינה,mpira wa maji,nouns,0.65
2635,מלוכלך,mwembamba,adjectives,0.0
2636,קרטון,karatasi,nouns,2.1
2637,תג,baji,nouns,0.2
2638,מורה,rafiki,nouns,0.65
2639,להישאר,kuondoka,verbs,0.55
2640,כנסייה,kanisa,nouns,4.25
2641,לבזבז,kuokoa,verbs,0.7
2642,פרח,chavua,nouns,1.8
2643,גשש,njia,nouns,0.1
2644,לרצות,kuburudisha,verbs,0.3
2645,יום,usiku,nouns,0.7
2646,שיר,shairi,nouns,1.45
2647,סוף שבוע,wiki,nouns,1.7
2648,לצחוק,kucheka,verbs,3.85
2649,שנייה,dakika,nouns,2.55
2650,תמונה,wazo,nouns,1.0
2651,בוגר,umekua,adjectives,0.5
2652,תשוקה,hisia,nouns,2.95
2653,צר,mpana,adjectives,0.55
2654,תמיד,mara kwa mara,adverbs,0.7
2655,להתחזות,kuwazia,verbs,0.55
2656,חשמל,umeme,nouns,0.2
2657,אומניפוטנטיות,uwezaji,nouns,2.3
2658,רעיון,mpango,nouns,1.6
2659,מנוע,injini,nouns,1.55
2660,לעשות,kuacha,verbs,0.4
2661,נייר,kuni,nouns,0.85
2662,קוסם,mchawi,nouns,0.15
2663,מסגרת,fremu,nouns,0.0
2664,הזיה,uhalisi,nouns,0.7
2665,פילם,sinema,nouns,4.0
2666,להינות,kufurahia,verbs,0.2
2667,תות,strouberi,nouns,1.9
2668,למכור,kukumbusha,verbs,0.0
2669,הודו,kuku,nouns,1.25
2670,אחו,nyasi,nouns,1.9
2671,ציוויליזציה,ustaarabu,nouns,1.25
2672,כלב,farasi,nouns,0.85
2673,מיטה,kitanda cha mtoto,nouns,4.1
2674,אפס,sufuri,nouns,0.65
2675,רעיה,senti,nouns,0.0
2676,שביל,njia,nouns,0.75
2677,קופסה,sanduku,nouns,0.0
2678,חשמלי,chenye umeme,adjectives,0.65
2679,אף,kinywa,nouns,0.8
2680,דגנים,ngano,nouns,2.65
2681,כריך,nyama,nouns,0.8
2682,טלויזיה,mawasiliano,nouns,1.7
2683,לחם,chizi,nouns,0.65
2684,להימנע,kupuuza,verbs,2.0
2685,כלי,kitendea kazi,nouns,1.1
2686,כבוש,nyimbo,nouns,0.3
2687,נורא,poa,adjectives,0.45
2688,להכחיש,kupa,verbs,0.1
2689,חייל,mwanajeshi,nouns,0.5
2690,ענן,wingu,nouns,0.45
2691,נמרצות,kikamilifu,adverbs,0.3
2692,רגל,mkono,nouns,1.75
2693,קל,mkubwa,adjectives,0.4
2694,לרדוף,kushawishi,verbs,0.55
2695,יקום,anga,nouns,1.35
2696,לשכוח,kujifunza,verbs,0.6
2697,נבט,miche,nouns,1.5
2698,להבטיח,kuweka ahadi,verbs,4.65
2699,לבנה,ukuta,nouns,1.75
2700,קולונל,daktari wa meno,nouns,0.35
2701,מטריצה,matriksi,nouns,1.05
2702,לדעת,kusahau,verbs,0.55
2703,פרה,mifugo,nouns,3.35
2704,אינטליגנציה,ustadi,nouns,1.95
2705,גג,sakafu,nouns,0.75
2706,אישה,mume,nouns,1.05
2707,אופניים,chumba cha kulala,nouns,0.15
2708,לקבור,kuzikwa,verbs,1.55
2709,מלוכלך,rahisi,adjectives,0.45
2710,ערך,thamani,nouns,1.15
2711,מילה,ukurasa,nouns,0.65
2712,לעשות,kuwa,verbs,0.4
2713,לעקוב,kufuata,verbs,2.05
2714,מצלמה,lenzi,nouns,2.05
2715,להודיע,kuonyesha,verbs,1.5
2716,מילה,sentensi,nouns,2.5
2717,שריר,ulimi,nouns,0.85
2718,לשכנע,kufuatilia,verbs,0.55
2719,חסר גוף,nje ya mwili,adjectives,1.3
2720,ביטחון,nafsi,nouns,0.5
2721,קיסר,mtawala,nouns,2.1
2722,כס,kiti cha enzi,nouns,0.3
2723,לסיים,maliza,verbs,1.0
2724,אנתרופולוגיה,anthropolojia,nouns,2.6
2725,לפקח,kuchunguza,verbs,3.45
2726,להרוג,kuharibu,verbs,1.75
2727,מטאור,meteor,nouns,0.5
2728,לדחות,kuepa,verbs,1.05
2729,להגן,kuua,verbs,0.45
2730,להסכים,kukubali,verbs,0.6
2731,סופר,mwandishi,nouns,0.95
2732,פתוגן,pathojeni,nouns,2.7
2733,נווה מדבר,oasisi,nouns,0.25
2734,אקדח,bunduki,nouns,0.65
2735,תחתית,upande,nouns,1.15
2736,לתשאל,ulizia,verbs,1.85
2737,אף,pua,nouns,1.15
2738,ללכת,kuanza,verbs,0.2
2739,לספק,kufahamu,verbs,0.15
2740,להתרכבל,kukumbatia,verbs,4.35
2741,בעל,mke,nouns,1.05
2742,בלון,watu,nouns,0.1
2743,כלא,chaguo,nouns,0.45
2744,השתקפות,picha,nouns,1.55
2745,חתול,panya,nouns,0.9
2746,כוכב,nyota,nouns,2.1
2747,להציל,kuokoa,verbs,0.3
2748,אור,matofaa,nouns,0.05
2749,גמיש,mwenye kiasi,adjectives,0.65
2750,רעיה,majani makavu,nouns,0.1
2751,לקרות,kutokea,verbs,5.05
2752,להאשים,kulaumu,verbs,0.2
2753,לשרבט,kuandika,verbs,2.65
2754,נושא,kitabu,nouns,0.53
2755,לעמוד,kusimama,verbs,0.7
2756,הסכם,tundu,nouns,0.0
2757,תפוח,peremende,nouns,0.8
2758,לא הוגן,jeuri,adjectives,1.7
2759,הערה,kumbuku,nouns,0.45
2760,לחקור,kupuuza,verbs,0.3
2761,בית,banda,nouns,2.0
2762,לקחת,kuiba,verbs,1.7
2763,בחוכמה,kwa akili,adverbs,0.8
2764,רובה,mzinga,nouns,2.2
2765,משכורת,hela,nouns,3.3
2766,לתלות,kuweka,verbs,0.6
2767,רופא,daktari wa meno,nouns,5.2
2768,קליבר,kaliba,nouns,0.3
2769,סמל,mjeshi,nouns,0.65
2770,עצם,goti,nouns,0.95
2771,גלקסי,giligili,nouns,0.3
2772,חשמלי,chenye umeme,adjectives,0.0
2773,כועס,mjeuri,adjectives,1.3
2774,פושע,mhalifu,nouns,5.35
2775,לתת,kuweka,verbs,0.4
