ID,CMN,YUE,PoS,score
3040,枪,筆記本,nouns,0.0
3041,赢,統治,verbs,0.5
3042,显然,不顯眼地,adverbs,0.22
3043,母亲,監護人,nouns,3.0
3044,时装,風尚,nouns,2.73
3045,听,學習,verbs,0.46
3046,床,醫院,nouns,0.36
3047,不负责任,未成熟的,adjectives,1.27
3048,不同意,搏鬥,verbs,0.0
3049,老师,幫手,nouns,0.64
3050,接受,謝絕,verbs,0.18
3051,给,斷絕父子關係,verbs,0.04
3052,海,海洋,nouns,5.73
3053,船,電動機,nouns,0.23
3054,威力,力量,nouns,3.32
3055,枫树,樹木,nouns,4.27
3056,攻击,犯罪,nouns,0.91
3057,正直地,成熟地,adverbs,0.68
3058,死气沉沉的,高高興興地,adverbs,0.22
3059,到达,來,verbs,2.59
3060,保护,保持,verbs,0.41
3061,紧紧地,難以置信地,adverbs,0.14
3062,害羞,昂貴,adjectives,0.0
3063,父亲,女兒,nouns,0.41
3064,基本上,充分,adverbs,0.59
3065,人们,派對,nouns,0.5
3066,对乙酰氨基酚,支氣管炎,nouns,0.09
3067,同意,使滿意,verbs,2.27
3068,猎物,神,nouns,0.0
3069,生病,瘋,adjectives,0.5
3070,苹果,飲食,nouns,0.64
3071,大风,毯,nouns,0.0
3072,惱火,不開心,adjectives,3.23
3073,简单,困難,adjectives,0.16
3074,运送,接受,verbs,0.0
3075,激情,情緒,nouns,2.63
3076,狭窄,瘦,adjectives,1.0
3077,使心烦,搞到氣餒,verbs,2.81
3078,腿,手臂,nouns,0.41
3079,赢得,完成,verbs,1.59
3080,装作,講大話,verbs,2.59
3081,海军,軍隊,nouns,3.59
3082,军队,班,nouns,0.36
3083,环,帶,nouns,2.73
3084,坏,平庸,adjectives,0.04
3085,冷淡,易損壞,adjectives,0.0
3086,屋顶,地板,nouns,0.18
3087,创建,想像,verbs,0.45
3088,等待,離開,verbs,0.18
3089,敬礼,演出,verbs,0.0
3090,教堂,電纜,nouns,0.0
3091,拿,偷,verbs,0.72
3092,小说,作家,nouns,0.27
3093,牙医,上校,nouns,0.14
3094,舌头,臉頰,nouns,0.18
3095,椅子,床,nouns,1.09
3096,购买,得到,verbs,0.41
3097,改变,更改,verbs,4.0
3098,统治者,國王,nouns,4.68
3099,新闻,流言蜚語,nouns,1.55
3100,运气,幸福,nouns,0.86
3101,犯罪者,罪犯,nouns,5.19
3102,谦逊地,自豪的,adverbs,0.36
3103,词性变化,感染,nouns,0.09
3104,报纸,字,nouns,1.32
3105,美,十四行詩,nouns,0.04
3106,食物,程序,nouns,0.0
3107,僧侣,神職人員,nouns,2.87
3108,听,服從,verbs,3.37
3109,码,英寸,nouns,2.91
3110,宽广,狹窄,adjectives,0.23
3111,蔑视,討厭,verbs,2.82
3112,想,決定,verbs,0.55
3113,攻击,傷害,verbs,3.04
3114,段,頁,nouns,0.72
3115,兴奋,受驚,adjectives,0.5
3116,做,成為,verbs,2.59
3117,努力,阻礙,verbs,0.0
3118,能力,才能,nouns,4.59
3119,看来,明顯地,adverbs,1.68
3120,耐力,樂隊,nouns,0.0
3121,痛苦,悲痛,nouns,5.0
3122,卡,橋,nouns,0.18
3123,和平,幸福,nouns,2.5
3124,付款,費用,nouns,2.37
3125,宣告,聲明,verbs,3.5
3126,离开,進入,verbs,0.22
3127,字,習語,nouns,0.86
3128,鸡尾酒,酒,nouns,3.73
3129,重大,次要,adjectives,0.23
3130,驱逐,空出,verbs,0.32
3131,渴,飢餓,adjectives,1.96
3132,学生,老師,nouns,0.68
3133,个人,親密,adjectives,0.0
3134,显微镜,生物學家,nouns,0.45
3135,装作,想像,verbs,0.18
3136,地心引力,流星,nouns,0.28
3137,雪,風暴,nouns,0.77
3138,冬天,夏天,nouns,0.14
3139,创建,毀滅,verbs,0.22
3140,行李,環球航行,nouns,0.23
3141,傻,孩子氣,adjectives,2.68
3142,创新,有創意,adjectives,4.78
3143,打中,未打中,verbs,0.22
3144,尺寸,戲法,nouns,0.0
3145,无助,貧困,adjectives,0.78
3146,查询,想,verbs,0.18
3147,存款,儲蓄者,nouns,0.68
3148,杆,旗,nouns,1.0
3149,作者,讀者,nouns,0.36
3150,得到,失去,verbs,0.22
3151,喇叭,車,nouns,0.18
3152,灾难,死亡,nouns,1.68
3153,发动机,活塞,nouns,0.95
3154,辣,弱,adjectives,0.04
3155,壁橱,衣服,nouns,0.69
3156,诈骗,犯罪,nouns,2.73
3157,首词,句法,nouns,0.5
3158,底部,基底,nouns,3.31
3159,路,高速公路,nouns,3.5
3160,难得,稀少,adjectives,3.82
3161,容易,大,adjectives,0.0
3162,汽车,運輸,nouns,1.54
3163,收缩,消失,verbs,0.5
3164,悲伤,羞愧,nouns,1.68
3165,犯罪,詐騙,nouns,2.73
3166,家牛,牛肉,nouns,2.54
3167,喜悦,自豪,nouns,2.09
3168,建造,做,verbs,2.77
3169,圣人,罪人,nouns,0.09
3170,散热器,傳感器,nouns,0.54
3171,贫穷,自豪,adjectives,0.04
3172,巨大,小,adjectives,0.14
3173,大型会议,聚會,nouns,2.91
3174,解决,完成,verbs,2.23
3175,害怕,緊張,adjectives,2.5
3176,碗,碟,nouns,2.09
3177,灯泡,花朵,nouns,0.0
3178,黎明,白天,nouns,2.59
3179,不公平,殘忍,adjectives,0.55
3180,消失,收縮,verbs,0.5
3181,累,飢餓,adjectives,0.5
3182,兄弟会,門,nouns,0.0
3183,合作,參加,verbs,0.46
3184,火,大災變,nouns,0.54
3185,标志,密碼,nouns,0.04
3186,红酒,酒,nouns,3.59
3187,擦亮,通知,verbs,0.0
3188,摇铃,噪聲,nouns,1.73
3189,厨房,洗手間,nouns,0.27
3190,契约,協議,nouns,4.18
3191,缺口,開口,nouns,3.77
3192,副驾驶,座艙,nouns,0.46
3193,问,祈禱,verbs,0.46
3194,赌,打賭,verbs,4.22
3195,明显,顯著的,adjectives,4.54
3196,数学家,節目,nouns,0.04
3197,杀,絞刑,verbs,3.09
3198,威士忌酒,酒,nouns,3.82
3199,谦逊地,糟糕,adverbs,0.14
3200,加入,獲得,verbs,0.04
3201,丈夫,男人,nouns,2.63
3202,妻子,女人,nouns,2.68
3203,树木,楓樹,nouns,4.27
3204,脆弱,簡單,adjectives,0.27
3205,允许,侵蝕,verbs,0.0
3206,相机,鏡片,nouns,0.64
3207,接受,承認,verbs,3.13
3208,伤害,攻擊,verbs,3.04
3209,充分,基本上,adverbs,0.59
3210,陶艺,陶瓷,nouns,2.77
3211,大多,主要,adverbs,3.46
3212,牛油,土豆,nouns,0.18
3213,民主,帝制,nouns,0.04
3214,苹果,醬,nouns,0.27
3215,教学大纲,考試,nouns,0.82
3216,妻子,母親,nouns,2.5
3217,搅拌,抖動,verbs,1.23
3218,忘记,原諒,verbs,0.32
3219,澄清,限定,verbs,0.0
3220,身体,神經,nouns,1.19
3221,指控,說謊,verbs,0.23
3222,主题标签,話題,nouns,3.32
3223,积极地,大概,adverbs,0.36
3224,选择,意見,nouns,1.0
3225,玫瑰,蝴蝶,nouns,0.32
3226,宽,新鮮,adjectives,0.0
3227,晚上,黎明,nouns,0.27
3228,接受,同意,verbs,3.87
3229,创建,潛水,verbs,0.04
3230,浮动,唱,verbs,0.0
3231,打,陷害,nouns,0.18
3232,桥,卡,nouns,0.18
3233,社会,俱樂部,nouns,0.04
3234,显著的,明顯,adjectives,4.54
3235,奇怪,古怪,adjectives,5.57
3236,多,兩次,adverbs,0.18
3237,喝,吞,verbs,1.0
3238,公牛,小牛,nouns,3.27
3239,强度,耐力,nouns,2.68
3240,机器人技术,模擬,nouns,0.5
3241,醋,沙拉,nouns,0.32
3242,等待,留,verbs,0.86
3243,搜索,看,verbs,0.91
3244,小马,馬,nouns,3.45
3245,和平地,自豪地,adverbs,0.36
3246,乏味,安全,adjectives,0.04
3247,烘烤,炒,verbs,1.73
3248,狡猾,機靈,adjectives,2.32
3249,顽固,蠢,adjectives,1.09
3250,同意,不同,verbs,0.04
3251,主要地,末期,adverbs,0.04
3252,树枝,手臂,nouns,0.04
3253,模拟,機器人技術,nouns,0.5
3254,词元,音節,nouns,0.96
3255,南,北,nouns,0.72
3256,叔叔,男人,nouns,2.27
3257,国王,裙帶關係,nouns,0.22
3258,脚,沙漠,nouns,0.09
3259,车,汽車,nouns,5.91
3260,大致,明顯地,adverbs,0.82
3261,极好,壞,adjectives,0.14
3262,每当,有時,adverbs,0.5
3263,手臂,身體,nouns,0.64
3264,培根,早餐,nouns,0.45
3265,忽略,問,verbs,0.09
3266,选择,想,verbs,0.45
3267,冰,雪,nouns,3.05
3268,旋律,音樂,nouns,3.23
3269,心脏,手術,nouns,0.45
3270,行为主义,治療,nouns,0.0
3271,变成,似乎,verbs,0.5
3272,房间,沖涼,nouns,0.32
3273,使气馁,搞到唔開心,verbs,2.81
3274,治疗,行動主義,nouns,0.0
3275,木,原木,nouns,4.41
3276,频繁,平均,adjectives,0.32
3277,距离,角度,nouns,0.41
3278,满足,理解,verbs,0.23
3279,快乐,愉快,adjectives,5.0
3280,帝制,民主,nouns,0.04
3281,创建,建立,verbs,4.23
3282,月亮,行星,nouns,2.69
3283,状况,情況,nouns,5.31
3284,画廊,律師,nouns,0.0
3285,教,教育,verbs,3.59
3286,广口瓶,瓶子,nouns,3.86
3287,退休,退出,verbs,1.09
3288,精彩,偉大,adjectives,0.77
3289,四轮货运马车,馬車,nouns,3.87
3290,拇指,指甲,nouns,1.18
3291,庆祝,使驚奇,verbs,0.27
3292,通灵研究,神經心理學,nouns,0.36
3293,祈祷,問,verbs,0.46
3294,果汁,蘋果,nouns,1.09
3295,完成,贏得,verbs,1.59
3296,阿姨,叔叔,nouns,0.59
3297,妻子,稻草,nouns,0.09
3298,枪,戲法,nouns,0.04
3299,寻求,搜索,verbs,3.41
3300,合法,安全,adjectives,0.69
3301,毁灭,建造,nouns,0.34
3302,刀口,草,nouns,0.0
3303,侵蚀,允許,verbs,0.0
3304,床,房間,nouns,0.22
3305,外套,針織套衫,nouns,2.96
3306,鼓励,使氣餒,verbs,0.18
3307,评分,分數,verbs,3.18
3308,钝,尖,adjectives,0.18
3309,一餐,腰部,nouns,0.0
3310,偷,攞,verbs,0.72
3311,减去,失去,verbs,2.19
3312,满载,沉重,adjectives,0.77
3313,结构,拓撲,nouns,0.04
3314,崇拜,敬佩,verbs,4.59
3315,走开,離開,verbs,3.77
3316,提醒,賣,verbs,0.0
3317,扩大,成長,verbs,1.41
3318,演员,電視,nouns,0.78
3319,创造者,作者,nouns,3.82
3320,雾气,雲,nouns,2.27
3321,挂,放,verbs,0.86
3322,简单,容易,adjectives,4.91
3323,洞,妻子,nouns,0.32
3324,非一般,罕見,adjectives,3.96
3325,整齐,乾淨,adjectives,3.68
3326,累,無聊,adjectives,0.14
3327,新,最近,adjectives,2.41
3328,音节,詞元,nouns,0.96
3329,实际地,理想地,adverbs,0.14
3330,坚固地,輕輕的,adverbs,0.04
3331,鸡,牛扒,nouns,0.14
3332,手册,指南,nouns,2.96
3333,小牛,公牛,nouns,3.27
3334,远足,爬,verbs,0.69
3335,诚实,內疚,adjectives,0.18
3336,降落,撤退,verbs,0.09
3337,教堂,大教堂,nouns,5.46
3338,參加,合作,verbs,0.46
3339,骨头,踝,nouns,0.45
3340,晚饭,餐,nouns,2.91
3341,戏法,尺寸,nouns,0.0
3342,熵,信息,nouns,0.36
3343,停,警告,verbs,0.14
3344,选举,選擇,nouns,2.54
3345,拿,獲得,verbs,3.63
3346,似乎,變成,verbs,0.5
3347,打赌,賭,verbs,4.22
3348,按下,放開,verbs,0.09
3349,绞刑,殺,verbs,3.09
3350,盒子,電梯,nouns,0.04
3351,使心烦,受傷,verbs,0.18
3352,蟋蟀,支持者,nouns,0.04
3353,政府,蜥蜴,nouns,0.04
3354,锌,金,nouns,1.54
3355,冷静,輕鬆,adjectives,0.64
3356,价值观,信念,nouns,3.46
3357,草,苔蘚,nouns,2.09
3358,安排,組織,verbs,0.96
3359,沉思,想,verbs,3.5
3360,海滩,海岸,nouns,3.37
3361,之前,之後,adverbs,0.22
3362,字母,鋼筆,nouns,0.0
3363,主力舰,无畏舰,nouns,2.5
3364,电动,機械,adjectives,2.54
3365,任务,女人,nouns,0.04
3366,八月,月,nouns,2.43
3367,手腕,手,nouns,2.73
3368,倒,滴,verbs,0.73
3369,允许,讓,verbs,3.13
3370,死亡,災難,nouns,1.68
3371,一尘不染,清潔,adjectives,4.96
3372,管理,工作,nouns,0.55
3373,北方,西方,nouns,0.14
3374,飞机,機場,nouns,0.86
3375,无知,智力,nouns,0.04
3376,眼睛,眉頭,nouns,0.55
3377,偷偷,信心十足地,adverbs,0.0
3378,身体,手臂,nouns,0.64
3379,体操,擊劍,nouns,0.73
3380,故事,歌曲,nouns,0.36
3381,事实,證明,nouns,0.96
3382,逃走,逃跑,verbs,5.46
3383,卧室,廁所,nouns,0.5
3384,仪式,慶祝,nouns,2.46
3385,鼓,吉他,nouns,0.54
3386,天花板,地板,nouns,0.22
3387,羞愧,謙虛,adjectives,0.36
3388,幼苗,葉,nouns,0.96
3389,大,柔韌,adjectives,0.18
3390,母亲,朋友,nouns,0.32
3391,古老,新,adjectives,0.18
3392,才能,能力,nouns,4.04
3393,制服,扼殺,verbs,0.27
3394,伪装,掩飾,verbs,3.77
3395,拥抱,摟抱,verbs,4.96
3396,跟随,追逐,verbs,2.63
3397,酒,葡萄酒,nouns,3.69
3398,香槟,威士忌酒,nouns,3.09
3399,旧,雜,adjectives,0.14
3400,失去,保持,verbs,0.14
3401,想,合理的解釋,verbs,0.18
3402,沐浴,妻子,nouns,0.04
3403,抱怨,帶來,verbs,0.09
3404,淫贱,髒,adjectives,0.59
3405,碳,原子,nouns,0.86
3406,分化,死,verbs,0.14
3407,牛,馬,nouns,1.14
3408,停止,禁止,verbs,2.87
3409,理论,定理,nouns,4.18
3410,裂开,分離,verbs,2.96
3411,调查,檢查,verbs,3.5
3412,事件,募捐活動,nouns,0.86
3413,便宜货,便士,nouns,0.14
3414,朋友,傢伙,nouns,1.04
3415,平滑,尖,adjectives,0.09
3416,雪,冰,nouns,3.05
3417,女人,毛,nouns,0.0
3418,复诊,病人,nouns,0.5
3419,朋友,老師,nouns,0.86
3420,自豪,堅強,adjectives,0.46
3421,乐队,酒,nouns,0.0
3422,书,手稿,nouns,0.96
3423,面包,小麥粉,nouns,1.19
3424,水平,得分,nouns,0.69
3425,完结,完成,adjectives,4.68
3426,神经,身體,nouns,1.19
3427,百万富翁,元,nouns,0.18
3428,避免,唔睬,verbs,0.55
3429,公共汽车,的士,nouns,2.32
3430,肚子,課程,nouns,0.0
3431,精彩,愉快,adjectives,2.64
3432,编剧,電視,nouns,0.69
3433,坚硬,强硬,adjectives,3.37
3434,批评,無禮貌,adjectives,0.64
3435,现实地,最近,adverbs,0.32
3436,赛跑,哲學家,nouns,0.09
3437,承认,接受,verbs,3.13
3438,三文治,午飯,nouns,0.55
3439,身体,脊柱,nouns,0.96
3440,手臂,樹枝,nouns,0.04
3441,烟草,香煙,nouns,4.23
3442,相反,其他,adjectives,0.23
3443,行政管理,行政管理,nouns,3.5
3444,涂抹,傳播,verbs,0.5
3445,分子,基質,nouns,0.86
3446,极好,精彩,adjectives,3.41
3447,僵硬,簡單,adjectives,0.09
3448,巧妙,成熟,adverbs,0.36
3449,非自然,負面地,adverbs,0.45
3450,发光,照耀,verbs,3.59
3451,糖果,蘋果,nouns,0.14
3452,枪,人,nouns,0.28
3453,戒除,開始,verbs,0.04
3454,救,淹,verbs,0.09
3455,建立,創建,verbs,4.23
3456,教授,醫生,nouns,0.78
3457,子程序,編譯器,nouns,0.54
3458,燕麦,田,nouns,0.64
3459,海,海嘯,nouns,1.54
3460,历史学家,史學家,nouns,5.69
3461,火鸡,母雞,nouns,2.23
3462,纱,線,nouns,2.13
3463,没有覆蓋的,冚住,adjectives,0.14
3464,枯燥,好笑,adjectives,0.04
3465,微妙地,目前,adverbs,0.18
3466,总统,污染,nouns,0.0
3467,字,提示,nouns,0.23
3468,作曲家,作家,nouns,2.41
3469,乱七八糟,井然有序,adjectives,0.23
3470,避难所,棚屋,nouns,0.64
3471,有礼貌地,謹慎地,adverbs,0.91
3472,新教,基督教,nouns,3.64
3473,指甲,頭,nouns,0.04
3474,大厦,房間,nouns,0.23
3475,种族主义,排外主義,nouns,3.77
3476,工人,機器匠,nouns,2.13
3477,天花板,大教堂,nouns,0.09
3478,哭,哭泣,verbs,5.68
3479,毛毛虫,蠶,nouns,2.27
3480,混合,攪拌,verbs,4.0
