ID,CYM,RUS,PoS,score
2781,llosgfynydd,магма,nouns,1.9
2782,cynhwysydd,мышь,nouns,0.0
2783,heliwm,воздух,nouns,2.15
2784,tatws,масло,nouns,0.4
2785,crensian,щёлкать,verbs,1.65
2786,yn amlwg,конечно,adverbs,2.65
2787,top,низ,nouns,0.3
2788,cyrraedd,покидать,verbs,0.05
2789,modur,лодка,nouns,0.85
2790,doniol,скучный,adjectives,0.1
2791,pryderus,испуганный,adjectives,3.85
2792,onest,нечестный,adjectives,0.05
2793,ymddangos,посещать,verbs,0.9
2794,taclus,чистый,adjectives,2.85
2795,ennill,доминировать,verbs,2.25
2796,cleddyf,трон,nouns,0.45
2797,arbed,защищать,verbs,1.85
2798,yn anghywir,точно,adverbs,0.0
2799,crwm,агрессивный,adjectives,0.0
2800,yn uchel,тонко,adverbs,0.0
2801,ffynhonnell,коробка,nouns,0.0
2802,rhyfedd,странный,adjectives,4.35
2803,palas,небоскреб,nouns,0.55
2804,brigeryn,опыление,nouns,1.25
2805,dynion,братство,nouns,0.75
2806,newyddion,носитель,nouns,0.35
2807,creigres,пляж,nouns,0.8
2808,nerf,мозг,nouns,0.95
2809,gair,ключ,nouns,0.25
2810,mêr,кровь,nouns,0.6
2811,poen,горе,nouns,1.9
2812,llenyddiaeth,слово,nouns,1.2
2813,oriel,адвокат,nouns,0.0
2814,brawdgarwch,бейсбол,nouns,0.3
2815,bydiaeth,виза,nouns,0.3
2816,lori,автомобиль,nouns,2.05
2817,aflonyddu,попугать,verbs,1.15
2818,miniog,тупой,adjectives,0.15
2819,ceisio,достигать,verbs,1.35
2820,cydnabod,говорить,verbs,0.5
2821,tasg,пустяк,nouns,0.05
2822,jar,чашка,nouns,1.2
2823,galar,мука,nouns,1.9
2824,pren,одеяло,nouns,0.0
2825,meddyg,самообладание,nouns,0.15
2826,traethawd,домашнее задание,nouns,1.95
2827,egluro,прояснять,verbs,3.55
2828,cul,тонкий,adjectives,3.1
2829,meddwl,невроз,nouns,0.7
2830,cwrs,действие,nouns,0.35
2831,planed,луна,nouns,2.35
2832,dillad,пиджак,nouns,1.7
2833,ffotoffon,омофон,nouns,0.25
2834,darganfod,искать,verbs,1.2
2835,anwybyddu,обращаться,verbs,0.0
2836,lori,посылка,nouns,0.5
2837,tröedigaeth,высота,nouns,0.0
2838,cythraul,ангел,nouns,0.15
2839,braich,кость,nouns,1.25
2840,mynychu,прибывать,verbs,1.05
2841,brawd,мальчик,nouns,1.4
2842,traddodiad,ремесло,nouns,0.4
2843,weithiau,равномерно,adverbs,0.05
2844,gorffen,откладывать,verbs,0.4
2845,clyfar,тупой,adjectives,0.05
2846,eliffant,динозавр,nouns,0.35
2847,methu,обескураживать,verbs,0.35
2848,cebl,волшебник,nouns,0.0
2849,cerdyn,бридж,nouns,0.5
2850,hurt,редкий,adjectives,0.0
2851,paragraff,письмо,nouns,0.9
2852,gormesu,отрекаться,verbs,0.15
2853,dadlau,требовать,verbs,1.4
2854,baw,слякоть,nouns,4.8
2855,cefnder,дядя,nouns,1.05
2856,rhythm,арифметика,nouns,0.1
2857,perfedd,хладнокровие,nouns,1.05
2858,yn annaturiol,естественно,adverbs,0.1
2859,cymysgu,растворять,verbs,1.8
2860,cydnabod,принимать,verbs,2.8
2861,tramorwr,переводчик,nouns,0.5
2862,mwd,грязь,nouns,4.8
2863,onest,виноватый,adjectives,0.05
2864,yn fras,очевидно,adverbs,0.2
2865,yn llachar,значительно,adverbs,0.65
2866,amddiffyn,помогать,verbs,1.9
2867,menyw,джинсы,nouns,0.2
2868,coeden,клен,nouns,2.95
2869,ysgol feithrin,детский сад,nouns,5.4
2870,baled,песня,nouns,3.9
2871,yn wallgof,грустно,adverbs,0.25
2872,deuod,конденсатор,nouns,0.85
2873,derbyn,отвергать,verbs,0.13
2874,apwyntiad,обязательство,nouns,0.65
2875,teledu,актер,nouns,1.0
2876,glân,безупречный,adjectives,3.25
2877,dweud,участвовать,verbs,0.3
2878,llyn,болото,nouns,0.9
2879,sylweddol,незначительный,adjectives,0.05
2880,dewin,кабель,nouns,0.0
2881,trydan,ящик,nouns,0.3
2882,dannedd,кость,nouns,1.05
2883,cludo,поднимать,verbs,1.2
2884,pen-glin,рука,nouns,0.7
2885,diffinio,уточнить,verbs,3.4
2886,hapus,довольный,adjectives,2.7
2887,blanced,дерево,nouns,0.0
2888,algebra,операция,nouns,0.2
2889,stryd,автомобиль,nouns,0.75
2890,iard,дюйм,nouns,1.2
2891,cystadleuwr,соперник,nouns,3.15
2892,yr un peth,похожий,adjectives,5.15
2893,deilen,дерево,nouns,1.2
2894,yn ddiffuant,серьезно,adverbs,0.85
2895,ymuno,добавлять,verbs,1.2
2896,cyfansoddiad,император,nouns,0.25
2897,dyweddïad,назначение,nouns,0.65
2898,darn,аэропорт,nouns,0.0
2899,myfyriwr,учитель,nouns,0.8
2900,mamfwrdd,главная плата,nouns,3.1
2901,gwthio,тянуть,verbs,0.35
2902,cyflwr,дом,nouns,0.25
2903,yn ochelgar,внимательно,adverbs,2.8
2904,hir,короткий,adjectives,0.1
2905,yn ddarostyngedig,неудачно,adverbs,0.05
2906,liberti,свобода,nouns,5.75
2907,gweddïo,общаться,verbs,0.55
2908,te,лимон,nouns,0.8
2909,cydnabod,уведомлять,verbs,0.6
2910,yn fuan,немедленно,adverbs,2.05
2911,pumed,первый,adjectives,0.0
2912,priodol,официальный,adjectives,0.85
2913,sblash,вязкость,nouns,0.2
2914,rhagfarn,шовинист,nouns,2.0
2915,mawr,легкий,adjectives,0.0
2916,yn union,неаккуратно,adverbs,0.0
2917,dwyn,давать,verbs,0.05
2918,geneth,ребенок,nouns,1.45
2919,hysbysu,сообщать,verbs,4.4
2920,yn sicr,нервный,adjectives,0.05
2921,crio,рыдать,verbs,4.7
2922,enillydd,присутствие,nouns,0.05
2923,digartref,миллиардер,nouns,0.1
2924,gwyliadwraeth,юбка,nouns,0.1
2925,cotwm,свитер,nouns,0.55
2926,awyrgylch,озон,nouns,1.65
2927,alcohol,вино,nouns,2.0
2928,gofal,осторожность,nouns,2.45
2929,priffordd,дорога,nouns,4.35
2930,rhoi,получать,verbs,0.2
2931,graddio,отмечать,verbs,2.4
2932,llyfn,острый,adjectives,0.2
2933,drwg,великолепный,adjectives,0.0
2934,concwest,битва,nouns,2.2
2935,gwarcheidwad,мать,nouns,1.65
2936,cyffredin,потрясающий,adjectives,0.1
2937,fel arfer,ежедневно,adverbs,1.4
2938,damwain,бедствие,nouns,3.5
2939,actores,актер,nouns,3.3
2940,taliad,монета,nouns,0.95
2941,unffurf,бесформенный,adjectives,0.0
2942,coctel,алкоголь,nouns,1.7
2943,bathodyn,стекло,nouns,0.0
2944,cynffon,затылок,nouns,0.55
2945,maint,цент,nouns,0.3
2946,misol,еженедельный,adjectives,0.55
2947,calibr,зонтик,nouns,0.0
2948,creu,рисовать,verbs,0.45
2949,trist,ужасный,adjectives,1.3
2950,gyrrwr,пилот,nouns,2.35
2951,degawd,эпоха,nouns,1.2
2952,trefnus,беспорядочный,adjectives,0.2
2953,llyfr,рукопись,nouns,1.5
2954,caled,легкий,adjectives,0.05
2955,pêl-foli,мяч,nouns,1.75
2956,rhannu,умножать,verbs,0.35
2957,cyfraith,факультет,nouns,0.55
2958,cryptogram,символ,nouns,2.2
2959,cofio,думать,verbs,0.75
2960,gwasgu,освобождать,verbs,0.05
2961,anniben,порядоченный,adjectives,0.2
2962,teithio,ходить,verbs,2.1
2963,yn hyderus,тайно,adverbs,0.15
2964,hawdd,большой,adjectives,0.0
2965,arbed,коллекционировать,verbs,2.0
2966,hel,ловить,verbs,1.6
2967,dirywio,протирать,verbs,0.3
2968,gweiddi,орать,verbs,4.6
2969,capel,кабель,nouns,0.0
2970,gadael,оставаться,verbs,0.05
2971,stori,песня,nouns,0.6
2972,cymysgu,пить,verbs,0.2
2973,tâl,платеж,nouns,4.35
2974,crefydd,секулярист,nouns,0.8
2975,alcohol,бренди,nouns,2.25
2976,targed,стрела,nouns,0.8
2977,tuedd,мнение,nouns,2.4
2978,blwch  ,шляпа,nouns,0.25
2979,het,пальто,nouns,0.8
2980,arian,зарплата,nouns,2.85
2981,gwleidydd,полицейский,nouns,0.2
2982,cromlin,угол,nouns,2.0
2983,gwn,пушка,nouns,2.15
2984,hapus,молодой,adjectives,0.25
2985,yn llawn,в принципе,adverbs,0.3
2986,pêl,костюм,nouns,0.55
2987,bregus,бесстрастный,adjectives,0.1
2988,ffres,новый,adjectives,3.7
2989,ysgwyd,собирать,verbs,0.0
2990,dod,посещать,verbs,2.65
2991,tribiwnlys,справедливость,nouns,1.25
2992,proffwydo,полагать,verbs,1.55
2993,papur wal,фон,nouns,1.45
2994,cwpan,рожок,nouns,0.35
2995,meddyg,ортодонт,nouns,1.6
2996,caniataëdig,легальный,adjectives,2.7
2997,gosod mewn trefn,организовывать,verbs,5.25
2998,nerf,тело,nouns,0.45
2999,cwt,домик,nouns,3.35
3000,dŵr,коронация,nouns,0.0
3001,cnawd,кровь,nouns,1.1
3002,blodyn,куст,nouns,1.1
3003,gwybod,понимать,verbs,2.1
3004,proffwydo,определять,verbs,0.95
3005,plisman,штурман,nouns,0.05
3006,eginblanhigyn,лист,nouns,1.05
3007,chwaraewr,тренер,nouns,0.5
3008,wisgi,алкоголь,nouns,2.3
3009,basged,мяч,nouns,0.45
3010,afu,легкое,nouns,0.85
3011,gair,страница,nouns,0.8
3012,ffrind,наставник,nouns,1.25
3013,chwilio,спрашивать,verbs,0.95
3014,seciwlarydd,религия,nouns,0.8
3015,gwaed,тело,nouns,0.95
3016,meddyg,профессор,nouns,1.0
3017,dod yn,организовывать,verbs,0.15
3018,darllen,укусить,verbs,0.0
3019,trafod syniadau,телескоп,nouns,0.0
3020,efelychiad,робототехника,nouns,0.6
3021,gwesty,квартира,nouns,0.5
3022,rhyddid,свобода,nouns,5.75
3023,morgrugyn,муха,nouns,0.3
3024,cythruddo,угадывать,verbs,0.0
3025,sain,акустика,nouns,2.95
3026,metel,олово,nouns,2.15
3027,cytuno,различаться,verbs,0.0
3028,prif air,синтаксис,nouns,0.3
3029,sgol,ветер,nouns,3.35
3030,cinio,трапеза,nouns,3.05
3031,cytoplasm,цифра,nouns,0.0
3032,glaw,метель,nouns,0.85
3033,tsunami,море,nouns,1.25
3034,lansio,отправить,verbs,1.75
3035,egluro,определять,verbs,3.4
3036,llawysgrif,книга,nouns,1.5
3037,hysbysu,изображать,verbs,0.15
3038,cardigan,рубашка,nouns,0.8
3039,camera,продолжение,nouns,0.0
3040,rhoddi,занимать,verbs,1.65
3041,ceiniog,сделка,nouns,0.55
3042,heb ei ddefnyddio,новый,adjectives,3.55
3043,emosiwn,настроение,nouns,2.35
3044,pobl,цент,nouns,0.0
3045,nod,клуб,nouns,0.0
3046,pwerus,могущественный,adjectives,4.25
3047,peilliad,тычинка,nouns,1.25
3048,euog,плохой,adjectives,0.8
3049,pobl,население,nouns,2.45
3050,hyfforddiant,стипендия,nouns,0.85
3051,modfedd,метр,nouns,1.05
3052,cyfeiliornus,ненадёжный,adjectives,1.7
3053,gwrthod,отказаться,verbs,2.45
3054,aren,орган,nouns,2.4
3055,ysgafn,острый,adjectives,0.05
3056,ymosodiad,блицкриг,nouns,3.3
3057,gadael,странствовать,verbs,0.65
3058,braisg,большой,adjectives,4.55
3059,gwan,мощный,adjectives,0.05
3060,syniad,план,nouns,2.2
3061,llwm,скучный,adjectives,3.25
3062,canwr,актер,nouns,1.05
3063,ysglyfaeth,бог,nouns,0.15
3064,storm,ураган,nouns,3.8
3065,tymestl,покрывало,nouns,0.0
3066,gweithiwr,работодатель,nouns,0.8
3067,mariwana,трава,nouns,2.1
3068,biliwnydd,бездомный,nouns,0.1
3069,drachtio,глотать,verbs,2.2
3070,dichonadwy,невозможный,adjectives,0.5
3071,dioddefwr,телефон,nouns,0.0
3072,rheolaeth,работа,nouns,0.85
3073,purdan,загробный мир,nouns,1.85
3074,athro,помощник,nouns,2.1
3075,yn ddiweddar,теперь,adverbs,0.65
3076,polyester,хлопок,nouns,0.9
3077,yn gyfrifol,надежно,adverbs,3.25
3078,cymysgu,ездить,verbs,0.1
3079,yn ystyrlon,специально,adverbs,0.75
3080,caled,прочный,adjectives,3.1
3081,methu,ударять,verbs,0.05
3082,crëwr,автор,nouns,3.8
3083,gwahaniaethu,спорить,verbs,0.5
3084,maes llafur,экзамен,nouns,0.5
3085,yfory,сегодня ночью,adverbs,0.4
3086,brawd,человек,nouns,0.5
3087,bàth,шалость,nouns,0.0
3088,saeth,мишень,nouns,0.8
3089,drwg,виноватый,adjectives,0.8
3090,siaced,одежда,nouns,1.7
3091,dychryn,преследовать,verbs,1.15
3092,map,площадь,nouns,0.4
3093,criced,сторонник,nouns,0.05
3094,wal,замок,nouns,0.6
3095,hafaliad,формула,nouns,3.6
3096,lladd,душить,verbs,1.85
3097,rhyfedd,нормальный,adjectives,0.05
3098,cig,бутерброд,nouns,0.5
3099,hela,искать,verbs,1.95
3100,ysbryd,бог,nouns,1.7
3101,cemeg,теория,nouns,0.7
3102,cenllysg,дождь,nouns,1.55
3103,claddedigaeth,смерть,nouns,1.4
3104,concwest,путешествие,nouns,0.2
3105,cytundeb,пакт,nouns,4.9
3106,derbyn,верить,verbs,1.15
3107,diog,занятый,adjectives,0.05
3108,cig,бекон,nouns,2.55
3109,dinistr,построение,nouns,0.2
3110,ci,лошадь,nouns,0.6
3111,lwcus,пристыженный,adjectives,0.0
3112,osgoi,игнорировать,verbs,3.4
3113,cerflun,скульптура,nouns,4.5
3114,mynydd,выступ,nouns,0.5
3115,steil,элегантность,nouns,3.1
3116,ardderchog,прекрасный,adjectives,5.3
3117,athro,друг,nouns,1.25
3118,ffantasi,реальность,nouns,0.55
3119,rhoi,держать,verbs,0.15
3120,yn fecanyddol,идеально,adverbs,0.05
3121,tad,родитель,nouns,3.3
3122,stêc,мясо,nouns,3.65
3123,poblogaeth,народ,nouns,2.45
3124,ale,улица,nouns,2.75
3125,yn gyfrinachgar,очевидно,adverbs,0.25
3126,claf,сессия,nouns,0.15
3127,drws,кухня,nouns,0.5
3128,ymdrech,трудность,nouns,1.3
3129,banciwr,юрист,nouns,0.8
3130,toddi,растворяться,verbs,2.6
3131,hebog,орел,nouns,1.8
3132,tŷ,ковер,nouns,0.55
3133,yn gynnil,громко,adverbs,0.0
3134,sibrwd,говорить,verbs,1.7
3135,capel,шпиль,nouns,0.7
3136,firws,кровь,nouns,0.7
3137,pobl,шар,nouns,0.0
3138,digwyddiad,сбор пожертвований,nouns,1.35
3139,pennod,выбор,nouns,0.3
3140,chwerthin,плакать,verbs,0.1
3141,yn gyfeillgar,навряд ли,adverbs,0.0
3142,cul,длинный,adjectives,0.35
3143,cydweithredu,участвовать,verbs,1.9
3144,corn,автомобиль,nouns,0.65
3145,troed,кисть,nouns,0.4
3146,nofel,писатель,nouns,1.15
3147,coridor,дверь,nouns,0.5
3148,garw,равнодушный,adjectives,0.4
3149,actor,актриса,nouns,3.3
3150,chwaer,брат,nouns,1.6
3151,drws,коридор,nouns,0.5
3152,drws,братство,nouns,0.0
3153,gallu,компетенция,nouns,3.4
3154,gwefus,бедро,nouns,0.4
3155,goddefol,агрессивный,adjectives,0.05
3156,barn,идея,nouns,2.35
3157,arian,бриллиант,nouns,0.9
3158,cwmpawd,слон,nouns,0.0
3159,perswadio,добиваться,verbs,0.75
3160,heulwen,яблоко,nouns,0.0
3161,gwenynen,матка,nouns,0.75
3162,sâl,сумасшедший,adjectives,0.9
3163,drws,окно,nouns,0.7
3164,cotwm,полиэстер,nouns,0.9
3165,arian cyfred,совпадение,nouns,0.0
3166,bwriad,воля,nouns,2.05
3167,coridor,проход,nouns,4.0
3168,anwybodus,обычный,adjectives,0.05
3169,gweithiwr,механик,nouns,1.95
3170,clou,скоростной,adjectives,4.4
3171,gair,словарь,nouns,1.25
3172,dant,рот,nouns,0.95
3173,amddiffyn,сохранять,verbs,1.85
3174,hyll,грубый,adjectives,0.7
3175,ymdrechu,предрешать,verbs,0.15
3176,cefn,хвост,nouns,0.55
3177,enfawr,большой,adjectives,4.3
3178,ymuno,приобретать,verbs,0.2
3179,twyll,преступление,nouns,2.25
3180,etholiad,выбор,nouns,2.7
3181,economi,экосистема,nouns,0.4
3182,senoffobia,расизм,nouns,3.15
3183,anrhagweledig,неожиданный,adjectives,4.9
3184,cyfathrebu,беседа,nouns,4.5
3185,diflas,острый,adjectives,0.15
3186,ffurfiol,приличный,adjectives,0.85
3187,papur,плакат,nouns,1.6
3188,canrif,спиртное,nouns,0.0
3189,digonedd,множество,nouns,4.5
3190,tasg,задание,nouns,4.35
3191,ychydig,грубо,adverbs,0.0
3192,hurt,умный,adjectives,0.05
3193,cebl,часовня,nouns,0.0
3194,cyfeillgar,великодушный,adjectives,2.25
3195,band,спиртное,nouns,0.15
3196,cegin,дверь,nouns,0.5
