ID,EST,SPA,PoS,score
2834,riis,niño,nouns,0.05
2835,õppima,educar,verbs,2.25
2836,haru,brazo,nouns,0.95
2837,vallutus,batalla,nouns,2.0
2838,puus,labio,nouns,0.55
2839,arvama,irritar,verbs,0.2
2840,hädaolukord,accidente,nouns,3.45
2841,ostma,paga,verbs,1.7
2842,solvama,ofender,verbs,3.85
2843,statistika,tenis,nouns,0.45
2844,vali,grosero,adjectives,1.3
2845,peatuma,controlar,verbs,0.85
2846,diood,condensador,nouns,1.9
2847,iganädalane,mensual,adjectives,0.85
2848,kampaania,mono,nouns,0.1
2849,kass,mascota,nouns,2.8
2850,puuvill,poliéster,nouns,1.2
2851,võti,corona,nouns,0.55
2852,laskuma,retirarse,verbs,1.0
2853,ilmselgelt,aparentemente,adverbs,2.65
2854,tuntud,popular,adjectives,4.05
2855,krüptogramm,símbolo,nouns,2.35
2856,varjend,choza,nouns,0.7
2857,tagasi võtma,absorber,verbs,0.15
2858,informeerima,limpiar,verbs,0.0
2859,sammal,hierba,nouns,1.9
2860,pritsess,rey,nouns,1.6
2861,tõsiselt,en tono rimbombante,adverbs,1.6
2862,prints,rey,nouns,2.05
2863,hirmunud,inseguro,adjectives,2.25
2864,vallutus,himno,nouns,0.3
2865,täiuslik,completar,adjectives,2.9
2866,hävitama,descomponer,verbs,2.55
2867,vampiir,murciélago,nouns,1.45
2868,vitamiin,plancha,nouns,0.65
2869,abielluma,unirse,verbs,2.15
2870,ilmselt,simplemente,adverbs,0.9
2871,jätma,ignorar,verbs,1.0
2872,lubama,refutar,verbs,0.25
2873,hulktahukas,actor,nouns,0.15
2874,vihmavari,calentador,nouns,0.15
2875,tükk,aeropuerto,nouns,0.0
2876,ebaloomulikult,negativamente,adverbs,1.45
2877,molekul,matriz,nouns,0.55
2878,segatud,antiguo,adjectives,0.1
2879,võimekus,fuerza,nouns,2.95
2880,tõstma,beber,verbs,0.4
2881,pirukas,chocolate,nouns,1.1
2882,kaitsma,defender,verbs,4.8
2883,pilv,tormenta,nouns,1.2
2884,kast,ascensor,nouns,0.3
2885,pea,pie,nouns,0.7
2886,lööma,pellizcar,verbs,0.95
2887,kulutama,vestir,verbs,0.6
2888,ketas,cargador,nouns,0.35
2889,parapsühholoogia,neuropsicología,nouns,1.2
2890,riietatud,cubierto,adjectives,3.1
2891,vöökoht,comida,nouns,0.4
2892,juht,gerente,nouns,3.75
2893,tossud,medalla,nouns,0.25
2894,triivima,fluir,verbs,1.1
2895,vastandlik,otro,adjectives,0.8
2896,tütar,padre,nouns,0.8
2897,plekkpurk,botella,nouns,0.65
2898,püüdma,ejecutar,verbs,0.35
2899,uskuma,sentir,verbs,1.8
2900,katedraal,techo,nouns,0.7
2901,minema,permitir,verbs,0.45
2902,häbi,dolor,nouns,1.0
2903,pikk,corto,adjectives,0.35
2904,mõni,par,nouns,4.25
2905,suu,labio,nouns,2.3
2906,metall,aluminio,nouns,2.2
2907,lugeja,autor,nouns,0.9
2908,muretsema,malgastar,verbs,0.2
2909,loll,raro,adjectives,0.1
2910,veen,estómago,nouns,0.35
2911,kõht,cuerpo,nouns,1.7
2912,neuropsühholoogia,parasicología,nouns,1.2
2913,nutma,lloriquear,verbs,4.3
2914,muru,raíz,nouns,1.15
2915,direktor,jefe,nouns,4.25
2916,tahtma,pedir prestado,verbs,0.8
2917,teostatav,imposible,adjectives,0.4
2918,kuulama,obedecer,verbs,0.9
2919,liputeadus,bandera,nouns,1.3
2920,tõestama,discutir,verbs,1.35
2921,vestlus,comunicación,nouns,3.45
2922,delta,mar,nouns,1.2
2923,viha,estado animico,nouns,2.7
2924,tšempion,ganador,nouns,4.9
2925,otsustama,pensar,verbs,2.0
2926,koer,gato,nouns,1.05
2927,rünnak,bombardeo aéreo,nouns,3.4
2928,kannatamatu,ansioso,adjectives,4.0
2929,paraad,multitud,nouns,1.95
2930,kael,hueso,nouns,0.6
2931,sadam,envoltura,nouns,0.05
2932,liigutatav,flexible,adjectives,2.15
2933,realistlikult,idealmente,adverbs,0.8
2934,vastane,oponente,nouns,5.15
2935,alkohol,cóctel,nouns,2.2
2936,võrdlema,analizar,verbs,3.0
2937,silm,lágrima,nouns,1.2
2938,niit,pradera,nouns,4.6
2939,lumi,tormenta,nouns,1.35
2940,otsima,cazar,verbs,1.95
2941,jakk,ropa,nouns,1.6
2942,nuga,pistola,nouns,2.1
2943,psühholoogia,ciencia,nouns,1.45
2944,äkkrünnak,ataque,nouns,3.4
2945,raske,fácil,adjectives,0.35
2946,unustama,aprender,verbs,0.3
2947,leib,harina,nouns,1.15
2948,õrnalt,amablemente,adverbs,2.25
2949,lill,creencia,nouns,0.1
2950,ebaviisakas,ruidoso,adjectives,1.3
2951,ühing,negocio,nouns,1.9
2952,vajalik,importante,adjectives,4.2
2953,üritama,tener la intención,verbs,2.9
2954,hommikusöök,cena,nouns,0.95
2955,tõsine,gracioso,adjectives,0.45
2956,sukelduma,crear,verbs,0.15
2957,auto,bote,nouns,0.7
2958,ranne,brazo,nouns,1.6
2959,nurjuma,desalentar,verbs,1.1
2960,võimalikult,con optimismo,adverbs,1.2
2961,pliiats,historia,nouns,0.65
2962,hiilgav,genial,adjectives,3.95
2963,kirikutorn,capilla,nouns,1.2
2964,pankrot,fracaso,nouns,2.0
2965,asetäitja,oficial,nouns,1.05
2966,hindeid panema,corregir,verbs,4.5
2967,sfäär,pelota,nouns,2.2
2968,compass,elefante,nouns,0.6
2969,alati,dos veces,adverbs,0.05
2970,ohutult,felizmente,adverbs,1.0
2971,homofoon,fotófono,nouns,0.5
2972,karistama,enseñar,verbs,0.35
2973,abikaasa (naine),centavo,nouns,0.2
2974,mägi,repisa,nouns,0.75
2975,sipelgas,volar,nouns,1.0
2976,paljusus,abundancia,nouns,4.7
2977,nuuksuma,llorar,verbs,3.75
2978,teleskoop,reunión creativa,nouns,0.0
2979,uurima,examinar,verbs,3.7
2980,naljakas,grave,adjectives,0.45
2981,globalism,visado,nouns,0.9
2982,arutlema,discutir,verbs,3.0
2983,avatult,macizamente,adverbs,0.25
2984,jard,pulgada,nouns,0.65
2985,diivan,silla,nouns,2.15
2986,imeline,genial,adjectives,4.3
2987,mees,niño,nouns,1.0
2988,kehatu,espiritual,adjectives,3.4
2989,klaver,armonía,nouns,0.75
2990,uba,café,nouns,0.8
2991,puudumine,presencia,nouns,0.6
2992,võimlemine,esgrima,nouns,2.1
2993,tuju,médico,nouns,0.25
2994,imenduma,retirar,verbs,0.15
2995,voolik,coche,nouns,0.35
2996,tegema,ganar,verbs,0.6
2997,mootor,máquina,nouns,2.6
2998,hoiatama,detener,verbs,0.5
2999,kivi,madera,nouns,1.0
3000,kohtlema,paga,verbs,0.25
3001,hoomama,saber,verbs,3.05
3002,mõtlema,tratar,verbs,0.8
3003,lubama,dejar,verbs,4.35
3004,heidutama,enfadar,verbs,1.15
3005,vale,preciso,adjectives,0.3
3006,džinn,whisky,nouns,1.15
3007,võitja,campeón,nouns,4.9
3008,koor,iglesia,nouns,1.4
3009,tekst,libro,nouns,2.3
3010,maantee,carretera,nouns,4.2
3011,kerge,sencillo,adjectives,4.4
3012,halb,mediocre,adjectives,2.2
3013,haavama,insultar,verbs,3.85
3014,värske,nuevo,adjectives,4.0
3015,naarits,piel,nouns,2.55
3016,näitleja,poliedro,nouns,0.15
3017,relv,cuchillo,nouns,2.1
3018,panema,dar,verbs,0.9
3019,närviline,asustado,adjectives,2.1
3020,monarhia,democracia,nouns,1.25
3021,ülbe,orgulloso,adjectives,3.3
3022,jätma,tomar,verbs,0.6
3023,teenima,merecer,verbs,2.2
3024,valik,opinión,nouns,1.1
3025,toll,metro,nouns,1.55
3026,orkester,banda,nouns,3.8
3027,oksendama,cerrar,verbs,0.0
3028,arreteerima,sospechar,verbs,1.05
3029,sessioon,paciente,nouns,0.75
3030,privaatne,personal,adjectives,4.85
3031,hiiglasuur,grande,adjectives,4.35
3032,suurus,truco,nouns,0.05
3033,peekon,desayuno,nouns,0.55
3034,osariik,casa,nouns,0.4
3035,palavik,gripe,nouns,2.3
3036,kokkulangevus,moneda,nouns,0.2
3037,ingel,demonio,nouns,1.2
3038,ühinema,cooperar,verbs,2.5
3039,jakk,suéter,nouns,2.15
3040,arst,templar,nouns,0.25
3041,eitama,dar,verbs,0.2
3042,patrull,ejército,nouns,1.1
3043,vend,hijo,nouns,0.95
3044,kalender,vacaciones,nouns,1.15
3045,õnnelik,enojado,adjectives,0.25
3046,sõiduk,autobús,nouns,2.4
3047,vormimata,uniforme,adjectives,0.6
3048,kannatused,desesperación,nouns,2.45
3049,suurlinn,pueblo,nouns,2.35
3050,muu,opuesto,adjectives,0.8
3051,ootama,salir,verbs,0.3
3052,kääbuskasvu,pequeñito,adjectives,4.35
3053,andestama,aceptar,verbs,2.55
3054,populaarne,conocido,adjectives,4.05
3055,lemmikloom,gato,nouns,2.8
3056,ajaleht,palabra,nouns,1.1
3057,heaks kiitma,permitir,verbs,3.4
3058,pühkima,deteriorarse,verbs,0.25
3059,juhataja,líder,nouns,3.75
3060,sisalik,cocodrilo,nouns,2.6
3061,ilmselgelt,seguramente,adverbs,2.7
3062,surm,tragedia,nouns,2.15
3063,lamp,genio,nouns,0.9
3064,rebane,sabueso,nouns,1.1
3065,õppima,evaluar,verbs,0.9
3066,kalju,mía,nouns,0.0
3067,ära tõukama,dar,verbs,0.2
3068,turvaliselt,cuidadosamente,adverbs,3.75
3069,petersell,mollete,nouns,0.45
3070,saatma,recibir,verbs,0.6
3071,andma,negar,verbs,0.2
3072,saal,pasillo,nouns,0.9
3073,kirik,catedral,nouns,4.3
3074,uks,fraternidad,nouns,0.35
3075,ortodont,dentista,nouns,4.4
3076,räpane,pegajoso,adjectives,1.8
3077,helilooja,escritor,nouns,1.85
3078,saama,permanecer,verbs,0.0
3079,pealik,alcalde,nouns,1.85
3080,tina,metal,nouns,2.25
3081,leidma,desaparecer,verbs,0.5
3082,võti,candado,nouns,1.95
3083,tsütoplasma,dígito,nouns,0.05
3084,võti,casa,nouns,0.8
3085,andma,saber,verbs,0.25
3086,kuupäev,cumpleaños,nouns,1.7
3087,põletama,ahogar,verbs,0.25
3088,kristall,vaso,nouns,1.8
3089,korter,hotel,nouns,1.1
3090,kuulama,entender,verbs,1.2
3091,hiir,envase,nouns,0.25
3092,õhtu,puesta de sol,nouns,1.9
3093,kallas,costa,nouns,4.1
3094,vähk,enfermedad,nouns,2.45
3095,looma,construir,verbs,3.75
3096,vehklemine,gimnasia,nouns,2.1
3097,eksootiline,raro,adjectives,4.2
3098,dollar,gente,nouns,0.1
3099,mahl,cuchara,nouns,0.4
3100,kergeusklik,estúpido,adjectives,2.55
3101,ülesanne,isla,nouns,0.05
3102,advokaat,galería,nouns,0.1
3103,palk,madera,nouns,3.55
3104,hiir,gato,nouns,0.6
3105,vürtsine,débiles,adjectives,0.0
3106,maksma,tratar,verbs,0.25
3107,viies,parte superior,adjectives,0.4
3108,pilt,idea,nouns,1.15
3109,heameelt tegema,alegar,verbs,0.45
3110,film,nihilismo,nouns,0.3
3111,proovima,pensar,verbs,0.8
3112,vägivaldne,radical,adjectives,2.0
3113,sõjamees,hombre,nouns,1.35
3114,korporatsioon,hombres,nouns,1.1
3115,paber,madera,nouns,1.25
3116,kõrs,esposa,nouns,0.15
3117,akustika,sonido,nouns,3.35
3118,ruupor,tambor,nouns,0.95
3119,põhi,oeste,nouns,0.75
3120,ellu jääma,vivir,verbs,2.2
3121,lämbuma,respirar,verbs,0.6
3122,võistlema,terminar,verbs,0.3
3123,hümn,cañita,nouns,0.05
3124,helikopter,avión,nouns,1.45
3125,uskuma,saber,verbs,1.4
3126,eksam,silaba,nouns,0.75
3127,nõustuma,diferir de,verbs,0.35
3128,administratsioon,gestión,nouns,3.8
3129,auto,calle,nouns,0.55
3130,jooksma,montar,verbs,0.6
3131,ühinema,salir,verbs,0.4
3132,ebaloomulikult,naturalmente,adverbs,0.3
3133,pesapall,fraternidad,nouns,0.25
3134,iga,belleza,nouns,0.65
3135,isa,hija,nouns,0.8
3136,täht,párrafo,nouns,0.75
3137,isa,hermano,nouns,0.9
3138,riided,armario,nouns,1.25
3139,skulptuur,estatua,nouns,5.0
3140,kurat,dios,nouns,0.9
3141,artikkel,libro,nouns,1.05
3142,võtma,robar,verbs,1.5
3143,määrama,evacuar,verbs,0.4
3144,ebausaldusväärne,tortuoso,adjectives,0.9
3145,teadma,creer,verbs,1.4
3146,taburet,silla,nouns,3.6
3147,motell,posada,nouns,3.65
3148,lõpetama,empezar,verbs,0.4
3149,vastutustundetu,inmaduro,adjectives,2.85
3150,molekul,aire,nouns,0.95
3151,kurb,terrible,adjectives,0.7
3152,tapma,lucha,verbs,0.75
3153,prohvet,sacerdote,nouns,1.35
3154,ilm,nieve,nouns,1.15
3155,piparmünt,goma,nouns,0.45
3156,suurepärane,malo,adjectives,0.2
3157,minema,empezar,verbs,0.6
3158,valgus,teclado,nouns,0.35
3159,mööbel,cama,nouns,1.75
3160,raamat,literatura,nouns,2.35
3161,noppima,seleccionar,verbs,2.0
3162,tunnistama,hablar,verbs,1.15
3163,käsi,músculo,nouns,1.4
3164,luide,desierto,nouns,1.95
3165,allkirjastama,flotador,verbs,0.0
3166,maks,pulmón,nouns,0.8
3167,uus,no usado,adjectives,5.0
3168,abistama,asistir,verbs,4.35
3169,jagama,multiplicar,verbs,0.7
3170,ballaad,canción,nouns,3.55
3171,meri,delta,nouns,1.2
3172,neelatama,sorber,verbs,2.0
3173,hädaline,inseguro,adjectives,1.2
3174,sidrun,manzana,nouns,0.8
3175,vagun,carro,nouns,2.3
3176,pöörane,enfermos,adjectives,1.35
3177,eelkool,guardería,nouns,2.65
3178,taipama,descubrir,verbs,3.95
3179,pisar,ojo,nouns,1.2
3180,sõna,periódico,nouns,1.1
3181,säilitama,olvidar,verbs,0.45
3182,laud,puesta de sol,nouns,0.1
3183,nurk,zona,nouns,0.55
3184,jää,nieve,nouns,2.95
3185,kahur,pelota,nouns,0.9
3186,regulaarne,ignorante,adjectives,0.2
3187,mehed,fraternidad,nouns,1.1
3188,voodi,silla,nouns,1.15
3189,kana,filete,nouns,1.55
3190,kitsas,sucio,adjectives,0.25
3191,tants,vestir,nouns,0.6
3192,püüdma,recibir,verbs,1.0
3193,kurbus,vergüenza,nouns,1.0
3194,kitsas,amplio,adjectives,0.35
3195,nina,boca,nouns,1.1
3196,vältima,negar,verbs,1.75
3197,takso,coche,nouns,3.15
3198,osalema,reunir,verbs,1.25
3199,kahtlev,colérico,adjectives,0.7
3200,trumm,cuerno,nouns,0.95
3201,spetsiaalselt,significativamente,adverbs,2.0
3202,õli,visón,nouns,0.25
3203,matemaatik,show,nouns,0.1
3204,kindlalt,claramente,adverbs,3.05
3205,tita,hija,nouns,2.2
3206,lahkuma,deambular,verbs,1.05
3207,edu saavutama,ganar,verbs,3.65
3208,segadus,histeria,nouns,2.25
3209,ankur,bote,nouns,1.1
3210,taevas,sol,nouns,1.25
3211,erinev,normal,adjectives,0.5
3212,järsk,frígido,adjectives,1.2
3213,vaene,solitario,adjectives,0.5
3214,kirjutama,garabatear,verbs,1.95
3215,paat,cubierta,nouns,0.8
3216,mõõk,ambiente,nouns,0.05
3217,maks,ingresos,nouns,0.75
3218,ametlikult,fuertemente,adverbs,0.5
3219,võime,competencia,nouns,3.35
3220,otsing,objetivo,nouns,1.35
3221,sidrun,té,nouns,0.55
3222,täielik,terminado,adjectives,2.9
3223,püüdma,lanzar,verbs,0.6
3224,isiklik,privado,adjectives,4.85
3225,hädavajalik,necesario,adjectives,4.4
3226,teleskoop,silla,nouns,0.1
3227,leegion,ejército,nouns,3.25
3228,režissöör,cinematografía,nouns,1.75
3229,hüsteeria,confusión,nouns,2.25
3230,klaas,cristal,nouns,1.8
3231,nina,garganta,nouns,0.9
3232,list,formación,nouns,1.05
3233,demokraatia,monarquía,nouns,1.25
3234,anatoomia,biología,nouns,2.1
3235,keskpärane,malo,adjectives,2.2
3236,vaidlema,pedir,verbs,1.05
3237,unustama,ignorar,verbs,2.0
3238,raud,vitamina,nouns,0.65
3239,haigusetekitaja,germen,nouns,3.5
3240,pööraselt,tristemente,adverbs,0.65
3241,apokalüpsis,fuego,nouns,0.85
3242,sigar,caja,nouns,0.6
3243,keel,puesta de sol,nouns,0.05
3244,laulja,coro,nouns,1.55
3245,imik,adulto,nouns,0.75
3246,kirg,emoción,nouns,3.45
3247,lõdvestunud,estresado,adjectives,0.4
3248,mast,bandera,nouns,0.9
3249,avalikustamata,abierto,adjectives,0.35
3250,ootama,pausa,verbs,2.15
3251,töö,tarea,nouns,3.85
3252,hävitama,salvar,verbs,0.2
3253,selgelt,seguramente,adverbs,3.05
3254,heelium,aire,nouns,1.45
3255,puhas,sucio,adjectives,0.7
3256,mõõk,trono,nouns,0.5
3257,peenike,estrecho,adjectives,3.55
3258,vähenema,descender,verbs,1.85
3259,veok,paquete,nouns,0.95
3260,kino,ópera,nouns,1.2
3261,uus,fresco,adjectives,4.0
3262,nõustuma,discutir,verbs,0.6
3263,lahkuma,llegar,verbs,0.6
3264,suurepärane,horrible,adjectives,0.35
3265,andma,prestar,verbs,2.35
3266,jagama,unir,verbs,0.65
3267,torm,nube,nouns,1.2
3268,alumiinium,estaño,nouns,1.25
3269,õlu,bebida,nouns,1.8
3270,põhi,sur,nouns,0.85
3271,telefon,cabina,nouns,1.2
3272,unistus,cielo,nouns,0.65
3273,fantaasia,realidad,nouns,0.6
3274,masin,motor,nouns,2.6
3275,kummaline,ordinario,adjectives,0.45
3276,võtma,recibir,verbs,1.65
3277,liide,afijo,nouns,2.7
3278,mesi,lácteos,nouns,0.4
3279,tagasi lükkama,retirar,verbs,1.55
3280,mees,padre,nouns,2.05
3281,kokkuhoid,ahorrador,nouns,2.3
3282,õhtueine,desayuno,nouns,0.95
3283,rahulik,relajado,adjectives,3.85
3284,uhkus,alegría,nouns,1.3
3285,õpetama,castigar,verbs,0.35
3286,rahvuslik,grande,adjectives,0.6
3287,väetis,crecimiento,nouns,1.1
3288,kahju,dolor,nouns,2.1
3289,äri,sociedad,nouns,1.9
3290,võtma,obtener,verbs,2.6
3291,enne,después,adverbs,0.35
3292,kampsun,camisa,nouns,1.3
3293,vana,mezclado,adjectives,0.1
3294,näitleja,televisión,nouns,0.9
3295,makse,moneda,nouns,1.75
3296,käsivars,pierna,nouns,1.1
3297,saama,perder,verbs,0.2
3298,uus,antiguo,adjectives,0.45
3299,rahu,felicidad,nouns,2.55
3300,kohalolek,ganador,nouns,0.55
3301,tasu,pago,nouns,3.8
3302,heidutama,fallar,verbs,1.1
3303,naerma,llorar,verbs,0.65
3304,pahkluu,ventana,nouns,0.05
3305,kriitiline,grosero,adjectives,1.05
3306,pesema,enjuagar,verbs,3.5
3307,silmus,cinturón,nouns,1.1
3308,süüdistama,empujar,verbs,0.3
3309,tagasihoidlikult,mal,adverbs,0.65
3310,raiskama,preocuparse,verbs,0.2
3311,märgatav,obvio,adjectives,3.3
3312,diskreetselt,obviamente,adverbs,0.45
