ID,CMN,SPA,PoS,score
2980,课程,acción,nouns,0.83
2981,鼻子,cabeza,nouns,0.54
2982,咬,leer,verbs,0.0
2983,排外主义,racismo,nouns,3.89
2984,空气,helio,nouns,2.02
2985,草地,pradera,nouns,4.21
2986,模拟,robótica,nouns,0.73
2987,酒,ginebra,nouns,3.01
2988,冰雹,lluvia,nouns,1.38
2989,昆虫,abeja,nouns,2.95
2990,手套,pelota,nouns,0.64
2991,乐趣,juego,nouns,0.78
2992,尖,aburrido,adjectives,0.09
2993,经常地,ocasionalmente,adverbs,1.17
2994,流行,conocido,adjectives,3.97
2995,流言蜚语,noticias,nouns,2.14
2996,海滩,isla,nouns,1.58
2997,续集,cámara,nouns,0.15
2998,妻子,centavo,nouns,0.33
2999,其他,opuesto,adjectives,0.69
3000,说明,discutir,verbs,1.65
3001,失去,mantener,verbs,0.14
3002,教育,aprender,verbs,1.98
3003,规则,convención,nouns,2.42
3004,柠檬,té,nouns,0.29
3005,求情,pedir,verbs,0.48
3006,伟大,horrible,adjectives,0.15
3007,便士,ganga,nouns,0.2
3008,珍珠,dinero,nouns,0.5
3009,农业,monocultivo,nouns,1.19
3010,狮子,gato,nouns,1.05
3011,宣告,declarar,verbs,4.14
3012,学生,profesor,nouns,0.43
3013,故事,tema,nouns,0.72
3014,冷静,neutral,adjectives,0.64
3015,演员,televisión,nouns,0.62
3016,真实地,en tono rimbombante,adverbs,0.05
3017,城堡,pared,nouns,0.53
3018,类别,caos,nouns,0.1
3019,安全地,felizmente,adverbs,0.43
3020,拯救,rescatar,verbs,5.12
3021,批评,odiar,verbs,0.72
3022,老鼠,rata,nouns,5.02
3023,争论,persuadir,verbs,1.79
3024,沐浴,habitación,nouns,0.39
3025,分数,evaluar,verbs,3.6
3026,创建,imaginar,verbs,1.02
3027,毛,mujer,nouns,0.15
3028,矩阵,vector,nouns,1.5
3029,敬重,honor,nouns,1.27
3030,害怕,inseguro,adjectives,1.41
3031,大致地,fácilmente,adverbs,0.1
3032,疯狂,feliz,adjectives,0.56
3033,身体,brazo,nouns,0.78
3034,杯子,cuchara,nouns,0.65
3035,机器人技术,simulación,nouns,0.73
3036,人,personaje,nouns,3.53
3037,未拿定主意,neutral,adjectives,1.22
3038,刺激,adivinar,verbs,0.04
3039,失去,cocinar,verbs,0.05
3040,书,literatura,nouns,2.15
3041,意外,catástrofe,nouns,3.2
3042,脖子,hueso,nouns,0.34
3043,大厦,habitación,nouns,0.49
3044,获得,robar,verbs,0.98
3045,争论,conversación,nouns,3.17
3046,做,construir,verbs,2.92
3047,珍爱,mantener,verbs,0.43
3048,兄弟会,béisbol,nouns,0.15
3049,日出,puesta de sol,nouns,0.57
3050,安慰,humillar,verbs,0.09
3051,才能,capacidad,nouns,3.54
3052,手表,falda,nouns,0.15
3053,光线电话机,homófono,nouns,0.4
3054,平庸,bien,adjectives,0.28
3055,船,coche,nouns,0.48
3056,活塞,motor,nouns,1.69
3057,新闻,chisme,nouns,2.14
3058,有礼貌地,discretamente,adverbs,1.27
3059,被动地,activamente,adverbs,0.28
3060,缺乏信心,necesitado,adjectives,0.39
3061,羊肉,oveja,nouns,4.08
3062,听见,hablar,verbs,0.57
3063,自行车,piel,nouns,0.2
3064,高高兴兴,activamente,adverbs,0.37
3065,相反,otro,adjectives,0.69
3066,选举权,salida,nouns,0.23
3067,之前,después,adverbs,0.23
3068,拒绝,dar,verbs,0.05
3069,乙酰胆碱,iris,nouns,0.15
3070,和蔼,cruel,adjectives,0.05
3071,餐,cena,nouns,3.25
3072,创建,dibujar,verbs,0.84
3073,监狱,bar,nouns,0.28
3074,帮手,profesor,nouns,0.96
3075,轻蔑,despreciativo,adjectives,4.03
3076,原木,madera,nouns,3.99
3077,订婚,casar,verbs,1.63
3078,共和国,duque,nouns,0.1
3079,坏,horrible,adjectives,3.07
3080,温和,agudo,adjectives,0.25
3081,日志,fórmula,nouns,0.1
3082,生物学,biotopo,nouns,1.04
3083,责怪,empujar,verbs,0.23
3084,四轮货运马车,envase,nouns,0.09
3085,关键,importante,adjectives,4.57
3086,搜索,deambular,verbs,0.58
3087,通常,diariamente,adverbs,3.29
3088,观察,mirar,verbs,4.28
3089,保护,ayuda,verbs,1.2
3090,问,alegar,verbs,0.48
3091,喝,aumentar,verbs,0.0
3092,不同的,extrañamente,adverbs,0.98
3093,西方,norte,nouns,0.34
3094,手臂,músculo,nouns,1.29
3095,航空电子学,aeronáutica,nouns,3.04
3096,雪,hielo,nouns,2.83
3097,谷,depresión,nouns,2.73
3098,邮件,velocidad,nouns,0.2
3099,人口,gente,nouns,3.13
3100,手臂,cuello,nouns,0.34
3101,钱,capital,nouns,3.92
3102,先生,dama,nouns,0.58
3103,电动机,bote,nouns,0.34
3104,重要地,verdaderamente,adverbs,0.05
3105,金,zinc,nouns,1.06
3106,飞机,aeropuerto,nouns,1.25
3107,教堂,cable,nouns,0.0
3108,手机,piña,nouns,0.0
3109,高兴,enfadado,adjectives,0.38
3110,准许,aprobar,verbs,3.46
3111,巧妙的,tranquilamente,adverbs,1.18
3112,钩针编织,uniforme,nouns,0.38
3113,绝望,miseria,nouns,2.38
3114,偷,comprar,verbs,0.38
3115,手术,álgebra,nouns,0.75
3116,给,robar,verbs,0.23
