ID,ENG,FIN,PoS,score
2879,passively,hiljaa,adverbs,1.27
2880,acquire,liittyä,verbs,0.21
2881,lawyer,galleria,nouns,0.0
2882,curved,aggressiivinen,adjectives,0.0
2883,firmly,pehmeästi,adverbs,0.2
2884,science,psykologia,nouns,1.71
2885,jacket,neule,nouns,2.32
2886,locally,ilmiselvästi,adverbs,0.0
2887,catch,kaapata,verbs,3.45
2888,literature,kirja,nouns,2.47
2889,clever,ovela,adjectives,3.61
2890,football,hauskanpito,nouns,0.15
2891,save,tuhota,verbs,0.2
2892,greet,tavata,verbs,1.86
2893,proper,kohtelias,adjectives,2.54
2894,serious,hauska,adjectives,0.25
2895,pay,ostaa,verbs,2.05
2896,drink,niellä,verbs,1.99
2897,protect,peittää,verbs,2.19
2898,hurt,potkaista,verbs,0.86
2899,aisle,eteishalli,nouns,2.31
2900,tomb,uudelleenhautaaminen,nouns,0.76
2901,journalist,runoilija,nouns,0.76
2902,car,silta,nouns,0.15
2903,confession,kieltäminen,nouns,0.42
2904,elegance,tyyli,nouns,3.8
2905,antagonize,ärsyttää,verbs,4.11
2906,listen,ymmärtää,verbs,1.34
2907,decade,aikakausi,nouns,1.98
2908,biscuit,prinsessa,nouns,0.0
2909,west,pohjoinen,nouns,1.05
2910,app,galaksi,nouns,0.0
2911,usually,vilpittömästi,adverbs,0.0
2912,make,luoda,verbs,4.54
2913,notify,tiedottaa,verbs,4.95
2914,seldom,usein,adverbs,0.32
2915,wall,koriste,nouns,0.35
2916,immature,täysikasvuinen,adjectives,0.24
2917,topology,rakenne,nouns,2.21
2918,imitate,kaapata,verbs,0.22
2919,hear,kuunnella,verbs,3.67
2920,illegal,moraaliton,adjectives,1.76
2921,tough,kova,adjectives,2.99
2922,easy,kova,adjectives,0.24
2923,cross,munkki,nouns,0.32
2924,whiskey,gini,nouns,1.6
2925,passive,väkivaltainen,adjectives,0.1
2926,rhythm,runo,nouns,0.41
2927,alcohol,viski,nouns,2.16
2928,aim,osua,verbs,1.06
2929,air,heliumi,nouns,1.1
2930,normally,päivittäin,adverbs,1.96
2931,sky,universumi,nouns,0.74
2932,narrow,likainen,adjectives,0.0
2933,boy,kunto,nouns,0.0
2934,suppose,ennustaa,verbs,2.11
2935,gum,piparminttu,nouns,0.79
2936,machine,moottori,nouns,2.54
2937,hysteria,sekaannus,nouns,1.61
2938,carry,ottaa,verbs,0.71
2939,engagement,sormus,nouns,1.21
2940,spicy,heikko,adjectives,0.0
2941,ideally,mekaanisesti,adverbs,0.0
2942,honey,päiväkirja,nouns,0.15
2943,wallpaper,tausta,nouns,2.34
2944,narrow,laaja,adjectives,0.19
2945,cellar,ovi,nouns,0.24
2946,root,ruoho,nouns,0.81
2947,tightly,lujasti,adverbs,4.38
2948,seek,etsiä,verbs,4.92
2949,currently,hiljattain,adverbs,1.92
2950,grief,tuska,nouns,3.13
2951,caliber,sateenvarjo,nouns,0.0
2952,poor,yksinäinen,adjectives,0.24
2953,sob,itkeä,verbs,4.49
2954,go,sallia,verbs,0.29
2955,obey,kuunnella,verbs,1.02
2956,gossip,uutiset,nouns,1.57
2957,credit,lainaaja,nouns,0.51
2958,smooth,terävä,adjectives,0.15
2959,bag,käsilaukku,nouns,3.56
2960,opposite,uniikki,adjectives,0.54
2961,compete,suorittaa loppuun,verbs,0.89
2962,bite,lukea,verbs,0.0
2963,governor,keisari,nouns,1.44
2964,once,välittömästi,adverbs,0.48
2965,balloon,kylpy,nouns,0.05
2966,happiness,suru,nouns,0.24
2967,forget,tietää,verbs,0.19
2968,polite,asianmukainen,adjectives,2.54
2969,begin,mennä,verbs,1.12
2970,pair,pariskunta,nouns,5.07
2971,watch,hame,nouns,0.0
2972,squint,mulkoilla,verbs,1.09
2973,melt,liueta,verbs,3.24
2974,ask,auttaa,verbs,0.35
2975,disc,tietokone,nouns,0.54
2976,bird,kalkkuna,nouns,2.4
2977,stud,heppu,nouns,1.24
2978,maid,auttaja,nouns,2.14
2979,genie,lamppu,nouns,0.48
2980,quit,tehdä,verbs,0.29
2981,dishonest,paha,adjectives,1.38
2982,companion,kaveri,nouns,4.1
2983,awful,paha,adjectives,4.19
2984,divide,kertoa,verbs,0.76
2985,cockpit,lentoperämies,nouns,0.36
2986,strike,ampua ohi,verbs,0.2
2987,conquest,matka,nouns,0.82
2988,case,laitteisto,nouns,0.15
2989,nephew,täti,nouns,0.52
2990,trick,ase,nouns,0.0
2991,accident,hätätilanne,nouns,3.21
2992,currency,vaihto,nouns,0.79
2993,stupid,tyhmä,adjectives,5.29
2994,alcohol,cocktail,nouns,2.08
2995,originate,saada selville,verbs,0.57
2996,violent,passiivinen,adjectives,0.1
2997,critically,olennaisesti,adverbs,2.0
2998,college,ammatti,nouns,0.39
2999,shy,kallis,adjectives,0.0
3000,inform,kiillottaa,verbs,0.0
3001,essay,läksyt,nouns,2.31
3002,meal,päivällinen,nouns,3.11
3003,wide,kapea,adjectives,0.24
3004,join,tehdä yhteistyötä,verbs,1.54
3005,insight,älykkyys,nouns,2.89
3006,sadly,mielettömästi,adverbs,0.19
3007,decomposition,tekijöihinjako,nouns,0.54
3008,heater,sateenvarjo,nouns,0.05
3009,crunch,napsahtaa,verbs,1.25
3010,separate,lähteä,verbs,0.7
3011,astronomer,galaksi,nouns,0.62
3012,timber,tukki,nouns,2.86
3013,news,pääkirjoitus,nouns,1.71
3014,snowboard,hiihtäminen,nouns,1.02
3015,alley,katu,nouns,3.58
3016,baseball,valmentaja,nouns,0.25
3017,book,raamattu,nouns,2.02
3018,broad,kapea,adjectives,0.19
3019,sauce,omena,nouns,0.73
3020,decide,ajatella,verbs,1.72
3021,cooperate,ottaa osaa,verbs,2.69
3022,coast,ranta,nouns,nan
3023,usually,epäsäännöllisesti,adverbs,0.36
3024,paragraph,kirje,nouns,0.17
3025,street,auto,nouns,0.58
3026,slave,palvelija,nouns,2.64
3027,collect,ravistaa,verbs,0.1
3028,home,osavaltio,nouns,0.32
3029,glow,loistaa,verbs,4.31
3030,deck,hiiri,nouns,0.0
3031,juice,omena,nouns,0.73
3032,meat,naudanliha,nouns,2.85
3033,street,kuja,nouns,3.58
3034,foreskin,ympärileikkaus,nouns,0.84
3035,roughly,niukasti,adverbs,0.51
3036,ledge,vuori,nouns,0.57
3037,unlikely,ystävällisesti,adverbs,0.0
3038,analyze,arvioida,verbs,4.46
3039,style,eleganssi,nouns,3.8
3040,mayor,presidentti,nouns,1.59
3041,crime,varkaus,nouns,2.81
3042,evacuate,määrittää,verbs,0.05
3043,laugh,kikattaa,verbs,4.42
3044,condition,pakti,nouns,0.34
3045,grow,kutistua,verbs,0.24
3046,gift,kirjailija,nouns,0.0
3047,window,katto,nouns,0.57
3048,follow,jahdata,verbs,3.17
3049,money,timantti,nouns,0.35
3050,keep,menettää,verbs,0.1
3051,old,sekoitettu,adjectives,0.0
3052,after,ennen,adverbs,0.24
3053,men,veljeskunta,nouns,1.09
3054,guy,ystävä,nouns,0.91
3055,happy,mieletön,adjectives,0.2
3056,breakfast,päivällinen,nouns,1.21
3057,phone,uhri,nouns,0.0
3058,ecosystem,talous,nouns,0.59
3059,penny,tarjous,nouns,0.22
3060,people,populaatio,nouns,3.02
3061,narrow,leveä,adjectives,0.24
3062,suspect,mies,nouns,0.22
3063,verify,sanoa,verbs,0.84
3064,book,teksti,nouns,2.5
3065,meat,voileipä,nouns,0.57
3066,proudly,nõyrästi,adverbs,0.47
3067,quick,pikainen,adjectives,5.42
3068,cheerful,onnellinen,adjectives,4.26
3069,hungry,väsynyt,adjectives,0.27
3070,think,muistaa,verbs,0.93
3071,crude,töykeä,adjectives,1.41
3072,race,viikonloppu,nouns,0.0
3073,classroom,eteishalli,nouns,0.59
3074,cinema,ooppera,nouns,1.18
3075,hat,laatikko,nouns,0.09
3076,molecule,ilma,nouns,0.57
3077,bath,vaimo,nouns,0.0
3078,shower,luostari,nouns,0.0
3079,square,kartta,nouns,0.0
3080,woman,tehtävä,nouns,0.0
3081,impossible,käyttökelpoinen,adjectives,0.24
3082,send,tuoda,verbs,0.44
3083,think,päättää,verbs,1.72
3084,realistically,ihanteellisesti,adverbs,0.47
3085,carpet,talo,nouns,0.29
3086,past,edeltäjä,nouns,1.91
3087,differently,terminaalisesti,adverbs,0.14
3088,pot,laite,nouns,0.44
3089,monk,risti,nouns,0.32
3090,kidney,elin,nouns,2.25
3091,leave,vaeltaa,verbs,0.12
3092,shoulder,vartalo,nouns,0.79
3093,game,toiminta,nouns,0.57
3094,bean,pekoni,nouns,0.24
3095,happily,aktiivisesti,adverbs,0.45
3096,mouse,kissa,nouns,0.85
3097,tiny,valtava,adjectives,0.28
3098,century,vuosikymmen,nouns,1.04
3099,release,saada kiinni,verbs,0.24
3100,huge,tyhmä,adjectives,0.04
3101,attach,erottaa,verbs,0.24
3102,notify,kuvata,verbs,0.15
3103,cocktail,alkoholi,nouns,2.08
3104,century,vuosi,nouns,1.22
3105,meter,tuuma,nouns,1.23
3106,steal,siepata,verbs,2.08
3107,obey,käyttäytyä,verbs,2.42
3108,whistle,pysähtyä,verbs,0.05
3109,wizard,kaapeli,nouns,0.0
3110,keep,suojella,verbs,0.85
3111,knee,luu,nouns,0.84
3112,polyester,puuvilla,nouns,1.13
3113,precise,väärä,adjectives,0.05
3114,unnecessary,tarpeellinen,adjectives,0.24
3115,wet,tahmea,adjectives,0.77
3116,loop,vyö,nouns,0.49
3117,determine,evakuoida,verbs,0.05
3118,subtly,äänekkäästi,adverbs,0.09
3119,bottle,purkki,nouns,2.8
3120,learn,kouluttaa,verbs,0.91
3121,cherish,pitää,verbs,1.6
3122,god,saatana,nouns,0.92
3123,miss,iskeä,verbs,0.2
3124,unusually,oudosti,adverbs,5.08
3125,cat,hiiri,nouns,0.85
3126,cow,vuohi,nouns,1.18
3127,bishop,arkkipiispa,nouns,3.69
3128,band,paraati,nouns,0.42
3129,highway,tie,nouns,3.95
3130,disprove,sallia,verbs,0.25
3131,exchange,korvaaminen,nouns,3.55
3132,originally,luovasti,adverbs,1.56
3133,steal,ottaa,verbs,1.99
3134,pearl,raha,nouns,0.32
3135,disagree,taistella,verbs,1.44
3136,teach,kouluttaa,verbs,4.87
3137,friend,äiti,nouns,1.17
3138,minute,sekunti,nouns,1.64
3139,brick,seinä,nouns,0.71
3140,needy,avuton,adjectives,1.56
3141,candidate,voittaja,nouns,0.94
3142,rhythm,kadenssi,nouns,2.27
3143,boring,väsynyt,adjectives,0.6
3144,sentry,mies,nouns,1.49
3145,perspective,etäisyys,nouns,0.74
3146,thumb,käsi,nouns,1.57
3147,predict,olettaa,verbs,2.11
3148,pretend,otaksua,verbs,0.73
3149,hunt,etsiä,verbs,2.62
3150,code,symboli,nouns,2.19
3151,diode,kondensaattori,nouns,1.27
3152,song,balladi,nouns,3.8
3153,cat,koira,nouns,1.01
3154,naturally,hiljaisesti,adverbs,0.19
3155,bone,polvi,nouns,0.84
3156,page,sana,nouns,0.42
3157,fact,ymmärrys,nouns,1.33
3158,army,laivasto,nouns,1.84
3159,apartment,talo,nouns,3.17
3160,information,kirja,nouns,0.86
3161,business,yritys,nouns,3.8
3162,save,suojella,verbs,2.23
3163,happiness,rauha,nouns,1.61
3164,lens,kamera,nouns,1.25
3165,door,oviaukko,nouns,2.66
3166,wash,huuhdella,verbs,3.29
3167,guy,partneri,nouns,0.57
3168,forget,sivuuttaa,verbs,1.33
3169,helicopter,lentokone,nouns,1.76
3170,stumble,kaatua,verbs,3.26
3171,grass,sammal,nouns,1.51
3172,acquire,varastaa,verbs,1.39
3173,wipe,heikentyä,verbs,0.05
3174,lose,vähentää,verbs,1.52
3175,reject,valita,verbs,0.0
3176,deliver,ottaa,verbs,0.46
3177,singer,kuoro,nouns,1.64
3178,presence,voittaja,nouns,0.0
3179,destroy,tappaa,verbs,2.79
3180,communication,kielenkäyttö,nouns,2.04
3181,princess,saari,nouns,0.0
3182,development,varainkeruu ,nouns,0.04
3183,priest,jumala,nouns,0.64
3184,elastic,joustava,adjectives,4.38
3185,dinosaur,elefantti,nouns,0.86
3186,maple,puu,nouns,2.75
3187,valuable,erityinen,adjectives,2.57
3188,heavy,iso,adjectives,1.71
3189,bus,taksi,nouns,1.39
3190,possibly,optimistisesti,adverbs,0.69
3191,muffin,persilja,nouns,0.2
3192,strongly,virallisesti,adverbs,0.41
3193,forget,muistuttaa,verbs,0.24
3194,behaviorism,terapia,nouns,0.77
3195,father,vanhempi,nouns,3.27
3196,preschool,päiväkoti,nouns,3.35
3197,lawyer,pankkiiri,nouns,0.82
3198,protein,kahva,nouns,0.0
3199,smart,tyhmä,adjectives,0.24
3200,kick,sattua,verbs,0.86
3201,ignore,tehdä tutkimusmatka,verbs,0.0
3202,essay,kirja,nouns,1.45
3203,leg,raaja,nouns,2.77
3204,opening,rako,nouns,4.05
3205,cameo,esitys,nouns,1.19
3206,obviously,kovakouraisesti,adverbs,0.04
3207,accomplish,voittaa,verbs,3.29
3208,arm,oksa,nouns,0.56
3209,pet,kissa,nouns,2.77
3210,dinner,kana,nouns,0.99
3211,speak,kuulla,verbs,0.34
3212,brandy,alkoholi,nouns,2.09
3213,phrase,sana,nouns,1.56
3214,sweet,sähköinen,adjectives,0.0
3215,crude,ruma,adjectives,0.71
3216,chauvinist,ennakkoluulo,nouns,0.95
3217,probably,positiivisesti,adverbs,0.59
3218,truly,täydellisesti,adverbs,1.65
3219,eye,kyynel,nouns,0.53
3220,bar,häkki,nouns,0.31
3221,sorrow,häpeä,nouns,1.24
3222,know,käsittää,verbs,3.33
3223,acetaminophen,keuhkoputkentulendus,nouns,0.14
3224,man,isä,nouns,2.26
3225,exit,oviaukko,nouns,2.91
3226,remain,saada,verbs,0.05
3227,speed,virka,nouns,0.0
3228,antecedent,menneisyys,nouns,1.91
3229,sincerely,rehellisesti,adverbs,4.95
3230,great,paha,adjectives,0.09
3231,read,purra,verbs,0.0
3232,mansion,kuvanveistäjä,nouns,0.05
3233,carry,tuoda,verbs,1.9
3234,personal,intiimi,adjectives,3.89
3235,date,kalenteri,nouns,1.11
3236,case,sähkö,nouns,0.0
3237,victim,luuri,nouns,0.0
3238,shirt,neuletakki,nouns,1.31
3239,university,kampus,nouns,2.5
3240,suggest,neuvoa,verbs,3.26
3241,gate,ovi,nouns,3.04
3242,seriously,vilpittömästi,adverbs,1.77
3243,define,selventää,verbs,3.13
3244,stomach,makuuhuone,nouns,0.0
3245,moral,legenda,nouns,0.12
3246,actor,monitahokas,nouns,0.09
3247,crib,sänky,nouns,2.7
3248,tongue,poski,nouns,1.09
3249,ocean,meri,nouns,4.83
3250,beast,eläin,nouns,3.35
3251,avalanche,lumi,nouns,1.67
3252,purgatory,tuonpuoleinen,nouns,2.36
3253,plenty,yltäkylläisyys,nouns,5.1
3254,cannon,ase,nouns,2.67
3255,island,prinsessa,nouns,0.0
3256,punish,totella,verbs,0.2
3257,potato,voi,nouns,0.52
3258,roof,lattia,nouns,0.6
3259,sunset,naru,nouns,0.0
3260,assignment,tehtävä,nouns,5.01
3261,great,hirveä,adjectives,0.24
3262,snap,rouskua,verbs,1.25
3263,wealth,arvovalta,nouns,0.96
3264,communicate,rukoilla,verbs,0.54
3265,ball,lentopallo,nouns,2.29
3266,teacher,auttaja,nouns,2.17
3267,gulp,siemailla,verbs,2.08
3268,bell,ovi,nouns,0.17
3269,take,kantaa,verbs,0.71
3270,professor,opiskelija,nouns,0.57
3271,feel,uskoa,verbs,1.79
3272,unfairly,kohtuuttomasti,adverbs,3.26
3273,racing,filosofi,nouns,0.0
3274,borrow,pitää,verbs,0.32
3275,multiplication,jakolasku,nouns,1.27
3276,alcohol,olut,nouns,2.25
3277,homophone,valopuhelin,nouns,0.04
3278,brightness,tähti,nouns,0.71
3279,staff,laulusolisti,nouns,0.0
3280,calendar,päivämäärä,nouns,1.11
3281,condition,poika,nouns,0.0
3282,whenever,joskus,adverbs,0.82
3283,cage,baari,nouns,0.31
3284,crime,hyökätä,nouns,0.94
3285,wrapper,satama,nouns,0.0
3286,dictionary,tietosanakirja,nouns,2.49
3287,known,suosittu,adjectives,2.7
3288,chapter,valinta,nouns,0.1
3289,eagle,haukka,nouns,2.54
3290,listen,totella,verbs,1.02
3291,meal,vyötärö,nouns,0.05
3292,always,kahdesti,adverbs,0.48
3293,republic,herttua,nouns,0.24
3294,agreement,reikä,nouns,0.0
3295,remind,unohtaa,verbs,0.24
3296,ring,sitoumus,nouns,1.21
3297,leave,ottaa,verbs,0.44
3298,brother,sisko,nouns,1.79
3299,hang,tappaa,verbs,0.42
3300,galaxy,sovellus,nouns,0.0
3301,disappear,löytää,verbs,0.15
3302,fraud,rikos,nouns,2.96
3303,car,sarvi,nouns,0.46
3304,fraternity,miehet,nouns,1.09
3305,doctor,ortodontti,nouns,1.71
3306,regular,oppimaton,adjectives,0.07
3307,easy,vaikea,adjectives,0.24
3308,judge,tuomioistuin,nouns,1.15
3309,weave,liikkua,verbs,0.74
3310,fail,lannistaa,verbs,0.61
3311,dull,hauska,adjectives,0.2
3312,coarsely,kovakouraisesti,adverbs,4.02
3313,theory,kemia,nouns,0.34
3314,ceiling,katto,nouns,3.79
3315,punish,opettaa,verbs,0.35
3316,party,naamio,nouns,0.15
3317,calmly,hienovaraisesti,adverbs,1.09
3318,lend,antaa,verbs,2.29
3319,mint,museo,nouns,0.04
3320,bed,huonekalut,nouns,1.69
3321,psychology,tiede,nouns,1.71
3322,course,toiminta,nouns,0.94
3323,create,sukeltaa,verbs,0.0
3324,sip,juoda,verbs,3.22
3325,modern,muinainen,adjectives,0.24
3326,monarchy,demokratia,nouns,1.26
3327,guest,ystävä,nouns,1.36
3328,dollar,ihmiset,nouns,0.0
3329,parcel,kuorma-auto,nouns,0.05
3330,borrow,myydä,verbs,0.19
3331,servant,orja,nouns,2.64
3332,put,saada,verbs,0.14
3333,shuffle,ajaa,verbs,0.45
3334,background,tapetti,nouns,2.34
3335,demand,kiistellä,verbs,0.54
3336,palm,sormi,nouns,0.34
3337,movement,aktiviteetti,nouns,2.49
3338,ask,anoa,verbs,2.51
3339,endurance,kukka,nouns,0.0
3340,ignore,tulostaa,verbs,0.0
3341,help,suojella,verbs,1.84
3342,archbishop,piispa,nouns,3.69
3343,box,hattu,nouns,0.09
3344,new,vanha,adjectives,0.24
3345,volcano,magma,nouns,1.1
3346,carefully,vaarallisesti,adverbs,0.05
3347,professor,tohtori,nouns,2.27
3348,desire,haluta,verbs,5.21
3349,museum,minttu,nouns,0.04
3350,crash,kolahtaa,verbs,1.13
3351,mask,juhla,nouns,0.15
3352,mix,juoda,verbs,0.0
