ID,CYM,FIN,PoS,score
2647,rhifyddeg,rytmi,nouns,0.1
2648,gwartheg,jogurtti,nouns,0.2
2649,pêl,hanska,nouns,0.15
2650,hedyn,sinappi,nouns,0.7
2651,rinsio,pestä,verbs,2.9
2652,bwystfil,eläin,nouns,2.9
2653,rheolaeth,hallinto,nouns,2.75
2654,cymeradwyo,antaa lupa,verbs,2.5
2655,gwasgu,vapauttaa,verbs,0.05
2656,ynys,laivasto,nouns,0.15
2657,coleddu,pitää,verbs,1.55
2658,sgil,älykkyys,nouns,1.8
2659,ffabrig,vaatteet,nouns,2.0
2660,dicter,turhautuminen,nouns,1.95
2661,talu,kohdella,verbs,0.0
2662,maes awyr,lentokone,nouns,1.45
2663,glaw,lumimyrsky,nouns,1.55
2664,hysbysu,kiillottaa,verbs,0.0
2665,ffens,raide,nouns,0.15
2666,llygad,kulmakarva,nouns,0.95
2667,yfed,sekoittaa,verbs,0.15
2668,plesio,viihdyttää,verbs,2.2
2669,ffliw,kuume,nouns,3.4
2670,stryd,kuja,nouns,3.55
2671,adeiladu,tuhota,verbs,0.25
2672,ar hyn o bryd,hienotunteisesti,adverbs,0.0
2673,ychwanegu,kertoa,verbs,1.65
2674,colli,vähentää,verbs,0.5
2675,methiant,konkurssi,nouns,1.25
2676,brawdgarwch,ovi,nouns,0.0
2677,gwerthuso,oppia,verbs,0.75
2678,ras,viikonloppu,nouns,0.0
2679,ysgol,laki,nouns,0.25
2680,ewin,pää,nouns,0.65
2681,archwilio,saada selville,verbs,1.45
2682,hyder,minuus,nouns,0.75
2683,yn debygol,mahdollisesti,adverbs,2.35
2684,gosod mewn trefn,organisoida,verbs,5.65
2685,sero,ikuisuus,nouns,0.05
2686,gwraig,sentti,nouns,0.05
2687,gofal,varovaisuus,nouns,2.35
2688,anghytuno,myöntyä,verbs,0.25
2689,concwest,matka,nouns,0.45
2690,cerflunwaith,patsas,nouns,5.25
2691,esgus,otaksua,verbs,0.65
2692,cwrs,toiminta,nouns,0.1
2693,gwn,muistikirja,nouns,0.0
2694,cwmwl,järvi,nouns,0.3
2695,derbyn,torjua,verbs,0.25
2696,staff,laulusolisti,nouns,0.0
2697,hapus,vihainen,adjectives,0.25
2698,annheg,julma,adjectives,1.75
2699,lluosiad,jakolasku,nouns,1.25
2700,machlud haul,ilta,nouns,2.2
2701,gwellt,tehtävä,nouns,0.0
2702,cig,voileipä,nouns,0.6
2703,yn emosiynol,surullisesti,adverbs,2.1
2704,braich,luu,nouns,1.5
2705,drwg,mahtava,adjectives,0.05
2706,teiffŵn,sykloni,nouns,4.45
2707,troi allan,tyhjentää,verbs,1.1
2708,etholiad,valinta,nouns,2.6
2709,paragraff,sivu,nouns,0.55
2710,ifanc,levoton,adjectives,0.25
2711,gwerthuso,analysoida,verbs,4.1
2712,canon,pallo,nouns,0.3
2713,trist,kauhea,adjectives,1.45
2714,aros,saada,verbs,0.05
2715,trefnu,kerätä,verbs,0.9
2716,harmoni,piano,nouns,0.85
2717,dod,mennä,verbs,0.85
2718,côn,kuppi,nouns,0.1
2719,radar,sauvaohjain,nouns,0.25
2720,gwirio,perustella,verbs,1.15
2721,duw,saatana,nouns,1.05
2722,fflat,huonekalut,nouns,0.6
2723,cinio,aamiainen,nouns,1.2
2724,dadl,kritiikki,nouns,1.2
2725,gair,sanakirja,nouns,1.5
2726,cloch,torni,nouns,0.4
2727,rhyddhau,saada kiinni,verbs,0.75
2728,gwerthfawr,pyhä,adjectives,2.1
2729,beibl,virsi,nouns,0.75
2730,sylw,tietoisuus,nouns,2.2
2731,glân,sotkuinen,adjectives,0.2
2732,cwrw,juoma,nouns,2.5
2733,cwtsh,halata,verbs,4.25
2734,helpu,tukea,verbs,5.1
2735,creu,tuhota,verbs,0.25
2736,baner,veksillologia,nouns,1.15
2737,perl,raha,nouns,0.35
2738,awyren,suihkukone,nouns,4.35
2739,miniog,tylsä,adjectives,0.3
2740,ymadael,odottaa,verbs,0.15
2741,tarth,pilvi,nouns,2.75
2742,tasg,moottoritie,nouns,0.0
2743,crio,nauraa,verbs,0.3
2744,pen-blwydd,päivämäärä,nouns,1.65
2745,dec,vene,nouns,0.85
2746,ffantasi,todellisuus,nouns,0.5
2747,anwybyddu,kysyä,verbs,0.0
2748,perllan,strutsi,nouns,0.0
2749,aur,sinkki,nouns,0.95
2750,stumog,vartalo,nouns,1.55
2751,golau,näppäimistö,nouns,0.0
2752,ymerawdwr,perustuslaki,nouns,0.2
2753,rheoli,pysähtyä,verbs,0.3
2754,rhesymeg,älykkyys,nouns,2.35
2755,cyfraith,koulu,nouns,0.25
2756,yn hael,ei koskaan,adverbs,0.05
2757,llenyddiaeth,kirja,nouns,2.35
2758,dŵr,suola,nouns,0.3
2759,beirniadaeth,kiista,nouns,1.2
2760,dadl,sopimus,nouns,0.25
2761,gwraig,reikä,nouns,0.0
2762,trwm,iso,adjectives,1.1
2763,heicio,kiivetä,verbs,2.3
2764,ystafell wely,kylpyhuone,nouns,2.0
2765,arbed,kuluttaa,verbs,0.3
2766,perygl,tauti,nouns,0.25
2767,negyddol,ei koskaan,adjectives,0.65
2768,cytundeb,reikä,nouns,0.0
2769,dwyn,antaa,verbs,0.2
2770,wal,tiili,nouns,1.0
2771,blawd,leipä,nouns,1.2
2772,niweidio,härnätä,verbs,0.55
2773,rhaglen,ruoka,nouns,0.05
2774,pydru,tuhota,verbs,1.1
2775,tywynnu,siristää silmiään,verbs,0.55
2776,arholiad,opetussuunnitelma,nouns,0.5
2777,braich,olkapää,nouns,1.8
2778,gwawr,yö,nouns,0.75
2779,ergyd,kehys,nouns,0.0
2780,swydd,tehtävä,nouns,3.5
2781,croen,pyörä,nouns,0.0
2782,sillaf,lemma,nouns,0.4
2783,llym,julma,adjectives,1.9
2784,heddwch,onnellisuus,nouns,1.05
2785,gormesu,luopua,verbs,0.4
2786,datgelwyd,peitetty,adjectives,0.2
2787,drewi,haista,verbs,4.75
2788,brwnt,hämmästyttävä,adjectives,0.0
2789,gwadu,hyväksyä,verbs,0.3
2790,ffroenell,neste,nouns,0.05
2791,hyfryd,ihmeellinen,adjectives,2.3
2792,swyddog,sijainen,nouns,0.75
2793,yn afresymol,epäreilusti,adverbs,3.05
2794,yn dawel,äänekkäästi,adverbs,0.05
2795,tywydd,aalto,nouns,0.1
2796,dygnwch,yhtye,nouns,0.0
2797,serameg,keramiikka,nouns,3.85
2798,anghofio,sivuuttaa,verbs,1.45
2799,meddw,selvin päin oleva,adjectives,0.25
2800,hawdd,jäykkä,adjectives,0.05
2801,gwych,paha,adjectives,0.05
2802,yr un peth,samankaltainen,adjectives,4.15
2803,ceg,nenä,nouns,1.1
2804,ffres,vanha,adjectives,0.2
2805,sudd,lusikka,nouns,0.15
2806,neidr,lisko,nouns,1.9
2807,gwahaniaethu,kiistellä,verbs,0.45
2808,gwneud,lopettaa,verbs,0.25
2809,arferol,outo,adjectives,0.2
2810,ymddangos,osallistua,verbs,0.55
2811,ffwr,ase,nouns,0.05
2812,agwedd,itseluottamus,nouns,1.55
2813,go fach,kääpiömäinen,adjectives,3.0
2814,cywilydd,onnekas,adjectives,0.05
2815,tymor,talvi,nouns,1.95
2816,chwedl,moraali,nouns,0.2
2817,darllen,purra,verbs,0.0
2818,gwael,ylpeä,adjectives,0.05
2819,alwminiwm,säilyketölkki,nouns,1.4
2820,rhoi,varastaa,verbs,0.2
2821,tasg,pilli,nouns,0.0
2822,cnoi,taistella,verbs,0.55
2823,bàth,tukki,nouns,0.0
2824,arian,kuukausipalkka,nouns,2.5
2825,taliad,viesti,nouns,0.05
2826,disg,tietokone,nouns,0.6
2827,sâl,hullu,adjectives,0.95
2828,bioleg gymdeithasol,mutantti,nouns,0.1
2829,gosod,antaa,verbs,1.1
2830,llys,tuomari,nouns,1.1
2831,canu,kellua,verbs,0.0
2832,digid,numero,nouns,5.25
2833,pechadur,pyhimys,nouns,0.55
2834,cadw,menettää,verbs,0.3
2835,raced,pallo,nouns,0.75
2836,ffôn symudol,puhelin,nouns,4.5
2837,het,takki,nouns,1.2
2838,gwely,tuoli,nouns,0.9
2839,pobl,sentti,nouns,0.05
2840,lamp,henkiolento,nouns,0.1
2841,cyfamod,sopimus,nouns,5.05
2842,ar hyn o bryd,hiljattain,adverbs,1.3
2843,ysgwydd,käsivarsi,nouns,1.8
2844,damcaniaeth,teoria,nouns,4.6
2845,cnoi,lukea,verbs,0.0
2846,ffin,rajaviiva,nouns,3.55
2847,cwch,kansi,nouns,0.85
2848,parti,naamio,nouns,0.3
2849,bysellfwrdd,valo,nouns,0.0
2850,byth,tuskin koskaan,adverbs,3.35
2851,traeth,meri,nouns,1.4
2852,mynd,myydä,verbs,0.1
2853,gwellt,virsi,nouns,0.1
2854,prawf,tuomio,nouns,1.65
2855,weithiau,varmasti,adverbs,0.15
2856,erfyn,kysyä,verbs,2.4
2857,rhedeg,ajaa,verbs,0.5
2858,niwed,kipu,nouns,1.8
2859,drwm,kitara,nouns,1.35
2860,twyn,aavikko,nouns,1.15
2861,ymdrech,vaikeus,nouns,1.6
2862,hongian,laittaa,verbs,0.15
2863,yn syth,kerran,adverbs,0.65
2864,alaw,rytmi,nouns,1.45
2865,glofa,kallio,nouns,0.35
2866,dyrchafu,edistää,verbs,2.05
2867,parêd,väkijoukko,nouns,1.75
2868,ffisigwr,tohtori,nouns,4.85
2869,anodd,yksinkertainen,adjectives,0.25
2870,peiriant,moottori,nouns,3.4
2871,dec,hiiri,nouns,0.0
2872,esgus,kuvata,verbs,0.55
2873,ymaflyd,ottaa,verbs,1.75
2874,map,neliö,nouns,0.05
2875,cydweithredu,liittyä,verbs,1.3
2876,person,eläin,nouns,0.3
2877,stumog,makuuhuone,nouns,0.0
2878,yn rhyfedd,eri tavalla,adverbs,2.05
2879,opera,elokuvateatteri,nouns,1.1
2880,yn fawr,kirkkaasti,adverbs,0.45
2881,poen,suru,nouns,2.9
2882,bar,putka,nouns,0.3
2883,tatws,voi,nouns,0.5
2884,dyn,isä,nouns,2.25
2885,nodyn,toimeksianto,nouns,0.8
2886,dal,jahdata,verbs,1.3
2887,anniben,ruma,adjectives,0.95
2888,brecwast,pekoni,nouns,0.9
2889,sain,akustiikka,nouns,2.55
2890,atom,molekyyli,nouns,2.1
2891,golygyddol,uutiset,nouns,1.15
2892,oedolyn,vauva,nouns,0.5
2893,swyddfa,työläinen,nouns,0.7
2894,brecwast,illallinen,nouns,1.35
2895,cul,pitkä,adjectives,0.55
2896,sitrws,appelsiini,nouns,3.65
2897,gwythïen,käsivarsi,nouns,0.45
2898,chwilio,vaeltaa,verbs,1.25
2899,stondin,laatikko,nouns,0.1
2900,twrci,naaraslintu,nouns,2.0
2901,codi,korottaa,verbs,4.15
2902,pot,laite,nouns,0.1
2903,mariwana,yrtti,nouns,2.15
2904,dillad,liina,nouns,0.9
2905,goddefol,väkivaltainen,adjectives,0.1
2906,hysteria,sekaannus,nouns,1.75
2907,ffug,aito,adjectives,0.25
2908,blin,väkivaltainen,adjectives,1.5
2909,gwybod,käsittää,verbs,2.85
2910,yn hanfodol,välttämättömästi,adverbs,3.6
2911,ceiniog,tarjous,nouns,0.55
2912,salad,ruokavalio,nouns,0.95
2913,anonest,totuudenmukainen,adjectives,0.25
2914,gweinyddiaeth,johtokunta,nouns,2.75
2915,moleciwl,matriisi,nouns,0.15
2916,braich,niska,nouns,0.7
2917,maint,temppu,nouns,0.0
2918,nyrs,tieteilijä,nouns,0.4
2919,syniad,kuva,nouns,0.95
2920,ffidil,kitara,nouns,1.45
2921,hanfodol,tärkeä,adjectives,4.2
2922,ymuno,ottaa osaa,verbs,3.15
2923,yn afreolaidd,yleensä,adverbs,0.3
2924,llyfr,onnettomuus,nouns,0.0
2925,mamfwrdd,päälevy,nouns,3.3
2926,cefndir,tapetti,nouns,1.3
2927,gwesty,asunto,nouns,0.75
2928,braich,oksa,nouns,0.7
2929,cred,arvo,nouns,0.85
2930,offeiriad,munkki,nouns,1.7
2931,emyn,pilli,nouns,0.1
2932,tric,peli,nouns,0.95
2933,dodrefn,asunto,nouns,0.6
2934,gwrthod,paheksua,verbs,0.75
2935,enwaediad,esinahka,nouns,0.95
2936,gwrthod,valita,verbs,0.0
2937,seryddwr,galaksi,nouns,0.5
2938,hir,lyhyt,adjectives,0.25
2939,gwerthu,mennä,verbs,0.1
2940,pryderus,kärsimätön,adjectives,0.6
2941,corff,alusvaatteet,nouns,0.25
2942,sgwrs,viestintä,nouns,3.6
2943,ffens,hyppy,nouns,0.1
2944,hyblyg,vaatimaton,adjectives,0.45
2945,llygoden,säilytysastia,nouns,0.0
2946,meddu ar,ottaa,verbs,1.15
2947,barnu,todistaa,verbs,0.65
2948,drud,ujo,adjectives,0.0
2949,trist,ylpeä,adjectives,0.1
2950,tywydd,pilvi,nouns,1.05
2951,rhedwr,urheilija,nouns,2.9
2952,lladd,puolustaa,verbs,0.5
2953,awyrennu,lento,nouns,2.85
2954,cryf,ylpeä,adjectives,0.65
2955,sioe,matemaatikko,nouns,0.0
2956,deuod,kondensaattori,nouns,0.8
2957,byth,rehellisesti,adverbs,0.0
2958,sefyll,kävellä,verbs,0.8
2959,coleg,luokka,nouns,0.85
2960,gwneud,luoda,verbs,4.65
2961,weithiau,yhtenäisesti,adverbs,0.05
2962,raced,melu,nouns,0.0
2963,menyw,farkut,nouns,0.05
2964,cael,laittaa,verbs,0.25
2965,yn oddefol,luotettavasti,adverbs,0.15
2966,yn hysbys,kansallinen,adjectives,0.25
2967,dweud celwydd,moittia,verbs,0.35
2968,dirmygu,vihata,verbs,2.3
2969,athro,rabbi,nouns,2.55
2970,cyfaill,ystävä,nouns,5.6
2971,codiad haul,auringonlasku,nouns,1.15
2972,iaith,viestintä,nouns,1.95
2973,gwych,hirveä,adjectives,0.2
2974,dianc,löytää,verbs,0.25
2975,anwybodaeth,älykkyys,nouns,0.25
2976,parsel,kuorma-auto,nouns,0.4
2977,doethineb,älykkyys,nouns,3.6
2978,brwydro,olla eri mieltä,verbs,1.0
2979,siaced,vaatteet,nouns,1.75
2980,concwest,taistelu,nouns,2.25
2981,goroesi,elää,verbs,2.9
2982,hynafol,uusi,adjectives,0.2
2983,cosbi,osua,verbs,0.6
2984,siarcol,hiili,nouns,3.6
2985,rhoi,roikkua,verbs,0.15
2986,deall,tietää,verbs,2.9
2987,blanced,voimakas tuuli,nouns,0.0
2988,teledu,käsikirjoittaja,nouns,0.4
2989,yn ddelfrydol,mekaanisesti,adverbs,0.0
2990,realiti,fantasia,nouns,0.5
2991,enillydd,mies,nouns,0.25
2992,ceryddu,vaatia,verbs,0.3
2993,llygoden fawr,hiiri,nouns,3.15
2994,anhapus,mieletön,adjectives,0.6
2995,coleg,ammatti,nouns,0.35
2996,cytuno,kiistellä,verbs,0.25
2997,busnes,yritys,nouns,3.7
2998,neidio,aita,nouns,0.1
2999,gwahaniaethu,myöntyä,verbs,0.0
3000,cwrw,alkoholi,nouns,2.8
3001,yn angheuol,onnellisesti,adverbs,0.0
3002,sŵn,helistin,nouns,0.6
3003,coctel,alkoholi,nouns,2.0
3004,yn nerfus,ahdistuneesti,adverbs,3.5
3005,gitâr,rumpu,nouns,1.35
3006,yn onest,uskollisesti,adverbs,1.7
3007,yn hapus,turvallisesti,adverbs,0.6
3008,actor,monitahokas,nouns,0.05
3009,diddanu,nauttia,verbs,0.9
3010,erfyn,vedota,verbs,3.5
3011,dadlau,vaatia,verbs,1.3
3012,ar frys,nopeasti,adverbs,4.95
3013,rhwygo,pitää päällä,verbs,0.05
3014,llafn,ruoho,nouns,0.3
3015,amddiffyn,suojella,verbs,4.3
3016,pelydr,auringonpaiste,nouns,2.15
3017,sinema,televisio,nouns,0.95
3018,anwybodus,yhtenäinen,adjectives,0.25
3019,uno,jakaa,verbs,0.35
3020,arwyddluniau,arvokkuus,nouns,0.15
3021,wedi eu cyfuno,sekoitettu,adjectives,2.8
3022,gwlyb,tahmea,adjectives,0.65
3023,balchder,köyhä,adjectives,0.05
3024,prin,ei koskaan,adverbs,3.35
3025,gwrthddadlau,väitellä,verbs,3.8
3026,gwanwyn,geisir,nouns,0.0
3027,cwch,moottori ,nouns,0.75
3028,dirprwy,virkailija,nouns,0.75
3029,eisiau,lainata,verbs,0.5
3030,firws,veri,nouns,0.65
3031,niwl,pilvi,nouns,2.9
3032,mynychu,ilmestyä,verbs,0.55
3033,gwerthfawr,laiska,adjectives,0.0
3034,cyffredin,kummallinen,adjectives,0.2
3035,wedi ei orchuddio,vaatetettu,adjectives,1.85
3036,yma,nyt,adverbs,1.35
3037,goresgyn,dominoida,verbs,2.9
3038,pen,aakkoset,nouns,0.05
3039,band,väkijuoma,nouns,0.0
3040,cywilydd,murhe,nouns,1.35
3041,troed,hiekka,nouns,0.05
3042,gwn,turkki,nouns,0.05
3043,curo,sulautua,verbs,0.55
3044,pleserdaith,matka,nouns,3.8
3045,canrif,väkijuoma,nouns,0.0
3046,credyd,lainaaja,nouns,0.95
3047,angen,tiedustella,verbs,0.3
3048,rheol,sopivuussäännöt,nouns,2.45
3049,duw,saalis,nouns,0.0
3050,digwyddiad codi arian,tapahtuma,nouns,2.15
3051,emosiwn,intohimo,nouns,3.45
3052,traethawd,läksyt,nouns,1.9
3053,creu,ansaita,verbs,0.1
3054,brawd,sielu,nouns,0.0
3055,dydd  ,aamu,nouns,1.55
3056,dyffryn,masennus,nouns,0.3
3057,yn ddarostyngedig,huonosti,adverbs,0.1
3058,gwddf,luu,nouns,0.85
3059,prif fwrdd,emolevy,nouns,3.3
3060,ceunant,laakso,nouns,3.6
3061,troi drosodd,sattua,verbs,0.4
3062,tanc,auto,nouns,0.85
3063,lori,paketti,nouns,0.4
3064,calendr,päivämäärä,nouns,1.75
3065,eryr,haukka,nouns,2.55
3066,gwisgedig,peitetty,adjectives,1.85
3067,diog,kiireinen,adjectives,0.15
3068,yn naturiol,hiljaisesti,adverbs,0.25
3069,soffa,sänky,nouns,0.35
3070,ochr,pohja,nouns,0.75
3071,hurt,älykäs,adjectives,0.2
3072,pinsio,lävistää,verbs,1.05
3073,alcohol,cocktail,nouns,2.0
3074,cymryd,takavarikoida,verbs,1.75
3075,twyll,rikos,nouns,3.1
3076,atgoffa,unohtaa,verbs,0.25
3077,arian cyfred,vaihto,nouns,0.4
3078,atodiad,suffiksi,nouns,3.25
3079,holi,etsiä,verbs,1.6
3080,cyffredin,kylmä,adjectives,0.0
3081,lladd,taistella,verbs,1.2
3082,allanfa,äänioikeus,nouns,0.05
3083,hawdd,haavoittuvainen,adjectives,0.1
3084,cychwyn,alkaa,verbs,5.7
3085,dwywaith,moninkertainen,adverbs,0.85
3086,rhoi,olla tunnustamatta,verbs,0.5
3087,yn amlwg,varmasti,adverbs,3.15
3088,syml,vaikea,adjectives,0.25
3089,cleddyf,ympäristö,nouns,0.0
3090,arfordir,ranta,nouns,nan
3091,onest,epärehellinen,adjectives,0.25
3092,babi,tytär,nouns,1.6
3093,batri,teatteri,nouns,0.0
3094,unigryw,vastapäinen,adjectives,0.15
3095,miniog,sileä,adjectives,0.3
3096,bwyd,ohjelma,nouns,0.05
3097,ffraeo,vakuuttaa,verbs,0.5
3098,cath,leijona,nouns,2.3
3099,siarad,kuulla,verbs,0.65
3100,darganfod,karata,verbs,0.25
3101,pumed,huippu,adjectives,0.05
3102,pren,tukki,nouns,3.1
3103,yn gyfeillgar,epätodennäköisesti,adverbs,0.0
3104,efelychiad,robotiikka,nouns,0.5
3105,pen,kynsi,nouns,0.65
3106,gorsedd,miekka,nouns,0.4
3107,brawd,poika,nouns,2.0
3108,ystafell,solu,nouns,1.65
3109,gliniadur,muistikirja,nouns,0.6
3110,corff,hermo,nouns,0.65
3111,lifft,laatikko,nouns,0.0
3112,dibynnu,epäonnistua,verbs,0.25
3113,dannedd,luu,nouns,1.4
3114,undeb,summa,nouns,0.3
3115,yn ddiweddarach,ei koskaan,adverbs,0.7
3116,priodol,kohtelias,adjectives,1.55
3117,ffynhonnell,laatikko,nouns,0.0
3118,rhyddid,keidas,nouns,0.35
3119,gwastraffu,murehtia,verbs,0.05
3120,cystadlu,suorittaa loppuun,verbs,0.2
3121,claddedigaeth,kuolema,nouns,1.3
3122,pen-glin,luu,nouns,1.5
3123,gwrthod,kieltäytyä,verbs,2.6
3124,yn ddi-drefn,rauhallisesti,adverbs,0.2
3125,ffurfdroad,infektio,nouns,0.0
3126,metr,tuuma,nouns,1.3
3127,plentyn,aikuinen,nouns,0.9
3128,eira,myrsky,nouns,1.05
3129,cyd-beilot,kyttä,nouns,0.5
3130,bywgraffiad,fiktio,nouns,0.5
3131,morthwyl,hampaat,nouns,0.0
3132,carbon,atomi,nouns,1.05
3133,cinio,keitto,nouns,1.5
3134,athro,opiskelija,nouns,0.9
3135,hawdd,iso,adjectives,0.0
3136,stêc,kana,nouns,0.85
3137,caban,maja,nouns,3.6
3138,ysbryd,lamppu,nouns,0.1
3139,meddyg,ortodontti,nouns,1.6
3140,ffrâm,hitti,nouns,0.0
3141,yn dawel,luonnollisesti,adverbs,0.25
3142,cotwm,villapaita,nouns,0.65
3143,cyfuniad,liitto,nouns,2.95
3144,menyw,tehtävä,nouns,0.0
3145,yn ysgafn,kirkkaasti,adverbs,0.6
3146,pobl,juhla,nouns,0.8
3147,annog,lannistaa,verbs,0.2
3148,tref,suurkaupunki,nouns,3.05
3149,cyfreithlon,laiton,adjectives,0.25
3150,tudalen,kohta,nouns,0.55
3151,dechrau,aloittaa,verbs,5.7
3152,rhyfedd,normaali,adjectives,0.2
3153,corn,auto,nouns,0.2
3154,diogelu,puolustaa,verbs,4.3
3155,ymosodiad,salamahyökkäys,nouns,3.65
3156,hwyliau,tunne,nouns,1.8
3157,derbyn,saavuttaa,verbs,0.45
3158,bach,valtava,adjectives,0.25
3159,drws,lattia,nouns,0.5
3160,brechdan,lounas,nouns,1.35
3161,yn feddal,lujasti,adverbs,0.4
3162,drifftio,virrata,verbs,3.15
3163,mynnu,kiistellä,verbs,1.3
3164,ysgyfaint,maksa,nouns,1.25
3165,heb ei ddatgelu,peittelemätön,adjectives,0.1
3166,llygredd,presidentti,nouns,0.0
3167,gwaethygu,hyökätä kimppuun,verbs,0.3
3168,cymhwysedd,kyky,nouns,4.35
3169,yn gadarn,pehmeästi,adverbs,0.4
3170,rhannu,lisätä,verbs,0.5
3171,ewythr,serkku,nouns,1.15
3172,oedolyn,huoltaja,nouns,1.9
3173,ffonoleg,näyttö,nouns,0.1
3174,wal,koriste,nouns,0.35
3175,dewin,kaapeli,nouns,0.0
3176,atgoffa,myydä,verbs,0.0
3177,ffon reoli,tutka,nouns,0.25
3178,nawr,täällä,adverbs,1.35
3179,anghrybwylladwy,avioliiton ulkopuolinen,adjectives,0.0
3180,milwr,rauha,nouns,0.2
3181,afal,ruokavalio,nouns,0.7
3182,stori,aihe,nouns,0.95
3183,beirniadol,töykeä,adjectives,0.85
3184,hollalluogrwydd,ylivalta,nouns,2.65
3185,cerdyn,silta,nouns,0.0
3186,poenydio,ärsyttää,verbs,3.7
3187,cyfnos,ilta,nouns,3.7
3188,byw,selviytyä,verbs,2.9
3189,llenyddiaeth,sana,nouns,1.05
3190,car,silta,nouns,0.3
3191,yn aeddfed,hurskaasti,adverbs,0.5
3192,tân,apokalypsi,nouns,0.45
3193,cydymaith,rakastaja,nouns,3.05
3194,dygnwch,kukka,nouns,0.1
3195,diog,kallisarvoinen,adjectives,0.0
3196,enillydd,ehdokas,nouns,0.95
3197,yn weithredol,onnellisesti,adverbs,0.3
3198,sobr,rationaalinen,adjectives,1.2
3199,swltan,ministeriö,nouns,0.25
3200,yn deg,epäreilusti,adverbs,0.25
3201,drachtio,niellä,verbs,2.5
3202,bod yn ddyledus,käydä sisään,verbs,0.1
3203,bowliwr,keilaaminen,nouns,1.6
3204,baner,tanko,nouns,0.7
3205,delta,meri,nouns,1.2
3206,yn gyfforddus,helposti,adverbs,1.3
3207,ceirios,mansikka,nouns,1.3
3208,tâl,korvaus,nouns,4.25
3209,cynhwysydd,pullo,nouns,2.5
3210,papur,pahvi,nouns,2.75
3211,amwys,epäselvä,adjectives,4.7
3212,wagen,vaunut,nouns,4.3
3213,rhagflaenydd,menneisyys,nouns,1.2
3214,yn berffaith,todella,adverbs,1.55
3215,car,vene,nouns,0.85
3216,cig,pekoni,nouns,2.9
3217,arbed,hukkua ,verbs,0.1
3218,rhoi,vastaanottaa,verbs,0.3
3219,llonydd,neutraali,adjectives,0.95
3220,trist,hauska,adjectives,0.2
3221,cegin,kylpyhuone,nouns,1.1
3222,encilio,jättää,verbs,3.0
3223,brechdan,liha,nouns,0.6
3224,golchi,huuhdella,verbs,2.9
3225,brawd,sisko,nouns,1.85
3226,newydd,vanha,adjectives,0.2
3227,penwythnos,viikko,nouns,1.6
3228,main,kapea,adjectives,3.35
3229,beio,työntää,verbs,0.05
3230,abdomen,maha,nouns,4.95
3231,twrci,lintu,nouns,2.7
3232,rhiant,isä,nouns,3.15
3233,brenhines,mehiläinen,nouns,0.45
3234,mam,vaimo,nouns,1.75
3235,methdaliad,epäonnistuminen,nouns,1.25
3236,derbyn,uskoa,verbs,1.3
3237,palas,pilvenpiirtäjä,nouns,0.75
3238,darogan,edellyttää,verbs,0.6
3239,yn hawdd,mukavasti,adverbs,1.3
3240,drws,käytävä,nouns,0.45
3241,chwaer,veli,nouns,1.85
3242,degawd,aikakausi,nouns,1.7
3243,llyfr,artikkeli,nouns,1.2
3244,eang,kapea,adjectives,0.25
3245,anghofio,antaa anteeksi,verbs,1.0
3246,gwlychu,supistaa,verbs,0.0
3247,anghefnogi,järkyttää,verbs,0.7
3248,diwydiant,liiketoiminta,nouns,1.9
3249,nofel,kirjailija,nouns,1.0
3250,coron,avain,nouns,0.0
3251,llygoden,kissa,nouns,1.0
3252,tymestl,peitto,nouns,0.0
3253,camera,jatko-osa,nouns,0.0
3254,caniatáu,kumota,verbs,0.25
3255,gwerth,uskomus,nouns,0.85
3256,dŵr,kruunajaiset,nouns,0.0
3257,dweud ar goedd,kuuluttaa,verbs,4.6
3258,dyn,soturi,nouns,0.8
3259,brwydr,valloitus,nouns,2.25
3260,gwych,kaunis,adjectives,1.3
3261,trin,maksaa,verbs,0.0
3262,gweddïo,viestiä,verbs,0.6
3263,yn amlwg,hienovaraisesti,adverbs,0.1
3264,eira,sää,nouns,0.95
3265,ofnadwy,mahtava,adjectives,0.2
3266,hiliaeth,ksenofobia,nouns,3.9
3267,plentyn,poika,nouns,2.05
3268,dôl,ruohoalue,nouns,3.3
3269,yn dynn,uskomattomasti,adverbs,0.1
3270,eisiau,valita,verbs,0.85
3271,clyfar,tyhmä,adjectives,0.2
3272,clywed,kuunnella,verbs,3.05
3273,mynd  ,sallia,verbs,0.25
3274,menyw,turkki,nouns,0.05
