ID,FIN,YUE,PoS,score
2810,setä,表哥,nouns,1.63
2811,sinappi,種子,nouns,1.1
2812,auto,胎壓計,nouns,0.2
2813,sulkea,嘔吐,verbs,0.0
2814,huone,沖涼,nouns,0.33
2815,sitrushedelmä,橙子,nouns,4.59
2816,voileipä,午飯,nouns,1.26
2817,leikkuupuimuri,甘蔗,nouns,0.1
2818,vaikutelma,信念,nouns,1.03
2819,molekyyli,基質,nouns,0.46
2820,menettää,煮,verbs,0.04
2821,tietää,理解,verbs,3.29
2822,milloin tahansa,有時,adverbs,0.78
2823,sairaus,發燒,nouns,2.48
2824,lapsi,人,nouns,1.46
2825,valinta,靜脈,nouns,0.04
2826,huone,大厦,nouns,0.79
2827,sopimus,契約,nouns,4.26
2828,aamiainen,晚餐,nouns,1.71
2829,karata,逃跑,verbs,5.43
2830,hyönteinen,蜜蜂,nouns,3.17
2831,päivällinen,湯,nouns,1.44
2832,pilvinen sää,預測,nouns,0.44
2833,lintu,鷹,nouns,3.33
2834,pahentaa,攻擊,verbs,0.24
2835,essee,功課,nouns,1.86
2836,nainen,牛仔褲,nouns,0.09
2837,samanaikaisuus,貨幣,nouns,0.0
2838,jahdata,抓住,verbs,0.93
2839,toiminta,課程,nouns,0.38
2840,käsi,拇指,nouns,1.82
2841,kappale,選擇,nouns,0.15
2842,käyttäytyä,服從,verbs,2.98
2843,sattua,戲弄,verbs,0.29
2844,murhe,羞愧,nouns,1.88
2845,lyödä,混合,verbs,0.0
2846,kiivetä,遠足,verbs,1.26
2847,auttaja,女僕,nouns,2.04
2848,kompastua,跌倒,verbs,3.74
2849,paukkumaissi,電影,nouns,0.52
2850,saastuminen,總統,nouns,0.0
2851,hevonen,母馬,nouns,3.58
2852,naamio,派對,nouns,0.29
2853,uskoa,感覺到,verbs,0.89
2854,kyynärpää,骨頭,nouns,0.69
2855,kynsi,拇指,nouns,1.8
2856,sukeltaa,創建,verbs,0.04
2857,kummallinen,古怪,adjectives,5.23
2858,jättää,到達,verbs,0.15
2859,kovakouraisesti,明顯地,adverbs,0.55
2860,epätäsmällisesti,精確地,adverbs,0.24
2861,vedota,問,verbs,0.15
2862,virsi,稻草,nouns,0.28
2863,ystävä,母親,nouns,0.73
2864,matto,屋,nouns,0.47
2865,piispa,穆斯林,nouns,0.24
2866,alusvaatteet,身體,nouns,0.52
2867,ilmapallo,沖涼,nouns,0.05
2868,melodia,音樂,nouns,2.66
2869,ympäristö,劍,nouns,0.0
2870,presidentti,相機,nouns,0.0
2871,veli,男孩,nouns,2.66
2872,viesti,付款,nouns,0.28
2873,yrittää,成功,verbs,0.54
2874,sivuuttaa,打印,verbs,0.0
2875,valita,選舉,verbs,1.04
2876,torjua,譴責,verbs,0.7
2877,tunnustaa,接受,verbs,3.05
2878,merkittävästi,正式地,adverbs,0.71
2879,ilmoittaa,描繪,verbs,0.15
2880,hyytävä,易損壞,adjectives,0.15
2881,kiistellä,說服,verbs,0.63
2882,tulostaa,無視,verbs,0.0
2883,haluta,借,verbs,0.49
2884,myrsky,雪,nouns,0.86
2885,ujo,昂貴,adjectives,0.0
2886,toimittaa,攞,verbs,0.65
2887,iltahämärä,傍晚,nouns,4.21
2888,tutka,操縱桿,nouns,0.29
2889,määrittää,預測,verbs,0.34
2890,täsmällinen,錯誤,adjectives,0.18
2891,kruunajaiset,水,nouns,0.0
2892,olla peräisin,發現,verbs,0.43
2893,kova,强硬,adjectives,3.08
2894,metsästää,搜索,verbs,1.36
2895,vaimo,洞,nouns,0.0
2896,kuningas,裙帶關係,nouns,0.6
2897,artikkeli,手稿,nouns,1.98
2898,balladi,歌曲,nouns,4.29
2899,organisoida,成為,verbs,0.09
2900,kissa,兔子,nouns,1.47
2901,kursori,微晶片,nouns,0.04
2902,asetyylikoliini,鳶尾花,nouns,0.15
2903,populaatio,人,nouns,3.25
2904,tukki,公式,nouns,0.0
2905,lyödä,贏,verbs,2.92
2906,linja-auto,車輛,nouns,2.59
2907,asianajaja,律師,nouns,4.63
2908,penni,便宜貨,nouns,0.19
2909,varvas,手指,nouns,1.27
2910,lammas,羊肉,nouns,4.01
2911,rangaista,教,verbs,0.57
2912,sallittu,合法,adjectives,3.63
2913,lentopallo,球,nouns,3.04
2914,köyhä,孤獨,adjectives,0.2
2915,säännöllisesti,偶然,adverbs,0.43
2916,täysin,輕微,adverbs,0.15
2917,nenä,喉嚨,nouns,0.93
2918,kongressi,議會,nouns,3.58
2919,kylpyhuone,廚房,nouns,0.83
2920,puu,船,nouns,0.29
2921,työ,工具,nouns,0.43
2922,kuolema,悲劇,nouns,1.19
2923,dinosaurus,大象,nouns,0.93
2924,veljenpoika,阿姨,nouns,0.99
2925,luku,細胞質,nouns,0.0
2926,pilvenpiirtäjä,宮殿,nouns,0.79
2927,moottori ,船,nouns,0.44
2928,kestävyys,花朵,nouns,0.04
2929,hissi,盒子,nouns,0.04
2930,vaimo,稻草,nouns,0.0
2931,opettaja,教練,nouns,3.79
2932,todistaa,判斷,verbs,0.25
2933,tuuma,碼,nouns,2.54
2934,karkeasti,不耐煩地,adverbs,0.53
2935,mielipide,選擇,nouns,0.85
2936,kissa,寵物,nouns,2.87
2937,päälevy,主機板,nouns,3.87
2938,häpeissään oleva,謙虛,adjectives,0.38
2939,suostutella,拗撬,verbs,0.63
2940,fantasia,現實,nouns,0.56
2941,vartalo,肚,nouns,2.18
2942,rannikkoalue,小炮艦,nouns,0.2
2943,säästää,毀滅,verbs,0.24
2944,kämppä,營地,nouns,0.43
2945,lakimies,檢察官,nouns,3.32
2946,mulkoilla,瞇,verbs,0.6
2947,unohtaa,原諒,verbs,0.45
2948,hunaja,糖,nouns,2.13
2949,kohta,信,nouns,0.05
2950,vilpittömästi,平時,adverbs,0.23
2951,kynä,故事,nouns,0.2
2952,pienehkö,矬小,adjectives,3.51
2953,leijona,貓,nouns,2.02
2954,oviaukko,出口,nouns,3.48
2955,tietää,忘記,verbs,0.2
2956,luonne,醫生,nouns,0.18
2957,sanakirja,定義,nouns,0.9
2958,poika,小孩,nouns,2.53
2959,valmiudet,力量,nouns,2.64
2960,mieli,神經官能症,nouns,0.57
2961,epäillä,逮捕,verbs,0.43
2962,tykkivene,海岸,nouns,0.2
2963,lainrikkoja,罪犯,nouns,5.47
2964,peittämätön,冚住,adjectives,0.24
2965,kiistää,給予,verbs,0.0
2966,veli,兒子,nouns,1.56
2967,luovasti,本來,adverbs,0.54
2968,lonkka,嘴唇,nouns,0.74
2969,lumivyöry,雪,nouns,2.13
2970,elefantti,指南針,nouns,0.1
2971,ylpeä,傷心,adjectives,0.0
2972,hämmentää,混合,verbs,4.68
2973,näyttää,假扮,verbs,0.58
2974,kiistellä,不同,verbs,0.19
2975,kiillottaa,通知,verbs,0.0
2976,kirjailija,禮物,nouns,0.04
2977,suorittaa loppuun,解決,verbs,2.91
2978,saada,失去,verbs,0.1
2979,ovi,存在,nouns,0.0
2980,takaosa,尾巴,nouns,1.05
2981,rangaista,擊中,verbs,0.15
2982,tapaus,硬件,nouns,0.09
2983,humalainen,清醒,adjectives,0.29
2984,polyesteri,棉,nouns,0.92
2985,lentokone,直升機,nouns,2.08
2986,tulla,組織,verbs,0.09
2987,työntää,責怪,verbs,0.23
2988,käytävä,過道,nouns,3.9
2989,valita,想,verbs,0.44
2990,hampaat,鎚,nouns,0.04
2991,aktiviteetti,運動,nouns,2.27
2992,vastuullisesti,可靠,adverbs,3.29
2993,ylpeys,喜悅,nouns,2.03
2994,kirja,資料,nouns,0.9
2995,virkailija,副手,nouns,0.39
2996,asunto,屋,nouns,3.84
2997,nauttia,討厭,verbs,0.24
2998,sulkea,努力,verbs,0.0
2999,kirjallisuus,書,nouns,2.7
3000,pysähtyä,控制,verbs,0.43
3001,uida,見面,verbs,0.04
3002,puhua,聽見,verbs,0.39
3003,professori,學生,nouns,0.58
3004,peli,樂趣,nouns,0.63
3005,laulu,歌謠,nouns,4.29
3006,luu,膝蓋,nouns,1.1
3007,koju,盒子,nouns,0.05
3008,käsi,手腕,nouns,2.88
3009,lähde,盒子,nouns,0.04
3010,poika,哥哥,nouns,1.56
3011,jalkapallo,英式足球,nouns,5.49
3012,hevonen,小馬,nouns,3.38
3013,keskustelu,溝通,nouns,3.05
3014,maito,果汁,nouns,0.97
3015,äiti,監護人,nouns,2.94
3016,kuu,行星,nouns,2.42
3017,ranne,手臂,nouns,1.47
3018,liha,三明治,nouns,0.54
3019,varastaa,攞,verbs,1.18
3020,nyyhkyttää,哭,verbs,4.93
3021,ystävä,夥伴,nouns,4.73
3022,ottaa osaa,說,verbs,0.25
3023,tuomioistuin,正義,nouns,2.07
3024,kyky,才能,nouns,4.16
3025,leipoa,炒,verbs,2.73
3026,tunnustaa,通知,verbs,1.08
3027,näppäimistö,光,nouns,0.09
3028,ekseema,皮炎,nouns,3.67
3029,kuunnella,明白,verbs,0.89
3030,ladata,蔑視,verbs,0.0
3031,näytös,數學家,nouns,0.04
3032,atomi,分子,nouns,2.33
3033,setä,男人,nouns,2.63
3034,meri,海嘯,nouns,1.42
3035,häntä,後部,nouns,1.05
3036,olkapää,身體,nouns,0.96
3037,pensas,花,nouns,2.01
3038,poika,士兵,nouns,1.15
3039,palatsi,高樓大廈,nouns,0.79
3040,sänky,房間,nouns,0.63
3041,lukukausimaksu,獎學金,nouns,0.61
3042,myöntyä,拗撬,verbs,0.2
3043,kirurgia,心臟,nouns,0.67
3044,meri,三角洲,nouns,0.97
3045,omistaa,吸收,verbs,0.24
3046,ottaa,交付,verbs,0.65
3047,puutarha,軟管,nouns,0.29
3048,tietokone,機器,nouns,3.01
3049,laskimo,肚,nouns,0.64
3050,vehnä,穀物,nouns,3.15
3051,aamiainen,晚餐,nouns,1.75
3052,katto,窗口,nouns,0.77
3053,tarkistus,西洋棋,nouns,0.0
3054,rikos,盜竊,nouns,3.42
3055,lumimyrsky,雨,nouns,2.28
3056,laittaa,得到,verbs,0.1
3057,tapetti,背景,nouns,1.89
3058,perinne,手工業,nouns,0.48
3059,halata,擠壓,verbs,0.8
3060,vartalo,神經,nouns,0.78
3061,maissi,玉米,nouns,5.55
3062,järjestys,菜單,nouns,0.46
3063,sitruuna,蘋果,nouns,1.12
