ID,CMN,FIN,PoS,score
2823,非自然,luonnollisesti,adverbs,0.38
2824,喝,niellä,verbs,1.65
2825,游泳,tavata,verbs,0.0
2826,椅子,sänky,nouns,0.78
2827,水,jää,nouns,2.24
2828,承诺,vannoa,verbs,4.36
2829,暴力,pehmeä,adjectives,0.1
2830,可靠地,passiivisesti,adverbs,0.05
2831,宗教,sekularisti,nouns,0.25
2832,包括,pitää sisällään,verbs,5.48
2833,地板,sisäkatto,nouns,0.7
2834,上面,pohja,nouns,0.24
2835,惯例,sääntö,nouns,2.38
2836,钢,metalliseos,nouns,3.56
2837,门,ikkuna,nouns,0.88
2838,办公室,työläinen,nouns,0.53
2839,轻蔑,halveksuva,adjectives,5.13
2840,次要,merkittävä,adjectives,0.29
2841,父亲,veli,nouns,0.94
2842,乐队,väkijuoma,nouns,0.0
2843,悬崖,mäki,nouns,1.13
2844,空气,molekyyli,nouns,0.53
2845,貂,öljy,nouns,0.1
2846,主板,emolevy,nouns,3.63
2847,先生,leidi,nouns,0.64
2848,公寓,huonekalut,nouns,0.34
2849,这里,nyt,adverbs,1.3
2850,抓住,vastaanottaa,verbs,0.64
2851,本来,luovasti,adverbs,0.45
2852,布,vaatteet,nouns,2.33
2853,成年人,huoltaja,nouns,2.52
2854,决定,tuomita,verbs,2.35
2855,接受,toimittaa,verbs,0.0
2856,科学家,sairaanhoitaja,nouns,0.29
2857,跟随,jahdata,verbs,3.16
2858,家长,isä,nouns,3.83
2859,本地,ilmiselvästi,adverbs,0.0
2860,公寓,hotelli,nouns,1.02
2861,白色,kapea,adjectives,0.18
2862,速度,virka,nouns,0.0
2863,非常好,likainen,adjectives,0.0
2864,需求,nuhdella,verbs,0.24
2865,存在,ovi,nouns,0.0
2866,肯定,itsevarma,adjectives,2.95
2867,徘徊,etsiä,verbs,0.48
2868,运送,hyväksyä,verbs,0.0
2869,难看,sotkuinen,adjectives,0.67
2870,酒店,asunto,nouns,1.02
2871,篱笆,hyppy,nouns,0.1
2872,闻名,suosittu,adjectives,3.17
2873,撕开,pitää päällä,verbs,0.14
2874,创建,tuhota,verbs,0.38
2875,偷,ottaa,verbs,1.45
2876,小孩,tyttö,nouns,2.81
2877,钢琴,harmonia,nouns,0.63
2878,修理,palauttaa,verbs,1.44
2879,时装,tyyli,nouns,3.08
2880,阴谋家,strategi,nouns,2.75
2881,诈骗,rikos,nouns,3.21
2882,球,maila,nouns,0.48
2883,蛋白质,kahva,nouns,0.0
2884,笔直,kaareva,adjectives,0.34
2885,大教堂,kirkko,nouns,4.82
2886,盒子,hissi,nouns,0.0
2887,面具,juhla,nouns,0.24
2888,猫,hiiri,nouns,0.83
2889,湿疹,dermatiitti,nouns,3.53
2890,擦亮,tiedottaa,verbs,0.0
2891,屋顶,lattia,nouns,0.49
2892,光,näppäimistö,nouns,0.04
2893,意见,puolueellisuus,nouns,0.39
2894,死亡,tragedia,nouns,1.73
2895,发光,loistaa,verbs,4.37
2896,接受,vastaanottaa,verbs,0.91
2897,巧妙的,rauhallisesti,adverbs,0.83
2898,技巧,älykkyys,nouns,2.13
2899,舞蹈,mekko,nouns,0.19
2900,水平,tulokset,nouns,0.77
2901,拒绝,vetäytyä,verbs,1.06
2902,行星,tähti,nouns,2.63
2903,狭窄,pitkä,adjectives,0.48
2904,分析,arvioida,verbs,4.38
2905,兄弟,sielu,nouns,0.0
2906,毯子,sänky,nouns,0.34
2907,唇,suu,nouns,2.23
2908,球,asu,nouns,0.04
2909,百科全书,sanakirja,nouns,2.46
2910,假日,kalenteri,nouns,0.68
2911,床,huone,nouns,0.49
2912,灵活,siirrettävä,adjectives,0.63
2913,保龄球选手,keilaaminen,nouns,1.45
2914,小马,hevonen,nouns,3.38
2915,说,ottaa osaa,verbs,0.25
2916,有时,varmasti,adverbs,0.15
2917,家具,asunto,nouns,0.34
2918,书,tarina,nouns,2.08
2919,晚餐,kana,nouns,0.79
2920,船,kansi,nouns,0.61
2921,制作者,luoja,nouns,3.58
2922,笨,valtava,adjectives,0.04
2923,雾,pilvi,nouns,2.52
2924,充分,pohjimmiltaan,adverbs,0.92
2925,很少地,yleensä,adverbs,0.38
2926,片,lentokenttä,nouns,0.0
2927,难以置信,tavallinen,adjectives,0.2
2928,借,haluta,verbs,0.54
2929,否认,tunnustus,nouns,0.15
2930,怒视,siristää silmiään,verbs,0.73
2931,努力,sulkea,verbs,0.0
2932,州,koti,nouns,0.05
2933,作家,lahja,nouns,0.0
2934,生病,hullu,adjectives,1.26
2935,幸运,häpeissään oleva,adjectives,0.1
2936,英雄,sankaritar,nouns,3.9
2937,尾巴,kalliojyrkänne,nouns,0.0
2938,正牙医生,tohtori,nouns,2.83
2939,云,sumu,nouns,2.52
2940,岩浆,tulivuori,nouns,1.38
2941,肩,vartalo,nouns,0.96
2942,紧张,pelästynyt,adjectives,2.0
2943,强度,kestävyys,nouns,3.27
2944,男孩子,jonkun poika,nouns,3.55
2945,腰部,ateria,nouns,0.05
2946,争论,sopimus,nouns,0.43
2947,水,kuivuus,nouns,0.2
2948,不定期地,yleensä,adverbs,0.47
2949,敬礼,suorittaa,verbs,0.15
2950,零,ikuisuus,nouns,0.05
2951,习语,sana,nouns,1.11
2952,使满意,myöntyä,verbs,1.45
2953,服从,rangaista,verbs,0.29
2954,指甲,käsi,nouns,1.08
2955,蜜蜂,hyönteinen,nouns,2.95
2956,规则,sopivuussäännöt,nouns,2.38
2957,女人,turkki,nouns,0.0
2958,每周,kuukausittainen,adjectives,1.47
2959,年,vuosisata,nouns,1.95
2960,工具,työ,nouns,0.48
2961,牛肉,karja,nouns,2.85
2962,时装,tila,nouns,0.04
2963,公司,liiketoiminta,nouns,2.65
2964,协议,reikä,nouns,0.0
2965,故障,järjestelmä,nouns,0.1
2966,学校,laki,nouns,0.28
2967,节约,kuluttaa,verbs,0.57
2968,电视,viestintä,nouns,0.6
2969,智力,taito,nouns,2.13
2970,鼻子,pää,nouns,0.74
2971,存款,säästäjä,nouns,0.88
2972,十年,vuosisata,nouns,0.79
2973,聚集,osallistua,verbs,1.27
2974,明亮地,kevyesti,adverbs,0.6
2975,指控,syyttää,verbs,3.73
2976,经常地,satunnaisesti,adverbs,0.52
2977,地板,kansi,nouns,1.68
2978,圣歌,valloitus,nouns,0.0
2979,关闭,oksentaa,verbs,0.0
2980,偷,hankkia,verbs,1.33
2981,发送,osallistua,verbs,0.15
2982,油,minkki,nouns,0.1
2983,船,puu,nouns,0.25
2984,冷静,neutraali,adjectives,0.54
2985,人群,paraati,nouns,0.98
2986,嫌疑人,mies,nouns,0.43
2987,桥,kortti,nouns,0.18
2988,悲剧,kuolema,nouns,1.73
2989,声明放弃,olla tunnustamatta,verbs,0.69
2990,家伙,partneri,nouns,1.64
2991,手术,algebra,nouns,0.05
2992,牙医,ortodontti,nouns,3.79
2993,骨头,leuka,nouns,1.52
2994,改变,vaihtaa,verbs,3.61
2995,任务,pilli,nouns,0.0
2996,罐,pullo,nouns,2.17
2997,给,laittaa,verbs,0.58
2998,厨房,ovi,nouns,0.15
2999,公开,julkistamaton,adjectives,0.19
3000,伟大,hirveä,adjectives,0.24
3001,现实,fantasia,nouns,0.75
3002,罐子,kuppi,nouns,2.45
3003,草原,niitty,nouns,3.81
3004,天使,demoni,nouns,0.54
3005,阿姨,setä,nouns,1.02
3006,辩论,kiistellä,verbs,3.79
3007,天气,lumi,nouns,1.27
3008,知道,antaa,verbs,0.15
3009,安慰,nöyryyttää,verbs,0.09
3010,杂乱无章,järjestäytynyt,verbs,0.38
3011,选举,torjua,verbs,0.0
3012,音乐,huilu,nouns,1.04
3013,人,ase,nouns,0.0
3014,普通,kummallinen,adjectives,0.24
3015,负责任,luotettavasti,adverbs,3.52
3016,坏,syyllinen,adjectives,0.55
3017,多,kahdesti,adverbs,0.74
3018,照耀,hohtaa,verbs,4.37
3019,说明,selventää,verbs,3.92
3020,国会,parlamentti,nouns,3.31
3021,花朵,orvokki,nouns,3.13
3022,容易,vaikea,adjectives,0.29
3023,开始,alkaa,verbs,4.98
3024,演员,laulaja,nouns,1.88
3025,新娘,sulhanen,nouns,0.83
3026,海洋,meri,nouns,5.21
3027,铝,säilyketölkki,nouns,0.71
3028,犯罪,petos,nouns,3.21
3029,公式,tukki,nouns,0.0
3030,模糊,epäselvä,adjectives,4.44
3031,污染,presidentti,nouns,0.0
3032,无助,puutteenalainen,adjectives,0.73
3033,小学生,presidentti,nouns,0.2
3034,害羞,pelästynyt,adjectives,0.91
3035,好斗,taistelu,nouns,2.4
3036,威士忌酒,alkoholi,nouns,3.17
3037,折断,rouskua,verbs,1.6
3038,使惊奇,juhlia,verbs,0.23
3039,费用,kuukausipalkka,nouns,1.35
3040,电容器,diodi,nouns,0.83
3041,消失,kutistua,verbs,0.94
3042,发动机,kone,nouns,2.73
3043,威士忌酒,gini,nouns,1.77
3044,傲慢,ylpeä,adjectives,2.6
3045,小亭,laatikko,nouns,0.05
3046,捕获,saada kiinni,verbs,3.41
3047,编织,liikkua,verbs,0.55
3048,紧急情况,onnettomuus,nouns,3.9
3049,乳制品,hunaja,nouns,0.18
3050,拒绝,valita,verbs,0.0
3051,脖子,selkäranka,nouns,0.82
3052,汽车,letku,nouns,0.04
3053,地区,seutu,nouns,4.89
3054,梦想,taivas,nouns,0.14
3055,狂怒,viha,nouns,4.25
3056,教练,pelaaja,nouns,0.5
3057,画画,mellakka,nouns,0.04
3058,天神,isä,nouns,0.24
3059,毁灭,tappaa,verbs,3.24
3060,教,kouluttaa,verbs,4.19
3061,捏,lävistää,verbs,0.68
3062,瞄准,osua,verbs,1.71
3063,谦逊地,ylpeästi,adverbs,0.43
3064,蜜蜂,muurahainen,nouns,0.97
3065,锚,vene,nouns,0.63
3066,教堂,katedraali,nouns,4.82
3067,传说,moraali,nouns,0.0
3068,今天,tänä iltana,adverbs,2.83
3069,棉,polyesteri,nouns,1.2
3070,怪诞,kummallinen,adjectives,4.77
3071,保持,lainata,verbs,0.2
3072,雕塑家,kartano,nouns,0.05
3073,放开,painaa,verbs,0.0
3074,蚂蚁,mehiläinen,nouns,0.97
3075,喝,korottaa,verbs,0.0
3076,硬纸板,paperi,nouns,3.1
3077,等待,tauota,verbs,2.03
3078,牛,vuohi,nouns,0.97
3079,碟,kulho,nouns,2.11
3080,累,nälkäinen,adjectives,0.38
3081,名单,ryhmä,nouns,0.48
3082,收到,antaa,verbs,0.25
3083,大厦,kuvanveistäjä,nouns,0.05
3084,晚餐,keitto,nouns,1.07
3085,建造,tuhota,verbs,0.38
3086,祈祷,viestiä,verbs,0.52
3087,空出,häätää,verbs,1.13
3088,车,taksi,nouns,3.33
3089,律师,syyttäjä,nouns,2.27
3090,意图,tahto,nouns,1.11
3091,月亮,planeetta,nouns,2.46
3092,女儿,isä,nouns,0.64
3093,竞争,suorittaa loppuun,verbs,0.2
3094,大炮,ase,nouns,2.42
3095,亿万富翁,koditon,nouns,0.15
3096,苹果,kastike,nouns,0.44
3097,摇铃,melu,nouns,0.8
3098,大声地,pehmeästi,adverbs,0.05
3099,单种栽培,maatalous,nouns,0.79
3100,大风,peitto,nouns,0.0
3101,保护,pitää,verbs,0.48
3102,男子,isä,nouns,2.53
3103,小提琴,kitara,nouns,1.27
3104,放,roikkua,verbs,0.51
3105,雇主,työntekijä,nouns,0.55
3106,踝,ikkuna,nouns,0.0
3107,幼儿床,kehto,nouns,3.55
3108,雪,sää,nouns,1.27
3109,挂,laittaa,verbs,0.51
3110,狭窄,laaja,adjectives,0.24
3111,开心,vihainen,adjectives,0.2
3112,年龄,kauneus,nouns,0.28
3113,树,vene,nouns,0.25
3114,生活方式,sivilisaatio,nouns,1.27
3115,酒,viski,nouns,3.17
3116,原木,puumateriaali,nouns,3.84
3117,显然,kovakouraisesti,adverbs,0.28
3118,犯罪,hyökätä,nouns,0.56
3119,小巷,kulho,nouns,0.0
3120,粘人,epävarma,adjectives,0.24
3121,无政府,kaaos,nouns,3.21
3122,害羞,kallis,adjectives,0.0
3123,战斗,sotaisuus,nouns,2.4
3124,离开,häätää,verbs,1.68
3125,脑,hermo,nouns,1.86
3126,牛仔裤,nainen,nouns,0.04
3127,懒,kiireinen,adjectives,0.2
3128,探索,sivuuttaa,verbs,0.0
3129,减去,kadottaa,verbs,1.31
3130,保存,kerätä,verbs,3.83
3131,算术,rytmi,nouns,0.15
3132,惩罚,totella,verbs,0.29
3133,等待,jättää,verbs,0.33
3134,王座,miekka,nouns,0.28
3135,甜,sähköinen,adjectives,0.0
3136,乱,ruma,adjectives,0.67
3137,弱,mausteinen,adjectives,0.0
