ID,ENG,EST,PoS,score
2964,flu,palavik,nouns,2.16
2965,subtly,rahulikult,adverbs,1.54
2966,factorization,lagunemine,nouns,0.89
2967,factory,auto,nouns,0.25
2968,cruel,karm,adjectives,3.34
2969,simple,raske,adjectives,0.29
2970,parcel,veok,nouns,0.65
2971,go,tulema,verbs,0.61
2972,deck,paat,nouns,0.49
2973,belief,konseptsioon,nouns,1.72
2974,negative,mitte kunagi,adjectives,0.6
2975,doctor,professor,nouns,2.47
2976,base,hape,nouns,0.77
2977,joy,uhkus,nouns,1.51
2978,simple,kerge,adjectives,4.41
2979,marginally,umbes,adverbs,0.91
2980,protect,aitama,verbs,1.69
2981,bring,kaebama,verbs,0.05
2982,fact,vihje,nouns,1.52
2983,son,vend,nouns,0.89
2984,system,viga,nouns,0.41
2985,mill,seeme,nouns,0.67
2986,date,sünnipäev,nouns,1.84
2987,always,kaks korda,adverbs,0.07
2988,comprehend,teadma,verbs,3.17
2989,kindly,õrnalt,adverbs,2.39
2990,steel,sulam,nouns,2.81
2991,sticky,räpane,adjectives,1.5
2992,give,teadma,verbs,0.04
2993,upset,häbenev,adjectives,0.48
2994,generous,kena,adjectives,1.87
2995,elephant,compass,nouns,0.55
2996,formula,võrrand,nouns,3.64
2997,head,õlg,nouns,1.01
2998,think,pärima,verbs,0.9
2999,nice,seltskondlik,adjectives,1.12
3000,pretend,oletama,verbs,0.94
3001,moon,planeet,nouns,1.26
3002,path,tunnel,nouns,0.72
3003,chips,kursor,nouns,0.2
3004,liquor,bänd,nouns,0.3
3005,want,laenama,verbs,0.3
3006,possess,võtma,verbs,1.81
3007,notebook,relv,nouns,0.0
3008,great,halb,adjectives,0.19
3009,game,tegu,nouns,0.96
3010,learn,kuulama,verbs,1.29
3011,ruler,kuningas,nouns,3.83
3012,squall,tuul,nouns,2.51
3013,suffrage,väljapääs,nouns,0.15
3014,bridge,kaart,nouns,0.15
3015,make,saama,verbs,1.02
3016,mink,karusnahk,nouns,2.75
3017,realize,avastama,verbs,3.34
3018,fox,jahikoer,nouns,0.89
3019,tail,tagumine,nouns,2.91
3020,know,unustama,verbs,0.24
3021,argue,nõustuma,verbs,0.39
3022,crime,vargus,nouns,2.67
3023,easily,umbes,adverbs,0.45
3024,arm,lihas,nouns,1.04
3025,colonel,hambaarst,nouns,0.09
3026,blood,viirus,nouns,0.86
3027,headword,süntaks,nouns,0.69
3028,neck,käsi,nouns,0.49
3029,stir,raputama,verbs,1.68
3030,chair,teleskoop,nouns,0.0
3031,known,hea,adjectives,0.57
3032,mayor,president,nouns,1.34
3033,believe,tundma,verbs,1.74
3034,catastrophe,surm,nouns,1.15
3035,strength,võimekus,nouns,2.66
3036,succeed,saavutama,verbs,3.66
3037,girl,teenijanna,nouns,1.17
3038,send,saama,verbs,0.34
3039,offend,solvama,verbs,3.95
3040,cook,praadima,verbs,2.35
3041,recently,hiljuti,adverbs,4.42
3042,rational,kaine,adjectives,2.91
3043,cup,klaaspurk,nouns,1.4
3044,syntax,märksõna,nouns,0.69
3045,west,põhi,nouns,1.0
3046,energy,patarei,nouns,1.67
3047,room,kong,nouns,1.67
3048,become,ilmuma,verbs,0.39
3049,motel,võõrastemaja,nouns,3.81
3050,dinner,kana,nouns,0.65
3051,weird,imelik,adjectives,5.13
3052,mad,õnnetu,adjectives,1.07
3053,pupil,president,nouns,0.2
3054,polish,informeerima,verbs,0.0
3055,important,ülioluline,adjectives,4.49
3056,convention,reegel,nouns,3.08
3057,arrive,lahkuma,verbs,0.44
3058,wall,telliskivi,nouns,0.91
3059,campus,ülikool,nouns,1.95
3060,lazy,kallis,adjectives,0.15
3061,gut,närv,nouns,0.79
3062,bath,abikaasa (naine),nouns,0.0
3063,cattle,lammas,nouns,1.67
3064,chair,voodi,nouns,0.72
3065,divide,ühendama,verbs,0.59
3066,storm,lumi,nouns,1.49
3067,arrest,kahtlustama,verbs,0.72
3068,boat,puur,nouns,0.0
3069,car,näidik,nouns,0.6
3070,stumble,kukkuma,verbs,2.76
3071,learn,imenduma,verbs,1.38
3072,ignorant,regulaarne,adjectives,0.28
3073,normal,erinev,adjectives,0.4
3074,bankruptcy,läbikukkumine,nouns,1.48
3075,elegance,stiil,nouns,3.25
3076,amorphous,vormitu,adjectives,4.35
3077,plead,paluma,verbs,4.48
3078,shine,hõõguma,verbs,2.96
3079,clever,loll,adjectives,0.29
3080,foot,pea,nouns,0.49
3081,bacon,hommikusöök,nouns,0.71
3082,afraid,rahutu,adjectives,2.31
3083,pure,tagasihoidlik,adjectives,0.82
3084,woman,karusnahk,nouns,0.2
3085,likely,võimalikult,adverbs,2.64
3086,cardboard,paber,nouns,2.75
3087,before,pärast,adverbs,0.34
3088,gun,rahvas,nouns,0.05
3089,lizard,krokodill,nouns,2.3
3090,car,paat,nouns,0.67
3091,say,väljendama,verbs,3.31
3092,negotiation,diplomaatia,nouns,2.96
3093,attention,huvi,nouns,2.91
3094,violent,passiivne,adjectives,0.25
3095,obviously,diskreetselt,adverbs,0.29
3096,difficult,kerge,adjectives,0.34
3097,brightly,õrnalt,adverbs,0.88
3098,music,meloodia,nouns,2.72
3099,inch,meeter,nouns,1.23
3100,attend,kogunema,verbs,1.07
3101,staff,vokalist,nouns,0.4
3102,seldom,mitte kunagi,adverbs,1.48
3103,gale,tekk,nouns,0.25
3104,body,närv,nouns,0.35
3105,jacket,riided,nouns,1.62
3106,corridor,esik,nouns,4.91
3107,attack,äkkrünnak,nouns,3.5
3108,learn,segadusse ajama,verbs,0.3
3109,door,põrand,nouns,0.64
3110,awareness,tähelepanu,nouns,3.26
3111,attend,kohale jõudma,verbs,0.84
3112,galaxy,astronoom,nouns,0.87
3113,episode,peatükk,nouns,3.26
3114,meet,ujuma,verbs,0.27
3115,biotope,bioloogia,nouns,0.99
3116,urgently,kiiresti,adverbs,3.1
3117,attack,kuritegu,nouns,1.99
3118,inexpensive,odav,adjectives,5.13
3119,aunt,onu,nouns,1.54
3120,handle,valk,nouns,0.0
3121,elephant,dinosaurus,nouns,0.52
3122,vulnerable,kerge,adjectives,0.59
3123,splash,sisehõõrdumine,nouns,0.26
3124,encourage,heidutama,verbs,0.09
3125,dukedom,printskond,nouns,2.28
3126,post,kiirus,nouns,0.15
3127,impatiently,umbes,adverbs,0.74
3128,lip,puus,nouns,0.34
3129,dumb,haruldane,adjectives,0.0
3130,joystick,radar,nouns,0.32
3131,ring,kihlus,nouns,1.25
3132,disappear,leidma,verbs,0.35
3133,valley,kanjon,nouns,3.78
3134,currently,äsja,adverbs,2.96
3135,shiver,külmuma,verbs,1.49
3136,guitar,forell,nouns,0.0
3137,insecure,hädaline,adjectives,1.54
3138,kitchen,vannituba,nouns,0.92
3139,college,amet,nouns,0.54
3140,boy,põngerjas,nouns,2.42
3141,friend,kutt,nouns,1.31
3142,ceiling,katedraal,nouns,0.5
3143,allow,kuluma,verbs,0.1
3144,calm,lõdvestunud,adjectives,4.58
3145,lamp,džinn,nouns,0.79
3146,meter,toll,nouns,1.23
3147,organize,saama,verbs,0.35
3148,descend,vähenema,verbs,0.9
3149,inaccurately,täpselt,adverbs,0.29
3150,friend,õpetaja,nouns,0.76
3151,attitude,kindlus,nouns,1.36
3152,music,flööt,nouns,1.1
3153,save,kaitsma,verbs,2.48
3154,bone,küünarnukk,nouns,1.2
3155,case,elekter,nouns,0.2
3156,bread,juust,nouns,0.72
3157,carry,kätte toimetama,verbs,1.3
3158,legal,lubatud,adjectives,4.71
3159,cinema,popkorn,nouns,0.67
3160,birthday,kuupäev,nouns,1.84
3161,decline,keelduma,verbs,4.94
3162,finger,pihk,nouns,0.74
3163,add,ehitama,verbs,1.14
3164,ask,aitama,verbs,0.6
3165,beg,küsima,verbs,2.96
3166,prejudice,šovinist,nouns,1.1
3167,diamond,raha,nouns,0.76
3168,blood,keha,nouns,0.81
3169,fundraiser,üritus,nouns,1.44
3170,jar,pudel,nouns,2.91
3171,shrink,kaduma,verbs,1.39
3172,choke,hingama,verbs,0.35
3173,roof,põrand,nouns,0.66
3174,muscle,luu,nouns,0.82
3175,rod,kardin,nouns,0.3
3176,might,jõud,nouns,4.18
3177,paragraph,lehekülg,nouns,1.19
3178,abundance,paljusus,nouns,4.7
3179,statue,skulptuur,nouns,4.81
3180,slide,osuti,nouns,0.05
3181,container,pudel,nouns,1.55
3182,microscope,bioloog,nouns,0.67
3183,bacon,uba,nouns,0.29
3184,friendly,ebatõenäoline,adverbs,0.0
3185,apparent,ilmselge,adjectives,4.83
3186,performance,episood,nouns,1.09
3187,create,ehitama,verbs,3.59
3188,inform,poleerima,verbs,0.0
3189,equation,valem,nouns,3.64
3190,perfectly,tõesti,adverbs,0.8
3191,undecided,neutraalne,adjectives,1.97
3192,log,vann,nouns,0.0
3193,mark,klubi,nouns,0.35
3194,destroy,koostama,verbs,0.09
3195,cloud,järv,nouns,0.2
3196,disease,oht,nouns,0.51
3197,area,nurk,nouns,0.56
3198,task,naine,nouns,0.05
3199,rely,nurjuma,verbs,0.0
3200,convocation,kogunemine,nouns,3.63
3201,radiator,andur,nouns,0.22
3202,brow,silm,nouns,1.32
3203,journalist,luuletaja,nouns,1.01
3204,hymn,vallutus,nouns,0.15
3205,spine,keha,nouns,0.99
3206,princedom,hertsogkond,nouns,2.28
3207,violin,kitarr,nouns,1.04
3208,poorly,tagasihoidlikult,adverbs,0.74
3209,release,suruma,verbs,0.2
3210,accept,tagasi lükkama,verbs,0.34
3211,skyscraper,palee,nouns,0.71
3212,fever,haigus,nouns,2.37
3213,infection,haigus,nouns,2.94
3214,pest,putukamürk,nouns,0.86
3215,tongue,põsk,nouns,0.84
3216,meet,tervitama,verbs,1.81
3217,kid,tütar,nouns,1.0
3218,tree,paat,nouns,0.0
3219,interest,tähelepanu,nouns,2.91
3220,money,pärl,nouns,0.36
3221,deny,tunnistama,verbs,0.39
3222,container,vagun,nouns,1.05
3223,leave,ühinema,verbs,0.19
3224,proper,viisakas,adjectives,3.34
3225,flow,triivima,verbs,1.69
3226,man,laps,nouns,0.67
3227,noticeable,ilmselge,adjectives,3.99
3228,smash,lammutama,verbs,3.69
3229,opponent,vastane,nouns,5.44
3230,forgive,unustama,verbs,0.42
3231,bone,käsi,nouns,0.77
3232,cat,lõvi,nouns,1.79
3233,elbow,pahkluu,nouns,0.79
3234,chair,taburet,nouns,3.38
3235,glad,õnnelik,adjectives,4.47
3236,maturely,õiglaselt,adverbs,0.79
3237,marry,ühinema,verbs,2.41
3238,chaos,anarhia,nouns,3.08
3239,dawn,päev,nouns,1.96
3240,yard,toll,nouns,1.02
3241,banker,advokaat,nouns,0.87
3242,movement,tegevus,nouns,2.84
3243,cat,koer,nouns,1.01
3244,film,nihilism,nouns,0.2
3245,symbol,kood,nouns,1.79
3246,law,kool,nouns,0.28
3247,phrase,sõna,nouns,1.86
3248,bed,mööbel,nouns,1.69
3249,election,valik,nouns,2.36
3250,sinner,pühak,nouns,0.48
3251,palm,sõrm,nouns,0.74
3252,sea,jõgi,nouns,1.49
3253,strange,harilik,adjectives,0.39
3254,impression,uskumus,nouns,1.81
3255,behaviorism,teraapia,nouns,0.93
3256,snow,torm,nouns,1.49
3257,regularly,aeg-ajalt,adverbs,1.36
3258,waist,eine,nouns,0.15
3259,office,tööline,nouns,0.46
3260,refuse,ära ütlema,verbs,4.94
3261,people,õhupall,nouns,0.1
3262,union,kombinatsioon,nouns,2.35
3263,man,võitja,nouns,0.56
3264,mixed,kombineeritud,adjectives,4.11
3265,complain,vaidlema,verbs,1.4
3266,organize,koguma,verbs,0.65
3267,possess,hoidma,verbs,2.54
3268,actor,televisioon,nouns,0.64
3269,pipe,sigar,nouns,1.09
3270,light,klaviatuur,nouns,0.1
3271,different,normaalne,adjectives,0.4
3272,scared,närviline,adjectives,2.4
3273,lover,seltsiline,nouns,2.13
3274,stomach,vöökoht,nouns,2.46
3275,dumb,tark,adjectives,0.39
3276,ceiling,põrand,nouns,0.71
3277,prove,seletama,verbs,2.35
3278,drift,voolama,verbs,1.69
3279,evaluate,õppima,verbs,0.72
3280,throat,nina,nouns,0.84
3281,arm,haru,nouns,0.76
3282,rare,loll,adjectives,0.0
3283,reflection,pilt,nouns,1.61
3284,fraternity,mehed,nouns,0.9
3285,zinc,kuld,nouns,0.91
3286,bee,putukas,nouns,2.33
3287,finish,katkestama,verbs,2.99
3288,guardian,ema,nouns,1.88
3289,code,sümbol,nouns,1.79
3290,precise,vale,adjectives,0.25
3291,bath,palk,nouns,0.0
3292,television,näitleja,nouns,0.64
3293,recently,preagu,adverbs,2.96
3294,horse,täkkvarss,nouns,3.0
3295,woman,teksad,nouns,0.15
3296,summer,talv,nouns,0.74
3297,optimistically,võimalikult,adverbs,0.69
3298,safety,mugavus,nouns,1.51
3299,secularist,religioon,nouns,1.05
3300,alcohol,džinn,nouns,2.06
3301,application,taotleja,nouns,1.04
3302,pot,seade,nouns,0.49
3303,certain,kindel,adjectives,5.14
3304,mouth,nina,nouns,0.99
3305,restless,noor,adjectives,0.59
3306,cancer,haigus,nouns,2.27
3307,honestly,ustavalt,adverbs,2.55
3308,rhythm,aritmeetika,nouns,0.65
3309,flower,vastupidavus,nouns,0.15
3310,diplomacy,läbirääkimine,nouns,2.96
3311,quest,eesmärk,nouns,1.68
3312,disorganized,organiseeritud,verbs,0.39
3313,restore,parandama,verbs,4.16
3314,argue,osalema,verbs,0.1
3315,push,tõmbama,verbs,0.34
3316,discover,taipama,verbs,3.34
3317,ignore,unustama,verbs,1.19
3318,lion,kass,nouns,1.79
3319,specially,tähendusrikkalt,adverbs,1.66
3320,know,andma,verbs,0.04
3321,softly,tugevalt,adverbs,0.3
3322,cellar,uks,nouns,0.54
3323,republic,hertsog,nouns,0.39
3324,messy,korrapärane,adjectives,0.29
3325,peace,sõdur,nouns,0.2
3326,nice,helde,adjectives,1.87
3327,messy,kole,adjectives,1.23
3328,car,veok,nouns,2.4
3329,singer,näitleja,nouns,1.31
3330,advise,soovitama,verbs,4.31
3331,trial,test,nouns,4.27
3332,rush,kiirustama,verbs,4.54
3333,servant,ori,nouns,2.54
3334,nervous,hirmunud,adjectives,2.4
3335,linen,riie,nouns,2.23
3336,chart,graafik,nouns,3.59
3337,possess,imenduma,verbs,0.64
3338,argument,kriitika,nouns,1.52
3339,accurately,karvapealt,adverbs,5.21
3340,car,automobiil,nouns,5.35
3341,smother,kallistama,verbs,0.92
3342,communication,vestlus,nouns,3.66
3343,tomb,taasmatmine,nouns,0.66
3344,capture,püüdma,verbs,4.15
3345,finger,varvas,nouns,1.11
3346,abnormally,normaalselt,adverbs,0.34
3347,scare,kummitama,verbs,2.24
3348,comfortably,kergelt,adverbs,2.25
3349,couple,paar,nouns,4.57
3350,scream,karjuma,verbs,3.5
3351,alright,keskpärane,adjectives,3.83
3352,costume,ball,nouns,0.7
3353,leaf,seemik,nouns,0.79
3354,cruel,kena,adjectives,0.0
3355,quickly,hädasti,adverbs,3.1
3356,people,dollar,nouns,0.05
3357,bother,solvama,verbs,1.33
3358,easily,mugavalt,adverbs,2.25
3359,accept,saama,verbs,2.44
3360,note,makse,nouns,0.96
3361,girl,kutt,nouns,0.89
3362,fairly,ebaausalt,adverbs,0.29
3363,confusion,hüsteeria,nouns,2.21
3364,fabric,riided,nouns,1.82
