ID,CYM,ENG,PoS,score
2909,atom,carbon,nouns,1.0
2910,benthyg,beg,verbs,0.92
2911,diddordeb,attention,nouns,2.61
2912,alcohol,gin,nouns,1.96
2913,moleciwl,atom,nouns,1.79
2914,yn ddarostyngedig,poorly,adverbs,0.24
2915,sudd,apple,nouns,0.83
2916,llygoden,deck,nouns,0.0
2917,gludiog,dirty,adjectives,0.8
2918,dyn,suspect,nouns,0.42
2919,erlynydd,lawyer,nouns,2.95
2920,darlun,blister,nouns,0.0
2921,awdur,gift,nouns,0.0
2922,gwrthod,withdraw,verbs,1.55
2923,ergydio,miss,verbs,0.05
2924,wal,castle,nouns,0.41
2925,yn angheuol,happily,adverbs,0.0
2926,absenoldeb,presence,nouns,0.57
2927,glaswellt,moss,nouns,1.51
2928,tafod,throat,nouns,0.58
2929,yn realistig,ideally,adverbs,0.72
2930,ysgol,law,nouns,0.22
2931,llaw,foot,nouns,0.7
2932,unig,poor,adjectives,0.14
2933,yn llachar,greatly,adverbs,0.32
2934,heb ei ddefnyddio,new,adjectives,4.42
2935,lori,parcel,nouns,0.35
2936,hashnod,topic,nouns,0.69
2937,gweiddi,scream,verbs,3.79
2938,hynafol,new,adjectives,0.04
2939,llinyn,sunset,nouns,0.0
2940,ffynnu,try,verbs,0.64
2941,pen,shoulder,nouns,0.91
2942,corachaidd,smallish,adjectives,3.24
2943,gadael,do,verbs,0.04
2944,gweithredu,algebra,nouns,0.51
2945,rheoli,stop,verbs,0.42
2946,gwrthbrofi,allow,verbs,0.0
2947,twf,fertilizer,nouns,0.59
2948,drws,corridor,nouns,0.19
2949,môr,delta,nouns,0.82
2950,caniatáu,disprove,verbs,0.0
2951,bwrw,punish,verbs,0.76
2952,dyweddïad,ring,nouns,1.46
2953,yn aeddfed,righteously,adverbs,0.69
2954,trafodaeth,diplomacy,nouns,2.51
2955,anarchiaeth,chaos,nouns,3.72
2956,gwybodaeth,book,nouns,0.86
2957,cyfarfod,greet,verbs,1.51
2958,cywilydd,modest,adjectives,0.12
2959,mynachlog,shower,nouns,0.0
2960,benthyciwr,credit,nouns,0.76
2961,tref,city,nouns,2.77
2962,syml,easy,adjectives,3.96
2963,bara,cheese,nouns,0.38
2964,erydu,allow,verbs,0.0
2965,bwthyn,cabin,nouns,3.34
2966,helmed,weapon,nouns,0.59
2967,tarw,calf,nouns,1.71
2968,drwg  ,terrific,adjectives,0.04
2969,corws,singer,nouns,1.19
2970,curo,blend,verbs,0.71
2971,diymadferth,needy,adjectives,1.67
2972,derbyn,agree,verbs,2.42
2973,gwaelod,top,nouns,0.3
2974,cosbi,obey,verbs,0.2
2975,ysgwydd,body,nouns,0.54
2976,car,automobile,nouns,5.35
2977,athletwr,runner,nouns,2.56
2978,ffordd,highway,nouns,3.89
2979,bachgen,child,nouns,1.63
2980,gwrando,learn,verbs,0.69
2981,dychan,myth,nouns,0.22
2982,eang,big,adjectives,3.11
2983,newynog,thirsty,adjectives,1.23
2984,babi,adult,nouns,0.26
2985,gwydr,crystal,nouns,2.04
2986,pêl-foli,ball,nouns,2.04
2987,cael,remain,verbs,0.0
2988,meddw,sober,adjectives,0.09
2989,bustach,horse,nouns,0.74
2990,ymddangos,pretend,verbs,0.84
2991,gallu,competence,nouns,4.32
2992,adeilad,room,nouns,0.86
2993,hongian,put,verbs,0.48
2994,aer,helium,nouns,2.0
2995,eglwys gadeiriol,church,nouns,3.54
2996,siampên,whiskey,nouns,1.06
2997,symudol,flexible,adjectives,2.35
2998,torri,shatter,verbs,4.08
2999,cerflun,sculpture,nouns,5.01
3000,colli,get,verbs,0.05
3001,cael,lose,verbs,0.05
3002,bryn,cliff,nouns,1.27
3003,miliwnydd,dollar,nouns,0.46
3004,dal,receive,verbs,1.99
3005,brwydr,belligerence,nouns,1.96
3006,anhrefnu,organized,verbs,0.09
3007,gwneuthurwr,creator,nouns,5.32
3008,ffwr,gun,nouns,0.05
3009,nerf,brain,nouns,0.72
3010,log,timber,nouns,2.86
3011,partner,guy,nouns,0.57
3012,gaeaf,summer,nouns,0.59
3013,asgwrn,knee,nouns,1.04
3014,yn union,inaccurately,adverbs,0.04
3015,soffistigedig,mature,adjectives,2.64
3016,golygyddol,news,nouns,1.36
3017,cynorthwy-ydd,maid,nouns,2.14
3018,asgwrn,elbow,nouns,1.2
3019,meddal,violent,adjectives,0.0
3020,prif air,syntax,nouns,0.34
3021,gair,clue,nouns,0.2
3022,brechdan,meat,nouns,0.27
3023,teledu,actor,nouns,0.54
3024,disgybl,president,nouns,0.05
3025,twyn,desert,nouns,1.21
3026,cymryd,steal,verbs,2.24
3027,cadw,borrow,verbs,0.22
3028,cansen siwgr,combine,nouns,0.0
3029,weithiau,uniformly,adverbs,0.0
3030,degawd,century,nouns,0.54
3031,rhad,dirty,adjectives,0.04
3032,mynd,sell,verbs,0.0
3033,dyffryn,river,nouns,0.88
3034,anaeddfed,grown,adjectives,0.09
3035,afiechyd,danger,nouns,0.26
3036,crybwyll,criticize,verbs,0.96
3037,alaw,music,nouns,2.82
3038,gwn,notebook,nouns,0.0
3039,bowlen,alley,nouns,0.04
3040,emyn,conquest,nouns,0.0
3041,adref,away,adverbs,0.35
3042,bargen,penny,nouns,0.57
3043,gradd,school,nouns,0.56
3044,coron,key,nouns,0.0
3045,dewis,want,verbs,0.81
3046,anghrybwylladwy,extramarital,adjectives,0.07
3047,diogel,tedious,adjectives,0.04
3048,treial,test,nouns,4.32
3049,yn realistig,recently,adverbs,0.0
3050,siwr,certain,adjectives,5.64
3051,mynd i mewn,go,verbs,1.84
3052,emosiwn,passion,nouns,3.31
3053,cyfarwyddwr,cinematography,nouns,0.88
3054,rhybuddio,stop,verbs,1.04
3055,yn oddefol,silently,adverbs,1.37
3056,gafael,hug,verbs,2.0
3057,losin,apple,nouns,0.19
3058,anghyfreithlon,lawful,adjectives,0.09
3059,ewythr,cousin,nouns,0.45
3060,yn uchel,madly,adverbs,0.39
3061,cyfansoddwr,writer,nouns,3.14
3062,salad,vinegar,nouns,0.24
3063,ciwb,toy,nouns,0.05
3064,ethol,appoint,verbs,3.37
3065,methdaliad,failure,nouns,0.97
3066,cyrraedd,attend,verbs,1.04
3067,canu,laugh,verbs,0.35
3068,batri,energy,nouns,2.17
3069,codi,raise,verbs,4.53
3070,dannedd,bone,nouns,1.44
3071,homoffon,photophone,nouns,0.19
3072,pwffian chwerthin,laugh,verbs,4.33
3073,teimlo,believe,verbs,2.59
3074,diymhongar,ashamed,adjectives,0.12
3075,gwely,bedroom,nouns,1.61
3076,enillydd,goal,nouns,0.21
3077,clwstwr,crowd,nouns,2.32
3078,rhannu,multiply,verbs,0.45
3079,mynd i mewn,leave,verbs,0.14
3080,ymuno,leave,verbs,0.09
3081,traeth,sea,nouns,1.36
3082,dinistrio,kill,verbs,2.74
3083,anghofio,learn,verbs,0.19
3084,dod yn,accomplish,verbs,0.44
3085,sbeislyd,weak,adjectives,0.0
3086,pathogen,germ,nouns,4.22
3087,ewin,thumb,nouns,0.89
3088,dyn,partner,nouns,0.57
3089,trosedd,fraud,nouns,2.46
3090,dadelfennu,factorization,nouns,1.08
3091,deilen,tree,nouns,1.01
3092,tarddu,begin,verbs,4.0
3093,ymuno,marry,verbs,2.76
3094,rhoi,disown,verbs,0.54
3095,enfawr,tiny,adjectives,0.13
3096,gynfad,coast,nouns,0.09
3097,carchariad,cell,nouns,1.89
3098,tynnu,create,verbs,0.61
3099,cytundeb,condition,nouns,0.34
3100,syniad,scheme,nouns,3.12
3101,dafad,lamb,nouns,3.92
3102,dringo,hike,verbs,2.83
3103,awyrennaeth,avionics,nouns,3.89
3104,caban,hut,nouns,3.24
3105,braich,shoulder,nouns,1.33
3106,gaeaf,season,nouns,2.01
3107,prawf,fact,nouns,1.52
3108,cemeg,theory,nouns,0.34
3109,bargeinio,sell,verbs,1.09
3110,ymadrodd,word,nouns,1.71
3111,disgybl,student,nouns,5.29
3112,penodi,elect,verbs,3.37
3113,bacwn,breakfast,nouns,0.66
3114,salwch,fever,nouns,3.02
3115,gwynt,squall,nouns,2.42
3116,cyfreithiwr,banker,nouns,0.67
3117,afal,sauce,nouns,0.58
3118,corn,drum,nouns,0.3
3119,aeddfed,sophisticated,adjectives,2.64
3120,actor,singer,nouns,0.86
3121,ffrio,bake,verbs,1.31
3122,dant,mouth,nouns,0.93
3123,caffael,find,verbs,2.07
3124,moleciwl,matrix,nouns,0.19
3125,hapusrwydd,sadness,nouns,0.24
3126,hynod,weird,adjectives,4.08
3127,ysgafn,sharp,adjectives,0.05
3128,ffisigwr,doctor,nouns,4.64
3129,rinsio,wash,verbs,3.38
3130,crys,cardigan,nouns,0.91
3131,calendr,holiday,nouns,0.46
3132,deinosor,elephant,nouns,0.22
3133,cyllell,gun,nouns,0.81
3134,misol,weekly,adjectives,0.83
3135,digon,abundance,nouns,4.65
3136,gwythïen,arm,nouns,0.24
3137,sgil,intelligence,nouns,1.83
3138,cyffredin,incredible,adjectives,0.04
3139,undeb,combination,nouns,2.25
3140,braich,muscle,nouns,0.65
3141,beirniadu,remark,verbs,0.96
3142,cadair,bench,nouns,2.81
3143,ffa,coffee,nouns,0.74
3144,lemwn,apple,nouns,0.76
3145,ochr,top,nouns,0.35
3146,ffactorio,decomposition,nouns,1.08
3147,brawd,boy,nouns,1.65
3148,byth,later,adverbs,0.37
3149,carchar,bar,nouns,0.24
3150,anodd,simple,adjectives,0.09
3151,rhiant,adult,nouns,1.56
3152,glaswelltir,meadow,nouns,2.59
3153,eglwys,cathedral,nouns,3.54
3154,myfyrio,think,verbs,4.45
3155,newynog,tired,adjectives,0.22
3156,stori,topic,nouns,1.0
3157,llyn,cloud,nouns,0.15
3158,tŷ,carpet,nouns,0.19
3159,arferol,different,adjectives,0.35
3160,mae'n debygol,perhaps,adverbs,2.6
3161,deallus,dumb,adjectives,0.04
3162,finegr,salad,nouns,0.24
3163,ffwr,woman,nouns,0.05
3164,canu,float,verbs,0.0
3165,sgïo,snowboard,nouns,1.52
3166,proffwyd,priest,nouns,1.35
3167,canon,ball,nouns,0.61
3168,bòs,director,nouns,3.14
3169,derbyn,deliver,verbs,0.05
3170,gwaith celf,artist,nouns,1.04
3171,alaw,rhythm,nouns,1.73
3172,gwrthod,accept,verbs,0.09
3173,llwch,broom,nouns,0.22
3174,fflat,house,nouns,2.53
3175,rhagorol,great,adjectives,4.6
3176,cael,put,verbs,0.19
3177,unigryw,opposite,adjectives,0.39
3178,haematoleg,pathology,nouns,1.66
3179,sefyllfa,condition,nouns,2.24
3180,swyddog,deputy,nouns,1.29
3181,ffêr,bone,nouns,0.96
3182,gallu,competence,nouns,4.46
3183,dyrchafu,promote,verbs,2.19
3184,iâr,turkey,nouns,1.57
3185,codi,haul,verbs,2.0
3186,mawr,easy,adjectives,0.0
3187,mathemategydd,show,nouns,0.0
3188,llew,cat,nouns,1.99
3189,torf,bunch,nouns,2.32
3190,ymgyrch,monkey,nouns,0.0
3191,plentyn,boy,nouns,2.02
3192,drwm,guitar,nouns,0.81
3193,coridor,door,nouns,0.19
3194,top,bottom,nouns,0.3
3195,haint,inflection,nouns,0.0
3196,derbyn,take,verbs,1.56
3197,olew,mink,nouns,0.0
3198,baner,pole,nouns,0.51
3199,ecsotig,rare,adjectives,2.0
3200,nofio,meet,verbs,0.27
3201,eisiau,desire,verbs,5.11
3202,gwahaniaeth,remainder,nouns,3.47
3203,dechrau,originate,verbs,4.0
3204,credyd,borrower,nouns,0.76
3205,gair,page,nouns,0.67
3206,cydnabod,notify,verbs,0.89
3207,brecwast,bacon,nouns,0.66
3208,papur,cardboard,nouns,2.5
3209,esgeuluso,disown,verbs,0.65
3210,cwpl,pair,nouns,5.57
3211,carchar,choice,nouns,0.0
3212,rhoi,hang,verbs,0.48
3213,cwch,motor,nouns,0.71
3214,trist,terrible,adjectives,1.77
3215,dynwared,capture,verbs,0.12
3216,plentyn,adult,nouns,0.59
3217,cenedlaethol,big,adjectives,0.41
3218,gwaed,flesh,nouns,1.07
3219,cymysgu,cook,verbs,0.76
3220,dannedd,hammer,nouns,0.0
3221,pinsio,punch,verbs,0.82
3222,lindys,silkworm,nouns,1.94
3223,tsunami,sea,nouns,1.3
3224,gwddf,bone,nouns,0.27
3225,beirniadol,rude,adjectives,0.93
3226,yn amlwg,discreetly,adverbs,0.04
3227,diog,precious,adjectives,0.0
3228,allwedd,crown,nouns,0.0
3229,asgwrn,arm,nouns,0.92
3230,poster,paper,nouns,1.44
3231,gwellt,wife,nouns,0.0
3232,blodyn,endurance,nouns,0.1
3233,maer,chief,nouns,1.44
3234,lansio,send,verbs,1.5
3235,blwch  ,hat,nouns,0.04
3236,arbediad,saver,nouns,2.08
3237,metel,tin,nouns,2.16
3238,mynychu,argue,verbs,0.0
3239,gwneud,happen,verbs,0.69
3240,stêc,meat,nouns,3.24
3241,llywodraeth,lizard,nouns,0.0
3242,dewis,chapter,nouns,0.0
3243,gwych,beautiful,adjectives,2.0
3244,cig,steak,nouns,3.24
3245,rheolaidd,ignorant,adjectives,0.07
3246,rhifyddeg,rhythm,nouns,0.0
3247,mecanyddol,electric,adjectives,0.47
3248,pren,stone,nouns,0.09
3249,beic,bedroom,nouns,0.0
3250,campws,university,nouns,1.65
3251,ymosod,aggravate,verbs,0.53
3252,dicter,fury,nouns,4.57
3253,edafedd,thread,nouns,3.51
3254,curo,whip,verbs,2.58
3255,anfeidredd,zero,nouns,0.31
3256,chwilio,look,verbs,4.18
3257,nerthol,powerful,adjectives,5.0
3258,seicoleg,science,nouns,1.6
3259,microsgop,biologist,nouns,0.48
3260,yn gywir,actively,adverbs,0.44
3261,yn unffurf,sometimes,adverbs,0.0
3262,anfoesol,illegal,adjectives,1.91
3263,pont,card,nouns,0.0
3264,danfon,launch,verbs,1.5
3265,bowlio,bowler,nouns,1.27
3266,gwrando,hear,verbs,3.62
3267,neidio,fence,nouns,0.0
3268,yn ofalus,dangerously,adverbs,0.05
3269,tröedigaeth,altitude,nouns,0.0
3270,radical,violent,adjectives,0.66
3271,organ,kidney,nouns,2.3
3272,liberti,freedom,nouns,5.37
3273,cymryd,leave,verbs,0.09
3274,arian cyfred,exchange,nouns,0.99
3275,deiet,salad,nouns,0.82
3276,côr,church,nouns,0.49
3277,pry,bee,nouns,1.52
3278,cwpan,jar,nouns,1.44
3279,dillad,cloth,nouns,1.29
3280,plisman,copilot,nouns,0.09
3281,gwenynen,insect,nouns,1.52
3282,dimai,people,nouns,0.0
3283,yn naturiol,unnaturally,adverbs,0.09
3284,pren,log,nouns,2.86
3285,pen-blwydd,date,nouns,1.44
3286,ceisio,think,verbs,0.15
3287,yn hael,never,adverbs,0.0
3288,newydd,old,adjectives,0.04
3289,polyhedron,actor,nouns,0.04
3290,cinio,chicken,nouns,0.74
3291,derbyn,reject,verbs,0.09
3292,seiclon,typhoon,nouns,4.03
3293,deintydd,orthodontist,nouns,3.4
3294,yn hysbys,popular,adjectives,2.29
3295,yn bennaf,deeply,adverbs,0.3
3296,angen,inquire,verbs,0.0
3297,nerfus,scared,adjectives,3.15
3298,cynllun,idea,nouns,3.12
3299,hyrwyddo,advance,verbs,2.19
3300,gitâr,violin,nouns,0.89
3301,hyderus,sure,adjectives,4.76
3302,chwerthin,sing,verbs,0.35
3303,cyhoeddi,declare,verbs,4.97
3304,ufuddhau,punish,verbs,0.2
3305,swydd,task,nouns,3.74
3306,siwr,confident,adjectives,4.76
3307,losin,cinnamon,nouns,0.52
3308,drwg,mediocre,adjectives,0.56
3309,enillydd,champion,nouns,5.07
3310,baco,cigarette,nouns,2.52
3311,ymuno,cooperate,verbs,1.54
3312,meddu ar,absorb,verbs,0.34
3313,cenedlaethol,known,adjectives,0.0
3314,wastad,twice,adverbs,0.28
3315,enwaediad,foreskin,nouns,0.79
3316,treisgar,soft,adjectives,0.0
3317,yn bwysig,seriously,adverbs,1.91
3318,tafod,cheek,nouns,0.69
3319,morgrugyn,bee,nouns,0.76
3320,duw,priest,nouns,0.59
3321,gwisg,ball,nouns,0.05
3322,cyflogwr,worker,nouns,1.34
3323,damwain,emergency,nouns,2.11
3324,corff,underwear,nouns,0.26
3325,polyn,flag,nouns,0.51
3326,fel arfer,routinely,adverbs,4.58
3327,yn gyfrifol,reliably,adverbs,3.31
3328,pren,log,nouns,3.04
3329,realiti,illusion,nouns,0.22
3330,newyddiadur,article,nouns,2.4
3331,heddwch,soldier,nouns,0.1
3332,asgwrn,muscle,nouns,0.28
3333,hynafol,modern,adjectives,0.04
3334,gorffen,graduate,verbs,1.67
3335,cofleidio,squeeze,verbs,1.98
3336,yn oddefol,actively,adverbs,0.04
3337,alcohol,cocktail,nouns,1.77
3338,gadael,appear,verbs,0.09
3339,cychwyn,start,verbs,5.44
3340,cyd-beilot,cop,nouns,0.09
3341,hapus,cheerful,adjectives,5.06
3342,glofa,rock,nouns,0.42
3343,merch,guy,nouns,0.79
3344,seler,door,nouns,0.14
3345,tynnu,push,verbs,0.09
3346,degawd,era,nouns,1.58
3347,llythyr,paragraph,nouns,0.57
3348,wagen,carriage,nouns,3.51
3349,hydoddi,melt,verbs,3.14
3350,fioled,flower,nouns,1.5
3351,bricsen,wall,nouns,0.91
3352,bychanu,comfort,verbs,0.04
3353,annisgwyl,unforeseen,adjectives,4.91
3354,gwawr,gun,nouns,0.0
3355,brysio,rush,verbs,5.04
3356,emosiwn,mood,nouns,2.85
3357,modfedd,yard,nouns,0.93
3358,pobl,cent,nouns,0.0
3359,asgwrn cefn,neck,nouns,1.22
3360,anrheg,writer,nouns,0.0
3361,economi,ecosystem,nouns,0.24
3362,hurt,clever,adjectives,0.04
3363,perfedd,nerve,nouns,0.69
3364,mynd  ,send,verbs,0.71
3365,archwilio,discover,verbs,2.21
3366,gwn,trick,nouns,0.0
3367,brawd,soul,nouns,0.0
3368,tagu,breathe,verbs,0.55
3369,twrci,bird,nouns,2.3
3370,caniatáu,go,verbs,0.04
3371,ymarfer,repeat,verbs,1.48
3372,noswaith,sunset,nouns,2.21
3373,cerbyd,wagon,nouns,3.51
3374,delta,sea,nouns,0.82
3375,piano,harmony,nouns,0.61
3376,cyfalaf,money,nouns,3.04
3377,hanesyddiaethwr,historian,nouns,3.22
3378,cyflwr,boy,nouns,0.0
3379,onest,dishonest,adjectives,0.09
3380,creu,draw,verbs,0.61
