ID,CMN,ENG,PoS,score
3115,资料,newspaper,nouns,1.32
3116,儿子,brother,nouns,0.75
3117,滴,pour,verbs,0.91
3118,医生,physician,nouns,4.76
3119,井然有序,messy,adjectives,0.18
3120,捏碎,snap,verbs,1.66
3121,羊肉,sheep,nouns,4.45
3122,自豪,sad,adjectives,0.14
3123,开襟毛衣,shirt,nouns,1.14
3124,艰难,difficult,adjectives,5.15
3125,环境,sword,nouns,0.18
3126,抖动,stir,verbs,1.53
3127,完成,win,verbs,2.43
3128,云,mist,nouns,2.84
3129,作证,judge,verbs,0.43
3130,再热,preheat,nouns,0.9
3131,衣服,cloth,nouns,1.61
3132,裙子,watch,nouns,0.0
3133,拿,leave,verbs,0.04
3134,伤害,attack,verbs,2.81
3135,犯罪,fraud,nouns,2.56
3136,公主,island,nouns,0.0
3137,关键,important,adjectives,4.91
3138,谦虚,humble,adjectives,5.13
3139,大致,obviously,adverbs,0.32
3140,旗,pole,nouns,0.79
3141,雨,drizzle,nouns,3.29
3142,独特,opposite,adjectives,0.89
3143,不需要,necessary,adjectives,0.13
3144,杀,destroy,verbs,2.83
3145,老鹰,falcon,nouns,2.78
3146,重要,crucial,adjectives,4.91
3147,王子,king,nouns,1.96
3148,成功,try,verbs,0.52
3149,快,rapid,adjectives,5.33
3150,分离,depart,verbs,1.64
3151,批评,hate,verbs,0.57
