ID,CYM,POL,PoS,score
2698,anifail,osoba,nouns,0.1
2699,rhoi,otrzymywać,verbs,0.25
2700,carfan,armia,nouns,3.25
2701,talwrn,drugi pilot,nouns,0.1
2702,dec,podłoga,nouns,2.2
2703,crwm,prosty,adjectives,0.05
2704,ufuddhau,karać,verbs,0.6
2705,yn agos,lokalnie,adverbs,3.6
2706,gadael,brać,verbs,0.05
2707,tric,gra,nouns,1.0
2708,sugnwr gwaed,nietoperz,nouns,0.9
2709,yn onest,szczerze,adverbs,4.7
2710,yn naturiol,chicho,adverbs,0.1
2711,dod yn,organizować,verbs,0.05
2712,pibell,ogród,nouns,0.25
2713,ffrind,facet,nouns,1.0
2714,brysio,śpieszyć,verbs,5.2
2715,ofnus,zaniepokojony,adjectives,3.85
2716,colli,odejmować,verbs,0.8
2717,tywysoges,panna młoda,nouns,0.6
2718,ffabrig,ubrania,nouns,1.4
2719,yn weithredol,precyzyjnie,adverbs,0.7
2720,halen,woda,nouns,0.5
2721,maer,przewodniczący,nouns,1.25
2722,cyflawni,stać się,verbs,1.4
2723,yn anarferol,normalnie,adverbs,0.15
2724,wylo,płakać,verbs,5.0
2725,etholi,odrzucić,verbs,0.2
2726,gadael,wchodzić,verbs,0.35
2727,anwybyddu,drukować,verbs,0.0
2728,o bosibl,optymistycznie,adverbs,1.1
2729,clymu,jednoczyć,verbs,3.35
2730,rabi,nauczyciel,nouns,2.6
2731,sgol,wiatr,nouns,2.9
2732,digwydd,robić,verbs,0.6
2733,yn ddi-drefn,pokojowo,adverbs,0.0
2734,seren,asteroida,nouns,1.7
2735,anodd,łatwy,adjectives,0.0
2736,palas,wieżowiec,nouns,0.6
2737,llwyddo,osiągnąć,verbs,4.0
2738,penwythnos,wyścig,nouns,0.0
2739,yn llachar,wielce,adverbs,0.3
2740,wedi ei orchuddio,odkryty,adjectives,0.05
2741,gwerthuso,uczyć się,verbs,1.15
2742,anarchiaeth,chaos,nouns,4.5
2743,cyfeillgar,hojny,adjectives,1.3
2744,sedd,brzeg,nouns,0.2
2745,anghofio,zatrzymywać,verbs,0.3
2746,brawdgarwch,drzwi,nouns,0.05
2747,crybwyll,krytykować,verbs,0.65
2748,senoffobia,rasizm,nouns,3.0
2749,tyfu,wzrosnąć,verbs,3.25
2750,yn ddyddiol,normalnie,adverbs,1.45
2751,cyfaill,towarzysz,nouns,4.4
2752,anghenus,bezradny,adjectives,1.65
2753,dŵr,susza,nouns,0.05
2754,beibl,książka,nouns,2.6
2755,deallus,tępy,adjectives,0.0
2756,eryr,sokół,nouns,2.1
2757,motel,gospoda,nouns,1.35
2758,helpu,wspomagać,verbs,5.3
2759,anaml,zwykle,adverbs,0.1
2760,tŷ,klucz,nouns,0.25
2761,awyr,marzenie,nouns,0.1
2762,gwesty,mieszkanie,nouns,0.7
2763,balchder,radość,nouns,1.6
2764,ochr,wierzch,nouns,0.35
2765,seler,drzwi,nouns,0.2
2766,gweledigaeth,percepcja,nouns,1.4
2767,pryd bwyd,talia,nouns,0.05
2768,maint,cent,nouns,0.0
2769,gadael,wycofywać się,verbs,3.15
2770,ymdrechu,przejąć,verbs,0.15
2771,nihiliaeth,film,nouns,0.0
2772,moleciwl,matryca,nouns,0.25
2773,balchder,biedny,adjectives,0.15
2774,arogli,psuć,verbs,0.6
2775,drws,otwór drzwiowy,nouns,4.25
2776,prawf,werdykt,nouns,1.9
2777,clyfar,przebiegły,adjectives,0.65
2778,ystafell,cela,nouns,2.1
2779,cynhwysydd,mysz,nouns,0.05
2780,drws,kuchnia,nouns,0.2
2781,taith,podbój,nouns,0.5
2782,derbyn,dać,verbs,0.25
2783,plisman,drugi pilot,nouns,0.05
2784,diflannu,zniknąć,verbs,4.9
2785,torri,roztrzaskać,verbs,4.7
2786,diangen,konieczny,adjectives,0.0
2787,anghefnogi,frustrować,verbs,1.7
2788,tasg,wyspa,nouns,0.0
2789,gwythïen,ramię,nouns,0.25
2790,medrydd,samochód,nouns,0.05
2791,galaeth,astronom,nouns,0.7
2792,dod â,wysyłać,verbs,0.6
2793,pwysig,konieczny,adjectives,3.7
2794,pobl,przyjęcie,nouns,0.75
2795,yn hyfryd,elegancko,adverbs,2.9
2796,pennod,noc,nouns,0.0
2797,sefyllfa,okoliczność,nouns,5.05
2798,yn dynn,niewiarygodnie,adverbs,0.3
2799,yn fras,łatwo,adverbs,0.2
2800,munud,sekunda,nouns,0.45
2801,nam,system,nouns,0.05
2802,cerdyn,brydż,nouns,0.5
2803,rhagolwg,zachmurzenie,nouns,0.1
2804,siarad,szeptać,verbs,2.2
2805,bachgen,syn,nouns,3.1
2806,pen-glin,ramię,nouns,0.65
2807,dadlau,zgadzać się,verbs,0.05
2808,yn berffaith,prawdziwie,adverbs,0.9
2809,gwn,futro,nouns,0.05
2810,gwartheg,wołowina,nouns,3.25
2811,incwm,podatek,nouns,0.5
2812,cyhuddo,kłamać,verbs,0.3
2813,erydu,blaknąć,verbs,1.8
2814,cyffredin,dziwny,adjectives,0.0
2815,rhesel,łózko,nouns,1.0
2816,brwnt,wąski,adjectives,0.0
2817,absenoldeb,obecność,nouns,0.45
2818,caffael,złączyć,verbs,0.2
2819,diferu,nalewać,verbs,1.85
2820,yn achlysurol,regularnie,adverbs,0.6
2821,dryswch,histeria,nouns,1.25
2822,od,dziwny,adjectives,3.95
2823,merch,ojciec,nouns,0.6
2824,yn ysgafn,jasno,adverbs,0.15
2825,rhesymeg,arytmetyka,nouns,0.75
2826,cred,opinia,nouns,3.8
2827,cynllun,pomysł,nouns,2.75
2828,clywed,słuchać,verbs,2.65
2829,lleihau,kurczyć się,verbs,3.2
2830,gwerddon,wolność,nouns,0.65
2831,newydd,nieużywany,adjectives,4.75
2832,mynd,wchodzić,verbs,2.55
2833,cymryd,chwytać,verbs,1.65
2834,harmoni,pianino,nouns,0.65
2835,ymgeisydd,aplikacja,nouns,1.2
2836,cymysg,połączony,adjectives,2.4
2837,edmygu,uwielbiać,verbs,2.65
2838,bod yn ddyledus,wchodzić,verbs,0.1
2839,socer,piłka nożna,nouns,5.65
2840,hongian,kłaść,verbs,0.25
2841,plentyn,dorosły,nouns,0.4
2842,coch,niebieski,adjectives,0.35
2843,modur,łódź,nouns,0.7
2844,gofyn,pomagać,verbs,0.15
2845,artist,dzieło sztuki,nouns,1.15
2846,telesgop,burza mózgów,nouns,0.0
2847,ysbryd,lampa,nouns,0.3
2848,piano,harmonia,nouns,0.65
2849,cnoi,walczyć,verbs,0.5
2850,pen,nos,nouns,0.9
2851,pren,polano,nouns,4.15
2852,rhaglen,jedzenie,nouns,0.05
2853,tad,mężczyzna,nouns,2.1
2854,mae'n debyg,prosto,adverbs,0.75
2855,disgyn,wycofywać się,verbs,1.05
2856,crefydd,sekularysta,nouns,0.6
2857,drifftio,płynąć,verbs,3.15
2858,breuddwyd,niebo,nouns,0.1
2859,brifo ,upaść,verbs,0.95
2860,cleddyf,tron,nouns,0.4
2861,wal,zamek,nouns,0.3
2862,hyfforddwraig,gracz,nouns,0.55
2863,anrhagweledig,nieoczekiwany,adjectives,4.65
2864,tristwch,szczęscie,nouns,0.2
2865,pont,samochód,nouns,0.15
2866,cryf,dumny,adjectives,0.75
2867,bachgen,brat,nouns,1.35
2868,dydd  ,świt,nouns,1.55
2869,pur,skromny,adjectives,1.05
2870,gweinidog,rabin,nouns,3.7
2871,myffin,pietruszka,nouns,0.05
2872,peiriannydd,robotnik,nouns,2.15
2873,brawd,siostra,nouns,1.25
2874,tarddu,zaczynać,verbs,3.55
2875,dyn,ogier,nouns,0.7
2876,cyfradd,wartość,nouns,1.35
2877,ymddangos,stać się,verbs,1.4
2878,ysgwydd,głowa,nouns,0.8
2879,ymgeisio,zamierzać,verbs,1.6
2880,gogledd,południe,nouns,0.5
2881,fel arfer,rzadko,adverbs,0.1
2882,atgoffa,zapominać,verbs,0.05
2883,enillydd,cel,nouns,0.15
2884,pla,pestycyd,nouns,1.2
2885,rhagflaenydd,przeszłość,nouns,1.05
2886,anfoesol,zły,adjectives,3.2
2887,cynhwysydd,wóz,nouns,0.05
2888,dosbarthu,akceptować,verbs,0.05
2889,torf,motłoch,nouns,4.2
2890,yn anghywir,dokładnie,adverbs,0.0
2891,ffôl,dziecinny,adjectives,2.15
2892,ffasiwn,styl,nouns,4.8
2893,stêc,kurczak,nouns,0.85
2894,rheolaidd,nieświadomy,adjectives,0.0
2895,priodol,grzeczny,adjectives,1.4
2896,ffrind,matka,nouns,0.85
2897,llygredd,prezydent,nouns,0.1
2898,casglu,decydować,verbs,1.5
2899,disgybl,student,nouns,4.7
2900,erthygl,książka,nouns,0.9
2901,cyfarfod,pływać,verbs,0.0
2902,brithyll,gitara,nouns,0.0
2903,meddwl,neuroza,nouns,0.9
2904,merch,facet,nouns,0.4
2905,darganfod,eksplorować,verbs,2.7
2906,metr,jard,nouns,1.75
2907,llawenydd,duma,nouns,1.6
2908,hedyn,młyn,nouns,0.15
2909,yn bennaf,nieuleczalnie,adverbs,0.4
2910,braf,hojny,adjectives,0.85
2911,nerf,mózg,nouns,0.8
2912,preifat,publiczny,adjectives,0.05
2913,yn obeithiol,możliwie,adverbs,1.1
2914,alwminiwm,blacha,nouns,2.4
2915,machlud haul,wieczór,nouns,2.8
2916,yn ystyrlon,głęboko,adverbs,1.6
2917,ffwr,kobieta,nouns,0.05
2918,bachgen,żołnierz,nouns,0.2
2919,haearn,witamina,nouns,0.95
2920,mynd  ,zezwalać,verbs,0.1
2921,asgwrn,szyja,nouns,0.35
2922,gweddïo,pytać,verbs,0.75
2923,greddf,zmysł,nouns,3.95
2924,stumog,talia,nouns,0.55
2925,lluosiad,dzielenie,nouns,0.5
2926,yn ddwfn,przeważnie,adverbs,0.15
2927,diod,piwo,nouns,2.65
2928,gwartheg,jogurt,nouns,0.2
2929,pêl-droed,futbol,nouns,5.65
2930,aderyn,kura,nouns,2.7
2931,neuadd,przejście,nouns,0.85
2932,cyn,po,adverbs,0.25
2933,senedd,konstytucja,nouns,0.9
2934,darn,lotnisko,nouns,0.0
2935,tafod,policzek,nouns,0.65
2936,trychineb,śmierć,nouns,1.85
2937,awyren,płachta,nouns,0.25
2938,amgylchiad,sytuacja,nouns,5.05
2939,stumog,ciało,nouns,1.05
2940,yn syml,najwyraźniej,adverbs,0.75
2941,emyn,podbój,nouns,0.0
2942,stopio,jechać,verbs,0.05
2943,negyddol,nigdy,adjectives,0.2
2944,gwerthfawr,leniwy,adjectives,0.0
2945,chwaraewr,trener,nouns,0.55
2946,sychu,pogorszyć się,verbs,0.5
2947,gair,wskazówka,nouns,0.65
2948,cyhyr,ramię,nouns,0.95
2949,chwilio,wędrować,verbs,1.55
2950,modryb,siostrzeniec,nouns,0.9
2951,ymddwyn,przestrzegać,verbs,2.25
2952,gwraig,cent,nouns,0.1
2953,gwn,działo,nouns,1.85
2954,soffa,baseball,nouns,0.0
2955,sgleinio,informować,verbs,0.0
2956,trydanol,mechaniczny,adjectives,0.4
2957,top,spód,nouns,0.15
2958,enfawr,tępy,adjectives,0.0
2959,llyn,bagno,nouns,0.95
2960,hynod,dziwaczny,adjectives,3.75
2961,cafflo,zwieść,verbs,4.4
2962,da,piąty,adjectives,0.0
2963,gwn,nóż,nouns,0.7
2964,cynffon,miska,nouns,0.0
2965,llynges,armia,nouns,3.7
2966,twnnel,ścieżka,nouns,0.65
2967,ochr,spód,nouns,0.7
2968,diweddar,nowy,adjectives,3.25
2969,bowliwr,kręglarstwo,nouns,1.65
2970,dug,republika,nouns,0.05
2971,hydwyll,głupi,adjectives,1.75
2972,yn ddarostyngedig,marnie,adverbs,0.1
2973,siarad,słyszeć,verbs,0.75
2974,myfyriwr,uczeń,nouns,4.7
2975,claddu,umrzeć,verbs,1.2
2976,corff,kręgosłup,nouns,0.7
2977,cyrnol,dentysta,nouns,0.0
2978,athro,przyjaciel,nouns,0.4
2979,cymysg,stary,adjectives,0.15
2980,cyferbyn,unikatowy,adjectives,0.15
2981,helmed,broń,nouns,0.7
2982,hercio,chodzić,verbs,0.4
2983,gwallgof,zadowolony,adjectives,0.0
2984,gwrthod,kłamać,verbs,0.55
2985,clou,prędki,adjectives,4.4
2986,difeddiannu,zaniedbać,verbs,0.75
2987,sy'n dod i mewn,towarzyski,adjectives,0.5
2988,dal,uwalniać,verbs,0.55
2989,dis,sześcian,nouns,2.1
2990,anghwrtais,głośny,adjectives,0.55
2991,anhrefn,anarchia,nouns,4.5
2992,mwnci,kampania,nouns,0.0
2993,braich,mięsień,nouns,0.95
2994,mêl,cukier,nouns,1.15
2995,archwilio,dążyć,verbs,0.2
2996,asgwrn,łokieć,nouns,1.25
2997,yfory,dzisiaj wieczorem,adverbs,0.2
2998,ufuddhau,słuchać,verbs,1.75
2999,gwybod,rozumieć,verbs,2.6
3000,methu,polegać,verbs,0.15
3001,hanesyddiaethwr,historyk,nouns,2.55
3002,yn bwysig,prawdziwie,adverbs,1.15
3003,uchel,niegrzeczny,adjectives,0.55
3004,gwydn,łatwy,adjectives,0.0
3005,yn bendant,pewnie,adverbs,5.6
3006,person,charakter,nouns,2.35
3007,yn rhyfedd,inaczej,adverbs,1.85
3008,theori,twierdzenie,nouns,4.05
3009,beichio,płakać,verbs,4.5
3010,cymyl,mgła,nouns,2.05
3011,yn bennaf,głęboko,adverbs,0.15
3012,cyrraedd,odchodzić,verbs,0.05
3013,menyw,mężczyzna,nouns,0.2
3014,annheg,okrutny,adjectives,1.75
3015,rhan,rozdział,nouns,3.85
3016,injan,tłok,nouns,2.3
3017,terfysg,rysunek,nouns,0.0
3018,rheoli,zatrzymywać,verbs,0.4
3019,trên,tramwaj,nouns,2.35
3020,baner,weksylologia,nouns,0.85
3021,i ffwrdd,w domu,adverbs,0.2
3022,gallu,siła,nouns,1.2
3023,rhadlon,przychodzący,adjectives,0.5
3024,heb ei ddatgelu,jawny,adjectives,0.0
3025,ffuglen,biografia,nouns,0.15
3026,trefnus,niechlujny,adjectives,0.05
3027,ynad,sędzia,nouns,4.0
3028,medi,zyskać,verbs,0.95
3029,gwrando,przestrzegać,verbs,1.75
3030,eil,przedpokój,nouns,0.85
3031,yn angheuol,szczęśliwie,adverbs,0.0
3032,pêl-fasged,baseball,nouns,1.9
3033,ŷd,kukurydza,nouns,1.1
3034,tasg,kobieta,nouns,0.0
3035,cyhoeddus,prywatny,adjectives,0.05
3036,ymwybyddiaeth,uwaga,nouns,2.45
3037,diymhongar,giętki,adjectives,0.2
3038,dyn,ojciec,nouns,2.1
3039,ale,miska,nouns,0.0
3040,llygredd,atmosfera,nouns,0.8
3041,cyfrwys,dziwny,adjectives,0.0
3042,ysgol,prawo,nouns,0.25
3043,dec,łódź,nouns,1.7
3044,dysgu,zapominać,verbs,0.15
3045,deall,wybaczać,verbs,1.35
3046,plymio,tworzyć,verbs,0.0
3047,styden,facet,nouns,0.7
3048,braich,ciało,nouns,1.2
3049,llac,giętki,adjectives,1.15
3050,dychmygu,udawać,verbs,1.95
3051,pwrs,torebka,nouns,1.5
3052,creadigol,nowatorski,adjectives,3.3
3053,treisgar,radykalny,adjectives,1.3
3054,yn falch,pokornie,adverbs,0.15
3055,log,formuła,nouns,0.85
3056,roboteg,symulacja,nouns,0.6
3057,concwest,bitwa,nouns,2.55
3058,rhythm,arytmetyka,nouns,0.0
3059,blwch  ,kapelusz,nouns,0.1
3060,cefnder,wujek,nouns,0.9
3061,maes awyr,kawałek,nouns,0.0
3062,sychedig,głodny,adjectives,1.3
3063,asid,baza,nouns,0.0
3064,syniad,projekt,nouns,2.75
3065,anadlu,dusić,verbs,0.55
3066,swydd,narzędzie,nouns,0.35
3067,glaw,zamieć,nouns,1.0
3068,newynog,zmęczony,adjectives,0.25
3069,proffesiwn,koledż,nouns,0.15
3070,apwyntiad,zobowiązanie,nouns,0.55
3071,benthyca,dać,verbs,1.85
3072,siarcol,węgiel,nouns,3.55
3073,pennod,epizod,nouns,3.85
3074,ceryddu,rządać,verbs,0.85
3075,person dan amheuaeth,mężczyzna,nouns,0.6
3076,coginio,smażyć,verbs,2.3
3077,yn ddwfn,znacząco,adverbs,1.6
3078,tad,brat,nouns,0.7
3079,nodyn,zlecenie,nouns,0.6
3080,cyfrwys,hardy,adjectives,0.65
3081,afal,sos,nouns,0.25
3082,concwest,hymn,nouns,0.0
3083,cyflym,prędki,adjectives,5.55
3084,gwawr,pistolet,nouns,0.0
3085,car,fabryka,nouns,0.15
3086,cwpan,rożek,nouns,0.1
3087,cymryd rhan,współpracować,verbs,2.55
3088,mynd i mewn,być dłużnym,verbs,0.1
3089,twp,tępy,adjectives,5.4
3090,chwerthin,śpiewać,verbs,0.3
3091,dod,iść,verbs,1.35
3092,drud,nieśmiały,adjectives,0.0
3093,cath,pies,nouns,0.6
3094,siwmper,kurtka,nouns,1.3
3095,barnwr,sędzia pokoju,nouns,4.0
3096,ton,pogoda,nouns,0.05
3097,hen,świeży,adjectives,0.0
3098,ymaflyd,brać,verbs,1.65
3099,cadw,pożyczać,verbs,0.1
3100,byth,później,adverbs,0.4
3101,rheolwr,lider,nouns,3.9
3102,ysgwyd,mieszać,verbs,1.95
3103,gadael,pozostać,verbs,0.05
3104,datgelwyd,zakryty,adjectives,0.05
3105,canrif,rok,nouns,0.95
3106,darostyngedig,skromny,adjectives,3.15
3107,cynorthwyo,asystować,verbs,5.3
3108,gwallgof,szalony,adjectives,4.65
3109,geiriadur,encyklopedia,nouns,1.85
3110,ffenestr,drzwi,nouns,0.9
3111,yn anhygoel,niesamowicie,adverbs,4.6
3112,llyfr nodiadau,pistolet,nouns,0.0
3113,anwybyddu,zapominać,verbs,1.2
3114,aseiniad,zadanie,nouns,4.8
3115,nos,dzień,nouns,0.15
3116,allbriodasol,niecenzuralny,adjectives,0.1
3117,fflora,natura,nouns,2.55
3118,cred,wartość,nouns,1.15
3119,trist,śmieszny,adjectives,0.0
3120,beirniadol,niegrzeczny,adjectives,0.8
3121,anniben,czysty,adjectives,0.0
3122,gwellt,żona,nouns,0.0
3123,gwrthbrofi,zezwalać,verbs,0.0
3124,chwipio,bić,verbs,2.85
3125,llawr,drzwi,nouns,0.25
3126,mwynhau,nienawidzić,verbs,0.0
3127,llwch,miotła,nouns,0.2
3128,drwg,okropny,adjectives,3.8
3129,bregus,oziębły,adjectives,0.25
3130,parth,obszar,nouns,5.35
3131,ystafell wely,łazienka,nouns,1.3
3132,brechdan,mięso,nouns,0.15
3133,coridor,drzwi,nouns,0.25
3134,reis,fasola,nouns,0.7
3135,arbed,niszczyć,verbs,0.05
3136,ffaith,wgląd,nouns,1.2
3137,deiet,sałatka,nouns,0.6
3138,serameg,garncarstwo,nouns,3.25
3139,bara,mięso,nouns,0.1
3140,losin,jabłko,nouns,0.35
3141,potel,pojemnik,nouns,2.45
3142,derbyn,odrzucić,verbs,0.05
3143,castell,ściana,nouns,0.3
3144,ysbryd,bóg,nouns,1.7
3145,ffrâm,hit,nouns,0.0
3146,swydd,zadanie,nouns,3.05
3147,asgwrn,szczęka,nouns,1.1
3148,nod,zwycięzca,nouns,0.15
3149,torri,demolować,verbs,4.35
3150,actor,aktorka,nouns,3.3
3151,hydoddi,wymieszać,verbs,1.55
3152,gwaelod,wierzch,nouns,0.15
3153,mynychu,wysyłać,verbs,0.0
3154,penderfynu,wybierać,verbs,4.4
3155,modfedd,jard,nouns,1.0
3156,sitrws,pomarańcza,nouns,3.3
3157,niweidio,kopać,verbs,1.35
3158,ewythr,mężczyzna,nouns,1.35
3159,beirniadu,zauważyć,verbs,0.65
3160,tynnu,pchać,verbs,0.3
3161,cas,elektryczność,nouns,0.0
3162,stumog,żyła,nouns,0.3
3163,cerddoriaeth,melodia,nouns,3.5
3164,yn fawr,jasno,adverbs,0.3
3165,seiclon,tajfun,nouns,4.1
3166,hollalluogrwydd,supremacja,nouns,1.75
3167,arweinydd,menadżer,nouns,3.9
3168,aflonyddu,wystraszyć,verbs,1.35
3169,gwaed,mięso,nouns,0.8
3170,cymylog,prognoza,nouns,0.1
3171,llenwi,gardzić,verbs,0.1
3172,plentyn,mężczyzna,nouns,0.15
3173,esgeuluso,wyrzec się,verbs,0.75
3174,llunio,robić,verbs,3.65
3175,brecwast,kolacja,nouns,0.7
