ID,FIN,POL,PoS,score
2663,kuu,planeta,nouns,1.8
2664,seistä,chodzić,verbs,0.35
2665,vetäytyä,odrzucić,verbs,1.95
2666,lintu,jastrząb,nouns,3.4
2667,strutsi,sad,nouns,0.0
2668,selkäranka,szyja,nouns,0.85
2669,löytää,uciec,verbs,0.2
2670,ostaa,kraść,verbs,0.3
2671,hämmentää,trząść,verbs,1.95
2672,ruma,prymitywny,adjectives,0.7
2673,paheksua,odrzucić,verbs,2.0
2674,kasvisto,natura,nouns,2.75
2675,kestävyys,zespół,nouns,0.0
2676,futis,piłka nożna,nouns,5.6
2677,matka,podbój,nouns,0.55
2678,ikkuna,kostka,nouns,0.0
2679,toimittaa,nieść,verbs,2.25
2680,olut,szampan,nouns,1.3
2681,päättää,ukazywać,verbs,0.25
2682,laivasto,wyspa,nouns,0.1
2683,perhonen,róża,nouns,0.25
2684,tavallinen,zimny,adjectives,0.0
2685,valuutta,współbieżność,nouns,0.0
2686,kursori,frytki,nouns,0.0
2687,sanomalehti,informacja,nouns,1.35
2688,cocktail,alkohol,nouns,2.4
2689,oppia,absorbować,verbs,1.5
2690,nainen,dżinsy,nouns,0.0
2691,kaareva,prosty,adjectives,0.25
2692,hyväksyä,otrzymywać,verbs,1.35
2693,kirjekuori,dekoracja,nouns,0.15
2694,osua,karać,verbs,0.75
2695,tuhoeläin,pestycyd,nouns,1.05
2696,tukki,wanna,nouns,0.0
2697,paha,niemoralny,adjectives,3.2
2698,lintu,indyk,nouns,2.95
2699,takki,ubrania,nouns,2.45
2700,ottaa,uzyskać,verbs,0.6
2701,sää,śnieg,nouns,0.55
2702,rauhallisesti,pokojowo,adverbs,3.85
2703,olkapää,głowa,nouns,0.8
2704,aalto,pogoda,nouns,0.15
2705,vastapäinen,inny,adjectives,0.95
2706,peitto,łóżko,nouns,0.55
2707,alusvaatteet,ciało,nouns,0.3
2708,päivällinen,kurczak,nouns,0.85
2709,portti,drzwi,nouns,3.65
2710,järjetön,szalony,adjectives,4.75
2711,televisio,scenarzysta,nouns,0.3
2712,laiska,zajęty,adjectives,0.15
2713,tuhota,rozpadać się,verbs,1.25
2714,asetyylikoliini,tęczówka,nouns,0.45
2715,kynsi,głowa,nouns,0.75
2716,taistella,nie zgadzać się,verbs,1.55
2717,keittiö,łazienka,nouns,0.95
2718,uniikki,przeciwny,adjectives,0.3
2719,vaivata,urazić,verbs,1.55
2720,henki,bóg,nouns,2.15
2721,tohtori,lekarz,nouns,5.25
2722,ilmaista,powiedzieć,verbs,3.7
2723,algebra,operacja,nouns,0.25
2724,keilaaminen,kręglarz,nouns,1.85
2725,pelästynyt,niepewny,adjectives,1.4
2726,essee,praca domowa,nouns,2.2
2727,liha,krew,nouns,0.75
2728,korvaus,notatka,nouns,0.0
2729,niska,ramię,nouns,0.75
2730,sikari,rura,nouns,0.25
2731,istuin,brzeg,nouns,0.15
2732,ratkaista,skończyć,verbs,3.5
2733,ylpeä,smutny,adjectives,0.0
2734,maito,sok,nouns,1.0
2735,korkeakoulu,klasa,nouns,0.55
2736,tuhota,konstruować,verbs,0.2
2737,sekoittaa,pić,verbs,0.05
2738,kangas,ubrania,nouns,1.7
2739,lakimies,bankier,nouns,0.75
2740,säveltäjä,pisarz,nouns,1.1
2741,kuuluttaa,deklarować,verbs,4.75
2742,silmä,brew,nouns,0.75
2743,syyllinen,zawstydzony,adjectives,0.6
2744,hukkua ,ratować,verbs,0.05
2745,viisaus,inteligencja,nouns,4.15
2746,etsiä,patrzeć,verbs,0.9
2747,juusto,chleb,nouns,0.7
2748,elokuva,film,nouns,4.9
2749,hede,zapylanie,nouns,0.75
2750,nopeus,wartość,nouns,0.3
2751,morsian,pan młody,nouns,1.05
2752,vaikea,ciężki,adjectives,2.65
2753,vatsa,żyła,nouns,0.65
2754,panos,ofiara,nouns,1.25
2755,vahvuus,moc,nouns,3.85
2756,nainen,sekretarka,nouns,1.3
2757,varasto,atut,nouns,0.1
2758,häpeissään oleva,zmartwiony,adjectives,0.65
2759,syvästi,znacząco,adverbs,1.55
2760,jalkaterä,baza,nouns,0.4
2761,nipistää,walnąć,verbs,0.6
2762,hyväksyä,odrzucić,verbs,0.2
2763,tukahduttaa,spalić,verbs,0.35
2764,työnantaja,robotnik,nouns,1.05
2765,anoa,prosić,verbs,3.75
2766,lähettää,iść,verbs,0.1
2767,ruokalista,zamówienie,nouns,0.55
2768,piparminttu,guma,nouns,0.6
2769,nainen,mężczyzna,nouns,0.55
2770,mukava,okrutny,adjectives,0.1
2771,sopivuussäännöt,zasada,nouns,2.35
2772,pitää,chronić,verbs,1.2
2773,seimi,łózko,nouns,1.8
2774,poliisi,polityk,nouns,0.4
2775,kaareva,agresywny,adjectives,0.0
2776,tietokone,dysk,nouns,0.85
2777,yleensä,nieregularnie,adverbs,0.3
2778,mies,wojownik,nouns,1.3
2779,saastuminen,prezydent,nouns,0.1
2780,organisoida,stać się,verbs,0.05
2781,hammaslääkäri,ortodonta,nouns,3.75
2782,sydän,chirurgia,nouns,0.45
2783,sali,przejście,nouns,1.5
2784,nykyään,niedawno,adverbs,1.05
2785,pekoni,fasola,nouns,0.4
2786,valmistaa,niszczyć,verbs,0.2
2787,kersantti,pistolet,nouns,0.25
2788,kiista,porozumienie,nouns,0.4
2789,kuppi,rożek,nouns,0.0
2790,kuvanveistäjä,posiadłość,nouns,0.05
2791,sovinisti,uprzedzenie,nouns,1.15
2792,pelästynyt,nieśmiały,adjectives,1.45
2793,muurahainen,mucha,nouns,1.4
2794,shamppanja,piwo,nouns,1.3
2795,lippu,weksylologia,nouns,1.4
2796,helposti,pobieżnie,adverbs,0.3
2797,koko,cent,nouns,0.65
2798,rannikkoalue,plaża,nouns,nan
2799,keisari,konstytucja,nouns,0.15
2800,osallistua,wysyłać,verbs,0.15
2801,vaatimaton,giętki,adjectives,0.25
2802,palmu,palec,nouns,0.7
2803,henkilökohtainen,intymny,adjectives,3.9
2804,tarkkailla,oglądać,verbs,4.05
2805,seinä,cegła,nouns,0.75
2806,ase,hełm,nouns,0.5
2807,tähdätä,uderzyć,verbs,1.5
2808,liittää,złączyć,verbs,3.35
2809,peitto,drewno,nouns,0.0
2810,arvovalta,bogactwo,nouns,1.0
2811,tavoitella,przekonywać,verbs,1.3
2812,pelto,owies,nouns,0.95
2813,oksentaa,zamykać,verbs,0.0
2814,miekkailu,gimnastyka,nouns,1.25
2815,moittia,kłamać,verbs,0.05
2816,opettaja,rabin,nouns,2.25
2817,pää,stopa,nouns,0.75
2818,kierrellä,wędrować,verbs,3.5
2819,taistella,bawić się,verbs,0.3
2820,silta,samochód,nouns,0.15
2821,dinosaurus,słoń,nouns,1.0
2822,hypoteesi,teoria,nouns,4.3
2823,käyttäytyä,przestrzegać,verbs,2.65
2824,valkuaisaine,uchwyt,nouns,0.0
2825,epäaito,sztuczny,adjectives,4.55
2826,hiljaa,pasywnie,adverbs,0.95
2827,palvelija,niewolnik,nouns,2.8
2828,organisoida,zbierać,verbs,1.6
2829,sijainen,funkcjonariusz,nouns,1.05
2830,saari,półwysep,nouns,1.1
2831,vaihto,zastępstwo,nouns,3.6
2832,parlamentti,kongres,nouns,3.15
2833,niittää,zyskać,verbs,1.1
2834,joki,morze,nouns,1.4
2835,silmä,łza,nouns,0.75
2836,kovakouraisesti,łatwo,adverbs,0.3
2837,keinotekoinen,fałszywy,adjectives,4.55
2838,merkki,klub,nouns,0.05
2839,tehtävä,słoma,nouns,0.0
2840,hankkia,złączyć,verbs,0.15
2841,sänky,meble,nouns,2.45
2842,tunneli,ścieżka,nouns,0.4
2843,epäluonnollisesti,negatywnie,adverbs,0.25
2844,varmasti,oczywiście,adverbs,4.1
2845,laulu,wykonawca,nouns,0.85
2846,hajota,umrzeć,verbs,0.95
2847,akustiikka,dźwięk,nouns,1.8
2848,orvokki,kwiat,nouns,3.1
2849,odottaa,zostać,verbs,1.85
2850,salaatti,ocet,nouns,0.35
2851,hurskaasti,dojrzale,adverbs,1.15
2852,heikko,silny,adjectives,0.2
2853,kansallinen,duży,adjectives,0.1
2854,raapustaa,pisać,verbs,3.0
2855,kuukausittainen,tygodniowy,adjectives,0.9
2856,kylpy,balon,nouns,0.05
2857,tapaaminen,zobowiązanie,nouns,0.7
2858,liha,wołowina,nouns,3.85
2859,vaahtera,drzewo,nouns,3.15
2860,tohtori,usposobienie,nouns,0.0
2861,matka,wycieczka,nouns,4.85
2862,korvaus,opłata,nouns,4.45
2863,jäädä,dostać,verbs,0.05
2864,haudata,umrzeć,verbs,1.2
2865,antaa,pożyczać,verbs,1.8
2866,suuruus,rozmiar,nouns,5.5
2867,raha,perła,nouns,0.3
2868,turkki,kobieta,nouns,0.0
2869,onnellisesti,aktywnie,adverbs,0.55
2870,vuosisata,trunek,nouns,0.05
2871,laulu,ballada,nouns,4.0
2872,lopettaa,robić,verbs,0.25
2873,jää,woda,nouns,1.65
2874,määritelmä,słownik,nouns,1.1
2875,diodi,kondensator,nouns,0.9
2876,hiili,węgiel drzewny,nouns,3.95
2877,vastaanottaa,wysyłać,verbs,0.45
2878,tarttua,pojmować,verbs,0.45
2879,dominoida,wygrać,verbs,1.75
2880,rehellinen,winny,adjectives,0.05
2881,vartalo,bark,nouns,1.1
2882,pää,paznokieć,nouns,0.75
2883,niukasti,kompletnie,adverbs,0.2
2884,piirtää,tworzyć,verbs,1.85
2885,pitää päällä,drzeć,verbs,0.05
2886,sukeltaa,tworzyć,verbs,0.0
2887,pahvi,papier,nouns,3.35
2888,murtaa,złamać się,verbs,3.75
2889,vihollinen,oponent,nouns,4.5
2890,säännöllisesti,czasami,adverbs,0.5
2891,tunnustaa,mówić,verbs,0.95
2892,mennä,zezwalać,verbs,0.35
2893,kokoontuminen,wiec,nouns,5.15
2894,miellyttää,zabawiać,verbs,2.35
2895,tyhmä,ogromny,adjectives,0.0
2896,negatiivinen,nigdy,adjectives,0.45
2897,ruokavalio,jabłko,nouns,0.4
2898,peli,akcja,nouns,1.15
2899,vaahtera,dąb,nouns,1.85
2900,dollari,ludzie,nouns,0.0
2901,ahdistunut,wystraszony,adjectives,3.35
2902,syyllinen,uczciwy,adjectives,0.05
2903,kirja,opowieść,nouns,2.05
2904,puhua,szeptać,verbs,2.5
2905,satunnaisesti,regularnie,adverbs,0.5
2906,rakko,ilustracja,nouns,0.0
2907,laturi,dysk,nouns,0.25
2908,neuvottelu,dyplomacja,nouns,2.4
2909,puutteenalainen,bezradny,adjectives,1.55
2910,muistuttaa,zapominać,verbs,0.2
2911,liittyä,poślubić,verbs,1.6
2912,kartta,kwadrat,nouns,0.0
2913,liittää,oddzielać,verbs,0.2
2914,kirkkaus,gwiazda,nouns,0.95
2915,rannekello,spódnica,nouns,0.05
2916,lumi,lawina,nouns,1.9
2917,hyväksyä,dostarczać,verbs,0.0
2918,taistella,zabić,verbs,1.25
2919,hyväksyä,wierzyć,verbs,1.3
2920,pujotella,wiązać,verbs,1.3
2921,lainata,błagać,verbs,0.95
2922,kirja,biblia,nouns,2.85
2923,auto,wąż (ogrodowy),nouns,0.25
2924,pelaaja,trener,nouns,0.85
2925,apokalypsi,ogień,nouns,0.65
2926,kurkku,nos,nouns,1.1
2927,työntekijä,pracodawca,nouns,1.05
2928,uskomattomasti,wielce,adverbs,1.05
2929,keskinkertainen,niezły,adjectives,0.4
2930,sekaannus,histeria,nouns,1.1
2931,viesti,opłata,nouns,0.0
2932,rangaista,przestrzegać,verbs,0.6
2933,aavikko,wydma,nouns,0.75
2934,neutraali,spokojny,adjectives,1.2
2935,tyhmä,bystry,adjectives,0.2
2936,lapsi,mężczyzna,nouns,0.6
2937,likainen,niesamowity,adjectives,0.0
2938,onnistua,próbować,verbs,0.5
2939,etelä,północ,nouns,0.7
2940,brandy,alkohol,nouns,3.05
2941,lukija,autor,nouns,0.55
2942,äiti,żona,nouns,1.4
2943,laakso,rzeka,nouns,0.65
2944,kämppä,pole,nouns,0.5
2945,happo,baza,nouns,0.0
2946,helppo,prosty,adjectives,5.0
2947,potkaista,ranić,verbs,0.95
2948,katedraali,kościół,nouns,4.05
2949,talo,klucz,nouns,0.3
2950,lähettää,uczęszczać,verbs,0.15
2951,behaviorismi,terapia,nouns,1.15
2952,miellyttää,zgadzać się,verbs,0.85
2953,korvaaminen,wymiana,nouns,3.6
2954,rannikkoalue,brzeg,nouns,4.95
2955,kaivos,skała,nouns,0.5
2956,selkäranka,ciało,nouns,1.0
2957,televisio,komunikacja,nouns,1.2
2958,nopea,prędki,adjectives,4.9
2959,rauhallisesti,subtelnie,adverbs,1.75
2960,infektio,schorzenie,nouns,2.95
2961,käydä sisään,być dłużnym,verbs,0.0
2962,juuri,trawa,nouns,0.7
2963,ilmeisesti,prosto,adverbs,0.7
2964,lainmukainen,nielegalny,adjectives,0.2
2965,luu,szyja,nouns,0.9
2966,lehti,siewka,nouns,0.7
2967,järkyttää,zranić,verbs,1.3
2968,esinahka,obrzezanie,nouns,1.1
2969,virrata,dryfować,verbs,3.2
2970,vetolaatikko,ubrania,nouns,0.25
2971,ihmiset,cent,nouns,0.1
2972,galaksi,astronom,nouns,0.9
2973,vehnä,zboże ,nouns,3.85
2974,tutkia,badać,verbs,2.7
2975,ennustaa,przypuszczać,verbs,3.0
2976,pesäpallo,koszykówka,nouns,1.95
2977,tapahtuma,kwestarz,nouns,1.55
2978,prinsessa,ciastko,nouns,0.0
2979,maksaa,kupować,verbs,2.55
2980,raaka,niegrzeczny,adjectives,0.95
2981,painaa,uwalniać,verbs,0.0
2982,ahdistunut,niecierpliwy,adjectives,1.5
2983,oviaukko,drzwi,nouns,3.9
2984,tänään,dzisiaj wieczorem,adverbs,2.8
2985,leveä,wąski,adjectives,0.2
2986,joustava,wielki,adjectives,0.2
2987,ymmärtää,wybaczać,verbs,1.55
2988,liha,kanapka,nouns,0.45
2989,puhdashenkinen,skromny,adjectives,0.7
2990,mulkoilla,zezować,verbs,0.55
2991,ottaa osaa,współpracować,verbs,2.95
2992,epärehellinen,zły,adjectives,2.05
2993,vieras,przyjaciel,nouns,1.0
2994,tietää,rozumieć,verbs,2.8
2995,alkoholi,jałowcówka,nouns,3.35
2996,avoimesti,ogromnie,adverbs,0.2
2997,planeetta,księżyc,nouns,1.8
2998,yksityinen,publiczny,adjectives,0.2
2999,käsivarsi,noga,nouns,1.05
3000,naaraslintu,ptak,nouns,3.1
3001,ovi,podłoga,nouns,0.65
3002,laskimo,żołądek,nouns,0.65
3003,saada selville,zdać sobie sprawę,verbs,3.85
3004,huone,budynek,nouns,1.1
3005,kestävyys,siła,nouns,3.3
3006,naudanliha,bydło,nouns,3.15
3007,käsittää,wiedzieć,verbs,3.25
3008,laki,szkoła,nouns,0.2
3009,toimeksianto,zadanie,nouns,4.95
3010,naaraslintu,indyk,nouns,2.6
3011,merkitä,oceniać,verbs,0.65
3012,kypsästi,słusznie,adverbs,1.15
3013,syyttää,oskarżać,verbs,4.3
3014,viini,trunek,nouns,3.1
3015,kotka,sokół,nouns,2.25
3016,pehmeästi,twardo,adverbs,0.2
3017,kattila,urządzenie,nouns,0.15
3018,keittiö,drzwi,nouns,0.25
3019,sana,słownik,nouns,1.05
3020,poika,warunek,nouns,0.0
3021,koriste,koperta,nouns,0.15
3022,todistaa,osądzać,verbs,0.45
3023,potilas,sesja,nouns,0.1
3024,jättää,spotykać,verbs,0.0
3025,ulkolainen,obcy,nouns,4.5
3026,kypsentää,smażyć,verbs,3.2
3027,leuka,kość,nouns,1.3
3028,lannistaa,zachęcać,verbs,0.2
3029,rytmi,arytmetyka,nouns,0.1
3030,kartio,filiżanka,nouns,0.0
3031,vaimo,mąż,nouns,1.0
3032,lentokone,helikopter,nouns,1.75
3033,lemmikkieläin,kot,nouns,3.1
3034,profeetta,ksiądz,nouns,0.75
3035,älykkyys,umiejętność,nouns,1.95
3036,kondensaattori,dioda,nouns,0.9
3037,evätä,akceptować,verbs,0.2
3038,sitrushedelmä,pomarańcza,nouns,3.75
3039,pysyä,czekać,verbs,1.85
3040,kitara,pstrąg,nouns,0.0
3041,kypsentää,wymieszać,verbs,0.4
3042,pää,bark,nouns,0.8
3043,käsikirjoittaja,telewizja,nouns,0.3
3044,neuropsykologia,parapsychologia,nouns,1.45
3045,turkki,pistolet,nouns,0.0
3046,tavata,gromadzić się,verbs,4.25
3047,nyt,tutaj,adverbs,0.85
3048,pilli,zadanie,nouns,0.0
3049,munkki,krzyż,nouns,0.4
3050,aita,skakanie,nouns,0.2
3051,takki,kapelusz,nouns,0.95
3052,kuvitus,pęcherz,nouns,0.0
3053,juoda,wznosić,verbs,0.1
3054,riisi,chłopiec,nouns,0.0
3055,tuoda,przywrócić,verbs,1.75
3056,sensuuri,swoboda,nouns,0.05
3057,syyllinen,zły,adjectives,1.5
3058,iso,łatwy,adjectives,0.0
3059,vuosi,urodziny,nouns,0.75
3060,ovi,okno,nouns,1.15
3061,läsnäolo,nieobecność,nouns,0.2
3062,vaimo,dziura,nouns,0.0
3063,lounas,kanapka,nouns,1.0
3064,hakea,szukać,verbs,4.9
3065,huomio,zainteresowanie,nouns,3.65
3066,jakaa,dodawać,verbs,0.45
3067,kevyesti,jasno,adverbs,0.75
3068,rentoutunut,spokojny,adjectives,3.6
3069,elefantti,kompas,nouns,0.05
3070,kuiskata,mówić,verbs,2.5
3071,paperi,karton,nouns,3.35
3072,laskimo,ramię,nouns,0.3
3073,biotooppi,biologia,nouns,0.85
3074,melu,rakieta,nouns,0.1
3075,suola,woda,nouns,0.4
3076,väliaine,wiadomości,nouns,0.6
3077,kone,silnik,nouns,3.6
3078,sanoa,wyrażać,verbs,3.7
3079,haitta,ból,nouns,2.35
3080,juliste,papier,nouns,2.0
3081,salamahyökkäys,atak,nouns,4.75
3082,asunto,dom,nouns,4.15
3083,sulaa,rozpuszczać,verbs,3.3
3084,tehtävä,kobieta,nouns,0.0
3085,kaapeli,czarodziej,nouns,0.0
3086,ystävä,kumpel,nouns,4.85
3087,vaatteet,szuflada,nouns,0.25
3088,vihainen,szczęśliwy,adjectives,0.25
3089,pilvenpiirtäjä,pałac,nouns,1.15
3090,yhdistää,zaślubić,verbs,1.55
3091,pappi,bóg,nouns,0.75
3092,passiivisesti,aktywnie,adverbs,0.25
3093,vihamielisyys,agresja,nouns,4.8
3094,pallo,rękawica,nouns,0.2
3095,kasvi,rolnictwo,nouns,0.65
3096,veri,ciało,nouns,0.7
3097,mellakka,rysunek,nouns,0.0
3098,ilma,hel,nouns,1.05
3099,kamera,kontynuacja,nouns,0.0
3100,valehdella,udawać,verbs,2.95
3101,osallistua,pojawić się,verbs,0.8
3102,presidentti,uczeń,nouns,0.2
3103,lihas,kość,nouns,0.5
3104,vauva,dorosły,nouns,0.4
3105,pyhimys,grzesznik,nouns,0.2
3106,luostari,prysznic,nouns,0.0
3107,varoittaa,zatrzymywać,verbs,0.3
3108,päivällinen,posiłek,nouns,3.45
3109,välttää,zaprzeczać,verbs,0.65
3110,rumpu,gitara,nouns,1.3
3111,pappi,prorok,nouns,0.75
3112,valmistaa,konstruować,verbs,3.05
3113,puuvilla,poliester,nouns,1.0
3114,kohde,strzała,nouns,0.2
3115,iso,wielki,adjectives,5.6
3116,selventää,definiować,verbs,3.65
3117,arvo,stopa,nouns,0.3
3118,luu,szczęka,nouns,1.3
3119,toimeksianto,notatka,nouns,0.8
3120,paukkumaissi,kino,nouns,0.4
3121,vaatia,ganić,verbs,0.85
3122,kuorma-auto,pakunek,nouns,0.55
3123,lentoperämies,kokpit,nouns,0.35
3124,kallis,nieśmiały,adjectives,0.0
3125,ympärileikkaus,napletek,nouns,1.1
3126,mehiläinen,mrówka,nouns,1.1
3127,tauti,niebezpieczeństwo,nouns,0.3
3128,lävistää,uszczypnąć,verbs,0.6
3129,valinta,rozdział,nouns,0.25
3130,tuoda,nieść,verbs,2.05
3131,topologia,struktura,nouns,2.55
3132,näkö,percepcja,nouns,2.55
3133,seremonia,uroczystość,nouns,4.95
3134,olut,alkohol,nouns,3.2
3135,kieltää,zatrzymywać,verbs,0.9
3136,paistaa,gotować,verbs,3.2
3137,kapea,brudny,adjectives,0.0
3138,fiksu,tępy,adjectives,0.2
3139,kiltisti,chojnie,adverbs,1.75
3140,kampus,uniwersytet,nouns,3.15
3141,symboli,kod,nouns,2.3
3142,olla velkaa,wchodzić,verbs,0.0
3143,typerä,tępy,adjectives,5.35
3144,hengittää,dusić,verbs,0.25
3145,taistella,gryźć,verbs,0.95
3146,kuvitella,tworzyć,verbs,1.7
3147,häätää,wychodzić,verbs,0.9
3148,käsittää,satysfakcjonować,verbs,0.2
3149,toistaa,ćwiczyć,verbs,2.75
3150,yliopisto,kampus,nouns,3.15
3151,kurpitsa,krew,nouns,0.35
3152,kalliojyrkänne,ogon,nouns,0.0
3153,pariskunta,para,nouns,5.0
3154,näyttelijä,piosenkarz,nouns,0.8
3155,raha,diament,nouns,0.45
3156,jättää,wędrować,verbs,0.35
3157,vastaanottaa,brać,verbs,2.65
3158,monitori,ekran,nouns,5.2
3159,sairaala,łóżko,nouns,0.25
3160,herättää,chrapać,verbs,0.2
3161,lannistaa,frustrować,verbs,2.15
3162,tavata,odchodzić,verbs,0.0
3163,kukka,fiołek,nouns,3.1
3164,turhauttaa,zniechęcać,verbs,2.15
3165,joustava,elastyczny,adjectives,5.1
3166,sekoittaa,rozpuszczać,verbs,1.25
3167,ilmiselvästi,pewnie,adverbs,4.1
3168,saavuttaa,otrzymywać,verbs,1.35
3169,pidättää,podejrzewać,verbs,0.85
3170,sitoa,jednoczyć,verbs,3.35
3171,yrittää,osiągnąć,verbs,0.75
3172,kohtelias,właściwy,adjectives,1.85
3173,kirjailija,kompozytor,nouns,1.1
3174,huomattava,oczywisty,adjectives,2.75
3175,kahvi,ziarnko,nouns,0.85
3176,rintakehä,ciało,nouns,2.05
3177,kyynärpää,kość,nouns,1.1
3178,saalis,bóg,nouns,0.0
3179,koditon,bilioner,nouns,0.15
3180,äänekäs,niegrzeczny,adjectives,0.75
3181,kuukausi,sierpień,nouns,2.45
3182,korottaa,pić,verbs,0.1
3183,paita,kardigan,nouns,1.55
3184,särkeä,rozwalić,verbs,4.85
3185,terminaalisesti,głównie,adverbs,0.15
3186,kasvaa,kurczyć się,verbs,0.2
3187,lammas,bydło,nouns,1.9
3188,sade,zamieć,nouns,1.65
3189,vaihtaa,przerobić,verbs,3.35
3190,ostaa,dostać,verbs,0.65
3191,sulautua,bić,verbs,0.25
3192,hirveä,zły,adjectives,4.25
3193,palauttaa,przynieść,verbs,1.75
3194,nuoli,cel,nouns,0.2
3195,lentokenttä,samolot,nouns,1.05
3196,suu,ząb,nouns,1.3
3197,rakentaa,dodawać,verbs,0.9
3198,pienentää,spadać,verbs,0.95
3199,säästää,wydawać,verbs,0.25
3200,luonne,doktor,nouns,0.0
3201,pikkuruinen,ogromny,adjectives,0.2
3202,varovasti,ostrożnie,adverbs,3.95
3203,minkki,olej,nouns,0.1
3204,aritmetiikka,rytm,nouns,0.1
3205,vetäytyä,przejść na emeryturę,verbs,2.0
3206,reikä,porozumienie,nouns,0.0
3207,laatikko,cygaro,nouns,0.15
3208,pitää,posiadać,verbs,1.8
3209,raha,stolica,nouns,0.0
3210,valmistaa,stać się,verbs,0.1
3211,paikantaa,znaleźć,verbs,4.25
3212,luonnollisesti,chicho,adverbs,0.15
3213,rentoutunut,zestresowany,adjectives,0.2
3214,saapua,odchodzić,verbs,0.15
3215,molekyyli,powietrze,nouns,0.75
3216,tulo,podatek,nouns,0.55
3217,surullisesti,emocjonalnie,adverbs,1.5
3218,teräs,stop ,nouns,2.75
3219,dermatiitti,egzema,nouns,3.25
3220,makeinen,jabłko,nouns,0.35
3221,essee,książka,nouns,1.35
3222,luovasti,początkowo,adverbs,0.65
3223,passiivinen,gwałtowny,adjectives,0.1
3224,sivilisaatio,styl życia,nouns,0.75
3225,etsiä,polować,verbs,2.3
3226,levy,komputer,nouns,0.85
3227,kirkontorni,kaplica,nouns,1.15
3228,suu,nos,nouns,1.1
3229,valkoinen,wąski,adjectives,0.0
3230,tuuli,szkwał,nouns,3.75
3231,tehdä kunniaa,występować,verbs,0.2
3232,hiiri,pojemnik,nouns,0.05
3233,kamera,robotnik,nouns,0.2
3234,yhdistää,wiązać,verbs,3.35
3235,samannäköinen,podobny,adjectives,3.45
3236,auringonpaiste,jabłko,nouns,0.05
3237,gini,whisky,nouns,1.55
3238,sinappi,nasienie,nouns,0.55
3239,evätä,odrzucać,verbs,3.5
3240,automobiili,samochód,nouns,5.7
3241,muffini,pietruszka,nouns,0.2
3242,tylsä,ekscytujący,adjectives,0.2
3243,säikähtänyt,podekscytowany,adjectives,0.3
3244,kissa,lew,nouns,2.5
3245,turvautua,zależeć,verbs,1.8
3246,riisi,fasola,nouns,0.9
3247,käsikirjoitus,artykuł,nouns,1.35
3248,uskalias,dumny,adjectives,0.95
3249,peli,trik,nouns,0.95
3250,epävarma,przestraszony,adjectives,1.4
3251,joki,strumień,nouns,2.65
3252,julma,niesprawiedliwy,adjectives,1.7
3253,aikuinen,opiekun,nouns,2.7
3254,tieto,gazeta,nouns,1.35
3255,kalliojyrkänne,wzgórze,nouns,2.0
3256,huilu,muzyka,nouns,0.85
3257,laajentaa,rosnąć,verbs,3.55
3258,veri,szpik,nouns,0.35
3259,täti,siostrzeniec,nouns,0.85
3260,tyhmä,głupi,adjectives,5.35
3261,kunnolla,ostrożnie,adverbs,4.25
3262,yhdistää,dzielić,verbs,0.3
3263,tuomioistuin,sędzia,nouns,1.5
3264,luopua,tłumić,verbs,1.1
3265,taifuuni,cyklon,nouns,4.65
3266,kirja,temat,nouns,0.65
3267,palatsi,wieżowiec,nouns,1.15
3268,käsittää,czytać,verbs,0.9
3269,outo,normalny,adjectives,0.2
3270,saastuminen,atmosfera,nouns,0.2
3271,aivoriihi,teleskop,nouns,0.0
3272,sekoittaa,gotować,verbs,0.4
3273,kuunnella,przestrzegać,verbs,1.3
3274,siemailla,pić,verbs,3.75
3275,sisäistää,zaciskać,verbs,0.45
3276,kirkko,katedra,nouns,4.05
3277,dollari,milioner,nouns,0.55
3278,ottaa osaa,powiedzieć,verbs,0.25
3279,vastaanottaa,dać,verbs,0.45
3280,jumala,ksiądz,nouns,0.75
3281,passiivisesti,niezawodnie,adverbs,0.15
3282,ravistaa,zbierać,verbs,0.15
3283,kuningas,nepotyzm,nouns,0.9
3284,mielenkiinto,uwaga,nouns,3.65
3285,sekoittaa,mieszać,verbs,4.25
3286,lumi,lód,nouns,2.5
3287,nenä,głowa,nouns,1.1
3288,viaton,wolny,adjectives,0.85
3289,laskeutua,obniżać,verbs,0.95
3290,muslimi,biskup,nouns,0.2
3291,sade,mgiełka,nouns,1.4
3292,molekyyli,matryca,nouns,0.1
3293,omena,cytryna,nouns,1.0
3294,valinta,więzienie,nouns,0.05
