ID,CMN,EST,PoS,score
2901,文化,ühiskond,nouns,1.89
2902,蚕,tõuk,nouns,2.3
2903,安全,tüütu,adjectives,0.25
2904,非自然,loomulikult,adverbs,0.43
2905,雾气,pilv,nouns,1.95
2906,自由,vabadus,nouns,4.89
2907,英寸,meeter,nouns,2.03
2908,锁匙,maja,nouns,0.5
2909,逮捕,kahtlustama,verbs,0.83
2910,追逐,püüdma,verbs,2.14
2911,限制,vähendama,verbs,3.08
2912,无政府,kaos,nouns,2.96
2913,雪,jää,nouns,2.67
2914,争论,arutelu,nouns,3.32
2915,车,autopasun,nouns,0.59
2916,成年人,vanem,nouns,3.24
2917,大声地,pehmelt,adverbs,0.1
2918,州长,imperaator,nouns,0.73
2919,歌谣,laul,nouns,3.15
2920,农药,putukas,nouns,0.73
2921,不道德,halb,adjectives,3.11
2922,高速公路,auto,nouns,0.6
2923,天空,päike,nouns,1.21
2924,大,rahvuslik,adjectives,0.45
2925,宾客,sõber,nouns,2.59
2926,猎狗,rebane,nouns,0.86
2927,容易,raske,adjectives,0.34
2928,意外,katastroof,nouns,3.7
2929,脚,liiv,nouns,0.1
2930,大气层,osoon,nouns,2.42
2931,床,tuba,nouns,0.39
2932,坟墓,taasmatmine,nouns,0.82
2933,毛线衣,puuvill,nouns,0.92
2934,大概,võib-olla,adverbs,3.37
2935,貂,õli,nouns,0.2
2936,获得,saama,verbs,4.17
2937,维他命,raud,nouns,0.81
2938,侧面,tipp,nouns,0.58
2939,手术,algebra,nouns,0.7
2940,出席,kogunema,verbs,1.08
2941,观察,vaatama,verbs,3.83
2942,基督教,protestant,nouns,3.06
2943,空出,välja tõstma,verbs,0.72
2944,说明,selgitama,verbs,3.98
2945,大致,marginaalselt,adverbs,1.45
2946,巨大,imepisike,adjectives,0.34
2947,手臂,haru,nouns,0.34
2948,借,paluma,verbs,1.45
2949,厨房,uks,nouns,0.25
2950,精确,vale,adjectives,0.34
2951,放,andma,verbs,0.43
2952,打印,ignoreerima,verbs,0.0
2953,三文治,lõuna,nouns,0.54
2954,水手,kapten,nouns,0.7
2955,流体,tila,nouns,0.6
2956,布,lina,nouns,2.8
2957,黏,märg,adjectives,1.9
2958,树,paat,nouns,0.0
2959,考古学,antropoloogia,nouns,1.16
2960,吸血鬼,nahkhiir,nouns,0.78
2961,伟大,kohutav,adjectives,0.29
2962,航空,lend,nouns,2.4
2963,枪,märkmik,nouns,0.0
2964,桥,kaart,nouns,0.33
2965,微妙地,praegu,adverbs,0.2
2966,时装,moodus,nouns,0.55
2967,开始,alustama,verbs,4.28
2968,叶,seemik,nouns,0.86
2969,给,teadma,verbs,0.0
2970,男人,naine,nouns,0.73
2971,班级,kolledž,nouns,0.74
2972,罐子,tass,nouns,1.55
2973,肯定地,kindlalt,adverbs,3.79
2974,联合,segunema,verbs,1.92
2975,父亲,vend,nouns,0.83
2976,角,ala,nouns,0.47
2977,饥饿,janune,adjectives,1.91
2978,杀,pooma,verbs,2.6
2979,窗口,pilv,nouns,0.15
2980,主意,arvamus,nouns,3.17
2981,大多,sügavalt,adverbs,0.53
2982,熵,informatsioon,nouns,1.02
2983,蜜蜂,kuninganna,nouns,0.4
2984,罪人,pühak,nouns,0.45
2985,降低,vähendama,verbs,3.31
2986,难以置信地,tihedalt,adverbs,0.2
2987,炒,keetma,verbs,0.81
2988,普通,uskumatu,adjectives,0.3
2989,图解,diagramm,nouns,3.34
2990,选举,valima,verbs,3.06
2991,尖顶,kabel,nouns,1.11
2992,雕像,skulptuur,nouns,5.03
2993,长,kitsas,adjectives,0.58
2994,公寓,mööbel,nouns,0.6
2995,牛油,kartul,nouns,0.64
2996,电缆,kabel,nouns,0.0
2997,傍晚,videvik,nouns,4.46
2998,生日,kuupäev,nouns,1.73
2999,需要,korraldama,verbs,0.35
3000,付得起,odav,adjectives,3.5
3001,下面,pool,nouns,0.59
3002,大方,sõbralik,adjectives,2.91
3003,王座,mõõk,nouns,0.53
3004,海军,armee,nouns,3.21
3005,律师,pankur,nouns,0.69
3006,男子,isa,nouns,2.28
3007,刀口,muru,nouns,0.25
3008,扼杀,põletama,verbs,0.34
3009,沐浴,tuba,nouns,0.39
3010,新鲜,lai,adjectives,0.05
3011,篮子,pall,nouns,0.45
3012,搏斗,tapma,verbs,1.14
3013,对手,vastane,nouns,5.25
3014,根,muru,nouns,0.73
3015,笨,haruldane,adjectives,0.0
3016,奇怪,pentsik,adjectives,5.02
3017,灵魂,vend,nouns,0.3
3018,教授,üliõpilane,nouns,0.69
3019,系统,viga,nouns,0.3
3020,机器,arvuti,nouns,2.31
3021,骰子,kuubik,nouns,2.42
3022,碗,põiktänav,nouns,0.0
3023,人口,rahvas,nouns,2.77
3024,退出,imenduma,verbs,0.05
3025,自行车,nahk,nouns,0.1
3026,工作,tööriist,nouns,0.83
3027,聪明,loll,adjectives,0.39
3028,董事,boss,nouns,4.13
3029,未成熟的,vastutustundetu,adjectives,2.21
3030,肚子,magamistuba,nouns,0.1
3031,评估,õppima,verbs,0.73
3032,薪水,raha,nouns,3.83
3033,生日,aasta,nouns,0.92
3034,峡谷,org,nouns,3.9
3035,香芹,muffin,nouns,0.2
3036,大笑,itsitama,verbs,3.44
3037,巫师,kaabel,nouns,0.0
3038,硬件,karp,nouns,0.29
3039,逃跑,põgenema,verbs,5.52
3040,沟通,palvetama,verbs,0.62
3041,豆,peekon,nouns,0.25
3042,尾巴,peatükk,nouns,0.05
3043,旅程,reis,nouns,4.45
3044,大笑,nutma,verbs,0.73
3045,抓住,kinni püüdma,verbs,4.11
3046,天花板,katus,nouns,3.29
3047,地板,uks,nouns,0.6
3048,拿,kätte toimetama,verbs,0.44
3049,民主,monarhia,nouns,0.65
3050,字典,entsüklopeedia,nouns,1.92
3051,光,klaviatuur,nouns,0.15
3052,帽子,karp,nouns,0.15
3053,山,perv,nouns,0.55
3054,平淡,vaimustav,adjectives,0.14
3055,教堂,katedraal,nouns,4.88
3056,主意,pilt,nouns,0.35
3057,非自然,negatiivselt,adverbs,0.59
3058,兔子,kass,nouns,0.78
3059,新教,kristlane,nouns,3.06
3060,撤离,määrama,verbs,0.05
3061,白天,koidik,nouns,2.12
3062,努力,välistama,verbs,0.0
3063,能力,tugevus,nouns,2.96
3064,出口,ukseava,nouns,3.47
3065,麻布,riie,nouns,2.8
3066,糖类,sahharoos,nouns,3.28
3067,理论,keemia,nouns,0.77
3068,帝制,demokraatia,nouns,0.65
3069,衣服,nööp,nouns,0.63
3070,车,paat,nouns,0.58
3071,合乎体统,viisakas,adjectives,3.71
3072,晚餐,hommikusöök,nouns,1.21
3073,百万富翁,dollar,nouns,0.45
3074,记者,luuletaja,nouns,0.7
3075,手臂,keha,nouns,0.72
3076,电动,magus,adjectives,0.1
3077,棒球,korvpall,nouns,1.02
3078,学生,õpetaja,nouns,0.88
3079,病原,pisik,nouns,3.68
3080,授粉,tolmukas,nouns,1.31
3081,肉,veri,nouns,0.68
3082,国会,parlament,nouns,2.76
3083,水平,tulemus,nouns,1.36
3084,一分钱,abikaasa (naine),nouns,0.23
3085,坚固地,rahulikult,adverbs,0.48
3086,肌肉,käsi,nouns,1.29
3087,云,udu,nouns,2.59
3088,普通,külm,adjectives,0.2
3089,坦克,auto,nouns,0.82
3090,韵律,luuletus,nouns,0.83
3091,说话,kuulma,verbs,0.57
3092,暴力,passiivne,adjectives,0.25
3093,混合,süüa tegema,verbs,0.58
3094,神,saak,nouns,0.1
3095,长笛,muusika,nouns,1.15
3096,员工,vokalist,nouns,0.58
3097,变成,näima,verbs,0.39
3098,狡猾,kummaline,adjectives,0.82
3099,统计资料,tennis,nouns,0.2
3100,朋友,kutt,nouns,1.44
3101,脖子,selgroog,nouns,1.03
3102,减少,piirama,verbs,3.08
3103,很少,mitte kunagi,adverbs,1.54
3104,积极地,passiivselt,adverbs,0.38
3105,薄雾,pilv,nouns,2.81
3106,乞求,laenama,verbs,1.45
3107,指控,valetama,verbs,0.39
3108,舌头,põsk,nouns,0.5
3109,保龄,keeglimängija,nouns,1.29
3110,肌肉,luu,nouns,0.93
3111,敬佩,jumaldama,verbs,4.53
3112,金,tsink,nouns,1.01
3113,副驾驶,kokpit,nouns,0.87
3114,情绪,kirg,nouns,3.49
3115,呕吐,sulgema,verbs,0.0
3116,马上,ükskord,adverbs,0.05
3117,碱,hape,nouns,0.64
3118,模仿,jäädvustama,verbs,0.45
3119,戏法,relv,nouns,0.24
3120,眉头,silm,nouns,1.02
3121,描绘,otsustama,verbs,0.2
3122,米,jard,nouns,1.98
3123,窄小,lai,adjectives,0.39
3124,肩,pea,nouns,0.64
3125,意识,tähelepanu,nouns,2.67
3126,火鸡,lind,nouns,1.92
3127,牧师,prohvet,nouns,0.89
3128,聪慧,tark,adjectives,5.09
3129,肉,veiseliha,nouns,3.32
3130,收集,kogunema,verbs,2.37
3131,幼儿床,voodi,nouns,3.54
3132,威士忌酒,džinn,nouns,1.57
3133,目标,võitja,nouns,0.4
3134,不合理,ebaausalt,adverbs,2.65
3135,任务,kodutöö,nouns,2.88
3136,检察官,advokaat,nouns,1.63
3137,速度,post,nouns,0.15
3138,匆忙,tormama,verbs,4.2
3139,生存,elama,verbs,2.38
3140,清醒,purjus,adjectives,0.39
3141,棚屋,varjend,nouns,1.06
3142,内衣褲,keha,nouns,0.4
3143,教堂,mosaiik,nouns,0.35
3144,恢复,tooma,verbs,0.15
3145,试验,test,nouns,4.24
3146,才能,võime,nouns,3.99
3147,舱,laager,nouns,0.69
3148,妻子,vann,nouns,0.0
3149,平面,leht,nouns,0.29
3150,同意,erinema,verbs,0.2
3151,符号,kood,nouns,2.35
3152,花朵,kannike,nouns,2.83
3153,成为,teostama,verbs,0.86
3154,沙拉,äädikas,nouns,0.34
3155,起泡,illustratsioon,nouns,0.05
3156,浮动,allkirjastama,verbs,0.0
3157,坚固地,pehmelt,adverbs,0.3
3158,员工,tööandja,nouns,0.7
3159,带来,tulema,verbs,1.36
3160,书,informatsioon,nouns,1.55
3161,分子,õhk,nouns,0.72
3162,带来,saatma,verbs,0.34
3163,成功,läbi kukkuma,verbs,0.48
3164,冰,vesi,nouns,2.24
3165,乱七八糟,korrapärane,adjectives,0.39
3166,离开,ilmuma,verbs,0.2
3167,悲伤,häbi,nouns,1.1
3168,鸡尾酒,alkohol,nouns,2.73
3169,内疚,halb,adjectives,0.74
3170,感觉到,uskuma,verbs,1.16
3171,便条,ülesanne,nouns,0.47
3172,稻草,hümn,nouns,0.0
3173,哭,naerma,verbs,0.73
3174,提醒,müüma,verbs,0.0
3175,写,kritseldama,verbs,2.93
3176,搂抱,kallistama,verbs,4.79
3177,井然有序,sassis,adjectives,0.39
3178,心烦,häbenev,adjectives,0.24
3179,进入,võlgnema,verbs,0.05
3180,键盘,valgus,nouns,0.15
3181,篱笆,hüppamine,nouns,0.45
3182,高高兴兴地,ohutult,adverbs,0.93
3183,软管,auto,nouns,0.24
3184,完美地,tõesti,adverbs,0.48
3185,议会,kongress,nouns,2.76
3186,微晶片,kursor,nouns,0.24
3187,窗口,katus,nouns,0.64
3188,虫害,putukamürk,nouns,0.73
