ID,SWA,YUE,PoS,score
2799,kutengeneza,賺,verbs,0.2
2800,nyota,星,nouns,2.67
2801,chakula,晚餐,nouns,3.16
2802,mtoto mke wa mfalme,公主,nouns,0.0
2803,dhoruba,雪,nouns,0.46
2804,utajiri,貧困,nouns,0.29
2805,jamii,社會生物學,nouns,0.14
2806,uwepo,優勝者,nouns,0.1
2807,kupokea,發送,verbs,0.2
2808,muziki,音樂,nouns,1.27
2809,mkali,鈍,adjectives,0.14
2810,kubaki,離開,verbs,0.1
2811,balaa,死亡,nouns,1.47
2812,sofa,椅子,nouns,3.29
2813,kukizuizi,限制,verbs,0.36
2814,mjeshi,軍士,nouns,0.68
2815,kanisa dogo,尖頂,nouns,0.42
2816,usio na mwisho,無窮,nouns,0.28
2817,kupotea,收縮,verbs,0.81
2818,kipasha joto,暖爐,nouns,0.04
2819,kiti,床,nouns,1.21
2820,mtihani,考試,nouns,0.7
2821,haramu,非法,adjectives,0.19
