ID,HEB,RUS,PoS,score
2778,בישוף,архиепископ,nouns,2.9
2779,בחור,товарищ,nouns,1.55
2780,בקפידה,осторожно,adverbs,3.1
2781,גוף,плечо,nouns,1.5
2782,בברור,конечно,adverbs,3.2
2783,אטום,углерод,nouns,1.7
2784,להגיד,участвовать,verbs,0.6
2785,בחירה,выборы,nouns,2.65
2786,לריב,укусить,verbs,0.95
2787,זרוע,запястье,nouns,1.6
2788,חרד,нетерпеливый,adjectives,2.1
2789,באלגנטיות,красиво,adverbs,2.8
2790,נפוטיזם,король,nouns,0.75
2791,קבורה,смерть,nouns,1.8
2792,בוקר,день,nouns,1.65
2793,רגוע,нейтральный,adjectives,1.8
2794,מטבע,обмен,nouns,1.1
2795,עצם,челюсть,nouns,1.35
2796,זריחה,закат,nouns,1.3
2797,לנצח,доминировать,verbs,1.65
2798,אלכוהול,джин,nouns,2.15
2799,מגן,защита,nouns,2.4
2800,מבוגר,опекун,nouns,1.0
2801,אחרי,до,adverbs,0.5
2802,לשתות,выращивать,verbs,0.0
2803,רב,священник,nouns,1.6
2804,יציאה,избирательное право,nouns,0.0
2805,חיבור,домашнее задание,nouns,1.9
2806,יום הולדת,год,nouns,1.35
2807,תכנית,идея,nouns,1.95
2808,קבורה מחדש,гробница,nouns,1.5
2809,הורה,взрослый,nouns,1.8
2810,סרט,театр,nouns,1.25
2811,בר מזל,пристыженный,adjectives,0.05
2812,להתווכח,соглашаться,verbs,0.55
2813,לקבל,брать,verbs,1.1
2814,מצלמה,продолжение,nouns,0.0
2815,הססני,нейтральный,adjectives,1.0
2816,דבש,сахар,nouns,1.5
2817,אוויוניקה,воздухоплавание,nouns,1.65
2818,לבשל,жарить,verbs,1.7
2819,לוח שנה,праздник,nouns,1.15
2820,לחנך,учиться,verbs,1.45
2821,גובה,преобразование,nouns,0.45
2822,גינה,шланг,nouns,1.0
2823,בור,обычный,adjectives,0.1
2824,גדול,крупный,adjectives,4.65
2825,מגירה,одежда,nouns,0.9
2826,לעזוב,появляться,verbs,0.35
2827,לטאה,змея,nouns,1.45
2828,דגל,столб,nouns,1.1
2829,עליז,счастливый,adjectives,4.85
2830,הכנסה,налог,nouns,0.95
2831,לסגת,отвергать,verbs,1.05
2832,גדול,широкий,adjectives,1.8
2833,וריד,выбор,nouns,0.0
2834,מנצח,гол,nouns,0.65
2835,בהגינות,несправедливо,adverbs,0.6
2836,צער,стыд,nouns,0.9
2837,אבא,дочь,nouns,1.15
2838,אישה,секретарь,nouns,1.05
2839,נזיר,крест,nouns,1.35
2840,לספוג,учиться,verbs,1.05
2841,בחשיבות,серьезно,adverbs,2.55
2842,מילה,фраза,nouns,2.0
2843,משקה,пиво,nouns,2.15
2844,להבין,схватывать,verbs,3.2
2845,שריר,кость,nouns,0.8
2846,הכרחי,важный,adjectives,3.4
2847,להחליט,завершать,verbs,1.2
2848,צוואר,позвоночник,nouns,1.5
2849,ללכת,хромать,verbs,1.2
2850,לתפוס,получать,verbs,0.75
2851,שור,теленок,nouns,2.4
2852,מינק,мех,nouns,2.5
2853,שפע,изобилие,nouns,4.05
2854,לבחור,избирать,verbs,3.6
2855,צריף,убежище,nouns,1.6
2856,קיר,отделка,nouns,0.9
2857,דעה קדומה,шовинист,nouns,1.95
2858,מעולה,рассерженный,adjectives,0.55
2859,בלתי נסלח,внебрачный,adjectives,0.15
2860,קופסה,шляпа,nouns,0.3
2861,יומן,дата,nouns,1.6
2862,לבקש,умолять,verbs,3.75
2863,מתרגם,иностранец,nouns,0.65
2864,ללכת,позволять,verbs,0.15
2865,מחשב,диск,nouns,1.2
2866,רהיט,кровать,nouns,2.3
2867,סעודה,суп,nouns,1.4
2868,לשמור,владеть,verbs,2.1
2869,בצורת,вода,nouns,0.6
2870,לבדר,угождать,verbs,0.6
2871,קש,задача,nouns,0.05
2872,לסת,кость,nouns,1.35
2873,נכנס,уходящий,adjectives,0.6
2874,לפטופ,портативный компьютер,nouns,5.45
2875,לחפש,охотиться,verbs,1.75
2876,קומה,дверь,nouns,0.8
2877,מכני,электрический,adjectives,0.8
2878,אנטרופיה,информация,nouns,0.85
2879,שלם,законченный,adjectives,2.75
2880,רשמי,приличный,adjectives,0.65
2881,לבהות,щуриться,verbs,1.1
2882,רחב,свежий,adjectives,0.0
2883,לשלוח,идти,verbs,0.4
2884,לרסק,разгромить,verbs,5.0
2885,תיאטרון,фильм,nouns,1.25
2886,מבולגן,чистый,adjectives,0.45
2887,תרבות,общество,nouns,1.2
2888,ראש,гвоздь,nouns,0.95
2889,חריף,хороший,adjectives,0.8
2890,מצלמה,работник,nouns,0.35
2891,להיעלם,сжиматься,verbs,1.35
2892,וירוס,кровь,nouns,0.95
2893,הזיה,реальность,nouns,0.9
2894,בשר,хлеб,nouns,0.65
2895,מקרה,аппара́тное обеспече́ние,nouns,0.4
2896,מבולגן,организованный,verbs,0.5
2897,בית דין,справедливость,nouns,1.95
2898,לספק,угождать,verbs,2.8
2899,קורבן,телефон,nouns,0.15
2900,אישה,мех,nouns,0.4
2901,להסכים,различаться,verbs,0.55
2902,משחק,действие,nouns,2.35
2903,נץ,птица,nouns,2.0
2904,בייקון,боб,nouns,0.6
2905,ענן,мгла,nouns,1.85
2906,מאמר,рукопись,nouns,2.85
2907,מלוכלך,узкий,adjectives,0.0
2908,לקחת,воспользоваться,verbs,1.05
2909,קשוח,жестокий,adjectives,1.85
2910,שמלה,танец,nouns,0.7
2911,חדר,кровать,nouns,0.8
2912,לשפוט,решать,verbs,1.6
2913,בעוצמה,открыто,adverbs,0.45
2914,עובד,фотоаппарат,nouns,0.35
2915,ללמד,воспитывать,verbs,3.4
2916,לסיים,соревноваться,verbs,0.1
2917,להגיע,покидать,verbs,0.45
2918,נהג,пилот,nouns,2.05
2919,נועז,гордый,adjectives,0.95
2920,בכנות,честно говоря,adverbs,4.9
2921,כתבה,журнал,nouns,1.65
2922,מטבח,ванная,nouns,1.1
2923,בטן,живот,nouns,4.7
2924,שחר,ночь,nouns,1.1
2925,אינטליגנציה,невежество,nouns,0.7
2926,מעי,хладнокровие,nouns,1.2
2927,פאון,актер,nouns,0.6
2928,כרכרה,автомобиль,nouns,1.45
2929,לצחוק,петь,verbs,0.45
2930,להאשים,судить,verbs,2.75
2931,אמורפי,бесформенный,adjectives,4.55
2932,זרבובית,жидкость,nouns,0.45
2933,בנחישות,мягко,adverbs,0.25
2934,ליצור,разрушать,verbs,0.55
2935,חלון,лодыжка,nouns,0.0
2936,מיקרוסקופ,биолог,nouns,1.1
2937,בקביעות,иногда,adverbs,0.8
2938,זרוע,кость,nouns,1.1
2939,בקלות,грубо,adverbs,0.15
2940,פושע,правонарушитель,nouns,5.2
2941,במדוייק,активно,adverbs,0.65
2942,כועס,довольный,adjectives,0.55
2943,גשם,метель,nouns,1.2
2944,למות,закапывать,verbs,1.0
2945,לבלוע,хлебать,verbs,2.85
2946,פיתוח,сбор пожертвований,nouns,0.4
2947,לחוב,одалживать,verbs,1.5
2948,הרמוניה,пианино,nouns,0.75
2949,לפצל,отрывать,verbs,1.75
2950,צופן,символ,nouns,1.65
2951,אי,флот,nouns,0.55
2952,טוב,пряный,adjectives,0.8
2953,באמת,важно,adverbs,0.5
2954,לבצע,достигать,verbs,1.1
2955,נפלא,великолепный,adjectives,4.75
2956,המרה,высота,nouns,0.45
2957,ארוחה,бутерброд,nouns,1.35
2958,נשיא,политик,nouns,2.2
2959,רענן,недавний,adjectives,2.7
2960,רפובליקה,герцог,nouns,0.6
2961,אחיין,тетя,nouns,1.05
2962,בן,отец,nouns,1.45
2963,לסלוח,понимать,verbs,1.6
2964,באופן אחראי,независимо,adverbs,0.75
2965,מדהים,грязный,adjectives,0.15
2966,לכפול,складывать,verbs,0.8
2967,אחות,ученый,nouns,0.3
2968,לצרף,смешивать,verbs,4.0
2969,להתמוסס,смешивать,verbs,1.8
2970,עניין,осведомленность,nouns,1.15
2971,בשר,кровь,nouns,1.3
2972,ברכות,громко,adverbs,0.25
2973,גג,окно,nouns,1.05
2974,לקבל,терять,verbs,0.4
2975,סמן,чип,nouns,0.25
2976,פלדה,сплав,nouns,2.25
2977,סל,мяч,nouns,0.9
2978,סכנה,болезнь,nouns,0.9
2979,מדים,бесформенный,adjectives,0.1
2980,פול,кофе,nouns,1.1
2981,בד,лен,nouns,2.25
2982,פרצטמול,бронхит,nouns,1.05
2983,מטען,диск,nouns,0.75
2984,מאמר,книга,nouns,1.5
2985,לעצור,предупреждать,verbs,0.6
2986,כישרון,писатель,nouns,1.05
2987,קול ,акустика,nouns,2.8
2988,דגל,изучение флагов,nouns,1.35
2989,עורך דין,галерея,nouns,0.0
2990,שמח,молодой,adjectives,0.45
2991,בית,ключ,nouns,1.05
2992,לטבוע,спасти,verbs,0.6
2993,ייתכן,скорее всего,adverbs,4.3
2994,כדורגל,американский футбол,nouns,2.75
2995,תא הטייס,штурман,nouns,0.9
2996,ילד,партнер,nouns,0.9
2997,בירה,шампанское,nouns,1.65
2998,כדור,пушка,nouns,1.1
2999,זועם,нерешительный,adjectives,0.6
3000,הרחק,домой,adverbs,0.65
3001,נדיר,редкий,adjectives,1.55
3002,מורה,преподаватель,nouns,4.6
3003,לעשות,происходить,verbs,1.6
3004,תחום,граница,nouns,4.35
3005,חייל,мальчик,nouns,0.95
3006,לשכנע,добиваться,verbs,0.8
3007,חומצה,основание,nouns,0.65
3008,מחשב,машина,nouns,1.9
3009,סטודנט,ученик,nouns,5.3
3010,משכורת,деньги,nouns,3.2
3011,לשון,щека,nouns,1.15
3012,להרשות,позволять,verbs,4.95
3013,חופש,цензура,nouns,0.85
3014,כובע,коробка,nouns,0.3
3015,בעצב,безумно,adverbs,0.65
3016,יד,запястье,nouns,2.0
3017,ציטופלזמה,цифра,nouns,0.25
3018,גג,потолок,nouns,3.05
3019,לקדם,продвигаться,verbs,1.7
3020,מקצוע,колледж,nouns,0.95
3021,קצב,арифметика,nouns,0.2
3022,בכנות,никогда,adverbs,0.0
3023,משמים,скучный,adjectives,3.8
3024,מכונית,мост,nouns,0.6
3025,עיירה,город,nouns,3.4
3026,אינטואיציה,чувство,nouns,4.2
3027,לעצור,запрещать,verbs,1.45
3028,זר,переводчик,nouns,0.65
3029,פונולוגיה,экран,nouns,0.15
3030,הכתרה,воды,nouns,0.05
3031,בעצם,критично,adverbs,0.25
3032,עורך דין,прокурор,nouns,1.8
3033,להוסיף,соединять,verbs,1.25
3034,טלויזיה,сценарист,nouns,1.15
3035,להיכשל,обескураживать,verbs,0.45
3036,אלוף,победитель,nouns,4.2
3037, לנער,размешать,verbs,1.8
3038,לשרוף,душить,verbs,0.35
3039,עצום,тупой,adjectives,0.1
3040,נזיר,священник,nouns,3.5
3041,שיניים,кость,nouns,1.45
3042,פסל,особняк,nouns,0.5
3043,להחזיק,поглощать,verbs,0.3
3044,אוהד,крикет,nouns,0.3
3045,מתכת,алюминий,nouns,2.0
3046,מסורת,ремесло,nouns,0.9
3047,חקלאות,монокультура,nouns,0.8
3048,בוודאי,локально,adverbs,0.1
3049,אנושות,практически,adverbs,0.25
3050,קרסול,окно,nouns,0.0
3051,להפוך,организовывать,verbs,0.7
3052,זרם,река,nouns,1.8
3053,אווירונאוטיקה,авионики,nouns,1.65
3054,פוליאסטר,хлопок,nouns,0.85
3055,כסף,наличные,nouns,3.5
3056,עוזר,наставник,nouns,1.85
3057,טיול,путешествие,nouns,4.25
3058,להמתין,приостанавливаться,verbs,0.85
3059,מכונית,улица,nouns,0.95
3060,זרוע,плечо,nouns,1.65
3061,מבוהל,в восторге,adjectives,0.7
3062,אף,горло,nouns,1.05
3063,מטבח,дверь,nouns,0.85
3064,שחקן,певец,nouns,1.4
3065,לעזוב,присоединиться,verbs,0.5
3066,קיסר,конституция,nouns,0.5
3067,דיכאון,долина,nouns,0.0
3068,נורא,плохой,adjectives,3.9
3069,תלמיד,президент,nouns,0.35
3070,תלותי,беспомощный,adjectives,2.85
3071,רצפה,потолок,nouns,0.9
3072,תשלום,вознаграждение,nouns,4.25
3073,חומרה,дело,nouns,0.4
3074,ללא רבב,чистый,adjectives,3.8
3075,להיכנס,задолжать,verbs,0.0
3076,רמז,слово,nouns,0.4
3077,מבושל,кипячёный,adjectives,2.9
3078,לאסוף,встряхивать,verbs,0.1
3079,לחקור,игнорировать,verbs,0.25
3080,להגיד,подтверждать,verbs,0.7
3081,רובוטיקה,симуляция,nouns,1.05
3082,פרוזדור,проход,nouns,4.15
3083,מילה,страница,nouns,1.0
3084,קשוח,ловкий,adjectives,0.9
3085,גיבור,героиня,nouns,3.1
3086,אוטו,автомобиль,nouns,5.8
3087,דבורה,муравей,nouns,1.0
3088,שפעת,жар,nouns,1.3
3089,להצטרף,участвовать,verbs,1.95
3090,אקוסטיקה,звук,nouns,2.8
3091,אסיפה,собрание,nouns,4.7
3092,מעוקל,кривой,adjectives,4.75
3093,ביהביוריזם,терапия,nouns,0.9
3094,סלע,мина,nouns,0.9
3095,לשרוק,останавливаться,verbs,0.1
3096,באופן יצירתי,первоначально,adverbs,0.35
3097,תיל,провод,nouns,3.95
3098,גלוי,очевидный,adjectives,2.35
3099,חבוי,открытый,adjectives,0.65
3100,חושש,встревоженный,adjectives,4.25
3101,הכחשה,признание,nouns,0.4
3102,לנחם,унижать,verbs,0.4
3103,סכום,соединение,nouns,2.45
3104,בקר,бык,nouns,3.35
3105,מטומטם,редкий,adjectives,0.1
3106,כדור,ракетка,nouns,1.25
3107,פסיכולוגיה,наука,nouns,1.8
3108,מיטה,стул,nouns,0.7
3109,מזומן,деньги,nouns,3.5
3110,לרכב,шаркать,verbs,0.5
3111,לדחות,отодвигать,verbs,1.05
3112,ישר,изогнутый,adjectives,0.55
3113,לשחוק,разрешать,verbs,0.05
3114,ערב,закат,nouns,2.15
3115,להדפיס,игнорировать,verbs,0.1
3116,דובדבן,клубника,nouns,1.35
3117,לפספס,ударять,verbs,0.5
3118,חדש,свежий,adjectives,3.45
3119,לכלול,включать,verbs,2.8
3120,מסוק,самолет,nouns,2.15
3121,זהב,цинк,nouns,1.0
3122,עקשן,глупый,adjectives,0.75
3123,פטרוזיליה,маффин,nouns,0.5
3124,תנור חימום,зонтик,nouns,0.55
3125,מונית,автобус,nouns,1.55
3126,סירה,автомобиль,nouns,1.1
3127,להכחיש,соглашаться,verbs,0.1
3128,חיישן,радиатор,nouns,0.6
3129,להשיג,завершать,verbs,1.1
3130,מדים,вязание,nouns,0.35
3131,עיתון,статья,nouns,1.65
3132,סערה,ураган,nouns,4.0
3133,קיבה,талия,nouns,0.7
3134,סיפון,мышь,nouns,0.45
3135,לבזבז,копить,verbs,0.55
3136,תקרה,крыша,nouns,3.05
3137,תפוח,сок,nouns,1.15
3138,מוזר,скрытный,adjectives,1.0
3139,חוט,нить,nouns,4.0
3140,נמרצות,счастливо,adverbs,0.35
3141,מלון,квартира,nouns,1.2
3142,ארוחה,талия,nouns,0.4
3143,מילון,энциклопедия,nouns,2.15
3144,להישאר,сохранять,verbs,0.95
3145,חצוף,громкий,adjectives,0.9
3146,בית,государство,nouns,0.9
3147,דאגה,осторожность,nouns,2.15
3148,נורא,печальный,adjectives,1.0
3149,לשתות,перемешать,verbs,0.5
3150,מכוער,грубый,adjectives,1.35
3151,לרכוש,объединяться,verbs,0.25
3152,אור,клавиатура,nouns,0.0
3153,לעזוב,игнорировать,verbs,0.7
3154,מכונית,машина,nouns,5.8
3155,עמוס,тяжелый,adjectives,2.0
3156,דוקטור,дантист,nouns,4.95
3157,מעיל,шляпа,nouns,0.9
3158,להודיע,признавать,verbs,0.95
3159,לא ברור,смутный,adjectives,3.95
3160,לתת,красть,verbs,0.4
3161,אפשרי,невозможный,adjectives,0.65
3162,כאוס,анархия,nouns,4.5
3163,אגדה,мораль,nouns,0.45
3164,להרתיח,жарить,verbs,1.2
3165,עמק,депрессия,nouns,0.0
3166,נקי,аккуратный,adjectives,3.4
3167,באופן פסיבי,молча,adverbs,1.4
3168,ללכת,приходить,verbs,1.25
3169,להגדיר,уточнить,verbs,3.1
3170,ים,дельта,nouns,0.85
3171,לעצור,контролировать,verbs,0.55
3172,שר,раввин,nouns,1.6
3173,בירה,алкоголь,nouns,2.2
3174,גוף,кровь,nouns,1.0
3175,צינור,автомобиль,nouns,0.65
3176,קריסטל,стекло,nouns,2.55
3177,ריקוד,платье,nouns,0.7
3178,דשא,мох,nouns,1.65
3179,ביטוי,слово,nouns,2.0
3180,היעדרות,пристуствие,nouns,0.75
3181,טוב,посредственный,adjectives,0.95
3182,פעולה,курс,nouns,1.35
3183,ויזה,глобализм,nouns,0.55
3184,אמבטיה,шалость,nouns,0.0
3185,ניהיליזם,фильм,nouns,0.15
3186,מיטה,комната,nouns,0.8
3187,מיוחד,ценный,adjectives,2.6
3188,תפריט,заказ,nouns,1.1
3189,נשיא,ученик,nouns,0.35
3190,צעיר,счастливый,adjectives,0.45
3191,מלהיב,скучный,adjectives,0.5
3192,להיכנס,покидать,verbs,0.45
3193,פרח,фиалка,nouns,2.3
3194,אביב,гейзер,nouns,0.1
3195,להפסיד,сохранять,verbs,0.4
3196,איום,плохой,adjectives,3.65
3197,צר,грязный,adjectives,0.0
3198,קיר,замок,nouns,1.0
3199,מצב,мальчик,nouns,0.0
3200,סגן,офицер,nouns,2.2
3201,מיד,скоро,adverbs,1.9
3202,אי,полуостров,nouns,1.95
3203,אופן,привычка,nouns,4.15
3204,טופולוגיה,структура,nouns,2.6
3205,חלש,пряный,adjectives,0.1
3206,בגאווה,смиренно,adverbs,0.6
3207,אמון,настрой,nouns,1.15
3208,לרדוף,попугать,verbs,0.65
3209,להתלונן,ругаться,verbs,1.3
3210,אינטליגנטי,тупой,adjectives,0.5
3211,המולה,шум,nouns,4.7
3212,מנוע,двигатель,nouns,5.45
3213,לסדר,организовывать,verbs,4.75
3214,מכונה,компьютер,nouns,1.9
3215,ייאוש,бедствование,nouns,2.35
3216,אם,отец,nouns,1.75
3217,זרוע,нога,nouns,1.25
3218,אי,пляж,nouns,1.0
3219,מסע,завование,nouns,0.65
3220,טחב,трава,nouns,1.65
3221,אוכל,программа,nouns,0.5
3222,מקלט,хижина,nouns,1.6
3223,בדרך כלל,ненормально,adverbs,0.45
3224,עץ,камень,nouns,0.5
3225,משרה,управление,nouns,1.25
3226,מוזיקה,флейта,nouns,1.15
